"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - LALITESH PATI TRIPATHI","2 - SAMUDRA BIND","3 - SURENDRA SINGH PATEL","4 - ANUPRIYA SINGH PATEL","5 - AJAD","6 - JITTOO RAM RATNA","7 - JEERA BHARTI","8 - BRIJESH KUMAR RAI","9 - BHAGWAN DAS","10 - RADHESHYAM INSAN","11 - VINEET SAHAI","12 - SHIVRAJ SAHNI","13 - SANTOSH KUMAR","14 - SARVESH DUBEY","15 - SUKCHARA NAND URF AALOO BABA","16 - ASHOK KUMAR","17 - ADESH TYAGI","18 - DR. KARNAIL SINGH","19 - GIRJA SHANKAR URF CHUNMUN","20 - DEVI","21 - RAJA RAM","22 - RAM MURAT","23 - HINCHH LAL","24 - None of the Above","Total Votes Secured"
1,"PACHOKHARA ISTHIT BHOGAWAN A0",882,680,0,1562,453,365,0,818,352,0,55,211,191,276,5,8,1,1,0,2,5,4,9,5,5,12,1,1,6,1,2,8,4,5,818
2,"BHOGAWAN A0",756,534,0,1290,377,219,0,596,256,0,14,96,276,174,2,2,3,0,0,0,1,1,0,3,0,1,3,3,2,2,1,6,3,3,596
3,"BHOGAWAN A0",193,163,0,356,103,97,0,200,86,0,19,69,12,76,0,2,1,1,2,0,3,1,0,0,1,4,1,3,0,1,0,4,0,0,200
4,KADERUA,493,398,0,891,290,257,0,547,235,0,65,12,145,298,4,3,2,1,0,0,3,0,2,4,0,3,0,0,1,0,0,4,0,0,547
5,"MUJEHARA KALAN",847,625,0,1472,467,373,0,840,361,0,30,559,43,179,3,2,1,0,0,0,0,0,0,0,1,6,3,3,0,0,0,6,2,2,840
6,"MUJEHARA KALAN",460,384,0,844,271,209,0,480,206,0,99,26,88,239,1,4,0,0,0,2,1,0,1,1,1,4,2,0,1,5,2,3,0,0,480
7,"MUJEHARA KALAN",727,580,0,1307,411,359,0,770,331,0,48,273,95,305,1,0,1,8,1,2,1,1,4,3,2,4,4,1,2,4,2,6,2,0,770
8,"MUJEHARA KHURD",809,651,0,1460,415,342,0,757,326,0,27,184,71,412,11,6,4,0,1,5,3,1,6,1,2,7,3,2,1,2,0,5,1,2,757
9,PATEHARA,295,227,0,522,182,134,0,316,136,0,41,43,46,173,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,3,2,1,316
10,CHINDLIKH,359,288,0,647,231,200,0,431,185,0,11,3,272,110,2,1,0,2,0,0,0,0,2,0,0,2,2,2,9,1,3,3,0,6,431
11,NEWADIYA,453,366,0,819,276,219,0,495,213,0,37,198,111,119,2,1,0,1,4,2,4,1,0,0,0,1,3,3,4,0,0,1,2,1,495
12,SAGARPUR,659,569,0,1228,448,251,0,699,301,0,33,88,382,138,10,6,4,0,1,3,6,1,3,2,1,6,2,0,1,0,1,9,1,1,699
13,SARIPATTI,833,675,0,1508,503,400,0,903,388,0,121,211,153,349,3,2,0,0,1,3,0,5,5,7,1,4,5,4,4,5,4,7,3,6,903
14,"PURJAGIR MU MAWAIYA",525,478,0,1003,369,324,0,693,298,0,17,407,59,169,8,2,1,1,3,2,1,1,2,3,3,8,0,0,0,0,0,2,0,4,693
15,"PURJAGIR MU MAWAIYA",439,405,0,844,281,264,0,545,234,0,26,94,39,320,7,3,6,5,3,3,2,2,1,3,1,4,0,1,2,3,4,7,5,4,545
16,HUSAINIPUR,870,730,0,1600,510,438,0,948,408,0,29,260,78,494,12,7,3,4,6,4,3,1,13,3,2,2,5,2,2,2,2,8,4,2,948
17,PAKHAWAYA,394,319,0,713,191,176,0,367,158,0,14,5,12,317,1,2,0,1,1,0,0,3,4,2,1,0,1,0,0,2,0,0,0,1,367
