"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NAGMA","2 - RAJENDRA AGARWAL","3 - MOHD.SHAHID AKHLAK","4 - SHAHID MANZOOR","5 - MOHD.USMAN GHAZI","6 - MOHD. SAJID SAIFI","7 - DR. EX. MAJ HIMANSHU SINGH","8 - ATUL KHODAWAL","9 - ANIL","10 - APHAJAL","11 - IQRA CHOUDHARY","12 - MUKESH KUMAR","13 - SUNIL DUTT","14 - None of the Above","Total Votes Secured"
1,"J.N.ACADEMY PURVA AHMED NAGAR KURESIYAN ROOM NO.-1",814,581,0,1395,633,322,0,955,954,0,41,11,746,137,1,0,5,0,0,0,1,7,1,5,955
2,"J.N.ACADEMY PURVA AHMED NAGAR KURESIYAN ROOM NO.-2",359,241,0,600,264,130,0,394,348,0,3,0,364,20,0,0,1,1,0,0,1,2,0,2,394
3,"MADARSA JAMAL UL QURAN ROOM N0.-1 JALI KOTHI MEERUT",649,464,0,1113,430,235,0,665,658,0,13,12,598,35,0,0,0,0,1,0,0,2,0,4,665
4,"MADARSA JAMAL UL QURAN KAMRA NA.-2 JALI KOTHI MEERUT",821,598,0,1419,563,304,0,867,450,0,26,3,722,100,1,1,1,1,0,0,1,2,1,8,867
5,"KARYALYA PRATHMIK SHIKSHAK SHANG BHAWAN ROOM NO. 1 KESAR GANJ",565,481,0,1046,348,226,0,574,563,0,17,7,241,301,1,0,1,0,1,0,1,2,0,2,574
6,"KARYALYA PRATHMIK SHIKSHAK SHANG BHAWAN ROOM NO. 2 KESAR GANJ",267,196,0,463,140,72,0,212,205,0,8,2,94,102,1,0,2,0,0,0,1,0,0,2,212
7,"KARYALYA PRATHMIK SHIKSHAK SHANG BHAWAN ROOM NO. 3 KESAR GANJ",427,362,0,789,239,121,0,360,360,0,7,23,189,135,0,1,2,0,0,0,0,0,1,2,360
8,"UCHH PRATHMIK VIDHAYALA ROOM NO.1 KESARGANJ",611,507,0,1118,328,276,0,604,604,0,23,130,278,166,0,0,4,0,1,0,0,1,1,0,604
9,"UCHH PRATHMIK VIDHAYALA ROOM NO.2 KESARGANJ",704,583,0,1287,325,208,0,533,525,0,15,10,212,292,2,0,1,0,0,0,0,0,0,1,533
10,"PRATHMIK KANYA VIDHYALYA PURVA MAHAVEER NAGAR KSHETRA MEERUT ROOM NO. 1",573,458,0,1031,316,224,0,540,540,0,5,60,312,157,0,1,2,0,0,0,0,2,0,1,540
11,"PRATHMIK KANYA VIDHYALYA  PURVA MAHAVEER NAGAR KSHETRA MEERUT ROOM NO. 2",802,624,0,1426,495,269,0,764,754,0,11,5,551,188,1,2,0,0,0,0,0,0,1,5,764
12,"PANDIT GANGARAM DHARAMSHALA ROOM NO. 1 KESARGANJ",472,383,1,856,313,188,0,501,496,0,18,200,154,115,0,1,7,1,0,0,0,2,0,3,501
13,"PANDIT GANGARAM DHARAMSHALA ROOM NO. 2  KESARGANJ",646,553,0,1199,429,299,0,728,659,0,24,565,65,57,0,0,14,0,0,0,0,0,0,3,728
14,"KANOHAR LAL KRISHAN SAHAY INTER COLLEGE ROOM NO.1 NIKAT CHOPLA RAILWAY ROAD",464,380,0,844,341,218,0,559,468,0,21,131,193,207,0,0,2,0,0,1,0,0,1,3,559
15,"KANOHAR LAL KRISHAN SAHAY INTER COLLEGE ROOM NO.2 NIKAT CHOPLA RAILWAY ROAD",660,546,0,1206,405,292,0,697,480,0,42,285,135,224,2,0,5,0,0,0,0,0,1,3,697
16,"NAGAR NIGAM KANYA UCHH PRATHMIK VIDHYALYA  ROOM NO. 1KRISHANPURI",815,669,0,1484,550,409,0,959,957,0,22,444,142,329,0,0,14,1,0,0,0,0,1,6,959
17,"NAGAR NIGAM KANYA UCHH PRATHMIK VIDHYALYA ROOM NO.-1 KRSIHANPURI",686,603,0,1289,423,331,0,754,752,0,41,576,52,1,0,0,66,1,1,0,1,1,7,7,754
18,"NAGAR NIGAM KANYA UCHH PRATHMIK VIDHYALYA ROOM NO.-3 KRSIHANPURI",516,436,0,952,352,296,0,648,643,19,19,591,19,7,0,0,8,0,0,0,0,0,2,2,648
19,"DHARAMSHALA ROOM NO.1 LALA BHAGWAN DAS NAND KISHOR RASTOGI KISHANPURI DELHI GATE",593,463,2,1058,421,303,0,724,703,0,15,408,103,192,0,0,1,0,1,0,0,1,0,3,724
20,"AGARWAL BHAWAN ROOM NO.1 DALMANDI, MEERUT",707,589,0,1296,442,303,0,745,644,0,23,82,147,476,2,1,8,0,0,0,1,0,1,4,745
21,"NAGAR NIGAM PRATHMIK VIDHALAYA ROOM NO.1 KRISHANPURI",758,625,1,1384,492,376,0,868,858,0,36,495,102,218,0,0,7,1,0,0,0,0,2,7,868
22,"BALBHARTI NIKETAN ROOM NO.1 MAHAVEER NAGAR",609,555,0,1164,431,367,0,798,777,0,48,725,2,2,0,0,19,0,0,0,0,0,0,2,798
23,"BALBHARTI NIKETAN ROOM NO.2 MAHAVEER NAGAR",539,490,0,1029,299,273,0,572,247,0,25,515,7,6,0,0,14,0,0,0,0,0,0,5,572
24,"BALBHARTI NIKETAN ROOM NO.3 MAHAVEER NAGAR",871,757,0,1628,577,439,0,1016,900,0,22,949,6,23,0,0,11,0,0,0,0,0,2,3,1016
25,"BALBHARTI NIKETAN ROOM NO.4 MAHAVEER NAGAR",392,362,0,754,277,220,0,497,495,0,15,453,5,2,0,0,20,1,0,0,0,0,1,0,497
26,"RAMKISHOR MITTAL GIRLS JUNIOR HIGH SCHOOL ROOM NO.1 ANANDPURI",261,261,0,522,201,190,0,391,391,0,9,363,1,0,0,0,14,0,0,0,0,0,1,3,391
27,"RAMKISHOR MITTAL GIRLS JUNIOR HIGH SCHOOL ROOM NO.2 ANANDPURI",496,460,1,957,363,308,0,671,671,0,38,599,4,4,0,0,18,0,1,0,0,0,0,7,671
28,"RAMKISHOR MITTAL GIRLS JUNIOR HIGH SCHOOL ROOM NO.3 ANANDPURI",649,606,0,1255,441,363,0,804,804,0,14,433,306,29,0,0,14,0,0,0,1,3,2,2,804
29,"D.N. INTER COLLEGE ROOM NO.1 CHOPLA RAILWAY ROAD",456,376,0,832,309,249,0,558,527,0,32,280,214,26,0,1,1,1,0,0,0,1,0,2,558
30,"D.N. INTER COLLEGE ROOM NO.2 CHOPLA RAILWAY ROAD",613,466,0,1079,436,285,0,721,660,0,27,221,412,46,1,0,3,1,1,1,0,2,3,3,721
31,"D.N. INTER COLLEGE ROOM NO.3 CHOPLA RAILWAY ROAD",683,544,0,1227,458,353,0,811,785,0,17,529,218,31,1,1,4,3,0,0,0,0,2,5,811
32,"BHAI JOGA SINGH PUBLIC SCHOOL ROOM NO.1 DEVPURI",492,434,0,926,347,286,0,633,631,0,73,324,117,102,0,6,5,0,0,0,0,1,0,5,633
33,"D.N. DEGREE COLLEGE ROOM NO.1 CHOPLA RAILWARY ROAD",722,634,0,1356,418,304,0,722,555,0,73,330,110,192,1,0,8,0,0,0,0,1,1,6,722
34,"D.N. DEGREE COLLEGE ROOM NO.2 CHOPLA RAILWARY ROAD",553,486,0,1039,349,271,0,620,620,0,20,582,4,2,0,0,11,0,0,0,0,0,0,1,620
35,"D.N. DEGREE COLLEGE ROOM NO.3 CHOPLA RAILWARY ROAD",747,743,0,1490,489,428,0,917,914,0,37,859,4,5,0,1,5,0,1,0,0,0,0,5,917
36,"MAHAVIR SHIKSHA SADAN INTER COLLEGE ROOM NO.1 JAIN NAGAR",729,646,0,1375,521,427,0,948,948,0,25,891,4,4,0,0,15,1,0,0,0,1,0,7,948
37,"MAHAVIR SHIKSHA SADAN INTER COLLEGE ROOM NO.2 JAIN NAGAR",548,534,0,1082,446,397,0,843,814,0,17,787,6,4,1,0,19,0,1,0,0,0,0,8,843
38,"MAHAVIR SHIKSHA SADAN INTER COLLEGE ROOM NO.3 JAIN NAGAR",447,425,0,872,359,306,0,665,622,0,26,621,1,3,0,0,10,0,0,0,0,0,0,4,665
