"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MUKUL","2 - RAJ BABBAR","3 - VIJAY KUMAR SINGH","4 - SUDHAN KUMAR","5 - NARESH GAUTAM","6 - SHAZIA ILMI MALIK","7 - SURESH PAL","8 - KESHAV CHOUDHARY","9 - NITIN","10 - RAMPHAL SHAKYA","11 - RINKU KUMAR TYAGI","12 - VINOD KUMAR TYAGI","13 - SALEEM MALIK","14 - SABIR","15 - SANJEEV KUMAR","16 - None of the Above","Total Votes Secured"
1,"PRI. SCHOOL KUNHEDA",459,343,0,802,274,211,0,485,437,0,178,44,254,1,0,1,0,1,1,0,0,1,0,3,1,0,485
2,"PRI. SCHOOL KUMHEDA",466,387,0,853,274,198,0,472,418,0,87,28,267,79,1,2,0,0,1,2,0,0,0,1,2,2,472
3,"PRI. SCHOOL JHALAWA",533,410,0,943,329,248,0,577,499,0,49,3,29,492,3,0,1,0,0,0,0,0,0,0,0,0,577
4,"NEHRU MEM. INT. CO. SURANA",840,700,0,1540,538,315,0,853,849,0,68,20,452,287,3,5,0,0,0,0,0,0,1,5,9,3,853
5,"NEHRU MEM. INT. CO. SURANA",856,691,0,1547,505,381,0,886,886,0,201,25,471,174,2,4,0,0,0,1,0,0,1,3,4,0,886
6,"NEHRU MEM. INT. CO. SURANA",790,637,0,1427,490,284,0,774,774,0,111,11,455,173,2,7,1,0,0,0,1,0,1,4,7,1,774
7,"BESIC PRI. SCHOOL SURANA",770,608,0,1378,471,348,0,819,819,0,35,12,443,309,1,5,1,0,0,0,0,2,0,2,9,0,819
8,"GANDI MEMO. INT. CO. RAWLI KALA",632,513,0,1145,468,329,0,797,796,0,29,91,650,5,0,6,0,0,0,2,0,1,1,6,3,3,797
9,"GANDI MEMO. INT. CO. RAWLI KALA",738,645,1,1384,543,425,0,968,968,0,278,272,375,17,3,5,1,0,2,1,1,0,0,3,3,7,968
10,"GANDI MEMO. INT. CO. RAWLI KALA",681,541,0,1222,501,387,0,888,888,0,73,218,554,28,3,2,0,0,0,0,1,1,3,3,2,0,888
