"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KADIR RANA","2 - PANKAJ AGARWAL","3 - VIRENDER SINGH","4 - DR. SANJEEV KUMAR BALYAN","5 - ANIL KUMAR","6 - CHATAR SINGH KASHYAP","7 - MANGE RAM KASHYAP","8 - MOHAMMED YAMIN","9 - MO. YAMIN","10 - RAJESH DEVI ALIAS RADHIKA BALIYAN","11 - LALIT CHAUHAN","12 - ANKUR","13 - GUFRAN AHMAD","14 - JAGBIR SINGH","15 - NASEEM AHMAD ANSARI","16 - PHOOL SINGH PAL","17 - RAKESH","18 - SHABNAM","19 - SHANDAR GUFRAN","20 - None of the Above","Total Votes Secured"
1,"D A V INTER COLLEGE HALL KAMRE SE PURVA ME KAMRA NO 1",708,635,0,1343,491,439,0,930,930,0,12,66,14,796,3,1,0,15,0,8,0,0,5,0,0,1,0,1,2,6,930
2,"D A V INTER COLLEGE POLLING STATION 1 SE MILA KAMRA",667,576,0,1243,450,380,0,830,713,0,18,57,9,725,3,0,0,1,1,3,1,0,3,0,1,0,1,0,0,7,830
3,"D A V INTER COLLEGE POLLING STATION 2 SE MILA KAMRA",756,688,0,1444,421,402,0,823,823,0,160,21,56,570,0,0,0,5,0,3,0,1,2,0,0,2,0,0,0,3,823
4,"PURUSHARTHI KANYA PATSHALA SIKSHAK COLONY KAMRA NO 1",520,508,0,1028,485,452,0,937,937,0,5,14,8,905,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,937
5,"PURUSHARTHI KANYA PATSHALA SIKSHAK COLONY KAMRA NO 2",667,580,0,1247,519,442,0,961,901,0,16,16,19,899,2,0,0,4,0,1,0,0,0,0,0,2,0,0,0,2,961
6,"CHAUDHARY CHOTU RAM DEGREE COLLEGE KAMRA NO 1",554,511,0,1065,335,313,0,648,648,0,2,20,5,613,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,3,648
7,"CHAUDHARY CHOTU RAM DEGREE COLLEGE KAMRA NO 6",591,493,0,1084,401,334,0,735,735,0,45,21,7,648,0,0,0,5,0,4,0,0,1,1,0,2,0,0,0,1,735
8,"CHAUDHARY CHOTU RAM DEGREE COLLEGE KAMRA NO 4",440,381,0,821,299,266,0,565,500,0,15,30,7,506,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,565
9,"CHAUDHARY CHOTU RAM DEGREE COLLEGE KAMRA NO 7",542,506,0,1048,335,319,0,654,627,0,1,8,12,627,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,654
10,"D A V INTER COLLEGE KARMA NO 3",337,291,0,628,201,191,0,392,275,0,61,13,4,307,1,0,0,1,0,3,0,0,0,1,1,0,0,0,0,0,392
11,"D A V INTER COLLEGE KAMRA NO 5",466,468,0,934,285,278,0,563,563,0,14,19,1,522,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,563
12,"CHAUDHARY CHOTURAM DEGREE COLLEGE DAKSHNI KI LINE ME KAMRA NO 3",520,474,0,994,345,340,0,685,671,0,1,25,5,646,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,685
13,"CHAUDHARY CHOTURAM DEGREE COLLEGE DAKSHNI KI LINE ME KAMRA NO 8",523,486,0,1009,378,314,0,692,650,0,3,17,4,663,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,692
14,"CHAUDHARY CHOTURAM INTER COLLEGE DAKSHNI KI LINE ME KAMRA NO 1",854,719,0,1573,791,564,0,1355,921,0,13,20,3,1309,3,0,0,3,0,1,0,0,0,0,0,1,0,0,0,2,1355
15,"S F D A V PUBLIC SCHOOL AVAS VIKAS COLONY SHAKUNTALAM KAMRA NO 3",670,747,0,1417,567,367,0,934,915,0,265,11,6,628,2,1,0,0,1,5,1,0,2,0,1,8,1,0,0,2,934
16,"CHAUDHARY CHOTURAM INTER COLLEGE DAKSHINI KI LINE ME KAMRA NO 3",593,504,0,1097,475,483,0,958,800,0,10,8,4,923,1,0,0,7,1,1,1,0,0,0,0,0,1,0,1,0,958
17,"S F D A V PUBLIC SCHOOL AVAS VIKAS COLONY SHAKUNTALAM KAMRA NO 4",530,432,0,962,350,277,0,627,620,0,86,16,8,507,0,1,0,2,1,1,0,0,2,0,0,0,0,0,0,3,627
18,"ISLAMIYA INTER COLLEGE KAMRA NO. 7",545,454,0,999,351,245,0,596,596,0,500,15,71,5,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,596
19,"ISLAMIYA INTER COLLEGE KAMRA NO. 11",553,417,0,970,362,270,0,632,619,0,524,7,42,55,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,632
20,"ISLAMIYA INTER COLLEGE KAMRA NO. 15",352,296,0,648,225,168,0,393,333,0,335,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393
21,"ISLAMIYA INTER COLLEGE KAMRA NO. 12",614,484,0,1098,454,329,0,783,780,0,676,23,76,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,1,783
22,"ISLAMIYA INTER COLLEGE KAMRA NO. 13",613,510,0,1123,360,234,0,594,558,0,469,6,68,43,1,0,0,3,1,0,0,0,0,0,0,1,0,0,1,1,594
23,"AZAD JUNIOR HIGH SCHOOL KAMRA NO 4",375,276,0,651,268,207,0,475,471,0,297,5,58,94,2,0,1,1,0,3,2,0,3,0,0,4,4,0,0,1,475
24,"AZAD JUNIOR HIGH SCHOOL KAMRA NO 5",283,221,0,504,218,167,0,385,374,0,322,10,49,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,385
25,"AZAD JUNIOR HIGH SCHOOL KAMRA NO 1",454,400,0,854,296,242,0,538,537,0,418,12,94,0,0,0,0,8,0,0,0,0,0,0,1,0,1,0,1,3,538
26,"AZAD JUNIOR HIGH SCHOOL KAMRA NO 6",485,374,0,859,257,186,0,443,433,0,353,5,61,7,0,0,1,0,2,2,0,0,0,0,0,7,3,0,1,1,443
27,"JAIN KANYA P G COLLEGE KAMRA NO 23 MEERUT ROAD",417,330,0,747,243,167,0,410,410,0,363,5,40,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,410
28,"JAIN KANYA P G COLLEGE KAMRA NO 24 MEERUT ROAD",298,230,0,528,138,100,0,238,238,0,192,0,40,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,238
29,"AZAD JUNIOR HIGH SCHOOL KAMRA NO 2",608,513,0,1121,321,275,0,596,490,0,462,12,53,62,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,596
30,"JAIN KANYA P G COLLEGE KAMRA NO 12 MEERUT ROAD",691,581,0,1272,402,312,0,714,709,0,397,10,81,219,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,3,714
31,"JAIN KANYA P G COLLEGE KAMRA NO 13 MEERUT ROAD",783,608,0,1391,418,303,0,721,419,0,432,17,71,192,0,0,0,5,0,2,0,0,0,0,0,2,0,0,0,0,721
32,"JAIN KANYA P G COLLEGE KAMRA NO 22 MEERUT ROAD",912,704,1,1617,547,379,0,926,913,0,643,12,185,71,0,0,0,5,0,1,0,1,0,0,0,1,4,0,1,2,926
33,"JAIN KANYA P G COLLEGE K M 20",387,278,0,665,217,163,0,380,378,0,141,13,39,177,1,0,0,4,1,0,0,0,0,0,0,1,1,0,0,2,380
34,"JAIN KANYA P G COLLEGE KAMRA NO 21 MEERUT ROAD",865,638,0,1503,475,353,0,828,828,0,404,35,91,280,1,0,0,7,0,2,1,0,0,1,0,3,1,0,1,1,828
35,"PRIMARY PATSHALA NIKAT JAI INTER COLLEGE K M 1",585,476,0,1061,387,279,0,666,641,0,524,15,80,33,0,0,0,9,2,0,0,0,0,0,0,0,3,0,0,0,666
36,"PRIMARY PATSHALA NIKAT JAI INTER COLLEGE K M 2",433,312,0,745,307,151,0,458,395,0,358,2,39,54,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,458
37,"JAIN INTER COLLEGE KHALAPAR ITTARI BHAG ME PURVI AUR KA NAYA KAMRA",661,531,0,1192,430,303,0,733,656,0,470,16,132,100,1,0,0,3,1,2,0,0,0,0,2,3,1,0,0,2,733
38,"JAIN INTER COLLEGE KHALAPAR ITTARI BHAG ME PASCHIM AUR KA NAYA KAMRA",416,366,0,782,233,178,0,411,376,0,242,15,59,86,0,0,0,1,0,0,0,0,0,0,1,0,4,0,2,1,411
39,"JAIN INTER COLLEGE KHALAPAR K M 9",498,379,0,877,289,215,0,504,490,0,412,6,64,0,0,0,0,7,0,2,0,0,0,1,0,3,8,0,0,1,504
