"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAIVEER SINGH","2 - MUKESH RAJPUT","3 - RAMESHWAR SINGH YADAV","4 - SALMAN KHURSHID","5 - ANJU","6 - KRISHAN KUMAR DIXIT ALIAS K. K. DIXIT","7 - MO. TAMAJID","8 - TARIK PARVEZ","9 - DAYA SHANKAR","10 - RAMNIWAS KATHERIA","11 - ANURAG RAJPUT","12 - ANOKHEY LAL","13 - IMAMUDDIN HUSAIN HUSAIN","14 - ANSHU MAHAN","15 - KISHAN PAL SINGH","16 - MALIKHAN SINGH ADVOCATE","17 - MUKESH RAJPUT","18 - RAM KISHORE DIWEDI","19 - VIMLA DEVI","20 - VRAHMA SARAN JATAV","21 - SACHIN SINGH YADAV","22 - SURESH SARASWAT ALAIS ILLAYCHIWALA","23 - None of the Above","Total Votes Secured"
1,GUDERA,739,580,0,1319,418,225,0,643,545,0,40,362,139,34,3,4,3,0,3,0,2,0,0,3,1,4,1,5,0,1,36,0,2,643
2,"HEERA NAGAR MAJRA GUDERA",201,141,0,342,160,100,0,260,249,0,0,18,191,6,1,0,3,0,1,0,0,0,0,0,0,1,2,1,2,0,32,0,2,260
3,RULAPUR,458,353,0,811,248,180,0,428,402,0,47,251,82,5,3,9,1,0,0,0,1,2,2,0,1,3,1,4,2,1,12,0,1,428
4,CHAPARA,551,488,0,1039,314,227,0,541,461,0,94,367,28,3,2,3,2,1,0,3,0,3,3,3,6,7,1,5,2,1,3,1,3,541
5,"AMAYAPUR PURVI",635,433,0,1068,406,220,0,626,620,0,80,255,191,14,3,2,6,1,2,1,3,1,3,1,2,2,2,7,6,3,38,1,2,626
6,"AMAIYAPUR PASHMI",611,535,0,1146,489,331,0,820,795,0,11,731,26,6,0,2,2,1,1,1,0,2,1,0,6,4,3,13,0,2,8,0,0,820
7,"RATANPUR PAMARAN",570,499,0,1069,286,367,0,653,617,0,87,205,261,4,1,1,2,0,2,1,3,2,2,5,0,4,1,3,2,2,60,2,3,653
8,KHAKHIN,266,194,0,460,184,140,0,324,297,0,19,49,235,3,0,0,2,0,0,0,0,0,0,1,0,2,0,0,2,0,11,0,0,324
9,PITHANAPUR,492,399,0,891,345,187,0,532,532,0,55,314,96,0,0,3,1,0,1,1,0,1,2,1,1,7,1,12,10,4,10,0,12,532
10,PITHANAPUR,737,552,0,1289,353,235,0,588,581,0,157,279,76,19,0,2,2,0,0,0,3,1,1,2,4,10,2,4,2,0,22,1,1,588
11,P.S.PHITNAPUR,496,388,0,884,317,222,0,539,520,0,69,353,63,8,1,1,0,0,1,1,2,0,3,3,6,9,2,8,2,1,2,1,3,539
12,"PARMAPUR MAJRA PITHNAPUR",626,509,0,1135,433,323,0,756,502,0,102,545,43,6,2,4,0,0,0,1,2,1,0,5,11,5,0,10,1,3,8,3,4,756
13,"KUBERPUR KUDRA",513,428,0,941,297,220,0,517,410,0,73,330,88,7,0,1,0,3,0,0,2,0,0,2,4,0,0,1,1,2,2,0,1,517
14,"KUBERPUR KUDRA",480,351,0,831,281,192,0,473,200,0,14,356,81,5,0,2,0,0,0,0,1,0,0,0,2,1,2,2,0,0,6,0,1,473
15,ALAHPUR,339,293,0,632,223,174,0,397,395,0,13,175,194,2,0,0,0,0,0,0,1,1,1,5,2,0,0,2,0,0,1,0,0,397
16,KOLASOTA,625,496,0,1121,387,215,0,602,592,0,91,203,250,17,0,0,1,0,1,0,3,3,0,3,6,9,1,1,2,2,7,0,2,602
17,"MOKULPUR MAJRA KARANPUR DATT",800,656,0,1456,411,270,0,681,580,0,202,296,69,65,2,4,0,0,0,0,5,0,3,1,4,12,2,9,3,0,2,1,1,681
18,KARANPURDATT,763,619,0,1382,445,342,0,787,399,0,115,318,266,48,2,1,0,0,2,2,0,0,0,1,4,10,1,6,4,3,2,2,0,787
19,KARANPURDATT,260,211,0,471,153,113,0,266,265,0,69,129,54,9,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,266
20,"NAYAGAU HUSENPUR HADAI",671,531,0,1202,341,215,0,556,496,0,57,198,258,22,3,1,0,1,0,0,2,1,2,1,0,3,0,4,0,1,0,2,0,556
21,MUJHA,340,286,0,626,242,160,0,402,275,0,84,61,234,2,1,0,0,0,0,0,1,0,0,0,2,3,1,0,1,1,10,1,0,402
22,GALARPUR,375,297,0,672,239,163,0,402,330,0,26,275,56,22,0,0,1,0,0,1,0,0,2,2,6,1,0,3,2,0,5,0,0,402
23,RAJPUR,511,393,0,904,340,239,0,579,579,0,46,356,131,18,0,5,0,0,0,0,0,0,1,2,1,1,2,8,3,2,2,1,0,579
24,"GUJARPUR PAMARAN",764,648,0,1412,604,356,0,960,896,0,28,368,402,14,2,4,4,0,4,0,3,2,1,2,6,7,1,3,1,0,101,4,3,960
25,HUSAINPUR,380,315,0,695,252,201,0,453,266,0,121,117,180,7,1,2,0,0,0,2,3,1,1,3,2,4,1,2,1,2,2,0,1,453
26,RAMPURA,456,358,0,814,332,191,0,523,413,0,77,306,92,9,1,1,1,0,1,0,3,1,1,2,4,5,2,5,1,3,6,1,1,523
27,KUMRAUR,700,584,0,1284,367,242,0,609,609,0,47,378,146,12,1,1,2,1,0,0,1,0,1,0,2,0,1,1,0,0,12,0,3,609
28,KUMRAUR,481,381,0,862,255,177,0,432,312,0,150,188,36,16,0,3,0,2,0,2,1,1,0,1,0,2,11,8,4,3,0,1,3,432
29,"NAGLA KHUSALI MAJRA KUMHAUR",537,389,0,926,417,226,0,643,564,0,1,60,455,19,1,2,8,2,2,0,1,1,0,2,0,1,0,1,3,0,83,0,1,643
30,"NAGLA MAKHAN",398,286,0,684,240,181,0,421,378,0,2,55,300,2,6,0,1,0,1,0,1,0,0,1,1,0,0,3,0,1,46,1,0,421
31,KIRACHAN,373,273,0,646,270,143,0,413,413,0,135,42,138,3,4,0,2,0,2,0,0,0,0,0,0,0,2,0,1,2,81,0,1,413
32,"HAMEERPUR PARTAPUR",415,310,0,725,277,103,0,380,380,0,39,79,216,8,1,2,1,0,1,0,0,0,2,0,1,3,0,1,0,0,25,0,1,380
33,FAKARPUR,431,356,0,787,219,116,0,335,312,0,97,86,108,18,0,0,2,0,0,0,0,3,1,2,0,1,0,4,0,0,11,2,0,335
34,"PARTAPUR KALA",348,305,0,653,256,190,0,446,346,0,58,154,173,34,1,1,0,0,0,1,3,0,2,4,3,5,1,1,0,0,5,0,0,446
35,"GUJARPUR GAHALBAR",442,405,0,847,257,167,0,424,416,0,92,276,17,13,2,2,0,1,0,1,2,1,0,4,3,5,0,2,0,0,0,2,1,424
36,"UDHRANPUR LILAPUR",725,565,0,1290,510,209,0,719,699,0,182,431,62,8,1,5,0,2,0,1,4,0,1,1,1,0,2,2,0,0,14,1,1,719
37,"UDHRANPUR LILAPUR",311,236,0,547,173,81,0,254,254,0,56,158,24,3,0,0,1,0,1,0,0,0,0,0,1,0,2,1,1,0,6,0,0,254
38,"HARSINGPUR GAHALBAR",530,437,0,967,283,241,0,524,444,0,122,297,10,11,4,1,1,0,0,3,3,0,0,1,1,8,5,3,1,0,52,1,0,524
39,AMRATPUR,507,384,0,891,293,156,0,449,364,0,64,317,37,23,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,2,0,0,449
40,AMRATPUR,459,405,0,864,232,161,0,393,281,0,50,192,98,31,0,1,2,1,0,2,0,1,0,1,2,0,0,2,1,0,8,0,1,393
41,AMRATPUR,354,320,0,674,230,161,0,391,386,0,6,323,27,10,2,4,1,0,1,0,2,0,0,2,4,3,2,1,1,0,1,0,1,391
42,AMRATPUR,258,196,0,454,118,87,0,205,119,0,40,98,42,6,1,0,0,2,1,0,1,1,0,0,3,2,0,0,0,0,7,1,0,205
43,AMRATPUR,817,663,0,1480,487,375,0,862,814,0,156,484,145,29,0,2,1,2,0,1,2,1,2,6,4,3,2,3,2,2,14,0,1,862
44,NAGLAHUSA,583,483,0,1066,323,224,0,547,542,0,56,383,66,5,2,2,0,3,0,0,0,2,1,0,0,0,1,5,2,1,17,0,1,547
45,NAGLAHUSA,543,459,0,1002,296,210,0,506,500,0,38,273,115,23,1,2,4,1,1,1,2,2,2,0,5,4,1,3,1,1,24,0,2,506
46,BHUBANPUR,572,445,1,1018,303,174,0,477,477,0,133,248,49,15,0,2,0,0,0,1,2,1,0,3,4,4,6,3,1,2,1,1,1,477
47,HARIHARPUR,720,615,0,1335,431,300,0,731,731,0,55,338,305,3,0,2,0,1,0,0,0,1,2,2,3,3,2,3,0,1,9,0,1,731
48,VEERPUR,347,301,0,648,224,142,0,366,363,0,10,68,281,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,366
49,LABHEDA,575,433,0,1008,315,185,0,500,338,0,46,288,124,4,0,4,1,0,0,0,2,1,0,1,5,4,0,0,0,0,18,0,2,500
50,"ALHADPUR BHATAULI",255,204,0,459,176,145,0,321,321,0,67,220,7,5,0,1,1,0,0,1,1,1,2,1,6,1,1,1,1,0,0,3,1,321
51,BIRSINGPUR,544,441,0,985,318,258,0,576,576,0,154,249,150,9,1,1,1,1,0,0,5,0,0,0,1,0,0,1,0,0,2,1,0,576
52,"IMADPUR PAMARAN",359,313,0,672,267,232,0,499,449,0,12,233,209,5,0,1,0,1,1,0,2,1,1,1,2,0,5,4,6,1,13,1,0,499
53,KADAKKA,746,599,0,1345,378,270,0,648,626,0,79,287,67,168,1,3,7,0,0,0,2,2,2,0,3,1,1,5,1,1,16,0,2,648
54,KADAKKA,354,293,0,647,184,113,0,297,283,0,11,149,106,13,0,1,2,0,0,0,0,0,0,0,0,5,0,3,0,0,6,0,1,297
55,ALIGHAR,736,576,0,1312,405,347,0,752,617,0,78,314,188,132,3,0,3,1,0,3,1,0,2,2,6,4,4,3,0,2,6,0,0,752
56,MUHADDINPUR,180,142,0,322,166,122,0,288,288,0,1,18,249,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,7,0,0,288
57,"DAULATPUR CHAKAI",658,567,0,1225,396,308,0,704,704,0,20,18,188,445,5,2,3,0,1,1,3,1,1,0,1,2,0,1,1,4,7,0,0,704
58,"BHAUPUR CHAURASI",576,440,0,1016,368,222,0,590,590,0,52,265,156,63,3,2,5,1,0,2,3,4,4,5,0,3,1,6,4,1,6,1,3,590
