"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR AHMAD DUMPY","2 - OM PRAKASH","3 - KIRTI VARDHAN SINGH","4 - NANDITA SHUKLA","5 - BENI PRASAD VERMA","6 - AJAY  KUMAR  PRABHAKAR","7 - PREM KUMAR","8 - MASOOD ALAM KHAN","9 - MAHESH KUMAR","10 - MASHOOQ AHMAD","11 - RAJENDRA PRASAD","12 - RAJESH  KUMAR  MAURYA","13 - SATYA PRAKASH","14 - TILAK RAM","15 - BRIJNANDAN TIWARI","16 - None of the Above","Total Votes Secured"
39,"P.P. PURAINIYA JAT",468,370,0,838,237,202,0,439,439,0,22,6,224,103,31,3,1,44,1,2,0,0,1,0,0,1,439
40,"P.P. UPRAHULA K0 N0-2",357,273,0,630,149,114,0,263,213,0,4,5,131,31,52,0,0,33,1,0,0,1,2,0,3,0,263
41,"P.P TENDUWA TAKIYA",472,431,0,903,194,191,0,385,385,0,59,5,129,76,27,0,0,84,1,0,1,1,0,0,0,2,385
42,"P.P. RAMWAPUR KHURD",341,293,0,634,118,117,0,235,235,0,54,4,30,115,14,0,1,6,3,1,0,0,2,2,0,3,235
43,"P.P. PANWAPUR",437,399,0,836,156,151,0,307,250,0,31,3,76,153,15,1,1,7,0,12,0,0,0,2,2,4,307
44,"J.H.SHCOOL RAMWAPUR KALA EAST",569,438,0,1007,185,176,0,361,361,0,59,6,61,65,134,2,0,22,0,3,1,0,2,3,0,3,361
45,"J.H.SHCOOL RAMWAPUR KALA WEST",765,625,0,1390,192,212,0,404,404,0,25,20,34,61,220,5,1,24,2,6,0,0,2,1,0,3,404
46,"P.P. RAIGANWA",546,522,0,1068,215,204,0,419,419,0,13,11,179,67,103,5,2,31,3,0,0,0,4,0,0,1,419
47,"J.H. SCHOOL RAINGAYI",511,435,0,946,123,152,0,275,274,0,27,5,7,150,26,0,1,54,1,2,0,0,2,0,0,0,275
48,"P.P. BADAHRA KOT EAST",774,611,0,1385,386,248,0,634,620,0,71,20,276,62,22,4,3,146,2,7,2,1,8,7,1,2,634
49,"J.H.SHCOOL BADAHRA KOT WEST",687,593,0,1280,294,257,0,551,449,0,83,9,140,180,78,3,1,32,2,2,1,3,6,2,2,7,551
50,"P.P. BALHA EAST",491,371,0,862,199,168,0,367,366,0,17,14,72,15,141,4,3,92,2,0,0,0,2,3,0,2,367
51,"P.P. BALHA WEST",543,416,0,959,210,157,0,367,366,0,23,7,210,31,14,0,2,60,1,2,1,0,4,4,3,5,367
52,"P.P. TAKHTARWA",707,582,0,1289,349,285,0,634,633,0,27,21,417,93,39,3,2,0,0,3,1,3,5,10,5,5,634
53,"P.P. GAYDEEH EAST",631,512,0,1143,223,171,0,394,394,0,8,18,153,48,134,2,5,13,1,0,0,1,1,5,4,1,394
54,"P.P. GAYDEEH WEST",834,668,0,1502,268,211,0,479,479,0,51,16,101,72,192,0,1,35,1,1,2,0,0,5,1,1,479
55,"P.P. SHAHPUR ITAI NORTH",890,639,0,1529,307,235,0,542,541,0,9,10,117,263,104,2,2,19,1,2,0,1,2,2,3,5,542
56,"P.P. SHAHPUR ITAI SOUTH",775,574,0,1349,342,275,0,617,617,0,15,13,382,109,63,2,1,6,0,3,2,1,5,5,0,10,617
