"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMEETA SINGH","2 - PAWAN PANDEY","3 - FEROZE VARUN GANDHI","4 - SHAKEEL AHMED","5 - GIRISH LAL","6 - DR. NAFEES AHMAD","7 - PITAMBAR NISHAD","8 - RAM MILAN","9 - MOHD SHAMIM","10 - SHIV SHANKAR","11 - SHAILENDRA PRATAP SINGH","12 - SARTAJ KHAN","13 - BRIJESH KUMAR","14 - VARUN GANDHI","15 - VIJAY","16 - None of the Above","Total Votes Secured"
1,"P.S.JOGIBR DEVDASPUR",546,500,0,1046,290,272,0,562,562,0,51,120,264,103,1,3,0,1,1,1,3,1,1,8,0,4,562
2,"P.S. NIDURA R.NO.1",395,394,0,789,246,241,0,487,487,0,6,93,188,178,1,0,0,6,1,1,0,2,5,3,2,1,487
3,"P.S. KUDARN GALIBAHA R.NO.1",413,367,0,780,242,248,0,490,490,0,9,188,242,30,0,2,0,3,0,0,2,1,2,6,4,1,490
4,"PU.SCHOOL  IRUL R.NO.1",521,468,0,989,321,310,0,631,631,0,8,225,277,98,4,0,0,0,0,1,1,2,2,7,4,2,631
5,"NAVIN UTTAR MA.SCHOOL MAKDOMPUR BANRAHA R.NO.1",478,403,0,881,266,229,0,495,495,0,29,108,270,62,1,3,3,2,1,0,4,0,2,6,2,2,495
6,"P.S. LAMKAUA DUBEPUR R.NO.1",468,403,0,871,272,235,0,507,507,0,13,189,211,64,1,2,1,1,1,0,2,4,6,9,3,0,507
7,"P.S. RAJUPUR AKDALA R.NO.1",278,220,0,498,142,153,0,295,295,0,15,78,151,28,2,0,0,0,1,2,2,1,0,11,3,1,295
8,"P.S. SALIMPUR GRENT R.NO.1",441,379,0,820,243,213,0,456,456,0,35,105,255,44,0,3,1,0,0,0,0,1,2,4,4,2,456
9,"P.S. BARAULA R.NO.1",853,741,0,1594,424,401,0,825,825,0,40,144,325,253,5,4,1,0,3,3,0,1,9,23,5,9,825
10,"P.S. JAFARPUR R.NO.1",485,449,0,934,290,279,0,569,569,0,18,159,281,87,4,4,0,0,1,0,2,1,2,2,4,4,569
11,"P.S. NEURI MANORATHPUR R.NO.1",408,349,0,757,243,216,0,459,459,0,16,62,310,46,1,0,0,1,1,0,2,1,6,10,1,2,459
12,"P.S. KODARI R.NO. 1",280,246,0,526,163,149,0,312,312,0,11,77,142,56,0,2,0,0,0,0,2,1,4,10,3,4,312
13,"P.S. KARAUTE ATIRIKT R.NO.1",279,233,0,512,153,142,0,295,295,0,7,98,167,19,0,0,0,1,0,0,0,0,0,2,0,1,295
14,"P.S. PADUMRA R.NO. 1",523,455,0,978,286,234,0,520,520,0,17,152,261,45,1,2,0,0,1,1,4,2,7,14,7,6,520
15,"P.S. FULAUNA R.NO. 1",711,603,0,1314,342,312,0,654,654,0,61,197,329,35,0,2,0,0,3,1,3,1,2,10,5,5,654
16,"P.S. MAMARKHA R.NO.1",292,230,0,522,182,134,0,316,316,0,4,32,212,52,1,1,0,0,1,1,1,0,2,5,0,4,316
17,"P.S. DEVKALI R.NO.1",642,577,0,1219,349,326,0,675,675,0,31,249,213,151,0,3,0,1,3,0,3,2,4,7,4,4,675
18,"P.S. SARANGPUR R.NO.1",653,585,0,1238,393,328,0,721,721,0,9,245,322,122,4,1,0,1,0,0,2,1,4,6,2,2,721
19,"P.S. BAITHU R.NO.1",555,459,0,1014,337,257,0,594,594,0,26,238,284,30,1,1,0,1,0,0,3,1,1,3,4,1,594
20,"P.S. BHAGVANPUR R.NO.1",692,591,0,1283,332,308,0,640,640,0,34,195,273,99,4,4,0,0,3,0,7,4,3,10,3,1,640
21,"P.S. DHUDHU R.NO.1",574,565,0,1139,281,328,0,609,609,0,12,108,164,268,6,3,0,0,2,0,5,1,5,12,9,14,609
22,"P.S. DHUDHU R.NO.2",482,434,0,916,263,273,0,536,536,0,10,114,301,89,2,5,1,0,1,0,2,2,3,5,1,0,536
23,"P.S. LAKHAICHA R.NO.1",448,414,0,862,301,250,0,551,551,0,10,188,283,33,1,0,0,0,0,2,8,2,4,9,5,6,551
24,"PANCHAYAT BHAWAN FULVARI R.NO.1",293,239,0,532,150,156,0,306,306,0,2,31,15,239,2,1,0,0,1,0,1,2,1,6,0,5,306
25,"P.S. AKODIHI R.NO.1",550,485,0,1035,312,321,0,633,570,0,7,130,198,245,4,6,1,1,3,1,3,3,4,8,8,11,633
26,"INTAR COLLAGE GAURA R.NO.1",783,749,1,1533,551,300,0,851,851,0,12,187,534,64,1,2,1,3,2,0,1,4,8,17,6,9,851
27,"P.S. ARVAL KIRI KARVAT R.O. 1",381,331,0,712,233,232,0,465,465,0,30,13,244,141,4,4,1,0,0,2,0,1,4,12,1,8,465
28,"P.S. ARVAL KIRI KARVAT ATIRIKT R.",588,511,0,1099,368,280,0,648,648,0,38,274,229,79,1,1,2,1,1,0,7,2,0,9,3,1,648
29,"P.S. KHARSOMA R.NO. 1",706,599,0,1305,368,365,0,733,733,0,14,112,242,334,1,3,0,2,3,0,1,2,3,9,1,6,733
30,"P.S. KHARSOMA R.NO.2",415,373,0,788,218,173,0,391,391,0,8,123,176,60,2,2,0,1,0,1,3,1,2,8,1,3,391
31,"P.S.PAKHANPUR R.NO. 1",591,528,0,1119,341,315,0,656,656,0,9,160,313,141,1,1,2,1,3,3,3,0,2,11,2,4,656
32,"INTAR COLLAGE NATAULI KHURD R.N.1",447,404,0,851,250,212,0,462,462,0,15,126,266,34,1,1,0,0,1,0,1,1,2,10,1,3,462
33,"INTAR COLLAGE NATAULI KHURD R.NO2",258,225,0,483,163,142,0,305,305,0,5,107,109,71,1,1,1,2,0,0,0,0,2,5,1,0,305
34,"PANCHAYAT BHAWAN NATAULI KALA",273,245,0,518,161,140,0,301,301,0,10,83,175,9,0,4,0,0,0,0,5,2,3,5,3,2,301
35,"D.K.L.MA.SCHOOL MADANPUR NARAYANPUR",373,307,0,680,182,178,0,360,200,0,4,70,176,91,1,0,2,1,0,0,1,4,3,2,2,3,360
36,"P.S. BHAWAN MADANPUR R.NO.1",280,244,0,524,162,153,0,315,315,0,19,143,148,0,1,0,0,0,1,0,1,0,0,1,0,1,315
37,"P.S. DAMODRA R.NO.1",585,475,0,1060,388,314,0,702,702,0,11,88,348,228,0,1,0,1,1,0,3,1,2,13,1,4,702
38,"SU.INTAR COLLAGE PALIYA R.NO.1",551,490,0,1041,336,294,0,630,630,0,5,194,299,110,0,2,2,0,0,0,0,3,3,7,3,2,630
39,"SU.INTAR COLLAGE PALIYA R.NO.2",415,352,0,767,274,188,0,462,462,0,6,156,154,140,0,0,1,0,0,0,1,0,2,2,0,0,462
40,"P.S. MALVA R.NO. 1",371,317,0,688,207,222,0,429,429,0,15,44,224,111,4,4,1,1,0,1,7,2,2,6,6,1,429
41,"P.S. DARJIPUR R.NO.1",411,342,0,753,266,271,0,537,537,0,6,70,174,275,2,1,0,0,1,0,1,0,2,4,0,1,537
42,"KANYA JU.HIGH SCHOOL DIHDAGGUPUR R.NO.1",460,385,0,845,238,233,0,471,471,0,10,172,219,32,2,2,0,0,0,0,5,8,1,5,5,10,471
43,"KANYA JU.HIGH SCHOOL DIHDAGGUPUR R.NO.2",541,470,0,1011,236,210,0,446,446,0,9,34,383,8,1,1,0,0,0,1,2,0,0,6,1,0,446
44,"KANYA JU.HIGH SCHOOL DIHDAGGUPUR R.NO.3",706,588,0,1294,335,314,0,649,649,0,15,267,256,48,1,5,0,0,1,4,9,5,6,14,8,10,649
45,"KANYA P.S. DIHDAGGUPUR R.NO.1",926,754,0,1680,500,427,0,927,867,0,16,355,395,104,1,4,3,0,1,0,5,2,10,13,8,10,927
46,"P.S. GADAULI R.NO.1",547,455,0,1002,277,284,0,561,558,0,19,175,202,140,2,3,3,3,0,1,1,0,2,3,4,3,561
47,"P.S. GHADAULI R.NO.1",462,421,1,884,264,261,0,525,525,0,16,235,210,32,3,3,0,1,0,4,0,0,5,6,6,4,525
48,"P.S. PINDORAN R.NO.1",562,463,0,1025,225,250,0,475,475,0,11,145,85,217,1,0,2,0,0,1,2,2,0,3,1,5,475
49,"P.S. PIPRA R.NO.1",586,516,0,1102,413,353,0,766,752,0,8,224,414,71,3,1,0,2,0,2,0,2,5,10,9,15,766
50,"P.S. MISHAULI R.NO.1",571,470,0,1041,358,267,0,625,625,0,7,121,437,38,1,3,2,0,1,0,2,0,2,8,2,1,625
51,"P.S. SAIDPUR R.NO.1",326,286,0,612,247,198,0,445,445,0,13,102,236,70,1,1,1,2,0,0,0,2,3,9,1,4,445
52,"P.S. AJIJPUR R.NO.1",334,294,0,628,145,158,0,303,303,0,9,52,56,182,2,0,0,0,0,0,0,0,1,0,1,0,303
53,"P.S. MAHADEVPUR R.NO.1",326,287,0,613,212,197,0,409,409,0,8,50,304,41,0,0,0,0,0,0,1,0,0,5,0,0,409
54,"P.S. BIDI R.NO.1",289,245,0,534,193,177,0,370,370,0,9,121,156,66,1,1,0,0,1,0,1,0,7,4,1,2,370
55,"P.S. SURAULI   R.NO.1",673,538,0,1211,365,298,0,663,663,0,10,236,254,134,0,2,1,2,0,1,4,1,4,9,3,2,663
56,"P.S. SURAULI R.NO.2",787,611,0,1398,389,332,0,721,721,0,5,69,116,502,4,0,0,0,0,2,3,10,2,2,1,5,721
57,"P.S. SURAULI R.NO.3",767,615,0,1382,277,397,0,674,674,0,17,208,141,285,3,3,1,0,0,1,4,1,2,6,1,1,674
58,"P.S. UDHARPUR R.NO.1",603,524,0,1127,325,405,0,730,730,0,14,240,422,3,2,1,2,0,0,0,2,2,9,19,5,9,730
59,"P.S. UDHARPUR  R.NO.2",549,500,0,1049,312,290,0,602,602,0,15,262,286,5,1,2,0,0,0,2,1,2,4,12,6,4,602
60,"P.S. MADHAOPUR CHHATAUNA R.NO.1",738,675,0,1413,425,287,0,712,712,0,17,198,389,76,1,2,3,1,1,1,1,0,5,7,6,4,712
61,"P.S.SAHADATPUR R.NO.2",755,613,1,1369,362,442,0,804,804,0,15,154,279,298,5,2,1,2,0,1,4,2,14,15,6,6,804
62,"P.S. JASAPARA R.NO.1",690,632,0,1322,454,357,0,811,811,0,17,220,472,66,1,3,1,1,0,1,7,2,8,9,2,1,811
63,"P.S. JASAPARA R.N.2",657,578,0,1235,388,331,0,719,719,0,8,114,549,28,1,2,0,0,0,0,1,1,0,9,3,3,719
64,"P.S. JASAPARA R,.NO.3",217,202,0,419,134,123,0,257,257,0,4,151,92,3,0,0,0,0,0,0,0,0,1,4,2,0,257
65,"P.S.DOMAPARA R.NO.1",531,462,0,993,350,299,0,649,649,0,9,222,282,123,1,1,0,0,0,0,3,1,1,4,1,1,649
66,"P.S. BARUI R.NO. 01",485,435,0,920,235,235,0,470,470,0,10,139,246,16,0,2,6,3,1,2,3,3,6,25,3,5,470
67,"P.S. AMILIYA BISUI R.NO.1",383,340,0,723,248,227,0,475,475,0,7,88,216,121,0,2,11,0,0,2,4,5,3,14,1,1,475
68,"P.S. BAHAUDDINPUR R.NO.1",752,661,0,1413,311,394,0,705,705,0,16,72,517,37,4,8,5,0,1,5,3,6,7,17,2,5,705
69,"P.S. BAHAUDDINPUR R.NO.2",339,277,0,616,210,177,0,387,387,0,12,202,148,8,3,1,0,0,0,0,0,0,4,2,4,3,387
70,"P.S. RAHILPARA R.NO.1",305,233,0,538,199,155,0,354,354,0,22,110,212,2,0,1,0,0,0,0,0,0,0,5,2,0,354
71,"P.S. GUREGAON R.NO.01",767,677,0,1444,414,403,0,817,817,0,19,208,516,15,1,2,16,1,0,1,4,3,5,12,8,6,817
72,"INTAR COLLAGE BELAHRI R.NO.1",1016,828,0,1844,473,489,0,962,962,0,22,286,495,111,3,2,4,4,1,1,8,1,7,8,5,4,962
73,"P.S. BELAHRI R.NO.2",937,763,0,1700,442,391,0,833,833,0,18,129,238,402,4,3,1,3,1,2,3,3,5,14,1,6,833
74,"P.S. BELAHRI R.NO.3",367,341,0,708,184,192,0,376,376,0,8,222,122,17,0,0,0,0,0,0,1,0,1,4,0,1,376
75,"INTAR COLLAGE BELAHRI R.NO.4",324,276,0,600,205,189,0,394,394,0,15,184,135,29,1,2,1,6,1,1,1,0,6,5,4,3,394
76,"P.S.GOPALPUR R.NO1",378,344,0,722,217,214,0,431,431,0,7,83,304,27,1,1,0,0,0,0,2,0,1,5,0,0,431
77,"P.S. ARJUNPUR R.NO.1",580,485,0,1065,308,298,0,606,606,0,14,223,187,146,3,3,2,1,0,2,0,0,5,13,3,4,606
78,"P.S. KOLHUAMAOO",459,388,0,847,224,292,0,516,516,0,38,181,204,63,3,1,7,1,2,1,5,0,0,6,1,3,516
79,"P.S. BASUPUR R.NO. 1",451,350,0,801,233,199,0,432,432,0,11,196,194,5,0,0,1,0,0,1,4,1,1,8,4,6,432
80,"P.S. DAMODARPUR R.NO. 1",487,421,0,908,276,240,0,516,516,0,14,209,259,18,0,0,0,0,0,0,8,0,2,5,1,0,516
81,"P.S. DHANAUDIH R.NO.1",629,538,0,1167,370,347,0,717,717,0,57,216,247,146,2,3,2,0,1,1,3,1,5,12,6,15,717
82,"P.S. BARAUSA R.NO.1",777,644,0,1421,421,329,0,750,750,0,22,310,275,98,2,0,1,0,0,2,5,2,4,9,13,7,750
83,"P.S. BARAUSA  R.NO. 2",771,695,0,1466,384,311,0,695,695,0,17,200,326,124,2,3,1,1,2,4,2,0,1,6,3,3,695
84,"E.COLLAGE  BARAUSA R.NO.3",561,492,0,1053,277,255,0,532,232,0,8,137,305,49,1,3,0,0,0,1,7,0,2,15,1,3,532
85,"P.S. BARAUSA R.NO.2",704,568,0,1272,350,297,0,647,647,0,18,264,301,34,2,3,1,3,4,1,2,0,2,10,2,0,647
86,"P.S. RAMPU R.NO.1",410,336,0,746,242,210,0,452,452,0,39,136,150,99,1,0,2,1,1,1,10,0,5,3,1,3,452
87,"P.S. PANDEPUR R.NO.1",679,545,0,1224,344,318,0,662,662,0,14,245,310,58,0,6,3,0,1,2,5,2,3,4,5,4,662
88,"P.S. MIRPUR SARAIYA R.NO. 1",755,583,0,1338,365,257,0,622,622,0,10,264,243,78,3,2,2,1,1,2,2,1,4,7,1,1,622
89,"P.S. MIRPUR SARAIYA R.NO.2",417,317,0,734,237,194,0,431,431,0,6,104,277,29,1,1,0,0,0,0,3,0,2,4,3,1,431
90,"JU.HIGH. ATHAISI R.NO1",674,586,0,1260,356,329,0,685,685,0,26,241,349,36,2,1,1,0,1,0,2,3,2,13,6,2,685
