"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KESHRI DEVI","2 - NAND GOPAL GUPTA NANDI","3 - SHYAMA CHARAN GUPTA","4 - KUNWAR REWATI RAMAN SINGH ALIAS MANI","5 - MOHD. AMEEN AZHAR ANSARI","6 - ADARSH SHASTRI","7 - GAYTRI PRASAD","8 - CHANDRA PRAKASH TIWARI ALIAS C. P. TIWARI ADVOCATE","9 - NISTHA DEV MAURYA","10 - MAHENDRA KUMAR","11 - SHYAM SUNDAR DAS","12 - RAJENDRA PRASAD","13 - WAHID ALI ALIAS WAJID ALI","14 - SANJAY ROBINSON","15 - AJEET KUMAR","16 - DRAUPADI DEVI","17 - PARMANAND","18 - BRIJESH KUMAR","19 - SHYAM CHARAN","20 - SHIV PRASAD AGRAHARI","21 - SHAILENDRA KUMAR PRAJAPATI","22 - HIRA LAL","23 - HANSRAJ","24 - None of the Above","Total Votes Secured"
1,"JUNIOR HIGH SCHOOL PANDUA EAST",592,519,0,1111,283,232,0,515,514,0,176,95,87,126,0,3,2,1,1,1,1,0,1,3,4,5,1,1,2,1,1,2,0,1,515
2,"JUNIOR HIGH SCHOOL PANDUA WEST",373,283,0,656,121,98,0,219,219,0,64,35,33,56,0,2,0,0,0,0,3,1,2,2,3,5,2,0,2,2,1,0,0,6,219
3,"ZILA PARISHAD PRA0 PA0 PRATAPPUR",412,387,0,799,268,235,0,503,503,0,63,63,134,75,3,4,4,2,1,0,1,1,3,43,1,3,2,0,4,1,1,90,3,1,503
4,"ZILA PARISHAD PRA0 PA0 DERABARI",652,527,0,1179,342,257,0,599,599,0,290,57,145,62,1,0,4,0,4,2,1,2,1,3,5,5,4,1,0,2,0,0,6,4,599
5,"ZILA PARISHAD PRA0 PA0 SEMARI TARHAR",512,415,1,928,324,251,0,575,575,0,266,57,116,72,0,1,0,3,2,13,0,1,0,4,3,4,9,4,4,0,0,10,1,5,575
6,"ZILA PARISHAD PRA0 PA0 NAUDHIYA TARHAR",767,618,0,1385,443,351,0,794,794,0,280,54,231,187,0,2,2,0,1,0,1,0,0,2,3,13,11,0,2,1,2,0,0,2,794
7,"ZILA PARISHAD PRA0 PA0 AMILIYA TARHAR EAST",582,519,0,1101,340,301,0,641,641,0,169,42,175,210,2,6,1,0,1,0,0,2,2,1,4,12,5,2,0,1,1,0,0,5,641
8,"ZILA PARISHAD PRA0 PA0 AMILIYA TARHAR WEST",551,451,0,1002,308,234,0,542,542,0,110,36,225,66,2,3,6,5,0,2,2,0,5,24,2,17,3,1,3,2,0,22,4,2,542
9,"ZILA PARISHAD PRA0 PA0 MAJHIYARI AMAD CHAYAL",517,387,0,904,285,209,0,494,494,0,57,111,255,43,2,0,0,1,0,2,1,0,0,0,1,4,0,1,6,4,2,0,1,3,494
10,"ZILA PARISHAD PRA0 PA0 BELA MUNDI EAST",492,356,0,848,269,191,0,460,430,0,219,71,109,27,1,0,1,0,1,1,0,1,2,2,2,14,4,1,3,0,0,0,0,1,460
11,"ZILA PARISHAD PRA0 PA0 BELA MUNDI WEST",428,431,0,859,195,173,0,368,368,0,135,77,112,29,1,0,2,0,4,1,1,0,0,2,0,1,0,1,0,0,1,0,0,1,368
12,"ZILA PARISHAD PRA0 PA0 PACHVAR",611,460,0,1071,232,212,0,444,444,0,71,33,145,161,4,10,1,0,1,1,1,1,1,1,0,3,2,0,0,1,1,1,2,3,444
13,"ZILA PARISHAD PRA0 PA0 GOJHVAR",489,396,0,885,235,194,0,429,429,0,131,36,150,87,3,0,0,0,1,4,1,0,1,0,1,5,3,2,0,3,1,0,0,0,429
