"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR HUSAIN","2 - NAWAB KAZIM ALI KHAN","3 - NASEER AHMAD KHAN","4 - DR. NEPAL SINGH","5 - JANNAT NISHA","6 - VIJENDRA SINGH","7 - SYED SALMAN ALI","8 - AKBAR MASOOD","9 - JAGDISH SARAN SAGAR","10 - JAGMOHAN","11 - TEJPAL SINGH","12 - NAVED MIAN","13 - None of the Above","Total Votes Secured"
32,"KHWAJA MEMORIAL GIRLS JUNIOR HIGH SCHOOL ROOM NO 4 BAJARIYA FATEH ALI KHAN",479,415,0,894,310,190,0,500,500,0,4,124,361,5,1,0,0,0,1,0,0,0,4,500
33,"KHWAJA MEMORIAL GIRLS JUNIOR HIGH SCHOOL ROOM NO 5 BAJARIYA FATEH ALI KHAN",445,418,0,863,288,190,0,478,478,0,2,164,306,2,0,0,1,0,1,0,0,0,2,478
34,"RAM PRASAD GIRLS HIGHER SECONDERY ROOM NO 1 SCHOOL PURANAGANJ",592,493,0,1085,324,246,0,570,541,0,2,63,380,117,1,0,0,0,1,1,1,1,3,570
35,"RAM PRASAD GIRLS HIGHER SECONDERY SCHOOL तववउ दव 2 PURANAGANJ",537,458,0,995,309,248,0,557,533,0,7,52,155,336,0,0,1,0,0,1,1,0,4,557
36,"GOVT ORIENTEL COLLEGE ROOM NO 1 PURANA CLUB GHAR",473,396,0,869,402,225,0,627,627,0,1,98,518,2,0,0,3,0,0,0,0,1,4,627
37,"GOVT ORIENTEL COLLEGE ROOM NO 2  PURANA CLUB GHAR",462,427,0,889,331,186,0,517,508,0,0,85,429,0,0,0,1,0,0,0,0,0,2,517
38,"SHAMSHI GIRLS INTER COLLEGE ROOM NO 1  KUNCH LALA MIAN",764,677,0,1441,424,290,0,714,705,0,2,212,485,4,0,0,2,0,0,0,0,1,8,714
39,"SHAMSHI GIRLS INTER COLLEGE ROOM NO 2 KUNCH LALA MIAN",552,527,0,1079,340,305,0,645,638,0,1,138,494,4,0,1,1,0,0,0,0,1,5,645
40,"NEW LIGHT PUBLIC SCHOOL ROOM NO-1 BILASPUR GATE",632,636,0,1268,277,255,0,532,532,0,1,98,329,91,3,0,1,0,2,0,2,0,5,532
41,"NEW LIGHT PUBLIC SCHOOL ROOM NO-2 BILASPUR GATE",688,647,0,1335,320,248,0,568,549,0,1,221,340,3,0,1,0,0,0,1,0,0,1,568
