"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - REKHA","2 - ANAND BHADAURIYA","3 - AJAY VERMA","4 - ANAND KUMAR","5 - KIRTI SINGH","6 - SWAMI DAYAL","7 - DAUD AHMAD","8 - KUWAR JITIN PRASAD","9 - LEKHRAJ","12 - RAM BALI","13 - RAJENDRA KUMAR SINGH","14 - SUKHVINDRA SINGH","15 - VIVEK MISHRA","16 - VIJAY KUMAR TIWARI","17 - MALA DEVI","18 - None of the Above","Total Votes Secured"
1,"P.S. HAIDERPUR",418,370,0,788,409,245,0,654,240,0,32,285,2,4,0,2,264,49,1,2,0,10,0,1,1,1,654
2,"P.S. KATKA",722,623,0,1345,471,379,0,850,9,0,96,337,3,10,4,6,231,134,5,4,1,5,4,2,0,8,850
3,"P.S. BHANWAPUR",485,432,0,917,366,299,0,665,660,0,62,292,0,4,1,3,172,114,2,0,1,3,1,3,0,7,665
4,"J.H.S. BHANWAPUR R.N. 1",438,385,0,823,341,281,0,622,10,0,49,367,3,7,1,7,136,33,3,0,2,6,1,0,0,7,622
5,"P.S. BANIHAR",658,562,0,1220,393,339,0,732,652,0,126,80,1,4,2,1,292,201,2,1,2,7,5,2,2,4,732
6,"P.S. GURDHAPA R.N. 1",828,723,0,1551,638,502,0,1140,16,0,293,153,3,0,2,0,394,257,5,7,0,8,3,3,3,9,1140
7,"P.S. GURDHAPA R.N. 2",436,358,0,794,344,228,0,572,395,0,171,136,0,4,1,2,194,46,1,0,1,0,3,3,1,9,572
8,"P.S. BAKIPUR",433,398,0,831,356,324,0,680,10,0,236,98,1,4,3,1,192,128,4,1,0,4,0,2,1,5,680
9,"P.S. DADWARA",363,326,0,689,270,232,0,502,27,0,194,78,1,6,0,0,111,106,3,0,0,0,0,0,1,2,502
10,"P.S. BAROSA",810,743,0,1553,605,543,0,1148,10,0,73,495,1,6,0,3,496,58,2,1,1,4,1,3,1,3,1148
11,"P.S. PARSEHRA SHARIFPUR EAST",699,624,0,1323,476,470,0,946,206,0,345,317,16,8,2,4,166,57,13,2,1,4,0,2,1,8,946
12,"P.S. PARSEHRA SHARIFPUR WEST",590,535,0,1125,482,376,0,858,127,0,289,185,33,7,0,3,275,48,7,0,1,2,0,4,1,3,858
13,"P.S. BHATPURWA R.N. 1",456,383,0,839,352,258,0,610,9,0,104,256,0,5,0,7,125,56,29,4,1,2,3,1,0,17,610
14,"P.S. BHATPURWA R.N. 2",388,374,0,762,314,271,0,585,48,0,191,185,3,3,0,1,125,59,5,1,3,1,3,1,1,3,585
15,"B. V. M. HARGAON R.N.1",785,671,0,1456,456,350,0,806,25,0,510,71,5,1,2,0,134,76,1,0,0,0,1,0,1,4,806
16,"B. V. M. HARGAON R.N.2",701,613,0,1314,412,305,0,717,41,0,468,28,4,1,0,0,44,164,1,0,0,1,1,0,1,4,717
17,"B. V. M. HARGAON R.N.3",674,601,0,1275,456,385,0,841,839,0,354,171,1,4,1,0,206,85,9,1,1,2,2,0,0,4,841
18,"P.S. PIPRA MILL HARGAON R.N.1",622,563,0,1185,435,293,0,728,99,0,29,246,1,2,0,1,172,273,0,0,0,0,1,1,0,2,728
19,"P.S. PIPRA MILL HARGAON R.N.2",370,323,0,693,249,170,0,419,170,0,208,98,0,0,1,0,36,67,3,0,1,0,2,0,1,2,419
20,"P.S. PIPRA MILL  R.N. 3",509,464,0,973,361,302,0,663,218,0,282,33,2,1,1,0,123,211,2,0,0,2,2,2,0,2,663
21,"P.S. BENIPUR RAJA",505,439,0,944,381,301,0,682,20,0,301,110,4,6,0,4,122,116,8,1,2,0,2,1,2,3,682
22,"P.S. NOORPUR",239,205,0,444,192,160,0,352,13,0,155,9,3,0,1,0,91,88,3,1,0,0,0,0,0,1,352
23,"P.S. SURJIPARA",601,558,0,1159,477,390,0,867,2,0,190,435,6,13,0,3,134,57,9,3,1,3,4,0,1,8,867
24,"J.H.S. KYOTI KALAN R.N.1",799,638,0,1437,559,441,0,1000,816,0,89,325,5,17,2,0,51,495,1,2,4,2,1,4,0,2,1000
25,"J.H.S. KYOTI KALAN R.N.2",876,707,0,1583,570,462,0,1032,10,0,355,408,4,11,3,9,170,37,4,4,2,3,5,4,2,11,1032
26,"P.S. DOSTPUR MAJHGAWAN",570,529,0,1099,523,333,0,856,10,0,113,398,3,6,3,10,274,25,3,0,1,6,1,6,4,3,856
27,"P.S. BHIKPUR R.N. 1",490,438,0,928,398,316,0,714,34,0,315,76,4,2,1,2,176,122,10,0,1,0,1,1,0,3,714
28,"P.S. PEETPUR",568,516,0,1084,430,351,0,781,10,0,306,79,1,3,1,3,267,101,6,0,0,2,4,2,0,6,781
29,"P.S. BUDHANPUR R.N. 1",550,505,0,1055,421,399,0,820,45,0,157,300,5,7,3,1,204,128,2,1,2,3,0,0,0,7,820
30,"P.S. RAHI",678,593,0,1271,424,405,0,829,10,0,277,234,2,14,3,5,143,111,7,0,2,2,1,0,1,27,829
31,"P.S. TURTIPUR",707,620,0,1327,475,408,0,883,28,0,58,367,1,6,1,0,300,140,0,1,1,0,1,1,1,5,883
32,"P.S. ISMAILPUR HEMLET JALALIPUR EAST",682,594,0,1276,474,398,0,872,16,0,154,269,1,2,1,3,179,246,7,3,1,1,0,0,1,4,872
