"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KRISHNA PRATAP","2 - PARASNATH YADAV","3 - RAVI KISHAN","4 - SUBHASH PANDEY","5 - ANUPATI RAM YADAV","6 - ARVIND","7 - GULAB CHAND DUBEY","8 - PRAMOD KUMAR ALIAS PRAMOD BHAI PATEL","9 - PREMCHAND BIND","10 - DR. K. P. YADAV","11 - RAVISHANKAR MAURYA","12 - RAJESH PRAJAPATI","13 - SHAHABUDDIN","14 - SARFARAJ","15 - ANIL KUMAR SINGH","16 - JOGENDRA PRASAD","17 - DHANANJAY SINGH","18 - YOGISH CHANDRA DUBEY","19 - RAVIKANT YADAV","20 - VIMAL KUMAR YADAV","21 - DR. SANJIVAN BIND","22 - None of the Above","Total Votes Secured"
1,"P S BALHAMAU NORTH SIDE",687,546,0,1233,297,245,0,542,41,0,327,22,31,79,0,0,0,2,1,1,2,0,3,2,1,8,60,2,0,0,0,1,542
2,"P S BALHAMAU SOUTH SIDE",561,432,0,993,227,239,0,466,195,0,248,59,17,99,3,0,0,0,0,6,0,0,2,1,0,4,21,1,2,1,0,2,466
3,"JHS KUSMAUL",417,354,0,771,207,187,0,394,394,0,248,15,28,39,2,1,0,0,0,4,0,1,5,1,0,8,38,1,0,0,1,2,394
4,"P S KUNDAHA",552,499,0,1051,244,268,0,512,506,0,241,22,120,85,1,1,1,2,0,7,5,0,3,1,0,6,12,0,4,0,0,1,512
5,"P S KUNDAHA",541,441,0,982,200,217,0,417,417,0,287,53,26,26,0,1,1,0,0,4,0,0,1,0,1,3,8,0,2,0,1,3,417
6,"P S BHILAMPUR EAST SIDE",821,677,0,1498,354,335,0,689,685,0,399,32,94,106,0,0,0,0,0,3,2,0,3,1,1,6,39,0,1,0,1,1,689
7,"P S BHILAMPUR WEST SIDE",336,270,0,606,185,132,0,317,317,0,175,41,20,36,0,2,1,1,0,0,0,0,0,0,0,0,40,0,1,0,0,0,317
8,"PANCHAYAT BHAWAN GUANVA",381,308,0,689,180,222,0,402,200,0,189,16,15,101,0,2,0,0,1,3,1,0,2,0,2,2,60,0,3,5,0,0,402
9,"P S GHATAMPUR",637,597,0,1234,326,306,0,632,2,0,359,65,65,88,6,1,1,2,0,11,2,2,3,0,7,8,9,1,1,1,0,0,632
10,"JHS BELWAR NORTH SIDE",244,226,0,470,118,111,0,229,229,0,77,3,6,121,0,1,2,0,0,7,1,0,1,0,1,2,4,0,1,2,0,0,229
