"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KALRAJ MISHRA","2 - NIYAJ AHMAD","3 - BALESHWAR YADAV","4 - SABHA KUNWAR","5 - AROON KUMAR TRIPATHI","6 - AWADH KISHOR NIGAM","7 - INTZARUL","8 - UMESH","9 - RAJU","10 - RAM PRAVESH","11 - RAM PREET","12 - VED PRAKASH MALL","13 - SHYAM SUNDAR","14 - BARKHA KINNAR","15 - HEMANT KISHOR SRIVASTAVA","16 - None of the Above","Total Votes Secured"
1,"P.V. MADARAPALI BULAKI",607,570,0,1177,292,357,0,649,649,0,248,193,171,10,3,2,1,0,7,5,0,2,0,1,0,6,649
2,"ISLAMIYA .P.V. POKHARBHINDA ISHWARIPRASAD",637,565,1,1203,270,345,0,615,615,0,112,370,99,14,3,0,1,2,4,1,0,0,6,2,0,1,615
3,"P.V. VISHUNPUR BHARATHRAY",416,313,1,730,208,226,0,434,434,0,81,160,163,6,1,0,0,2,2,1,0,0,3,3,5,7,434
4,"P.V. SAHABAJPUR",703,568,0,1271,407,354,0,761,761,0,367,78,270,12,5,0,2,0,4,7,1,0,2,5,3,5,761
5,P.V.DIGHVA,326,260,0,586,140,149,0,289,289,0,103,109,68,4,0,0,0,0,0,0,1,1,2,0,1,0,289
6,"P.V. RUSTAMPUR",390,322,0,712,184,247,0,431,431,0,333,58,30,5,0,0,0,0,0,1,0,1,0,0,1,2,431
7,"J.H.S. KESHARPUR",705,627,0,1332,387,438,0,825,825,0,41,540,198,21,6,0,3,0,7,0,0,0,3,0,2,4,825
8,"P.V. KARMAHA",448,412,0,860,237,250,0,487,487,0,134,227,99,13,1,0,0,0,1,0,1,1,0,3,2,5,487
9,"J.H.S. SARANGPUR",338,298,0,636,187,208,0,395,395,0,170,97,101,10,0,0,0,1,3,1,2,0,2,3,2,3,395
10,"P.V. HIRANANDPUR .R.N.1",667,587,0,1254,364,336,0,700,700,0,357,231,60,22,11,0,0,0,1,3,1,1,3,2,3,5,700
11,"P.V. HIRANANDPUR .R.N.2",365,300,0,665,189,155,0,344,344,0,288,27,9,3,0,1,1,0,1,4,1,0,0,3,1,5,344
12,"P.V. MADHOPUR",598,442,0,1040,278,265,0,543,543,0,367,99,45,12,2,0,0,0,3,3,1,0,1,2,3,5,543
13,"P.V. MUNDERA.R.N.1",474,398,0,872,231,220,0,451,451,0,208,106,100,13,0,0,1,0,5,3,6,1,0,1,2,5,451
14,P.V.MUNDERA.R.N.2,403,365,0,768,222,226,0,448,448,0,328,19,83,2,2,0,0,2,1,4,2,0,0,2,0,3,448
15,"P.V.KARANPUR URF PACHFEDA .R.N.1",477,408,0,885,241,266,0,507,507,0,389,95,8,2,0,0,0,1,0,2,0,1,0,0,1,8,507
16,"P.V.KARANPUR URF PACHFEDA .R.N.2",418,354,0,772,205,199,0,404,404,0,111,149,126,7,1,0,0,0,1,2,0,0,1,2,0,4,404
17,"P.V. RAGHOPUR",248,222,0,470,179,121,0,300,300,0,90,13,180,6,3,0,0,0,0,2,0,0,0,5,0,1,300
18,"A.I.C. DUMARI.R.N.1",552,457,5,1014,225,216,0,441,441,0,76,223,90,36,1,0,0,1,4,0,0,2,1,0,2,5,441
19,"A.I.C. DUMARI.R.N.2",527,453,0,980,265,249,0,514,514,0,108,121,236,24,2,2,0,0,3,4,2,1,1,4,3,3,514
20,"A.I.C. DUMARI.R.N.2",587,534,0,1121,380,353,0,733,733,0,159,292,198,23,1,4,2,2,6,7,3,2,3,4,10,17,733
21,"J.I.C. RAMPUR KARKHANA.R.N.1",402,351,0,753,228,206,0,434,434,0,275,129,16,10,0,0,0,0,0,0,0,0,0,3,0,1,434
22,"J.I.C. RAMPUR KARKHANA.R.N.2",572,464,0,1036,306,283,0,589,589,0,310,79,115,53,1,0,2,2,3,1,2,1,1,2,5,12,589
