"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - GIRISH CHANDRA","2 - YASHWANT SINGH","3 - YASHVIR SINGH","4 - OMPRAKASH RAVI","5 - TEJ SINGH","6 - BHAGWAN DASS RATHOR","7 - MANJU DEVI","8 - VINOD KUMAR","9 - SHARISHTHA KUMAR SINGH","10 - SHEESHRAM SINGH RAVI","11 - SARIKA","12 - ASARPAT SINGH","13 - SHAMSHER","14 - SUNIL","15 - None of the Above","Total Votes Secured"
1,"P.V. KASMABAD",549,467,0,1016,366,330,0,696,696,0,420,228,24,1,2,8,1,4,0,0,1,1,1,2,3,696
2,"P.V. AKBARPUR ASHA URF HAROLI",716,660,0,1376,400,459,0,859,859,0,443,189,99,2,0,1,1,3,1,94,2,5,3,2,14,859
3,"P.V. LAMBAKHEDA ROOM-1",768,703,0,1471,463,469,0,932,932,0,277,258,233,6,1,14,2,0,2,105,2,3,6,9,14,932
4,"P.V. LAMBAKHEDA ROOM-2",248,240,0,488,180,180,0,360,360,0,142,204,4,1,0,4,0,0,1,0,0,0,1,2,1,360
5,"P.V. MAHUPURA",558,538,0,1096,343,512,0,855,855,0,87,362,86,2,8,244,7,8,3,7,0,9,9,10,13,855
6,"P.V. MOHD. ALIPUR INAYAT URF MANGALKHERA ROOM-1",462,440,0,902,259,278,0,537,537,0,253,183,49,1,1,1,0,0,0,30,2,5,2,3,7,537
7,"P.V. MOHD. ALIPUR INAYAT URF MANGALKHERA ROOM-2",737,648,0,1385,328,358,0,686,686,0,339,13,232,1,2,0,0,2,0,50,11,2,5,6,23,686
8,"P.V. BURANPUR ROOM-1",425,363,0,788,270,254,0,524,524,0,104,218,108,2,3,1,0,1,1,72,0,0,2,6,6,524
9,"P.V. BURANPUR ROOM-2",498,432,0,930,330,298,0,628,628,0,213,8,195,3,1,2,1,0,0,202,0,0,0,1,2,628
10,"PURV.MA.V. BUDHANPUR ROOM-1",534,476,0,1010,341,296,0,637,637,0,329,29,151,2,0,1,1,2,2,105,3,0,3,0,9,637
11,"PURV.MA.V. BUDHANPUR ROOM-2",273,274,0,547,210,218,0,428,428,0,6,383,15,1,1,17,0,0,0,4,0,0,1,0,0,428
12,"P.V. PAINDAPUR",590,506,0,1096,386,343,0,729,729,0,157,449,88,4,1,0,0,0,0,17,1,3,3,3,3,729
13,"P.V. SHUMAL KHEDI",269,254,0,523,183,195,0,378,378,0,88,215,27,0,1,1,0,0,0,42,2,0,0,1,1,378
14,"P.V. KHAIKHERA",226,197,0,423,146,135,0,281,281,0,150,122,3,0,0,0,1,0,0,0,0,0,0,0,5,281
15,"P.V. GOVINDPUR",597,556,0,1153,395,369,0,764,764,0,310,141,174,2,1,110,0,3,2,4,0,2,3,4,8,764
16,"P.V. SADAPHAL ROOM-1",668,530,0,1198,353,334,0,687,687,0,145,238,220,5,3,0,0,2,2,48,1,2,3,8,10,687
17,"P.V. SADAPHAL ROOM-2",458,370,0,828,321,263,0,584,584,0,172,365,9,1,1,9,0,1,1,0,7,2,2,4,10,584
18,"P.V. MAGHPUR UDAYCHAND",409,341,0,750,275,244,0,519,519,0,160,215,75,5,1,47,2,1,0,7,4,2,0,0,0,519
19,"P.V. MALAKPUR",640,542,0,1182,419,364,0,783,783,0,273,243,174,2,2,3,0,2,0,70,0,1,1,5,7,783
20,"PANCHAYAT GHAR PITTHAPUR ROOM-1",537,489,0,1026,329,347,0,676,676,0,429,23,168,3,1,2,0,0,2,30,4,1,3,2,8,676
21,"PANCHAYAT GHAR PITTHAPUR ROOM-2",462,389,0,851,201,239,0,440,440,0,56,3,328,1,0,1,0,0,1,41,0,0,0,4,5,440
22,"KIRSHI BEEJ BHANDAR PITTHAPUR ROOM-1",755,590,0,1345,297,306,0,603,603,0,84,7,427,2,0,0,2,0,0,55,14,1,3,3,5,603
23,"KRISHI BEEJ BHANDAR PITTHAPUR ROOM-2",531,462,0,993,227,222,0,449,449,0,81,39,280,1,0,1,0,0,0,39,3,3,1,1,0,449
24,"P.V. PITTHAPUR ROOM-1",776,625,0,1401,368,340,0,708,708,0,385,12,248,0,2,1,0,1,0,45,4,1,2,0,7,708
25,"P.V. PITTHAPUR ROOM-2",593,418,0,1011,247,220,0,467,467,0,200,6,194,1,0,1,0,3,1,42,11,2,1,2,3,467
26,"P.V. PITTHAPUR ROOM-3",410,319,0,729,175,182,0,357,357,0,138,11,156,2,1,0,1,1,0,38,3,0,0,2,4,357
