"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - UPENDRA SINGH","2 - NARAYAN SINGH SUMAN","3 - MAHARAJ SINGH DHANGAR","4 - DR. RAM SHANKAR KATHERIA","5 - ANIL","6 - ANITA","7 - CHANDRA PAL","8 - PREM SINGH","9 - RAMESH","10 - RAVINDRA SINGH","11 - AMAR SINGH","12 - ASHOK KUMAR","13 - OM PRAKASH","14 - DINESH KUMAR GAUTAM","15 - VINOD KUMAR SINGH","16 - None of the Above","Total Votes Secured"
1,"SHANTI PUBLIC SCHOOL K.K.NAGAR KE PECHHE BAI KA BAZAR R.NO.-1",758,601,0,1359,423,313,0,736,726,0,27,25,54,606,2,0,0,0,0,11,0,1,3,1,0,6,736
2,"SHANTI PUBLIC SCHOOL K.K.NAGAR KE PECHHE BAI KA BAZAR R.NO.-2",779,596,0,1375,492,322,0,814,600,0,26,130,57,576,2,0,0,0,2,14,2,0,0,1,0,4,814
3,"SENT MERY INTER COLLEGE BAI KA BAZAR R.NO.-1",617,451,0,1068,371,256,0,627,472,0,52,319,27,211,3,1,0,0,0,2,2,0,1,3,2,4,627
4,"SENT MERY INTER COLLEGE BAI KA BAZAR R.NO.-2",616,460,0,1076,350,205,0,555,202,0,41,122,15,353,2,2,0,1,0,5,2,0,2,0,0,10,555
5,"STUART HA.ME.HA.SE.SCHOOL SIKANDRA R.NO-1",529,393,0,922,349,229,0,578,565,0,29,98,55,383,1,0,1,0,0,6,1,1,1,1,1,0,578
6,"STUART HA.ME.HA.SE.SCHOOL SIKANDRA R.NO-2",858,671,0,1529,470,318,0,788,710,0,38,224,24,477,1,1,0,0,1,16,2,0,1,0,0,3,788
7,"STUART HA.ME.HA.SE.SCHOOL SIKANDRA R.NO-3",813,651,0,1464,478,320,0,798,758,0,23,110,110,515,3,1,0,0,0,16,3,3,3,1,4,6,798
8,"STUART HA.ME.HA.SE.SCHOOL SIKANDRA R.NO-4",371,238,0,609,230,138,0,368,240,0,12,31,85,228,1,0,0,0,0,8,1,0,0,1,0,1,368
9,"STUART HA.ME.HA.SE.SCHOOL SIKANDRA R.NO-5",544,405,0,949,265,192,0,457,457,0,11,40,72,332,0,0,1,0,0,0,0,0,0,0,0,1,457
10,"S.K.L. ME.INT.COLLEGE SIKANDRA R.NO.1",598,416,0,1014,295,185,0,480,480,0,14,83,24,345,2,0,0,0,0,6,0,0,2,0,2,2,480
