"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - CHANDAN SINGH","2 - JAYANT CHAUDHARY","3 - PT. YOGESH KUMAR DWIVEDI","4 - HEMA MALINI","5 - ANUJ KUMAR GARG","6 - PT. UDYAN SHARMA","7 - PARSOTTAM","8 - BHUPENDRA KUMAR  DHANGAR","9 - MAHARAM SINGH","10 - MAHESH PRATAP SHARMA","11 - MOHAN SHYAM","12 - THAKUR HEMENDRA VEER SINGH","13 - OM PRAKASH","14 - PRAMOD KRISHNA","15 - FAKKAR BABA RAMAYANI","16 - BHUDEV","17 - RADHACHARAN","18 - RAM BABU SAINI","19 - SATISH CHANDRA SHARMA","20 - HEMA MALINI","21 - None of the Above","Total Votes Secured"
1,"POORV M.V. SAKRAYA",519,427,0,946,370,273,0,643,579,0,14,146,37,379,3,0,2,0,0,2,0,1,2,0,4,4,17,4,5,20,3,643
2,"PRIMARY SCHOOL NAGLA BIHARI",344,282,0,626,291,197,0,488,439,0,51,10,16,406,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,488
3,"PRIMARY SCHOOL NAGLA SAKRAYA",375,335,0,710,304,275,0,579,521,0,2,109,379,72,1,0,0,0,0,0,0,1,0,2,1,2,1,2,6,1,0,579
4,"PRIMARY SCHOOL BABUGARH",729,587,0,1316,526,353,0,879,791,0,32,124,135,498,7,6,20,2,2,6,2,4,2,3,1,6,6,0,3,17,3,879
5,"VIDYAPEETH INTER COLLEGE VRINDAVAN R.N. 1",760,677,0,1437,422,429,0,851,766,0,8,63,32,723,12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,3,851
6,"VIDYAPEETH INTER COLLEGE VRINDAVAN R.N. 2",836,687,0,1523,513,373,0,886,797,0,14,111,25,677,16,1,2,0,0,2,1,2,3,2,3,4,4,2,0,16,1,886
7,"VIDYAPEETH INTER COLLEGE VRINDAVAN R.N. 3",784,565,1,1350,515,352,0,867,780,0,15,78,28,697,10,2,1,0,0,4,4,6,2,0,2,10,3,1,0,4,0,867
8,"VIDYAPEETH INTER COLLEGE VRINDAVAN R.N. 4",662,466,2,1130,390,277,0,667,600,0,5,31,5,596,20,3,0,0,1,1,0,2,0,0,1,0,0,0,0,1,1,667
9,"VIDYAPEETH INTER COLLEGE VRINDAVAN R.N. 5",893,511,1,1405,401,239,0,640,576,0,20,26,13,541,6,0,3,1,1,1,1,1,3,0,3,5,0,0,1,9,5,640
10,"VIDYAPEETH INTER COLLEGE VRINDAVAN R.N. 6",632,328,0,960,355,183,0,538,484,0,6,27,9,470,5,0,0,0,0,2,1,1,2,1,0,4,0,0,2,6,2,538
11,"VIDYAPEETH INTER COLLEGE VRINDAVAN R.N. 7",814,522,3,1339,401,300,0,701,631,0,11,18,10,625,6,0,0,2,1,0,4,3,6,1,1,0,1,0,1,9,2,701
12,"VIDYAPEETH INTER COLLEGE VRINDAVAN R.N. 8",949,575,1,1525,510,298,0,808,727,0,24,32,44,680,17,0,0,0,0,0,0,0,1,0,0,0,1,0,1,5,3,808
13,"VIDYAPEETH INTER COLLEGE VRINDAVAN R.N. 9",497,441,0,938,331,239,0,570,513,0,16,23,34,464,5,4,2,2,1,1,1,4,4,2,3,2,0,0,0,1,1,570
14,"VIDYAPEETH INTER COLLEGE VRINDAVAN R.N. 10",847,716,0,1563,584,362,0,946,851,0,1,49,470,390,10,9,1,4,2,1,1,1,1,1,0,3,1,0,0,1,0,946
15,"RISHI BALMIK VEER SHIVAJI AND KAMLA NEHARU PRIMARY SCHOOL BAJAJA VRINDAVAN R.N. 1",826,680,0,1506,528,381,0,909,818,0,31,81,163,572,13,1,1,2,1,5,2,3,4,1,4,5,4,1,3,11,1,909
16,"RISHI BALMIK VEER SHIVAJI AND KAMLA NEHARU PRIMARY SCHOOL BAJAJA VRINDAVAN R.N. 2",501,404,0,905,334,214,0,548,493,0,2,48,127,337,11,1,0,0,0,1,1,3,3,4,1,2,0,0,1,5,1,548
17,"RISHI BALMIK VEER SHIVAJI AND KAMLA NEHARU PRIMARY SCHOOL BAJAJA VRINDAVAN R.N. 3",397,320,0,717,255,196,0,451,406,0,3,90,87,236,4,0,1,1,0,4,1,2,0,9,0,1,4,1,0,6,1,451
18,"RISHI BALMIK VEER SHIVAJI AND KAMLA NEHARU PRIMARY SCHOOL BAJAJA VRINDAVAN R.N. 4",589,520,0,1109,427,361,0,788,709,0,8,38,28,689,10,0,0,1,0,0,0,2,0,0,0,2,0,0,1,5,4,788
19,"DHARMASHALA BASANTIBAI SABJI MANDI R.N. 1",730,576,0,1306,432,375,0,807,726,0,6,34,35,662,14,0,2,0,0,0,0,4,4,1,1,5,5,0,1,27,6,807
