"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - BHAL CHANDRA YADAV","2 - BHISM SHANKAR ALIAS KUSHAL TIWARI","3 - ROHIT KUMAR PANDEY","4 - SHARAD TRIPATHI","5 - AFTAB ALAM KHAN","6 - JANTRI LAL CHAUHAN","7 - JYOTI SINGH","8 - PREM PRAKASH","9 - SANT SIROMANI BABOOLAL YADAV MAHARAJ JI","10 - MOHAMMAD ALI","11 - RAVIKANT","12 - RAJMANI","13 - RAJARAM","14 - RAJENDRA KUMAR","15 - LOTAN URF LAUTAN PRASAD","16 - SHABBEER HUSEN","17 - APARNA","18 - AMIT","19 - KRIPANARAYAN RAI","20 - KAILASH NATH BELDAR","21 - JAIYANTRI PRASAD","22 - MOHAMMAD IRFAN","23 - SHAYAM LAL","24 - SUBODH CHANDRA","25 - SURENDRA KUMAR CHAUDHARY","26 - None of the Above","Total Votes Secured"
1,"P.P.KATOKHAR UTTARI  KAKSH",695,583,0,1278,335,340,0,675,675,0,278,176,4,139,2,0,1,0,1,2,0,0,47,2,2,0,2,1,0,3,1,2,2,4,4,2,675
2,"P.P.MUSEPUR KALA  NAYA BHAWAN PURVI KAKSH",804,711,0,1515,457,392,0,849,809,0,160,362,23,178,2,2,2,2,2,8,1,5,66,3,2,5,2,3,0,2,1,4,1,1,10,2,849
3,"P.P.MUSEPUR KALA NAYA BHAWAN PASHCHIMI KAKSH",782,694,0,1476,436,410,0,846,846,209,209,145,15,406,3,1,2,2,5,6,1,2,18,0,3,6,5,1,0,2,0,1,2,2,6,3,846
4,"P.P MOKALPUR (.MUSEPUR KALA)  PURVI KAKSH",892,723,0,1615,469,465,0,934,934,0,254,204,30,383,7,0,1,2,1,3,0,7,10,1,4,4,4,0,1,1,0,1,1,5,5,5,934
5,"P.P. MOKAL  PUR  (MUSEPUR KALA) PASHCHIMI  KAKSH",95,86,0,181,51,46,0,97,93,0,14,27,0,51,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,97
6,"D.P.J.H.S.MAKRAHI PURVI  KAKSH",574,458,0,1032,296,263,0,559,559,0,117,17,16,354,11,1,2,2,0,1,1,3,2,1,1,1,0,1,6,2,1,6,3,2,3,5,559
7,"D.P.J.H.S.MAKRAHI MADHYA R.",219,198,0,417,123,133,0,256,256,0,43,9,7,159,0,17,0,0,0,2,0,1,1,1,0,2,2,1,0,0,0,0,1,2,3,5,256
8,"D,P.J.H.S. MAKRAHI PURVI KAKSH",783,644,0,1427,464,408,0,872,872,0,240,328,11,202,3,2,1,1,1,7,3,8,5,4,7,14,9,8,1,3,4,0,1,3,3,3,872
9,"P.P.SAIDPUR LEDUADEEH",687,586,0,1273,366,396,0,762,760,0,189,291,41,175,6,1,3,0,4,5,2,4,4,3,5,7,4,8,1,0,2,2,0,1,2,2,762
10,"P.P.SARFUDDINPUR DAKSHINI.KAKSH",499,429,0,928,297,255,0,552,552,0,145,81,4,281,1,6,0,1,1,1,2,11,1,1,3,4,1,0,1,0,1,1,0,1,2,2,552
