"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KADIR RANA","2 - PANKAJ AGARWAL","3 - VIRENDER SINGH","4 - DR. SANJEEV KUMAR BALYAN","5 - ANIL KUMAR","6 - CHATAR SINGH KASHYAP","7 - MANGE RAM KASHYAP","8 - MOHAMMED YAMIN","9 - MO. YAMIN","10 - RAJESH DEVI ALIAS RADHIKA BALIYAN","11 - LALIT CHAUHAN","12 - ANKUR","13 - GUFRAN AHMAD","14 - JAGBIR SINGH","15 - NASEEM AHMAD ANSARI","16 - PHOOL SINGH PAL","17 - RAKESH","18 - SHABNAM","19 - SHANDAR GUFRAN","20 - None of the Above","Total Votes Secured"
1,"PRATHMIK VIDYALAYA N.1 PURVI BHAG BALWAKHEDI",659,574,0,1233,513,425,0,938,743,0,143,0,6,776,0,1,0,0,0,3,1,3,1,0,1,0,3,0,0,0,938
2,"PRATHMIK VIDYALAYA N. 1 BEECH KA KAMRA BALWAKHEDI",405,356,0,761,323,278,0,601,395,0,9,1,8,576,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,601
3,"PRATHMIK VIDYALAYA N.1 PASHCHAMI BHAG BALWAKHEDI",470,365,0,835,316,235,0,551,531,0,83,3,4,427,4,1,0,0,0,5,2,0,5,0,1,2,7,1,2,4,551
4,"PRATHMIK VIDYALAYA R0 NO.1 ALIPURA",479,387,0,866,440,309,0,749,749,0,61,5,3,666,0,0,0,0,0,8,0,1,1,0,0,0,0,0,1,3,749
5,"PRATHMIK VIDYALAYA R0 NO. 1 BADH",547,456,0,1003,323,282,0,605,450,0,159,3,33,377,3,0,0,0,0,9,0,1,5,3,1,6,2,0,2,1,605
6,"PRATHMIK VIDYALAYA R0 NO. 1 INDARGARH MAJRA BADH",187,150,0,337,160,126,0,286,227,0,213,0,2,63,1,0,0,0,0,3,0,0,0,0,0,1,1,0,2,0,286
7,"PRATHMIK VIDYALAYA TANDA",656,524,0,1180,591,437,0,1028,1028,0,230,2,21,764,0,0,0,1,0,3,0,0,1,0,1,1,1,0,0,3,1028
8,"JUNIOR HIGH SCHOOL R0 NO. 4 GYANAMAJRA",159,155,0,314,144,122,0,266,266,0,1,0,1,260,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,266
9,"JUNIOR HIGH SCHOOL R0 NO. 5 GYANAMAJRA",696,566,0,1262,483,406,0,889,884,0,162,3,14,699,0,0,0,1,0,1,1,0,1,1,0,1,2,0,1,2,889
10,"PRATHMIK VIDYALAYA R0 NO. 1 GUNIAJUDDI",685,566,0,1251,470,413,0,883,862,0,58,3,94,708,2,0,0,1,0,2,0,1,1,1,0,1,3,0,1,7,883
11,"PRATHMIK VIDYALAYA NO. 2 R0 NO. 1 BIRALSI",798,666,0,1464,619,428,0,1047,1042,0,113,0,30,886,2,1,0,0,0,4,1,0,0,0,0,3,1,0,0,6,1047
12,"PRATHMIK VIDYALAYA N. 1 UTTARI BHAG BIRALSI",637,496,0,1133,465,344,0,809,785,0,1,3,48,742,2,0,0,0,0,3,5,0,1,0,0,1,0,0,1,2,809
13,"PRATHMIK VIDYALAYA  N. 1 DAKSHINI BHAG BIRALSI",709,603,0,1312,530,415,0,945,899,0,40,4,17,862,0,0,0,0,1,4,0,0,3,0,1,4,2,0,3,4,945
14,"PRATHMIK VIDYALAYA MANGANPUR",471,381,0,852,351,313,0,664,664,0,13,2,63,580,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,664
15,"PRATHMIK VIDYALAYA HARNAKI",215,186,0,401,161,143,0,304,291,0,64,5,1,229,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,304
16,"PRATHMIK VIDYALAYA N.1 PURVI BHAG RONI HARJIPUR",572,495,0,1067,390,357,0,747,736,0,108,3,101,526,2,0,0,0,1,1,0,0,1,0,0,0,1,0,1,2,747
17,"PRATHMIK VIDYALAYA N.1 PASHCHAMI BHAG RONI HARJIPUR",723,596,0,1319,575,466,0,1041,1038,0,61,1,140,819,5,0,1,0,1,4,0,0,0,2,0,1,1,0,2,3,1041
18,"PRATHMIK VIDYALAYA N.1 RONI HARJIPUR",586,452,0,1038,433,343,0,776,660,0,116,3,23,624,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,4,776
19,"JUNIOR HIGH SCHOOL R0 NO. 1 RONI HARJIPUR",598,466,0,1064,540,377,0,917,915,0,3,0,1,890,3,0,0,1,0,7,0,0,4,1,0,0,1,0,2,4,917
20,"PRATHMIK VIDYALAYA BHAMELA",588,493,0,1081,530,424,0,954,201,0,117,0,6,827,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,954
21,"PRATHMIK VIDYALAYA R0 NO. 1 PIPALSHAH",527,480,0,1007,479,420,0,899,899,0,4,6,32,845,1,0,1,1,1,2,1,0,0,0,0,1,1,0,2,1,899
22,"PRATHMIK VIDYALAYA R0 NO. 2 PIPALSHAH",799,738,0,1537,641,591,0,1232,1232,0,76,0,41,1103,2,0,0,0,0,2,0,0,2,0,1,2,1,0,0,2,1232
23,"PRATHMIK VIDYALAYA AKBARGARH",648,537,0,1185,514,411,0,925,925,0,585,5,0,296,9,0,0,1,1,5,0,2,4,0,0,6,1,0,3,7,925
24,"PRATHMIK VIDYALAYA R0 NO. 1 SIKANDARPUR",502,448,0,950,263,275,0,538,502,0,88,2,227,205,2,0,0,2,0,1,1,1,0,0,0,1,2,0,2,4,538
