"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY AGRAWAL","2 - PRAVESH SINGH","3 - SONIA GANDHI","4 - ARCHANA SRIVASTAVA","5 - ANJU SINGH","6 - KIRAN CHAUDHARI","7 - KAILASH KUMAR","8 - JAWAHAR LAL","9 - MOHAMMAD ASHRAF","10 - RATIRAM","11 - SHIV SEWAK","12 - SAHAR NAQVI","13 - SURESH CHANDRA","14 - PRAMOD KUREEL","15 - MANGAL SAIN","16 - SHAKIL AHAMAD","17 - SAHADAT ALI KHAN","18 - None of the Above","Total Votes Secured"
1,AINDHI,572,495,0,1067,252,273,0,525,500,0,183,26,288,2,0,4,0,2,1,0,1,0,0,2,1,9,5,1,525
2,AINDHI,484,422,0,906,270,240,0,510,510,0,141,5,328,9,2,0,0,1,0,2,0,3,0,4,2,8,3,2,510
3,CHANDOULI,553,447,0,1000,257,277,0,534,506,0,188,13,291,7,3,1,3,1,3,1,1,4,1,2,3,3,3,6,534
4,GONAMAU,493,415,0,908,266,225,0,491,480,0,94,34,328,5,0,1,3,0,0,3,0,1,2,6,3,8,1,2,491
5,"BAEHTA SATANPUR",464,389,0,853,220,196,0,416,415,0,73,22,290,2,1,6,2,4,1,1,0,3,0,3,4,2,1,1,416
6,DONDEPUR,540,449,0,989,268,243,0,511,502,0,68,47,365,5,3,1,1,0,1,0,1,2,2,0,1,5,8,1,511
7,"TARVA BARVA",261,235,0,496,133,143,0,276,276,0,32,7,223,3,1,0,0,0,2,0,0,1,3,2,0,1,0,1,276
8,JERI,789,671,0,1460,309,363,0,672,643,0,220,66,305,18,3,4,0,1,3,1,3,3,5,9,4,12,9,6,672
9,SHIVPURI,515,441,0,956,256,280,0,536,523,0,151,36,324,5,0,1,1,1,0,0,0,2,1,3,1,3,4,3,536
10,NANDEHARI,242,196,0,438,114,122,0,236,207,0,32,6,176,6,0,1,0,1,1,0,2,1,1,3,4,1,0,1,236
11,DUMATHAR,411,391,0,802,197,181,0,378,358,0,50,44,253,7,0,1,5,3,1,1,0,0,0,2,0,2,3,6,378
12,DUMATHAR,461,408,0,869,234,241,0,475,453,0,95,34,287,9,5,6,2,1,5,1,2,0,2,9,6,4,2,5,475
13,ATRAHAR,689,553,0,1242,334,252,0,586,585,0,264,29,257,8,0,1,2,0,0,1,1,2,5,3,5,6,1,1,586
14,ATRAHAR,644,512,0,1156,195,227,0,422,422,0,73,5,307,6,5,1,2,1,0,0,0,1,1,7,2,3,4,4,422
