"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DIMPLE YADAV","2 - NIRMAL TIWARI","3 - SUBRAT PATHAK","4 - IMRAN BIN ZAFAR","5 - GANGA CHARAN","6 - PUSHPA DEVI","7 - SUBODH KUMAR","8 - SURENDRA NATH","9 - PRADEEP KUMAR","10 - MUHAR SINGH AMVADI","11 - RAKESH KUMAR TIWARI ADVOCATE","12 - SANJAY SHAKYA","13 - None of the Above","Total Votes Secured"
43,"P.P. DHARNIDHARPUR NAGARIYA",759,576,0,1335,471,313,0,784,70,0,690,29,47,2,1,0,0,1,0,5,2,1,6,784
44,"P.P.WEST PART VISHUNGARH",475,340,0,815,266,167,0,433,32,0,141,40,239,1,1,1,0,1,2,1,2,1,3,433
45,"P.P. VISHUNGARH",480,378,0,858,306,183,0,489,428,0,145,25,291,3,5,1,0,1,0,9,3,2,4,489
46,"G.P.P. SOUTH PART VISHUNGARH",702,547,0,1249,351,262,0,613,12,0,184,58,347,6,2,1,2,2,1,4,5,0,1,613
47,"BALAK P.P. VISHUNGARH",720,552,0,1272,394,287,0,681,18,0,175,121,353,4,1,1,0,1,1,4,7,3,10,681
48,"BALAK P.P. EAST PART VISHUNGARH",377,302,0,679,282,194,0,476,5,0,73,1,383,2,5,0,1,0,1,3,5,2,0,476
49,"P.P. SARAIYA",431,348,0,779,284,190,0,474,3,0,119,23,327,2,1,0,1,0,0,0,1,0,0,474
50,"G.P.P. ASALTABAD",666,546,0,1212,363,204,0,567,410,0,123,35,384,5,0,0,1,1,0,4,5,3,6,567
51,"P.P. ASALTABAD",562,411,0,973,317,215,0,532,30,0,231,3,286,4,0,0,0,0,0,0,2,1,5,532
52,"U.P.S. BAHDURPUR",632,488,0,1120,476,332,0,808,313,0,744,13,29,4,0,0,0,0,0,0,2,3,13,808
53,"P,P. SEMALPUR",265,222,0,487,217,174,0,391,60,0,55,2,317,7,1,0,0,0,0,0,5,0,4,391
54,"P.P. BAURAJPUR",548,433,0,981,291,201,0,492,492,0,98,84,296,3,0,1,1,1,0,1,2,1,4,492
55,"P.P. BARVARI",264,221,0,485,262,199,0,461,31,0,450,2,8,0,0,0,0,0,0,0,0,0,1,461
56,"P.P. USMANPUR",209,172,0,381,117,100,0,217,4,0,79,14,120,1,0,0,0,0,0,1,1,0,1,217
57,"P.P. BHOJPUR",282,222,0,504,220,144,0,364,44,0,265,7,84,1,0,0,0,0,0,0,1,0,6,364
58,"P.P, SHEKHPUR",516,381,0,897,333,239,0,572,372,0,252,21,289,3,0,0,0,0,1,1,3,0,2,572
59,"P.P. KAIRDA",508,397,0,905,295,185,0,480,210,0,217,20,233,1,1,1,0,0,0,1,3,1,2,480
60,"P.P. JAGDEESHPUR WEST PART",219,172,1,392,135,102,0,237,60,0,71,4,161,0,0,0,0,0,0,0,0,0,1,237
61,"P.P. JAGDEESHPUR SOUTH PART",349,297,0,646,220,172,0,392,205,0,148,5,235,0,0,1,0,0,0,1,0,1,1,392
62,"P.P. RASULABAD",331,260,0,591,193,160,0,353,12,0,97,48,194,4,1,0,0,0,0,1,3,1,4,353
63,"P.P. WEST PART JAFRABAD",328,234,0,562,221,134,0,355,19,0,34,2,302,4,0,1,0,0,1,3,3,0,5,355
64,"P.P. SOUTH PART JAFRABAD",591,463,0,1054,344,231,0,575,1,0,127,27,405,8,0,0,0,0,1,2,3,0,2,575
65,"P.P. BIRAHIMPUR",208,164,0,372,157,107,0,264,5,0,64,17,173,5,0,0,0,0,0,0,0,0,5,264
66,"P.P. TULSIPUR",382,315,0,697,351,273,0,624,14,0,617,3,4,0,0,0,0,0,0,0,0,0,0,624
67,"P.P. KHARAULI",504,359,0,863,345,239,0,584,17,0,215,6,347,1,2,2,0,0,0,4,3,0,4,584
68,"P.P. RAJAPUR",408,324,1,733,270,202,0,472,230,0,49,28,378,5,1,1,0,0,1,1,0,1,7,472
69,"P.P. ATRAULI",499,370,0,869,302,206,0,508,21,0,140,30,309,7,0,1,1,1,1,3,3,5,7,508
70,"P.P. KUNARPUR KASAVA",338,236,0,574,178,155,0,333,13,0,55,61,202,5,0,0,0,0,0,1,2,0,7,333
71,"BARAT GHAR SIRSA",270,200,0,470,132,106,0,238,10,0,98,17,118,2,0,0,0,0,0,0,1,1,1,238
72,"P.P. BATELA",755,580,0,1335,429,320,0,749,51,0,306,116,297,9,3,1,2,0,1,1,4,3,6,749
73,"J.H.S. KASAVA ROOM NO. 1",794,581,0,1375,485,335,0,820,20,0,189,124,475,3,0,1,1,2,2,5,8,3,7,820
74,"J.H.S. KASAVA ROOM NO. 2",590,505,0,1095,379,335,0,714,53,0,123,90,479,3,2,0,1,0,1,3,4,1,7,714
75,"BABA HARIPURI INTER COLLEGE KSAVA ROOM NO.3",707,544,0,1251,364,292,0,656,236,0,196,79,356,2,0,0,1,0,1,4,8,1,8,656
76,"BABA HARIPURI INTER COLLEGE KSAVA ROOM NO.4",743,587,0,1330,518,325,0,843,246,0,398,101,334,2,2,1,0,0,0,0,3,0,2,843
77,"P.P. NAYA BHAVAN KHANPUR KASAVA",683,518,0,1201,457,353,0,810,14,0,255,113,418,5,0,0,0,1,1,2,6,1,8,810
78,"P.P. MEDEPUR",599,488,0,1087,344,266,0,610,580,0,166,43,378,3,0,0,1,0,0,3,8,1,7,610
79,"P.P. NAGLA DURGA BEHTA KHAS",332,259,0,591,247,167,0,414,150,0,174,66,168,2,0,0,1,1,0,0,0,1,1,414
80,"J.H.S. NAGLA MADHAI",294,220,0,514,193,142,0,335,2,0,113,1,213,1,1,0,0,0,0,0,1,1,4,335
81,"P.P. BEHTA KHAS",528,395,0,923,351,265,0,616,110,0,234,33,333,2,2,0,0,0,2,0,2,3,5,616
82,"P.P. BARAMDA BEHTA KHAS",569,407,0,976,321,192,0,513,29,0,214,22,256,3,1,1,0,1,1,2,2,1,9,513
83,"P.P. BHIKAMPUR SANI",641,435,0,1076,411,358,0,769,18,0,482,24,250,1,0,0,0,0,0,3,1,1,7,769
84,"P.P. JALALPUR DEENDARPUR",199,152,0,351,181,141,0,322,7,0,298,19,1,1,0,1,0,0,2,0,0,0,0,322
85,"P.P. NAGLA BISHMA MUDIYA",605,417,0,1022,462,265,0,727,711,0,425,59,217,3,3,1,0,0,2,1,4,4,8,727
86,"P.P. NATHA NAGLA",510,388,0,898,377,310,0,687,340,0,455,16,206,0,0,1,0,0,0,1,3,0,5,687
87,"P.P. PALIYA BOONCHPUR",354,295,0,649,204,200,0,404,12,0,85,21,292,1,0,0,1,1,0,1,1,0,1,404
88,"J.H.S. BOONCHPUR",438,350,0,788,264,184,0,448,107,0,247,20,174,2,0,0,0,0,2,0,1,1,1,448
89,"P.P. NEST BALAK HATHIN",442,375,0,817,252,220,0,472,242,0,136,4,320,2,0,0,0,1,0,0,3,0,6,472
90,"BARAT GHAR ATIYA",394,330,0,724,264,197,0,461,339,0,202,4,243,3,0,1,0,0,1,3,1,0,3,461
91,"P.P. EAST HATHIN",589,458,0,1047,316,261,0,577,515,0,261,45,257,5,1,1,0,0,0,1,2,1,3,577
92,"P.P. NAGLA BALDEV",324,244,0,568,243,181,0,424,150,0,397,5,17,0,0,0,0,0,0,0,1,0,4,424
93,"P.P. TIRLOKAPUR",351,282,0,633,284,194,0,478,98,0,253,14,195,2,1,1,0,0,0,0,5,1,6,478
94,"P.P. CHANDARPUR ROOM NO.1",444,370,0,814,270,206,0,476,16,0,97,43,326,2,0,0,1,0,1,1,1,0,4,476
95,"P.P. CHANDARPUR ROOM NO.2",423,343,0,766,278,192,0,470,24,0,163,20,280,5,0,0,0,0,0,1,0,1,0,470
96,"P.P. BIKUPUR",479,446,0,925,329,274,0,603,601,0,120,53,419,4,2,0,0,0,0,1,3,1,0,603
97,"P.P. RASULPUR",261,209,0,470,169,137,0,306,10,0,190,37,71,0,0,1,0,0,1,1,0,3,2,306
98,"P.P. KALIYANPUR",488,413,0,901,397,313,0,710,215,0,509,34,156,0,0,0,0,1,0,2,3,2,3,710
99,"J.H.S. KAMALPUR",391,328,0,719,326,273,0,599,34,0,410,18,160,0,0,0,0,1,0,0,1,2,7,599
100,"P.P. NEST PART KHOJIPUR",333,289,0,622,159,128,0,287,1,0,192,1,86,3,0,0,0,0,0,1,0,0,4,287
101,"P.P. RAMPURA",515,443,0,958,320,147,0,467,280,0,166,13,257,4,3,0,1,1,1,9,0,11,1,467
102,"P.P. EAST PART KHOJIPUR",803,628,0,1431,474,357,0,831,14,0,447,39,307,4,0,0,0,3,3,4,9,6,9,831
103,P.P.BHAGBANTPUR,728,619,0,1347,496,426,0,922,16,0,404,121,377,9,2,1,0,0,0,0,3,2,3,922
104,"P.P. NAKATPUR",245,204,0,449,224,166,0,390,37,0,315,3,65,2,0,0,0,0,0,0,0,0,5,390
105,"P.P. RANDHEERPUR",489,382,0,871,302,245,0,547,529,0,131,29,379,3,0,0,0,1,0,0,1,0,3,547
106,"P.P. LALPUR",249,208,0,457,199,176,0,375,130,0,31,285,52,1,0,0,0,0,1,1,1,3,0,375
107,"P.P. PRANPUR PALYORA",483,382,0,865,413,275,0,688,30,0,486,11,182,1,1,0,0,0,0,0,4,1,2,688
108,"PAMCHAYAT GHAR AHIRUA RAJARAMPUR",285,218,0,503,171,103,0,274,10,0,165,39,62,3,0,1,0,1,0,0,0,0,3,274
109,"P.P. AHIRAU RAJARAMPUR",460,353,0,813,345,225,0,570,250,0,360,34,153,6,1,0,2,1,0,4,0,1,8,570
110,"P.P. HARIHARPUR",571,439,0,1010,413,290,0,703,17,0,157,39,479,4,0,1,0,2,2,1,7,4,7,703
111,"P.P. ALHANAPUR",646,494,0,1140,446,292,0,738,720,0,75,51,605,2,0,0,0,0,0,2,2,0,1,738
112,"J.H.S. ALHANAPUR",353,295,0,648,269,176,0,445,5,0,228,2,205,1,1,0,0,0,0,1,4,1,2,445
113,"P.P. RAMPUR HIRDAY",378,296,0,674,224,181,0,405,16,0,185,30,183,0,1,0,0,0,0,2,0,1,3,405
114,"P.P. BALRAMPUR",309,253,0,562,207,162,0,369,369,0,95,42,225,1,0,0,1,0,0,1,2,0,2,369
115,"P.P. LOKPUR NEST PART",430,332,0,762,260,138,0,398,17,0,372,2,19,0,0,0,0,0,0,0,1,0,4,398
116,"P.P. LOKPUR EAST PART",446,320,0,766,278,134,0,412,15,0,371,4,28,0,1,0,0,0,0,0,3,1,4,412
117,"P.P. BHOGPURN NIGOH",633,463,0,1096,396,316,0,712,247,0,433,26,242,1,1,0,0,1,0,1,2,0,5,712
118,"P.P. NANDGRAMPUR",211,179,0,390,177,135,0,312,2,0,249,26,32,1,0,0,0,0,0,0,0,0,4,312
119,"P.P. MAHMOODPUR KHAS",605,493,0,1098,417,287,0,704,26,0,436,16,242,0,1,0,0,0,3,1,1,1,3,704
120,"P.P. MAHMOODPUR KHAS EAST PART",340,283,0,623,228,156,0,384,43,0,130,6,242,1,0,0,0,1,0,0,1,0,3,384
121,"P.P. NEST PART KUNARPUR VANBARI",743,556,0,1299,274,431,0,705,8,0,242,300,123,4,0,1,0,5,1,1,6,5,17,705
122,"P.P. EAST PART KUNARPUR BANVARI",729,582,0,1311,404,258,0,662,42,0,153,43,439,5,2,1,0,3,2,2,1,3,8,662
123,"PANCHAYATGHAR RAMPUR BAIJU",679,563,0,1242,345,301,0,646,505,0,186,175,269,7,0,0,1,0,0,5,0,1,2,646
124,"P.P. RAMPUR BAIJU",645,548,0,1193,449,219,0,668,10,0,271,29,355,2,0,0,1,1,1,4,2,0,2,668
125,"P.P. EAST PART DEV VARAMPUR",527,444,0,971,384,282,0,666,65,0,50,187,408,4,2,0,2,0,2,2,2,0,7,666
126,"PANCHAYAT GHAR ASALAT NAGAR",482,386,0,868,319,208,0,527,121,0,184,60,268,2,1,0,1,0,0,4,2,1,4,527
127,"PURVI SAHKARI SAMITI CHHIBRAMAU DEHAT",597,474,0,1071,370,273,0,643,121,0,384,27,212,6,1,1,0,0,0,2,2,1,7,643
128,"P.P. CHHIBRAMAU CENTRAL TEHSIL PARISAR CHHIBRAMAU",241,211,0,452,191,144,0,335,128,0,130,48,139,2,1,1,0,0,1,0,2,9,2,335
129,"P.P. DAYAM GANJ SARAIYA",503,412,0,915,333,233,0,566,150,0,165,44,327,12,1,2,1,0,0,2,1,8,3,566
130,"ADARSH P.P. DAYAT CHHIBRAMAU",683,523,0,1206,308,242,0,550,2,0,228,59,250,4,0,1,0,0,0,2,0,2,4,550
131,"JANTA INTER COLLEGE CHHIBRAMAU ROOM NO.3",562,497,0,1059,302,243,0,545,485,0,147,14,380,0,1,1,0,0,0,0,0,1,1,545
132,"ADARSH P.P. DAYAT  CHHIBRAMAU ROOM NO.1",450,367,0,817,191,166,0,357,16,0,157,1,190,1,0,0,0,0,2,0,0,4,2,357
133,"ADARSH P.P. DAYAT CHHIBRAMAU ROOM NO. 2",434,363,0,797,203,163,0,366,292,0,130,11,220,0,0,1,0,1,0,0,0,0,3,366
134,"JANTA INTER CILLEGE CHHIBRAMAU ROOM NO.5",462,375,0,837,245,176,0,421,10,0,155,19,241,1,0,0,0,0,0,1,1,1,2,421
135,"JANTA INTER COLLEGE CHHIBRAMAU ROOM NO.1",513,375,0,888,251,160,0,411,7,0,179,9,216,1,0,0,0,0,0,1,2,0,3,411
136,"JANTA INTER COLLEGE CHHIBRAMU ROOM NO. 2",725,574,1,1300,260,186,0,446,400,0,134,36,273,0,0,0,0,1,0,0,0,1,1,446
137,"HEERA LAL INTER COLLEGE CHHIBRAU ROOM NO. 5",400,333,0,733,212,143,0,355,250,0,153,11,180,0,0,0,0,0,0,9,2,0,0,355
138,"HEERA LAL INTER COLLGE CHHIBRAMAU  ROOM NO.7",512,447,0,959,265,196,0,461,298,0,182,14,250,2,0,0,0,0,1,4,3,1,4,461
139,"HEERA LAL INTER COLLGE CHHIBRAMAU ROOM N0.6",849,756,0,1605,459,374,0,833,543,0,331,3,481,3,0,2,0,0,0,1,2,7,3,833
140,"HEERA LAL INTER COLLEGE CHHIBRAMAU ROOM NO. 6",907,660,0,1567,392,280,0,672,112,0,299,30,334,0,1,0,0,1,1,0,4,0,2,672
141,"GIRLS INTER COLLEGE CHHIBRAMAU ROOM NO.3",423,394,0,817,229,239,0,468,368,0,166,10,283,3,1,0,0,1,1,0,2,0,1,468
142,"HEERA LAL INTER COLLEGE BARAMDA CHHIBRAMAU",787,662,0,1449,374,329,0,703,690,0,229,1,462,1,2,3,0,0,0,1,1,1,2,703
143,"GIRLS INTER COLLEGE CHHIBRAU ROOM NO.1",592,524,0,1116,311,238,0,549,447,0,284,4,248,3,1,1,0,0,0,0,2,0,6,549
144,"RAMABAI RAJKEY GIRLS INTER COLLEGE CHHIBRAU ROOM NO.1",545,445,0,990,348,218,0,566,106,0,134,12,416,3,0,0,0,0,0,0,1,0,0,566
145,"RAMABAI RAJKEY GIRLS INTER COLLEGE CHHIBRAMAU ROOM NO.2",591,490,2,1083,225,168,2,395,28,0,179,24,167,0,1,0,0,0,0,18,3,0,3,395
146,"P.P. EAST PART CHHIBRAMAU",505,447,0,952,327,220,0,547,47,0,196,23,315,2,0,0,1,1,1,0,2,1,5,547
