"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAYA PRADA NAHATA","2 - KUNWAR BHARTENDRA","3 - MALOOK NAGAR","4 - SHAHNAWAZ RANA","5 - UDAY ALIES UDAYVEER","6 - GAURAV","7 - PARVEZ AQIL","8 - MOHAMAD ADEEB","9 - MOHAMMAD MOOSA","10 - UMESH ALIES PANI","11 - KAMAL","12 - GAJRESH KUMAR","13 - None of the Above","Total Votes Secured"
1,"PRATHMIK PATHSHALA R.NO.1NANHEDA",519,464,0,983,472,325,0,797,747,0,42,748,1,1,0,0,2,0,0,0,1,1,1,797
2,"PRATHMIK PATHSHALA R.NO2 NANHEDA",362,292,0,654,323,262,0,585,580,0,0,578,1,0,0,0,0,0,0,2,2,0,2,585
3,"PRATHMIK PATHSAHAL ROOM NO. 3 NANHEDA",269,194,0,463,135,128,0,263,252,0,0,6,249,0,1,0,0,0,1,1,4,0,1,263
4,"PRATHMIK PATHSHALA NANHEDI",549,471,1,1021,413,348,0,761,407,0,4,77,300,364,1,0,1,2,4,1,4,1,2,761
5,"PRATHMIK PATHSHALA R.NO1 GADALA",689,542,0,1231,405,350,0,755,753,0,9,268,294,168,1,0,1,0,1,1,1,0,11,755
6,"PRATHMIK PATHSHALA R.NO.2 GADALA",666,542,0,1208,461,372,0,833,747,0,7,455,163,196,3,1,0,0,4,1,1,1,1,833
7,"PRATHMIK PATHSHALA R.NO.3 GADALA",615,516,0,1131,397,350,0,747,743,0,6,446,185,90,3,0,1,3,1,4,3,0,5,747
8,"PRATHMIK PATHSHALA RASULPUR",765,620,0,1385,626,440,0,1066,955,0,13,761,156,123,2,1,0,1,0,3,1,1,4,1066
9,"HARIJAN PANCHAYAT GHAR BARUKI",416,335,0,751,282,238,0,520,520,0,8,233,240,20,1,0,0,0,1,8,5,3,1,520
10,"PRATHMIK PATHSHALA BARUKI",413,340,0,753,309,250,0,559,554,0,11,483,37,16,0,0,0,0,1,2,3,4,2,559
11,"PRATHMIK PATHSHALA, KASAULI",805,653,0,1458,615,520,0,1135,1108,0,4,311,268,531,3,3,0,1,7,0,2,1,4,1135
12,"PRATHMIK PATHSHALA, BAKARNAGAR MAJRA RAHKDA",815,651,0,1466,656,544,0,1200,1199,0,7,805,56,321,1,0,1,2,2,0,2,2,1,1200
13,"PRATHMIK PATHSHALA, KASAMPUR MAJRA RAHKDA",456,385,0,841,260,299,0,559,38,0,4,504,9,14,1,2,1,3,0,4,2,8,7,559
14,"PRATHMIK PATHSHALA, ROOM NO-1 RAHKDA",745,633,0,1378,487,417,0,904,856,0,4,185,462,244,0,0,0,1,0,1,2,1,4,904
15,"PRATMIK PATHSHALA ROOM NO-2 RAHKDA",674,557,0,1231,528,423,0,951,791,0,14,782,11,138,1,0,0,1,1,1,0,1,1,951
16,"PRATHMIK PATHSHALA, KAZIPUR URF KADIPUR",617,512,0,1129,519,385,0,904,899,0,39,794,62,9,0,0,0,0,0,0,0,0,0,904
17,"PRATHMIK VIDYALAYA NO-2 R.N.1 BEHDA THURU",538,448,0,986,375,349,0,724,704,0,2,123,198,391,1,1,0,3,0,0,0,2,3,724
18,"PRATHMIK VIDYALAYA NO-2 R.N.3 BEHDA THURU",387,318,0,705,330,257,0,587,586,0,7,450,43,86,0,0,0,1,0,0,0,0,0,587
19,"PRATMIK VIDYALAYA NO-2 R.N.2 BEHDA THURU",576,522,0,1098,510,416,0,926,150,0,44,863,12,2,1,1,0,0,1,2,0,0,0,926
20,"PRATHMIK PATHSHALA MAHMOODPUR MAJRA",383,345,0,728,348,303,0,651,650,0,28,483,138,0,0,0,0,0,0,0,0,1,1,651
21,"PRATHMIK PATHSHALA DHEERAHEDI",801,690,0,1491,679,494,0,1173,1072,0,73,1033,54,5,0,1,0,1,1,1,0,1,3,1173
22,"PRATHMIK PATHSHALA NIRGAJNI",396,352,0,748,349,307,0,656,636,0,41,586,27,0,0,1,0,0,0,1,0,0,0,656
23,"HARIJAN BARAT GHAR , NIRGAJNI",301,239,0,540,222,179,0,401,401,0,4,95,299,3,0,0,0,0,0,0,0,0,0,401
24,"PRATHMIK PATHSHALA R.N.1 BELDA",426,392,0,818,297,247,0,544,531,0,42,314,30,154,0,0,0,0,1,0,0,3,0,544
25,"PRATHMIK PATHSHALA, R.N.2, BELDA",419,404,0,823,319,295,0,614,559,0,25,309,11,261,1,0,3,0,0,1,1,1,1,614
26,"PRATHMIK PATHSHALA R.N.1, BELDA",488,438,0,926,350,300,0,650,582,0,39,430,58,115,0,1,0,1,0,1,2,1,2,650
27,"KANYA PATHSHALA R.N.2, BELDA",596,483,1,1080,405,374,0,779,697,0,1,183,389,178,2,2,1,0,3,5,5,3,7,779
28,"PRATHMIK PATHSHALA R.N.1 RAHAMATPUR",526,460,0,986,467,360,0,827,820,0,56,751,14,2,0,1,0,0,0,1,0,1,1,827
29,"PRATHMIK PATHSHALA R.N.2, RAHAMATPUR",594,459,0,1053,374,294,0,668,657,0,16,321,309,3,0,0,0,2,1,3,3,4,6,668
30,"KANYA JUNIOR HIGH SCHOOL, GADWADA",450,399,0,849,342,302,0,644,617,0,19,464,108,44,0,1,1,2,2,1,1,1,0,644
31,"PRATHMIK PATHSHALA R.N.1, SIKANDERPUR",492,385,0,877,424,298,0,722,424,0,0,602,116,1,0,0,0,0,0,1,0,0,2,722
32,"PRATHMIK PATHSHALA R.N.2, SIKANDERPUR",750,579,0,1329,650,409,0,1059,581,0,5,801,167,76,2,0,0,0,2,0,1,1,4,1059
33,"PRATHMIK PATHSHALA NAYA BHAWAN R.N.1 SIKRI",820,539,0,1359,516,300,0,816,810,0,3,11,29,752,6,0,0,0,5,4,0,2,4,816
34,"PRATHMIK PATHSHALA NAYA BHAWAN R.N.2, SIKRI",688,553,0,1241,449,366,0,815,813,0,3,110,229,450,3,2,1,1,6,2,1,2,5,815
35,"JUNIOR HIGH SCHOOL R.N.1, SIKRI",824,669,0,1493,537,402,0,939,224,0,3,100,177,597,4,2,2,4,37,4,2,2,5,939
36,"JUNIOR HIGH SCHOOL R.N.2, SIKRI",669,556,0,1225,455,357,0,812,800,0,4,34,48,660,7,1,2,2,44,6,1,1,2,812
37,"PRTHMIK PATHSHALA, YOUGANDRANAGAR MAJRA SIKRI",440,378,0,818,299,233,0,532,499,0,4,142,364,5,0,0,1,1,1,3,4,2,5,532
38,"PRATHMIK PATHSHALA,R.N.1, MAJLISPUR TAUFEER",350,306,0,656,270,247,0,517,405,0,7,476,9,3,1,0,0,4,1,5,3,7,1,517
39,"PRATHMIK PATHSHALA, R.N.2, MAJLISPUR TAUFEER",759,627,0,1386,632,475,0,1107,1103,0,6,1043,40,3,0,0,0,2,0,5,2,3,3,1107
40,"PRA. PATHSHALA MAHARAJNAGAR MAJRA MAJLISPUR",651,552,1,1204,537,431,0,968,963,0,6,932,16,9,0,1,0,1,1,1,0,0,1,968
41,"INTER COLLAGE, R.N.1, BHOKARHEDI",710,587,0,1297,575,416,0,991,689,0,30,943,6,5,0,0,0,0,1,2,0,0,4,991
42,"INTER COLLAGE R.N.2, BHOKARHEDI",739,615,0,1354,538,427,0,965,903,0,8,339,179,422,4,0,0,3,5,1,1,1,2,965
43,"INTER COLLAGE, R.N.3, BHOKARHEDI",609,484,0,1093,451,350,0,801,801,0,10,403,7,365,4,1,0,0,2,2,0,1,6,801
44,"INTER COLLAGE, R.N. 4, BHOKARHEDI",531,407,0,938,373,301,0,674,574,0,8,212,11,427,6,2,1,2,0,2,0,1,2,674
45,"INTER COLLAGE R.N.6, BHOKARHEDI",313,280,0,593,242,223,0,465,445,0,4,441,12,2,0,1,0,0,1,0,0,2,2,465
46,"INTER COLLAGE R.N.5, BHOKARHEDI",797,653,0,1450,598,471,0,1069,1069,0,2,373,82,574,8,2,3,1,1,6,2,2,13,1069
47,"INTER COLLAGE,R.N.1, BHOKARHEDI",639,510,0,1149,496,383,0,879,673,0,46,569,8,249,0,0,0,0,0,2,0,3,2,879
48,"PRATHMIK PATHSHALA NO.5, R.N.2, BHOKARHDEDI",572,500,0,1072,408,353,0,761,752,0,4,455,10,277,5,0,0,0,1,3,0,0,6,761
