"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAILASH NATH SINGH YADAV","2 - MO. MAKSUD KHAN","3 - MANOJ SINHA","4 - SMT SHIVKANYA KUSHWAHA","5 - ISHWAR DEV","6 - ISHWARI","7 - OMKAR CHAUHAN","8 - GUPTESHWAR","9 - DEENDAYAL","10 - DHARM YADAV","11 - PAPPU","12 - BRIJ BHUSHAN","13 - BHARAT","14 - RAJENDRA NATH RAM","15 - SATYA DEV YADAV","16 - ARUN KUMAR SINGH","17 - KUBER","18 - LAKSHAMAN","19 - None of the Above","Total Votes Secured"
1,"P.V. NASEERPUR",587,513,0,1100,276,332,0,608,590,0,197,13,153,76,3,13,2,0,8,100,8,2,4,2,0,4,7,6,10,608
2,"P.V. MAUDHA (E.WING)",851,683,0,1534,358,359,0,717,340,0,309,21,217,104,0,4,4,1,4,24,4,3,1,5,0,9,1,0,6,717
3,"P.V. MAUDHA (W.WING)",544,433,0,977,178,266,0,444,39,0,75,12,114,187,2,3,2,0,0,30,5,3,2,1,2,3,1,1,1,444
4,"J.H.S. MAUDHA (W.WING)",874,740,0,1614,389,346,0,735,735,0,43,14,347,143,3,14,2,0,1,132,5,7,7,0,2,7,3,1,4,735
5,"J.H.S. MAUDHA (N.WING)",521,445,0,966,209,250,0,459,362,0,18,22,244,37,4,5,3,0,6,98,5,1,0,1,1,6,2,2,4,459
6,"J.H.S. MAUDHA (S.WING)",607,512,0,1119,326,256,0,582,402,0,203,7,172,120,1,5,0,2,3,38,2,0,1,2,3,15,5,1,2,582
7,"P.V. NAYAKDIH (E.WING)",683,600,0,1283,337,345,0,682,341,0,173,17,422,25,2,0,0,2,0,16,3,0,1,1,3,13,2,1,1,682
8,"P.V. NAYAKDIH (W.WING)",769,632,0,1401,340,324,0,664,524,0,89,18,270,97,1,7,1,1,1,155,4,2,1,3,1,4,5,1,3,664
9,"P.V. SONIYAPAR",848,728,0,1576,363,425,0,788,10,0,445,21,161,103,0,2,1,0,2,5,3,1,3,7,3,21,5,1,4,788
10,"P.V. KUDHANALAMBI",790,657,0,1447,382,352,0,734,594,0,255,16,184,185,3,3,2,1,1,44,4,5,1,4,3,17,0,1,5,734
11,"P.V. LAULAHA (K.N.1)",566,463,0,1029,242,252,0,494,84,0,162,14,200,37,4,5,0,1,3,46,2,1,1,1,2,5,4,0,6,494
12,"P.V. LAULAHA (K.N.2)",366,281,0,647,159,158,0,317,317,0,132,3,27,133,3,0,0,1,0,13,0,0,0,1,1,2,0,1,0,317
13,"P.V. MATHSARAIYA",599,485,0,1084,85,82,0,167,45,0,33,12,27,73,0,2,1,0,1,10,1,1,1,1,1,1,1,0,1,167
14,"P.V. KODARI",617,537,0,1154,265,278,0,543,2,0,112,32,268,37,2,4,2,1,2,38,3,18,2,3,2,12,4,1,0,543
15,"P.V. SAUNA (W.WING)",654,563,0,1217,341,308,0,649,197,0,275,13,147,195,1,1,1,0,0,1,3,1,2,0,1,4,1,1,2,649
16,"P.V. SAUNA (C.WING)",614,497,0,1111,311,285,0,596,506,0,107,18,227,178,4,5,3,2,1,19,2,2,1,5,2,9,4,2,5,596
