"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NIRANJAN SINGH DHANGAR","2 - MANOJ KUMAR SONI","3 - RAJESH KUMAR DIWAKER","4 - RAMJI LAL SUMAN","5 - SUNHARI LAL","6 - OMPRKASH","7 - DALVIR SINGH","8 - NIRANJAN SINGH","9 - RAJA RAM","10 - None of the Above","Total Votes Secured"
33,"PRIMARY SCHOOL.	BHADPURA",202,164,0,366,146,118,0,264,264,0,0,1,26,232,0,0,1,0,1,3,264
34,"PRIMARY SCHOOL DHAURAI",607,549,0,1156,324,253,0,577,576,0,211,46,291,22,0,2,0,0,1,4,577
35,"PRIMARY SCHOOL KIVALAAS",225,184,0,409,121,133,0,254,199,0,4,213,28,2,0,1,1,3,1,1,254
36,"PRIMARY SCHOOL AAMAMDAPUR",459,411,0,870,267,226,0,493,475,0,1,148,258,77,5,1,0,0,1,2,493
37,"PRIMARY SCHOOL SHANKARGARH",325,270,0,595,197,153,0,350,215,0,109,116,69,51,1,2,1,0,1,0,350
38,"PRIMARY SCHOOL DHNAULI CHINAULI",510,458,0,968,302,243,0,545,545,0,23,47,445,14,6,4,3,1,2,0,545
39,"PRIMARY SCHOOL GOPI",494,441,1,936,322,298,0,620,589,0,12,203,369,27,3,0,0,2,0,4,620
40,"PRIMARY SCHOOL RUDAYAN",360,320,0,680,233,202,0,435,435,0,10,100,214,106,1,2,0,0,2,0,435
41,"PRIMARY SCHOOL NAGLA KAMALU",235,224,0,459,175,154,0,329,113,0,2,49,259,15,1,0,0,1,0,2,329
42,"PRIMARY SCHOOL PREMPUR",274,236,0,510,204,159,0,363,363,0,1,25,317,18,1,1,0,0,0,0,363
43,"KANYA PRIMARY SCHOOL CHANDPUR R.N.1",399,359,0,758,223,160,0,383,383,0,3,85,283,3,0,2,1,2,2,2,383
44,"PRIMARY SCHOOL HEERAPUR",344,305,0,649,256,200,0,456,456,0,3,3,35,412,1,0,0,1,0,1,456
45,"PRIMARY SCHOOL KANAKPUR R.N.1",323,286,0,609,251,183,0,434,433,0,5,97,296,34,0,1,0,0,0,1,434
46,"PRIMARY SCHOOL KANAKPUR",591,516,0,1107,372,315,0,687,687,0,243,101,294,38,0,1,0,2,2,6,687
47,"PRIMARY SCHOOL GUDMAI MISHRIPUR",649,600,1,1250,403,340,0,743,339,0,33,325,100,273,4,1,1,2,1,3,743
48,"JUNIOR HIGH SCHOOL BISTAULEE R.N.1",618,559,0,1177,371,295,0,666,154,0,9,147,473,30,2,1,0,3,0,1,666
49,"JUNIOR HIGH SCHOOL BISTAULEE R.N.2",113,118,0,231,73,61,0,134,134,0,0,104,28,0,0,0,0,1,1,0,134
50,"JUNIOR HIGH SCHOOL GANGALAPUR",369,288,0,657,203,178,0,381,381,0,5,33,77,254,4,1,1,1,2,3,381
51,"PRIMARY SCHOOL BHINAULEE R.N.1",587,481,0,1068,340,258,0,598,596,0,28,268,282,6,2,0,1,2,5,4,598
52,"PRIMARY SCHOOL KISHANPUR",304,279,0,583,240,197,0,437,437,0,18,1,38,370,3,3,0,1,2,1,437
53,"PRIMARY SCHOOL BHINAULEE R.N.2",285,254,0,539,177,152,0,329,210,0,85,114,102,19,1,2,0,2,0,4,329
54,"PRIMARY SCHOOL VADRI",212,193,0,405,156,131,0,287,279,0,2,37,34,206,3,2,0,0,0,3,287
55,"PRIMARY SCHOOL SIKTARASANI",294,261,0,555,154,133,0,287,287,0,0,72,206,1,3,0,0,0,1,4,287
56,"PRIMARY SCHOOL BHURA KI GARHI",215,190,0,405,134,128,0,262,261,0,5,15,218,20,1,0,0,2,0,1,262
57,"JUNIOR HIGH SCHOOL NAGLA KESHIYA",468,410,0,878,345,264,0,609,589,0,3,20,89,490,3,0,0,0,1,3,609
58,"PRIMARY SCHOOL MALOI",637,526,1,1164,407,274,0,681,561,0,61,210,337,56,3,3,2,0,1,8,681
59,"SANKUL BHAWAN KI IMARAT ME MALOI",447,373,0,820,288,219,0,507,507,0,146,102,145,101,1,3,1,3,0,5,507
60,"PRIMARY SCHOOL NAGLA BASANT",211,187,0,398,119,92,0,211,67,0,114,6,79,9,0,1,0,0,1,1,211
61,"MAHATMA GANDHI GURU SMARAK INTER COLLEGE VIJAYGARH 1",708,554,0,1262,422,347,0,769,700,0,18,73,571,84,3,5,6,4,0,5,769
62,"MAHATMA GANDHI GURU SMARAK INTER COLLEGE VIJAYGARH 2",854,638,0,1492,553,371,0,924,361,0,31,100,519,254,4,1,1,3,2,9,924
63,"MAHATMA GANDHI GURU SMARAK INTER COLLEGE VIJAYGARH 3",590,494,0,1084,374,307,0,681,678,0,31,301,256,79,0,3,0,4,1,6,681
64,"MAHATMA GANDHI GURU SMARAK INTER COLLEGE VIJAYGARH 4",396,327,0,723,276,167,0,443,443,0,16,11,376,30,2,4,1,1,0,2,443
65,"PRIMARY SCHOOL MANIKPUR",678,578,0,1256,384,318,0,702,670,0,27,216,265,177,5,4,2,2,2,2,702
66,"PRIMARY SCHOOL DEEPPUR",329,296,0,625,237,202,0,439,439,0,6,262,141,19,1,1,1,5,2,1,439
67,"PRIMARY SCHOOL GOPALPUR",256,240,0,496,160,142,0,302,302,0,13,3,79,205,0,0,0,0,1,1,302
68,"PRIMARY SCHOOL SINGHPUR",406,344,0,750,229,196,0,425,307,0,121,38,219,26,2,2,4,6,2,5,425
69,"PRIMARY SCHOOL KARHALA",299,256,0,555,186,156,0,342,327,0,266,3,39,29,1,0,1,2,1,0,342
70,"PRIMARY SCHOOL BAGHIYAAR",648,569,0,1217,481,399,0,880,770,0,4,10,35,807,15,1,2,0,3,3,880
71,"PRIMARY SCHOOL BARAKLA",324,261,0,585,236,186,0,422,402,0,0,24,340,56,0,0,0,2,0,0,422
72,"PRIMARY SCHOOL NAGLA BARI R.N.1",729,645,0,1374,535,355,0,890,884,0,2,139,87,626,8,4,1,3,4,16,890
73,"PRIMARY SCHOOL NAGLA BARI R.N.2",644,562,0,1206,456,274,0,730,727,0,7,2,53,645,7,1,3,3,1,8,730
74,"PRIMARY SCHOOL KATHAIRA",739,636,0,1375,434,398,0,832,832,0,117,155,471,68,1,4,1,6,2,7,832
75,"PRIMARY SCHOOL GAULARA",578,504,0,1082,445,309,0,754,740,0,30,298,370,48,3,0,1,2,1,1,754
76,"PRIMARTY SCHOOL NAGLA RANJEETA",258,231,0,489,190,164,0,354,354,0,1,94,221,33,4,0,0,1,0,0,354
77,"PRIMARY SCHOOL KAHANDWAR",350,293,0,643,223,193,0,416,411,0,11,167,143,91,0,1,0,1,0,2,416
78,"PRIMARY SCHOOL PARAURI",736,608,0,1344,421,345,0,766,766,0,20,156,392,177,3,3,1,1,3,10,766
79,"PRIMARY SCHOOL AALAMPUR",500,427,0,927,330,267,0,597,576,0,4,116,386,71,5,3,2,4,3,3,597
80,"PRIMARY SCHOOL WARHAD",676,541,0,1217,443,342,0,785,754,0,313,155,238,64,1,1,2,6,3,2,785
81,"PRIMARY SCHOOL NARRAU",652,571,0,1223,309,218,0,527,455,0,26,52,361,63,6,2,0,3,1,13,527
82,"प्रा0 स्कूल गांगरौल	क्रं0 नं0	PRIMARY SCHOOL GANGRAUL",877,730,1,1608,531,363,0,894,624,0,482,69,287,37,5,0,0,3,1,10,894
83,"PRIMARY SCHOOL TUAMAI",764,611,1,1376,412,311,0,723,722,0,13,183,137,367,4,2,3,3,4,7,723
84,"PRIMARY SCHOOL JUJHARPUR",572,430,0,1002,387,268,0,655,175,0,6,37,179,411,6,2,4,3,1,6,655
85,"PRIMARY SCHOOL BHEEM HARIPUR",409,365,0,774,261,190,0,451,174,0,26,8,390,21,0,3,0,0,1,2,451
86,"PRIMARY SCHOOL KARHLA",726,570,0,1296,421,320,0,741,717,0,19,247,226,230,3,3,1,6,0,6,741
87,"PRIMARY SCHOOL DBHA",509,392,0,901,235,147,0,382,370,0,102,25,226,21,0,1,1,0,1,5,382
88,"PRIMARY SCHOOL DABHI",597,491,0,1088,289,151,0,440,440,0,2,26,90,297,5,4,0,1,2,13,440
89,"PRIMARY SCHOOL DARIYAPUR",654,506,0,1160,378,283,0,661,137,0,63,74,337,178,2,0,1,1,2,3,661
90,"JUNIOR HIGH SCHOOL GOVRA",529,449,0,978,301,233,0,534,519,0,179,88,222,36,2,1,1,2,2,1,534
91,"PRIMARY SCHOOL NASAIRABAD",331,289,0,620,196,174,0,370,171,0,263,7,80,15,2,0,0,0,0,3,370
92,"PRIMARY SCHOOL BAMROI R.N.1",593,510,0,1103,345,289,0,634,260,0,127,24,364,97,1,2,2,4,2,11,634
93,"PRIMARY SCHOOL BAMROI R.N.2",516,416,0,932,301,237,0,538,535,0,18,64,382,63,4,1,0,1,3,2,538
94,"PRIMARY SCHOOL CHANDPUR MIRJA",332,257,0,589,188,150,0,338,328,0,2,2,34,292,2,2,1,0,0,3,338
95,"PRIMARY SCHOOL NAYA BANS",323,256,0,579,164,120,0,284,284,0,89,6,169,16,1,0,0,1,0,2,284
96,"JUNIOR HIGH SCHOOL CHANDPUR MIRJA R.N.2",578,465,0,1043,303,225,0,528,335,0,1,42,92,391,1,0,0,1,0,0,528
97,"MALKHAN SINGH INTER COLAGE HASAUNA JAGMAOHANPUR R.N.1",544,445,0,989,243,199,0,442,397,0,12,159,183,83,0,2,1,0,2,0,442
98,"MALKHAN SINGH INTER COLAGE HASAUNA JAGMAOHANPUR R.N.2",716,641,0,1357,395,312,0,707,495,0,176,5,472,21,2,1,3,4,10,13,707
99,"PRIMARY SCHOOL GOVAHANPUR",273,238,0,511,240,193,0,433,418,0,0,16,383,34,0,0,0,0,0,0,433
100,"PRIMARY SCHOOL BHADROI",725,627,0,1352,442,352,0,794,794,0,434,104,223,16,2,2,1,6,3,3,794
101,"PRIMARY SCHOOL KAUDIYAGANJ",502,450,0,952,250,210,0,460,450,0,9,1,181,262,1,2,0,1,1,2,460
102,"PRIMARY SCHOOL KAUDIYAGANJ R.N.1",472,425,0,897,288,260,0,548,548,0,2,12,491,18,1,3,4,5,2,10,548
103,"JUNIOR HIGH SCHOOL KAUDIYAGANJ R.N.2",526,461,0,987,294,243,0,537,533,0,22,19,475,9,3,2,0,2,1,4,537
104,"PRIMARY SCHOOL 3 KAUDIYAGANJ  R.N.1",644,566,0,1210,390,277,0,667,650,0,11,13,169,457,10,2,2,1,0,2,667
105,"PRIMARY SCHOOL 3 KAUDIYAGANJ  R.N.2",630,553,0,1183,300,273,0,573,488,0,7,24,3,527,6,0,1,0,1,4,573
106,"PRACHIN PRIMARY SCHOOL TANKI KE PAAS KAUDIYAGANJ R.N.1",503,432,0,935,347,276,0,623,223,0,33,7,505,68,2,4,0,0,0,4,623
107,"PRACHIN PRIMARY SCHOOL TANKI KE PAAS KAUDIYAGANJ R.N.2",838,722,0,1560,440,415,0,855,850,0,23,28,9,773,9,1,1,1,1,9,855
108,"PRIMARY SCHOOL SIKANDARPUR",682,604,0,1286,455,335,0,790,790,0,2,7,191,558,6,6,5,0,6,9,790
109,"JUNIOR HIGH SCHOOL PILKHNA R.N.3",607,542,0,1149,390,335,0,725,724,0,5,469,15,228,3,0,2,0,0,3,725
110,"JUNIOR HIGH SCHOOL PILKHNA R.N.4",425,377,1,803,178,150,0,328,211,0,11,87,136,89,1,1,0,0,0,3,328
111,"JUNIOR HIGH SCHOOL PILKHNA R.N.1",737,650,0,1387,381,305,0,686,686,0,25,342,7,300,2,0,1,0,2,7,686
112,"JUNIOR HIGH SCHOOL PILKHNA R.N.2",503,429,0,932,295,201,0,496,375,0,10,280,13,184,2,1,0,0,3,3,496
113,"MATHURA PRASAD PRIMARY SCHOOL PILKHANA R.N.1",718,604,0,1322,395,325,0,720,690,0,7,244,181,277,3,1,1,2,0,4,720
114,"MATHURA PRASAD PRIMARY SCHOOL PILKHANA R.N.2",833,717,0,1550,402,327,0,729,615,0,14,323,37,343,1,1,0,0,2,8,729
115,"PRIMARY SCHOOL AKRABAD R.N.1",618,534,0,1152,375,265,0,640,634,0,9,46,340,234,2,1,1,0,2,5,640
116,"PRIMARY SCHOOL AKRABAD R.N.2",573,507,0,1080,335,254,0,589,574,0,3,173,306,85,2,1,3,1,4,11,589
117,"JUNIOR HIGH SCHOOL AKARABAD R.N.1",457,438,0,895,293,225,0,518,518,0,17,59,56,375,2,0,1,2,0,6,518
118,"JUNIOR HIGH SCHOOL AKARABAD R.N.2",505,453,0,958,325,239,0,564,522,0,10,125,137,286,1,0,1,1,1,2,564
119,"AADARSH U M VIDHALAY JIRAULI HEERA SINGH",511,451,0,962,363,286,0,649,490,0,13,40,520,67,1,2,0,1,2,3,649
120,"AADARSH U M VIDHALAY JIRAULI HEERASINGH R.N.2",530,462,0,992,342,256,0,598,594,0,36,100,407,42,1,1,1,2,3,5,598
121,"AADARSH U M VIDHALAY JIRAULI HEERASINGH R.N.3",493,403,0,896,300,231,0,531,320,0,4,214,294,13,0,3,1,1,0,1,531
122,"AADARSH U M VIDHALAY JIRAULI HEERASINGH R.N.4",431,372,0,803,326,239,0,565,489,0,6,1,537,19,0,0,0,0,1,1,565
123,"PRIMARY SCHOOL KUANGAWN",333,300,0,633,237,204,0,441,385,0,2,97,146,191,1,1,0,1,1,1,441
124,"JUNIOR HIGH SCHOOL SHAHGARH R.N.1",530,469,0,999,366,298,0,664,342,0,0,8,594,47,2,3,2,4,0,4,664
125,"JUNIOR HIGH SCHOOL SHAHGARH R.N.2",720,613,0,1333,369,304,0,673,558,0,12,105,459,79,3,2,2,3,5,3,673
126,"PRIMARY SCHOOL  SHAHGARH",566,452,0,1018,349,261,0,610,605,0,63,517,12,6,0,2,1,1,3,5,610
127,"PRIMARY SCHOOL NAGRIYA PATTI CHAHRAM",605,527,0,1132,426,383,0,809,785,0,26,166,581,8,7,2,1,9,1,8,809
128,"PRIMARY SCHOOL RAYPIR MANIPUR",666,626,0,1292,442,350,0,792,738,0,344,17,224,199,2,3,0,0,0,3,792
129,"PRIMARY SCHOOLBAHADURPUR",500,412,0,912,335,257,0,592,590,0,377,4,139,62,1,1,1,3,2,2,592
130,"PRIMARY SCHOOL KASIMPUR R.N.1",526,446,0,972,381,313,0,694,622,0,1,5,662,12,1,1,3,4,1,4,694
131,"PRIMARY SCHOOL KASIMPUR R.N.2",734,587,0,1321,431,317,0,748,630,0,11,25,659,41,0,2,4,0,1,5,748
132,"PRIMARY SCHOLL KHEDIYA HARCHAND",309,267,0,576,185,140,0,325,259,0,97,55,167,4,0,1,1,0,0,0,325
133,"PRIMARY SCHOOL DABHAURA",530,429,0,959,309,245,0,554,550,0,178,21,313,32,3,2,1,2,0,2,554
134,"PRIMARY SCHOOL KUTUBPUR AMARPUR",630,532,0,1162,419,381,0,800,800,0,3,147,621,22,2,2,1,0,1,1,800
135,"PRIMARY SCHOLL UTASANI",471,405,0,876,371,309,0,680,679,0,10,46,575,34,1,4,1,2,3,4,680
136,"PRIMARY SCHOOL BHILAWALI",543,481,0,1024,325,314,0,639,497,0,32,154,422,25,0,0,3,1,1,1,639
137,"PRIMARY SCHOOL KASERI",380,343,0,723,330,277,0,607,592,0,5,165,60,367,5,1,0,0,1,3,607
138,"PRIMARY SCHOOL TEHRA",810,701,0,1511,517,411,0,928,878,0,222,149,332,200,6,2,5,6,0,6,928
139,"PRIMARY SCHOOL RAMNAGAR",655,581,0,1236,480,425,0,905,505,0,9,126,740,18,1,6,2,1,1,1,905
140,"PRIMARY SCHOOL BHAGAUSA",329,293,0,622,210,167,0,377,366,0,154,3,192,12,1,1,0,2,0,12,377
141,"PANCHAYATGARH BHILAIT",274,250,0,524,202,184,0,386,349,0,27,1,339,9,0,0,1,2,4,3,386
142,"PRIMARY SCHOOL MAHUA KHEDA",529,467,0,996,371,308,0,679,668,0,53,265,276,75,1,0,1,2,1,5,679
143,"PRIMARY SCHOOL DARAPUR",393,342,0,735,260,212,0,472,459,0,15,211,225,9,1,1,1,2,5,2,472
144,"PRIMARY SCHOL SIKENDRAPUR MACHHUA",479,422,0,901,367,313,0,680,500,0,9,141,493,33,0,1,1,0,1,1,680
145,"PRIMARY SCHOOL BARKATPUR",478,412,0,890,343,295,0,638,608,0,10,186,376,42,4,3,4,4,4,5,638
146,"PRIMARY SCHOOL GURUSIKRAN R.N.1",473,409,0,882,323,254,0,577,550,0,8,246,278,32,0,1,1,1,3,7,577
147,"PRIMARY SCHOOL GURUSIKRANR  R.N.2",427,389,0,816,316,249,0,565,533,0,6,128,394,32,1,0,0,0,2,2,565
148,"PRIMARY SCHOOL NIJAMATPUR WORNA",568,502,1,1071,413,287,0,700,470,0,30,162,490,6,2,1,0,4,2,3,700
149,"PIRMARY SCHOOL PIKHAUNE",717,622,0,1339,619,471,0,1090,1090,0,4,13,976,88,2,1,1,1,1,3,1090
150,"PRIMARY SCHOOL IMLANEE",599,483,0,1082,371,288,0,659,642,0,31,237,368,19,0,0,1,1,2,0,659
151,"KANYA PIRMARY SCHOOL KHAN ALAMPUR",582,542,0,1124,404,354,0,758,758,0,23,161,503,61,2,2,2,1,0,3,758
152,"PRIMARY SCHOOL MAY",446,371,0,817,320,231,0,551,506,0,4,16,504,17,2,2,1,3,0,2,551
153,"PRIMARY SCHOOL ITAWALI",350,305,0,655,217,156,0,373,185,0,2,54,292,20,0,1,0,0,0,4,373
154,"PANCHAYATGHAR DEENDAYALPUR",233,202,0,435,181,151,0,332,100,0,1,8,311,9,1,1,0,0,0,1,332
155,"KISAN UMA MA0 VIDYALAYA BUDHASI R.N.1",506,445,0,951,302,277,0,579,579,0,48,394,117,3,5,2,0,1,5,4,579
156,"KISAN UMA MA0 VIDYALAYA BUDHASI R.N.3",469,413,0,882,286,211,0,497,496,0,16,205,202,63,1,1,2,1,2,4,497
157,"KISAN UMA MA0 VIDYALAYA BUDHASI R.N. 4",683,616,0,1299,388,318,0,706,706,0,7,279,143,261,2,4,1,1,5,3,706
158,"PRIMARY SCHOOL NIDHAULA",612,549,0,1161,426,394,0,820,700,0,4,309,475,21,1,0,1,3,2,4,820
159,"PRIMARY SCHOOL RAHSOOPUR",858,649,0,1507,393,297,0,690,643,0,7,263,348,58,2,2,0,4,1,5,690
160,"JUNIOR HIGH  SCHOOL KHARAI",384,336,0,720,261,239,0,500,400,0,3,177,301,13,1,1,0,2,0,2,500
161,"PRIMARY SCHOOL SHEKHUPUR",407,349,0,756,327,269,0,596,484,0,2,50,503,33,2,3,1,0,0,2,596
162,"JUNIOR HIGH BHATAULA",443,409,0,852,269,218,0,487,285,0,1,28,435,19,2,1,0,0,0,1,487
163,"PRIMARY SCHOOL DAULATPUR",221,207,0,428,142,121,0,263,223,0,4,122,125,9,0,1,0,1,0,1,263
164,"KANYA PRIMARY SCHOOL KHITKARI R.N.1",385,337,0,722,326,231,0,557,557,0,7,11,484,52,2,0,0,0,0,1,557
165,"KANYA PRIMARY SCHOOL KHITKARI R.N.",494,415,0,909,339,223,0,562,562,0,11,336,172,21,3,2,1,8,1,7,562
166,"PRIMARY SCHOOL BAHARAMPUR R.N.1",638,567,0,1205,318,254,0,572,517,0,12,117,307,90,25,4,3,3,1,10,572
167,"PRIMARY SCHOOL BAHARAMPUR R.N.2",444,381,0,825,247,225,0,472,472,0,4,238,94,128,6,1,1,0,0,0,472
168,"PANCHAYATGHAR UKRNA",215,185,0,400,130,130,0,260,260,0,3,188,61,4,3,1,0,0,0,0,260
169,"PRIMARYY SCHOOL SHAHJAHANPUR TAJPUR R.N.1",397,328,0,725,259,214,0,473,403,0,21,19,413,14,0,1,0,2,1,2,473
170,"PRIMARYY SCHOOL SHAHJAHANPUR TAJPUR R.N.2",374,335,0,709,234,189,0,423,405,0,58,105,243,6,2,1,2,2,3,1,423
171,"PRIMARY SCHOOL BHADURGARHI JALALI",788,693,0,1481,460,351,0,811,603,0,82,152,557,16,0,1,0,0,1,2,811
172,"SWAMI KRISHANANAND INTER COLLEGE JALALI 1",616,551,0,1167,368,260,0,628,603,0,20,40,307,249,3,3,2,0,0,4,628
173,"SWAMI KRISHANANAND INTER COLLEGE JALALI R.N.2",845,730,0,1575,547,405,0,952,947,0,15,288,112,513,7,4,1,3,5,4,952
174,"SWAMI KRISHANANAND INTER COLLEGE JALALI 3",623,542,0,1165,404,336,0,740,740,0,5,410,193,110,3,1,0,5,2,11,740
175,"PRIMARY SCHOOL BHADURGARHI JALALI R.N.4",650,583,0,1233,418,339,0,757,701,0,13,88,217,410,8,3,0,7,1,10,757
176,"PRIMARY SCHOOL JALALI R.N.1",549,490,0,1039,341,292,0,633,633,0,6,265,184,166,1,1,1,2,3,4,633
177,"PRIMARY SCHOOL JALALI R.N.2",525,446,0,971,341,273,0,614,611,0,7,176,104,318,1,0,1,1,0,6,614
178,"PRIMARY SCHOOL JALALI R.N.3",574,505,0,1079,403,286,0,689,685,0,128,90,62,385,4,3,0,4,6,7,689
179,"SWAMI KRISHANANAND INTER COLLEGE JALALI R.N. 5",613,517,0,1130,380,280,0,660,579,0,1,15,622,17,1,1,0,1,0,2,660
180,"NAGAR PANCHAYAT KARYALALY JALALI",535,472,2,1009,258,257,0,515,515,0,8,198,63,229,4,3,1,0,6,3,515
181,"SWAMI KRISHANANAND INTER COLLEGE JALALI 6",817,684,0,1501,452,288,0,740,366,0,10,426,265,33,1,2,0,0,1,2,740
182,"PRIMARY SCHOOL EDALPUR",455,354,0,809,292,237,0,529,423,3,3,66,378,64,3,2,2,4,0,7,529
183,"PRIMARY SHOOL UKAWALI",438,383,0,821,320,247,0,567,567,0,4,68,469,25,0,1,0,0,0,0,567
184,"PRIMARY SCHOOL CHANDGARHI",303,263,0,566,219,169,0,388,384,0,2,67,255,61,0,0,0,1,1,1,388
185,"PRIMARY SCHOOL SHEKHA",257,202,0,459,156,124,0,280,280,0,7,109,149,8,0,2,0,0,2,3,280
186,"PRIMARY SCHOOL KALIYANPUR",340,284,0,624,222,193,0,415,411,0,7,197,190,10,0,5,2,2,1,1,415
187,"PRIMARY SHCOOL CHANGERI",544,448,0,992,302,263,0,565,565,0,4,208,285,43,1,2,3,10,3,6,565
188,"PRUMARY SCHOOL MAHAMUDAPUR JAMALAPUR R.N.1",484,405,0,889,357,244,0,601,600,0,9,165,381,28,5,1,0,2,0,10,601
189,"PRUMARY SCHOOL MAHAMUDAPUR JAMALAPUR R.N.2",535,415,0,950,260,199,0,459,457,0,8,119,305,6,1,1,4,5,3,7,459
190,"PRIMARY SCHOOL ALHDADPUR R.N.1",625,537,0,1162,432,292,0,724,722,0,3,78,546,72,21,2,0,1,0,1,724
191,"PRIMARY SCHOOL ALHDADPUR R.N.2",557,493,0,1050,411,281,0,692,306,0,85,75,495,33,0,0,0,0,0,4,692
192,"PRIMARY SCHOOL IKARI",827,729,0,1556,496,356,0,852,703,0,44,223,384,179,6,4,2,0,1,9,852
