"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASTBHUJA PRASAD TRIPATHI","2 - ADITYANATH","3 - RAJMATI NISHAD","4 - RAM BHUAL NISHAD","5 - INDRA DEO YADAVA","6 - FAIZ AHAMAD FAIZI","7 - MUNNA","8 - RAJIT MISHRA","9 - RAJESH","10 - RADHE MOHAN MISRA","11 - MOHD. WASEEM KHAN","12 - SUBASH KUMAR MAURYA","13 - ACHHE LAL GUPTA","14 - ASHOK","15 - RAMKISHUN","16 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL NEW BUILDING  MARAHATHA ROOM. NO 1",597,507,0,1104,434,360,0,794,8,0,16,628,47,77,4,1,2,3,4,1,1,0,3,3,1,3,794
2,"PRIMARY SCHOOL NEW BUILDING MARAHATHA ROOM. NO 2",399,331,0,730,305,240,0,545,65,0,19,375,119,20,0,0,0,0,0,3,1,2,1,0,1,4,545
3,"PRIMARY SCHOOL BAKHARIA",626,521,0,1147,322,258,0,580,425,0,16,145,274,76,4,1,7,3,6,1,4,3,13,6,8,13,580
4,"PRIMARY SCHOOL MEJHUKA",833,656,0,1489,503,388,0,891,91,0,24,110,455,277,2,0,3,0,0,1,3,2,3,2,2,7,891
5,"PRIMARY SCHOOL KHARKHARIA ROOM. NO 1",678,558,0,1236,367,331,0,698,697,0,24,279,206,141,3,4,1,4,1,6,3,2,8,4,0,12,698
6,"PRIMARY SCHOOL KHARKHARIA ROOM. NO 2",626,501,0,1127,378,346,0,724,44,0,9,165,506,34,0,1,0,1,1,0,0,1,1,3,1,1,724
7,"PRIMARY SCHOOL  BADUA ROOM. NO 1",386,335,0,721,184,206,0,390,1,0,6,278,15,68,1,2,0,1,3,1,0,0,2,4,4,5,390
8,"PRIMARY SCHOOL  BADUA ROOM. NO 2",231,182,0,413,121,97,0,218,218,0,13,112,31,52,0,1,0,1,0,0,0,0,1,4,2,1,218
9,"PANCHYAT BHAWAN GAURA",244,201,0,445,109,123,0,232,3,0,4,27,107,62,3,0,4,0,1,0,0,3,7,7,4,3,232
10,"PRIMARY SCHOOL BANDOH",613,517,0,1130,330,296,0,626,1,0,37,151,175,195,7,1,6,2,4,4,2,3,10,11,8,10,626
11,"PRIMARY SCHOOL KUNWAR ROOM. NO 1",708,564,0,1272,438,365,0,803,5,0,15,285,335,141,2,1,4,0,1,0,1,0,5,4,3,6,803
12,"PRIMARY SCHOOL KUNWAR ROOM. NO 2",497,419,0,916,249,219,0,468,110,0,13,274,115,46,2,1,2,0,0,0,1,0,6,3,3,2,468
13,"PRIMARY SCHOOL MOGLAHA",758,575,0,1333,373,303,0,676,628,0,54,304,205,76,4,4,3,1,2,2,0,3,8,6,1,3,676
14,"PRIMARY SCHOOL JAVAINIHA",611,473,0,1084,381,274,0,655,7,0,13,200,349,48,2,1,0,1,4,12,2,2,3,7,5,6,655
15,"PRIMARY SCHOOL RAMKOLA",291,238,0,529,149,130,0,279,279,0,5,98,150,11,0,0,2,0,1,1,1,0,1,2,5,2,279
16,"PRIMARY SCHOOL BELMA",631,538,1,1170,392,379,0,771,699,0,17,195,462,52,1,1,3,0,2,1,0,2,8,9,5,13,771
17,"PRIMARY SCHOOL BELMA",303,255,0,558,183,173,0,356,258,0,3,214,105,24,0,1,0,1,1,0,0,0,0,2,1,4,356
18,"PRIMARY SCHOOL BALUWA ROOM NO 1",691,557,0,1248,377,352,0,729,65,0,28,402,92,154,3,1,3,5,3,5,2,1,3,8,12,7,729
19,"PRIMARY SCHOOL BALUWA ROOM NO 2",348,300,0,648,194,187,0,381,1,0,8,155,78,103,0,2,0,3,0,5,3,3,2,8,8,3,381
20,"PRIMARY SCHOOL BALUWA ROOM NO 3",714,553,0,1267,397,350,0,747,48,0,27,370,112,188,5,1,9,2,3,2,1,1,3,2,7,14,747
21,"PRIMARY SCHOOL SONOURA KHURD",254,205,0,459,142,137,0,279,1,0,12,177,18,69,1,0,2,0,0,0,0,0,0,0,0,0,279
22,"PRIMARY SCHOOL KHAIRAT",436,332,0,768,225,197,0,422,219,0,5,102,249,53,2,1,0,0,0,0,2,0,2,2,0,4,422
23,"PRIMARY SCHOOL DUMARIYA",833,648,0,1481,467,354,0,821,7,0,35,341,391,12,3,2,2,2,0,4,1,0,7,12,3,6,821
24,"BARAT GHAR BHUVAHI",177,155,0,332,99,110,0,209,6,0,3,69,118,12,0,0,0,0,0,0,1,0,0,1,2,3,209
25,"PRIMARY SCHOOL SONOURA BUZURG ROOM NO 1",811,650,0,1461,430,334,0,764,14,0,12,581,89,18,1,3,2,1,3,5,2,2,15,7,7,16,764
26,"PRIMARY SCHOOL SONOURA BUZURG ROOM NO 2",260,217,0,477,111,102,0,213,110,0,9,123,30,42,0,0,1,0,1,6,0,0,0,0,0,1,213
27,"PRIMARY SCHOOL SONOURA BUZURG ROOM NO 3",470,399,0,869,268,236,0,504,3,0,13,224,83,157,1,1,1,0,2,6,2,2,3,0,2,7,504
28,"PRIMARY SCHOOL SONOURA BUZURG ROOM NO 4",512,397,0,909,256,225,0,481,13,0,17,299,135,0,0,1,1,1,0,13,3,2,1,3,1,4,481
29,"PRIMARY SCHOOL SONOURA BUZURG ROOM NO 5",523,460,0,983,279,234,0,513,9,0,12,418,23,40,0,1,1,0,1,3,0,3,1,2,5,3,513
30,"PRIMARY SCHOOL GAY GHAT",407,322,0,729,192,197,0,389,1,0,3,70,265,36,1,0,0,0,2,0,1,1,2,2,1,5,389
31,"PRIMARY SCHOOL VISHUNPUR",429,333,0,762,217,197,0,414,12,0,13,80,251,47,1,0,1,0,0,1,1,2,8,2,2,5,414
32,"PRIMARY SCHOOL RIGAULI PURAB",676,574,0,1250,334,338,0,672,1,0,35,113,406,92,0,1,0,0,0,1,3,0,13,2,1,5,672
33,"PRIMARY SCHOOL RIGAULI WEST",734,577,0,1311,317,283,0,600,240,0,35,251,201,84,3,2,2,0,1,1,2,1,6,8,2,1,600
34,"PRIMARY SCHOOL BHAISALA",510,398,0,908,288,241,0,529,3,0,19,272,188,33,1,1,0,0,0,0,0,1,7,2,2,3,529
35,"PRIMARY SCHOOL BHAGWANPUR",432,346,0,778,282,194,0,476,155,0,37,298,81,43,1,0,1,0,1,0,0,1,2,5,0,6,476
