"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NAFISUDDIN","2 - BEGUM NOOR BANO URF MEHTAB","3 - HAJI MOHD YAQOOB","4 - KUNWER SARVESH KUMAR","5 - DR S T HASAN","6 - AMIT KUMAR","7 - KAMAR ALAM","8 - JAIPAL SINGH SAINI","9 - MOHD ZAFAR IQBAL","10 - TEAJ SINGH SAINI","11 - ENGINEER MOHAMMAD IRFAN","12 - VIMAL KUMAR","13 - SATISH CHANDRA SHARMA","14 - SANDEEP KUMAR","15 - SAURABH PRATAP SINGH","16 - HARIOM","17 - RAJ KUMAR GUPTA","18 - ROOPA CHANDRA SINGH","19 - None of the Above","Total Votes Secured"
1,"J.H S SABALPUR ROOM 1",538,473,0,1011,301,321,0,622,592,0,0,10,271,102,190,1,1,1,1,0,5,7,1,8,0,4,2,1,17,622
2,"J.H S SABALPUR ROOM 2",495,445,0,940,317,317,0,634,434,0,3,0,53,283,259,3,0,0,1,1,20,1,0,1,2,0,3,1,3,634
3,"PRAIMARY SCHOOL DULHAPUR PATTI JAT",708,562,0,1270,447,393,0,840,840,0,2,9,112,480,190,4,1,2,0,1,8,17,4,3,3,1,0,0,3,840
4,"PRAIMARY SCHOOL AMANTABAD",739,622,0,1361,487,444,0,931,931,0,2,1,134,488,266,4,0,1,0,0,0,20,1,0,5,2,1,2,4,931
5,"PRAIMARY SCHOOL DULHAPUR PATTI CHOUHAN",633,570,0,1203,532,360,0,892,403,0,2,0,134,524,217,3,0,0,2,0,4,0,4,0,0,1,0,1,0,892
6,"PRAIMARY SCHOOL TANDA AFJAL",670,614,0,1284,488,403,0,891,888,0,3,7,147,680,31,2,0,1,1,1,0,4,2,1,3,2,0,1,5,891
7,"J.H SCHOOL RAMPUR GHOGHAR ROOM 1",701,632,0,1333,511,456,0,967,964,0,1,8,15,627,297,1,3,0,0,1,1,0,0,2,4,5,0,2,0,967
8,"J.H S  RAMPUR GHOGHAR  ROOM2",380,338,0,718,287,245,0,532,518,0,1,4,135,299,80,1,0,0,1,0,0,1,1,2,5,1,1,0,0,532
9,"GANDHI SMARK P.G COLLEGE ROOM 1SURJANNAGAR",757,612,0,1369,399,330,0,729,729,0,0,9,88,219,341,1,2,0,0,1,59,0,1,0,0,1,0,3,4,729
10,"GANDHI SMARK P.G COLLEGE SURJANNAGAR ROOM 2",752,588,0,1340,501,398,0,899,895,0,5,11,525,251,35,0,1,2,1,3,8,1,3,3,3,4,3,25,15,899
11,"GANDHI SMARK P.G COLLEGE ROOM 3 SURJANNAGAR",563,474,0,1037,392,324,0,716,716,0,0,11,12,0,366,305,2,1,2,0,0,0,0,2,1,4,1,4,5,716
12,"GANDHI SMARK P.G COLLEGE  SURJANNAGAR ROOM4",457,379,0,836,283,248,0,531,523,0,0,2,16,329,150,3,0,3,0,3,3,6,3,3,6,2,0,0,2,531
13,"KISAN SEVA KENDRE SURJANNAGAR",686,579,0,1265,427,403,0,830,830,0,1,12,10,550,219,6,2,0,0,1,10,0,1,1,6,2,3,0,6,830
14,"GANDHI SMARK INTAR .C.SURJANNAGAR",791,644,1,1436,535,441,0,976,976,0,7,8,222,554,139,2,0,1,2,0,9,3,4,3,3,5,1,2,11,976
15,"PRAIMARY SCHOOL BHAPUR ROOM 1",503,438,0,941,421,349,0,770,270,0,0,1,73,503,151,1,2,1,0,1,2,23,2,1,3,4,0,1,1,770
16,"PRAIMARY SCHOOL BHAPUR ROOM 2",423,361,0,784,301,234,0,535,530,0,2,1,37,440,37,0,1,1,1,3,1,1,1,1,2,5,0,0,1,535
17,"PRAIMARY SCHOOL PIPLI AHEER  MU ROOM 1",506,441,0,947,379,348,0,727,727,0,1,4,13,336,343,2,1,1,3,1,1,3,1,1,3,5,1,1,6,727
18,"PRAIMARY SCHOOL PEEPLIAHEER MU.ROOM 2",366,317,0,683,295,232,0,527,527,0,1,3,78,316,115,1,1,1,0,1,1,0,1,1,0,0,0,1,6,527
19,"PRAIMARY SCHOOL ROOM 1 LALPUR PIPALSANA",596,505,0,1101,437,380,0,817,667,0,6,6,150,332,297,3,0,1,0,3,1,6,1,3,2,1,1,0,4,817
20,"PRAIMARY SCHOOLROOM 3 LALPUR PIPALSANA",458,393,0,851,254,281,0,535,508,0,2,2,14,33,456,7,0,1,0,2,2,4,1,1,2,4,0,1,3,535
21,"PRAIMARY SCHOOLROOM 2 LALPUR PIPALSANA",775,673,0,1448,600,533,0,1133,1120,0,3,3,450,562,84,2,2,1,1,8,0,0,1,5,8,1,0,0,2,1133
22,"PRAIMARY SCHOOL SERPUR PATTI",745,661,0,1406,532,448,0,980,980,0,2,1,77,636,224,0,1,0,1,6,1,1,2,2,8,2,5,2,9,980
23,"PRAIMARY SCHOOL BHDAPUR MU",271,231,0,502,233,197,0,430,417,0,1,2,23,382,14,1,0,0,0,2,0,0,2,0,2,0,0,0,1,430
24,"PRAIMARY SCHOOL RAIBHUD ROOM 1",576,535,0,1111,410,363,0,773,773,0,6,4,109,444,163,1,0,1,2,13,6,4,1,1,9,2,2,1,4,773
25,"PRAIMARY SCHOOLMEERPUR   MOHANCHAK ROOM 1",483,388,0,871,338,275,0,613,600,0,0,0,44,380,170,4,1,1,0,0,2,2,1,2,1,1,1,0,3,613
26,"PRAIMARY SCHOOLMEERPUR  MOHANCHAKROOM 2",463,379,0,842,331,255,0,586,540,0,3,0,55,209,284,3,0,1,0,0,15,4,1,2,2,3,1,2,1,586
27,"PRAIMARY SCHOOL BALAPUR",361,314,0,675,323,250,0,573,573,0,2,3,75,448,18,1,1,2,1,5,0,6,2,0,4,3,1,1,0,573
28,"PRAIMARY SCHOOL VIDHUWADHER",259,228,0,487,206,185,0,391,391,0,2,2,11,180,183,1,2,1,1,0,0,6,1,1,0,0,0,0,0,391
29,"PRAIMARY SCHOOL KHUAJPUR DHANTALA",801,690,0,1491,532,467,0,999,996,0,4,4,111,681,159,4,0,1,0,1,0,6,5,1,5,5,0,3,9,999
30,"PRAIMARY SCHOOL SERPUR VEHLEEN",348,317,0,665,270,249,0,519,507,0,0,2,92,311,99,3,1,0,0,0,1,5,2,0,0,2,0,0,1,519
31,"PRAIMARY SCHOOL PIPLIUMARPUR",766,610,0,1376,559,458,0,1017,1017,0,4,2,88,633,270,4,1,1,2,1,1,1,2,3,1,1,1,0,1,1017
32,"PRAIMARY SCHOOL RANINAGAL",410,353,0,763,303,272,0,575,574,0,1,2,101,341,97,1,2,2,1,2,2,5,0,3,3,3,0,2,7,575
33,"PRAIMARY SCHOOL ESHAPUR ROOM 1",238,205,0,443,200,173,0,373,372,0,1,1,43,186,131,2,0,0,1,0,0,0,1,0,4,1,0,1,1,373
34,"PRAIMARY SCHOOL MUIUDDINPUR",544,523,0,1067,417,412,0,829,47,0,0,0,100,318,385,2,3,2,1,1,1,2,2,1,2,3,1,0,5,829
35,"PRAIMARY SCHOOL BAHADURNAGAR",818,738,0,1556,591,554,0,1145,1145,0,4,5,112,483,450,5,2,3,1,2,1,59,1,4,5,5,0,0,3,1145
36,"PRAIMARY SCHOOL PANDLA",418,340,0,758,314,245,0,559,520,0,5,3,36,458,25,1,0,1,3,2,0,2,5,2,4,8,1,0,3,559
37,"PRAIMARY SCHOOL ALAMGEERPUR",237,199,0,436,171,164,0,335,267,0,0,2,7,247,66,0,0,1,2,0,0,3,2,1,1,2,0,0,1,335
38,"PRAIMARY SCHOOL KUNDESRA MU.SABIK",612,539,0,1151,560,331,0,891,50,0,4,1,297,490,64,3,1,0,0,2,1,1,1,2,2,1,1,3,17,891
39,"PRAIMARY SCHOOL VERAMPUR",516,439,0,955,345,341,0,686,654,0,1,3,10,371,279,4,0,0,1,1,2,3,0,4,4,0,0,1,2,686
40,"PRAIMARY SCHOOLROOM 1 RAMNAGAR KHAGUWAL",836,720,0,1556,642,525,0,1167,1165,0,0,2,122,603,390,2,1,1,0,0,25,5,1,3,5,4,1,0,2,1167
41,"PRAIMARY SCHOO ROOM2 RAMNAGAR KHAGUWALA",545,454,1,1000,405,330,0,735,735,0,2,5,11,286,357,4,0,0,1,2,55,0,1,0,5,0,1,1,4,735
42,"PRAIMARY SCHOO ROOM 3 RAMNAGAR KHAGUWALA",405,349,0,754,297,259,0,556,556,0,4,11,7,60,360,1,0,2,1,2,104,0,0,0,0,3,0,0,1,556
43,"PRAIMARY SCHOOL FAIJULLAGANJ",537,469,0,1006,432,339,0,771,771,0,0,5,64,649,42,1,0,0,1,1,0,1,0,1,3,0,0,0,3,771
44,"PRAIMARY SCHOOL TRAFDALPAT",614,538,0,1152,472,388,0,860,857,0,4,6,93,570,155,2,4,2,1,0,0,5,1,7,5,3,0,1,1,860
45,"PRAIMARY SCHOOL PRATHVIPUR GAVDI",351,315,0,666,298,262,0,560,560,0,1,1,37,416,88,2,0,0,2,0,1,1,2,0,3,1,0,2,3,560
46,"PRAIMARY SCHOOL BUDHNAGAR",377,335,0,712,294,293,0,587,287,0,0,1,229,335,10,1,1,1,0,0,0,0,0,3,1,1,0,1,3,587
47,"PRAIMARY SCHOOL MANAVALA",397,371,0,768,301,238,0,539,237,0,4,2,70,391,44,2,0,2,0,3,5,1,3,2,7,1,0,1,1,539
48,"J.H SCHOOL KARNAWALA KHALSA",480,455,0,935,417,378,0,795,795,0,5,4,64,539,167,2,0,0,4,0,1,1,1,1,2,1,0,0,3,795
49,"PRAIMARY SCHOOL MASTALLIPUR",665,559,0,1224,460,410,0,870,866,0,2,7,127,253,466,1,1,0,2,2,1,0,0,2,3,1,0,2,0,870
50,"PRAIMARY SCHOOL VIJAYRAMPUR",436,345,0,781,310,256,0,566,566,0,0,0,82,311,165,2,0,0,0,1,0,0,1,1,0,0,0,0,3,566
51,"PRAIMARY SCHOOL SHABAZPUR KALA",586,511,0,1097,423,337,0,760,760,0,3,7,114,66,222,3,0,8,2,1,299,5,4,7,7,7,1,2,2,760
52,"PRAIMARY SCHOOL KARNAWALA JABTI",562,456,0,1018,399,328,0,727,727,0,0,5,122,533,39,3,0,2,0,2,1,1,4,2,4,3,2,1,3,727
53,"KRASAK . I.C.ROOM 1 SAREEF NAGAR",642,562,0,1204,421,360,0,781,781,0,1,20,184,128,423,2,0,2,2,2,0,2,3,2,2,4,1,1,2,781
54,"KIRASAK  I. C.ROOM 6 SAREEF NAGAR",397,315,0,712,268,218,0,486,456,0,0,2,60,270,138,1,1,0,0,1,0,0,0,2,2,2,1,1,5,486
