"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MAHENDRA KUMAR","2 - VINOD KUMAR SONKAR","3 - SHAILENDRA KUMAR","4 - SURESH PASI","5 - MALTI DEVI","6 - RAJENDRA SONKAR","7 - SHRIPAL","8 - SWARNALATA SUMAN","9 - CHHEDDOO","10 - BEENA RANI","11 - MOHAN LAL","12 - None of the Above","Total Votes Secured"
43,"P.S. PATTINARVAR NORTH PART 1",793,612,0,1405,350,319,0,669,663,0,15,375,178,76,3,4,2,1,0,0,8,7,669
44,"UPS BARAI SULEM",488,445,0,933,244,273,0,517,517,0,20,327,42,82,4,11,4,2,7,2,9,7,517
45,"P.S. BASEDHI EAST PART",771,591,0,1362,329,277,0,606,606,0,20,333,80,128,4,7,3,2,1,2,7,19,606
46,"P.S. BASEDHI WEST PART",665,532,0,1197,335,310,0,645,645,0,16,340,144,77,3,9,19,1,2,3,10,21,645
47,"P.S. SHOBHNA EAST PART",590,464,0,1054,304,293,0,597,3,0,22,325,72,131,4,5,4,2,2,4,12,14,597
48,"P.S. SHOBHNA WEST PART",493,373,0,866,238,191,0,429,429,0,12,302,75,14,3,5,0,0,0,2,5,11,429
49,"MAHESHVARI PRASAD I C ALAMCHANDRA NORTH PART",612,482,0,1094,352,233,0,585,105,0,41,289,96,139,5,3,3,0,0,1,0,8,585
50,"MAHESHVARI PRASAD I C ALAMCHANDRA NORTH PART 1",469,399,0,868,202,186,0,388,388,0,27,209,115,24,0,0,1,6,1,0,3,2,388
51,"MAHESHVARI PRASAD I C ALAMCHANDRA CENTER PART",512,412,0,924,247,248,0,495,495,0,11,350,27,69,3,6,2,1,1,2,2,21,495
52,"P.S. ADAMPUR NADIRALI",874,688,0,1562,400,292,0,692,235,0,23,368,86,146,6,4,8,5,9,7,13,17,692
53,"P.S. SIKANDARPUR BAJHAN NORTH PART",543,426,0,969,345,259,0,604,27,0,18,271,161,130,1,6,3,0,0,1,3,10,604
54,"P.S. SIKANDARPUR BAJHAN NORTH PART 1",471,379,0,850,278,227,0,505,505,0,9,162,254,46,4,2,2,3,2,2,8,11,505
55,"P.S. SIKANDARPUR BAJHAN SOUTH PART",525,435,0,960,302,240,0,542,5,0,11,170,216,113,7,4,6,1,1,1,5,7,542
56,"P.S. LOHRA",437,458,0,895,247,172,0,419,150,0,12,53,323,16,0,0,1,2,0,0,3,9,419
57,"P.S. SOKHDA",400,374,0,774,196,210,0,406,78,0,11,56,262,61,2,3,3,1,1,1,2,3,406
58,"MAHGOAN I C MAHGAON EAST PART",779,685,0,1464,359,275,0,634,28,0,38,59,130,370,3,2,2,6,0,1,7,16,634
59,"MAHGAON I C MAHGAON EAST CENTER PART",806,671,0,1477,402,259,0,661,215,0,43,213,103,261,16,8,8,0,2,2,2,3,661
