"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KALRAJ MISHRA","2 - NIYAJ AHMAD","3 - BALESHWAR YADAV","4 - SABHA KUNWAR","5 - AROON KUMAR TRIPATHI","6 - AWADH KISHOR NIGAM","7 - INTZARUL","8 - UMESH","9 - RAJU","10 - RAM PRAVESH","11 - RAM PREET","12 - VED PRAKASH MALL","13 - SHYAM SUNDAR","14 - BARKHA KINNAR","15 - HEMANT KISHOR SRIVASTAVA","16 - None of the Above","Total Votes Secured"
1,"P.V SIRSIYA",819,648,0,1467,395,453,0,848,848,0,230,374,203,19,1,0,2,3,2,2,0,0,5,1,3,3,848
2,"P.V ARJUNDIHA",584,461,0,1045,305,297,0,602,602,0,184,296,106,4,1,1,0,3,0,1,0,0,0,2,2,2,602
3,"P.V BABHNAULI",356,268,0,624,140,141,0,281,281,0,174,69,28,2,1,0,0,0,1,0,1,0,0,1,1,3,281
4,"J.H.S BANJARIYA R.N-1",502,428,0,930,290,255,0,545,545,0,205,147,156,6,4,1,1,1,4,3,1,0,6,0,5,5,545
5,"J.H.S BANJARIYA R.N-2",274,238,0,512,138,104,0,242,242,0,114,56,59,6,1,0,0,0,0,1,0,0,2,0,0,3,242
6,"P.V BASANTPUR",958,670,0,1628,466,309,0,775,775,0,420,238,92,13,1,0,0,2,3,1,1,0,1,0,1,2,775
7,"P.V PARSIYA",724,581,0,1305,343,332,0,675,675,0,443,150,20,26,1,0,0,1,6,4,3,1,4,3,6,7,675
8,"P.V BHUDIPAKAD R.N-1",459,411,0,870,275,258,0,533,533,0,409,52,38,20,1,0,0,0,1,2,0,0,0,1,1,8,533
9,"P.V BHUDIPAKAD R.N-2",435,380,0,815,258,240,0,498,498,0,306,93,71,9,1,0,1,0,3,0,2,1,1,3,3,4,498
10,"P.V KARAJ",676,540,0,1216,449,302,0,751,751,0,374,259,78,11,2,3,1,0,5,3,1,1,3,0,2,8,751
11,"P.V KANHAULI",227,188,0,415,140,132,0,272,272,0,102,152,6,2,2,0,0,0,2,0,0,0,1,2,1,2,272
12,"P.V NARAYANPUR",407,371,0,778,236,200,0,436,436,0,201,153,59,3,2,0,0,0,2,1,0,0,1,2,3,9,436
13,"P.V MUKUNDPUR",398,341,0,739,220,170,0,390,390,0,174,166,23,12,0,0,0,1,2,0,0,1,4,3,0,4,390
14,"P.V RAMPUR",642,539,0,1181,422,295,0,717,717,0,496,155,32,12,3,2,1,1,3,3,0,0,0,3,2,4,717
15,"P.V CHAINPUR",606,532,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"P.V VIKRAM VISHUNPUR R.N-1",613,506,0,1119,352,295,0,647,647,0,425,110,52,28,5,2,0,1,4,0,2,2,1,4,5,6,647
