"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAGDAMBIKA PAL","2 - MATA PRASAD PANDEY","3 - MUHAMMAD MUQEEM","4 - VASUNDHARA","5 - HAMIDULLAH CHAUDHARY","6 - DR. MOHD. AYUB","7 - ARJUN SINGH","8 - PINGLE PRASAD","9 - BADRE ALAM","10 - MANOJ KUMAR","11 - RAVI KUMAR","12 - DR. SATYENDRA  NATH PANDEY","13 - SANTRAM","14 - KALI RAM","15 - DIWAKAR PRASAD","16 - MUKESH NARAYAN SHUKLA URF GYANESH NARAYAN SHUKLA","17 - RAM UGRAH","18 - None of the Above","Total Votes Secured"
1,PATNA,472,375,0,847,263,207,0,470,470,0,191,40,181,19,1,6,1,4,2,0,0,8,2,3,6,2,2,2,470
2,SHAHEPARA,599,486,2,1087,256,269,0,525,525,0,94,30,248,32,2,84,2,12,1,1,1,5,1,1,0,3,3,5,525
3,HATHPARA,578,466,0,1044,296,237,0,533,533,0,25,56,379,11,0,21,1,11,0,0,0,0,3,13,2,4,2,5,533
4,GADAVAR,455,384,0,839,231,137,0,368,368,0,107,89,123,25,5,1,1,3,0,1,2,1,0,6,3,1,0,0,368
5,SUKALAJOT,453,361,0,814,243,164,0,407,407,0,216,35,72,31,2,14,1,1,1,1,1,11,1,1,3,2,11,3,407
6,KARAHIYASAGHAN,553,441,0,994,265,275,0,540,540,0,227,60,170,20,1,26,1,2,0,2,0,11,1,4,3,9,0,3,540
7,SAHADEIA,260,198,0,458,133,101,0,234,234,0,118,19,63,14,0,0,1,0,0,0,2,4,4,5,0,2,1,1,234
8,"PATKHAULI NANKAR",466,408,0,874,248,233,0,481,481,0,124,50,119,148,11,6,0,5,1,0,0,1,4,1,2,3,3,3,481
9,MADHUKARPUR,251,225,0,476,153,137,0,290,290,0,148,55,64,15,0,0,0,3,0,0,0,0,0,0,0,2,1,2,290
10,MANIKAURA,446,339,0,785,255,160,0,415,415,0,180,53,108,41,2,3,2,3,1,1,1,7,1,1,1,5,4,1,415
11,"HASUDI AUSANPUR",368,297,0,665,249,166,0,415,415,0,206,61,82,27,3,14,0,1,0,1,0,9,0,4,0,2,2,3,415
12,PACHMARI,232,182,0,414,135,98,0,233,233,0,119,51,41,7,0,1,0,1,1,0,0,3,2,2,0,1,3,1,233
13,"AMAULI AKADANGA",668,572,0,1240,334,266,0,600,600,0,182,75,226,52,5,15,1,4,2,1,2,12,4,3,0,4,6,6,600
14,"HANPUR MADAHA",470,372,0,842,237,233,0,470,470,0,171,131,127,8,0,3,0,5,5,0,1,6,2,3,0,4,1,3,470
15,AHIJWAR,398,326,0,724,247,180,0,427,427,0,258,19,121,5,0,1,1,1,0,0,0,3,0,3,0,7,4,4,427
16,"PIPARA PANDEY",268,222,0,490,142,161,0,303,303,0,86,68,120,24,0,0,0,1,0,0,0,0,0,0,0,1,1,2,303
17,BARGADAVA,276,254,0,530,190,148,0,338,338,0,227,59,28,16,2,1,1,1,0,1,1,0,0,0,0,0,0,1,338
18,"MAHATINIA KHURD",456,365,0,821,304,148,0,452,452,0,158,117,118,13,3,2,1,2,2,2,3,7,4,3,0,7,2,8,452
19,"HARANA KHURI",257,212,0,469,159,128,0,287,287,0,104,136,27,5,0,0,0,2,0,0,1,2,0,1,1,5,1,2,287
20,CHAUKHADA,581,443,0,1024,343,280,0,623,623,0,370,140,28,26,2,0,0,2,3,0,7,10,4,5,8,12,2,4,623
21,CHAUKHADA,440,355,0,795,231,183,0,414,414,0,117,45,173,9,1,55,1,3,0,0,2,1,0,1,2,2,1,1,414
22,CHAUKHADA,574,405,0,979,279,209,0,488,488,0,137,86,184,9,0,37,1,2,0,2,1,3,1,3,3,5,10,4,488
23,"KUSUMHI TAIYABPUR JIGANA",330,271,0,601,162,150,0,312,312,0,102,97,58,36,1,1,0,0,0,0,0,2,0,1,2,9,2,1,312
24,"BENI NAGAR",275,255,0,530,186,156,0,342,342,0,68,103,135,14,4,11,2,2,0,0,0,0,2,0,0,1,0,0,342
25,"DENGAHAJOT KASTURI",326,258,0,584,171,144,0,315,315,0,146,76,56,7,0,8,0,1,4,0,0,4,0,0,1,5,4,3,315
26,GIRDHARPUR,497,397,0,894,298,229,0,527,527,0,227,244,12,10,3,0,0,0,3,1,1,5,0,1,3,4,6,7,527
27,ITWABAN,557,420,0,977,275,214,0,489,489,0,225,58,87,25,4,43,1,5,1,3,4,9,2,5,1,7,6,3,489
28,PAKADI,810,604,0,1414,328,252,0,580,580,0,89,58,305,70,3,22,3,5,1,4,2,3,0,4,4,2,3,2,580
29,"BENIPUR NANKAR",498,365,0,863,366,236,0,602,602,0,188,251,126,8,2,0,0,4,0,0,0,5,4,0,1,7,4,2,602
30,MAINAHAWA,1006,788,0,1794,337,309,0,646,646,0,145,286,101,15,10,59,1,1,0,0,2,9,2,2,0,3,4,6,646
31,"LOHATA MAY PIPARA KHURD BUJURG",385,322,0,707,225,182,0,407,407,0,91,237,49,10,2,2,0,2,2,0,1,1,0,0,1,3,1,5,407
32,JAGJIVANPUR,205,160,0,365,130,114,0,244,244,0,21,138,73,5,0,3,0,0,0,0,0,0,0,0,0,1,1,2,244
33,LATERA,572,465,0,1037,306,239,0,545,545,0,296,118,79,15,4,6,1,1,1,1,0,9,0,6,2,3,3,0,545
34,LATERA,466,366,0,832,245,167,0,412,412,0,91,136,89,18,4,49,0,4,1,0,0,7,1,1,2,3,2,4,412
35,"KALWARI NANKAR",489,392,0,881,210,216,0,426,426,0,47,102,217,10,1,27,1,9,0,2,0,2,1,1,2,2,0,2,426
36,"KATAYA MUSTAHAKAM",935,734,0,1669,536,439,0,975,975,0,127,71,311,52,10,301,5,13,5,2,4,20,1,7,7,12,9,18,975
37,"RUDRAULIA BUJURG",577,477,0,1054,353,300,0,653,653,0,130,236,197,8,1,30,1,5,1,0,1,3,1,8,2,11,6,12,653
38,"RUDRAULIA BUJURG",267,189,0,456,121,108,0,229,229,0,30,39,93,4,0,49,1,1,1,0,1,3,1,5,0,0,0,1,229
39,"MISHRAULIA MAY SHIVDASPUR",382,277,0,659,210,153,0,363,363,0,58,195,63,6,0,17,2,4,0,2,0,4,1,2,4,5,0,0,363
40,KUNGAI,205,161,0,366,190,126,0,316,316,0,46,217,38,4,2,2,0,0,0,0,0,3,0,2,1,0,0,1,316
41,"DHOBAHA MUSTAHAKAM",512,412,0,924,295,237,0,532,532,0,156,115,189,14,4,0,1,3,1,1,0,2,2,18,3,5,9,9,532
42,"DHOBAHA MUSTAHAKAM",531,421,0,952,278,227,0,505,505,0,95,112,233,32,2,8,1,5,0,0,1,1,2,8,1,1,2,1,505
43,"DHOBAHA AHATAMALI",451,386,0,837,254,208,0,462,462,0,97,239,80,14,1,11,1,4,2,0,1,1,0,5,0,2,1,3,462
44,BILVAT,688,535,0,1223,323,320,0,643,643,0,126,59,62,36,12,309,3,6,0,3,6,7,0,1,3,5,1,4,643
45,PARANPUR,370,306,0,676,175,177,0,352,352,0,206,40,43,17,4,7,1,2,1,0,1,8,1,2,4,1,9,5,352
46,"KAITHAVALIA REHARA",669,559,0,1228,416,342,0,758,758,0,51,643,34,4,2,4,0,3,0,1,1,2,0,0,3,2,1,7,758
47,"SEMRA BANKASIYA",566,499,0,1065,298,222,0,520,520,0,206,127,79,28,4,44,5,4,0,2,0,5,0,2,2,8,0,4,520
48,"DIVALIDIHA MISHRA",466,359,0,825,235,159,0,394,394,0,144,127,45,22,1,23,0,5,2,0,1,5,3,1,3,4,3,5,394
49,"SAROTHAR KATHAUTIYA",767,621,0,1388,392,324,0,716,716,0,275,57,271,26,7,6,1,3,3,1,3,13,7,8,7,20,5,3,716
50,PADIA,592,503,0,1095,327,246,0,573,573,0,226,117,83,114,4,1,0,2,1,1,1,7,0,2,2,4,6,2,573
51,"BIJWAR BADHAI",787,631,0,1418,374,292,0,666,666,0,240,157,181,34,2,18,2,2,2,3,1,6,0,2,1,7,3,5,666
52,"MACHHIA MUSTAHAKAM",273,246,0,519,90,108,0,198,198,0,10,10,36,7,1,123,4,0,0,1,2,4,0,0,0,0,0,0,198
53,FATTEPUR,236,211,0,447,129,106,0,235,235,0,131,46,27,25,1,0,1,0,0,0,0,1,0,1,2,0,0,0,235
54,KHURPAHAVA,562,482,0,1044,260,206,0,466,466,0,102,153,104,44,6,40,1,0,3,0,0,4,0,2,1,1,1,4,466
55,TETARI,483,516,0,999,240,285,0,525,525,0,6,406,98,2,0,3,1,1,2,0,0,0,0,0,2,0,0,4,525
