"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - GIRISH CHANDRA","2 - YASHWANT SINGH","3 - YASHVIR SINGH","4 - OMPRAKASH RAVI","5 - TEJ SINGH","6 - BHAGWAN DASS RATHOR","7 - MANJU DEVI","8 - VINOD KUMAR","9 - SHARISHTHA KUMAR SINGH","10 - SHEESHRAM SINGH RAVI","11 - SARIKA","12 - ASARPAT SINGH","13 - SHAMSHER","14 - SUNIL","15 - None of the Above","Total Votes Secured"
39,"GOVT GIRLS INTER COLLEGE ROOM NO 1",783,561,0,1344,440,307,0,747,747,0,36,48,644,5,1,1,0,0,2,0,2,0,4,1,3,747
40,"GOVT GIRLS INTER COLLEGE ROOM NO 2",233,206,0,439,127,102,0,229,229,0,3,6,210,0,0,1,0,1,0,0,4,2,0,1,1,229
41,"GOVT GIRLS INTER COLLEGE KIRATPUR ROOM NO 3",436,379,0,815,232,198,0,430,430,0,31,90,285,0,2,0,0,0,0,10,5,0,2,2,3,430
42,"GOVT GIRLS INTER COLLEGE KIRATPUR ROOM 4",445,382,0,827,229,210,0,439,439,0,76,40,307,3,0,1,0,0,0,7,2,0,1,1,1,439
43,"J.H.S. KIRATPUR KHAS",762,613,1,1376,375,316,0,691,691,0,38,12,600,3,0,1,0,1,1,17,9,1,6,1,1,691
44,"HINDU INTER COLLEGE KIRATPUR ROOM NO 1",561,498,0,1059,342,309,0,651,651,0,47,570,28,0,1,0,1,0,0,0,0,2,0,1,1,651
45,"HINDU INTER COLLEGE KIRATPUR ROOM NO २",738,659,0,1397,401,383,0,784,784,0,14,173,570,3,1,1,0,0,0,2,3,0,4,5,8,784
46,"HINDU INTER COLLEGE KIRATPUR ROOM NO 3",808,699,0,1507,320,348,0,668,668,0,8,41,592,7,0,1,0,0,0,2,12,0,1,2,2,668
47,"HINDU INTER COLLEGE KIRATPUR ROOM NO 4",500,454,0,954,374,324,0,698,698,0,15,614,50,1,1,0,1,0,0,0,7,0,1,6,2,698
48,"HINDU INTER COLLEGE NEW BUILDING ROM NO 1",545,474,0,1019,372,270,0,642,642,0,13,429,189,1,0,0,1,0,0,1,6,1,0,0,1,642
