"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - CHANDAN SINGH","2 - JAYANT CHAUDHARY","3 - PT. YOGESH KUMAR DWIVEDI","4 - HEMA MALINI","5 - ANUJ KUMAR GARG","6 - PT. UDYAN SHARMA","7 - PARSOTTAM","8 - BHUPENDRA KUMAR  DHANGAR","9 - MAHARAM SINGH","10 - MAHESH PRATAP SHARMA","11 - MOHAN SHYAM","12 - THAKUR HEMENDRA VEER SINGH","13 - OM PRAKASH","14 - PRAMOD KRISHNA","15 - FAKKAR BABA RAMAYANI","16 - BHUDEV","17 - RADHACHARAN","18 - RAM BABU SAINI","19 - SATISH CHANDRA SHARMA","20 - HEMA MALINI","21 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL NAGLA MEV",307,243,0,550,181,146,0,327,327,0,163,143,3,4,1,2,0,2,1,2,0,0,0,0,1,2,3,0,0,0,0,327
2,"PRIMARY SCHOOL RAJAGHARHI",800,591,0,1391,586,410,0,996,996,0,62,306,181,421,1,3,0,0,2,2,1,5,2,0,1,0,2,0,1,6,0,996
3,"PRIMARY SCHOOL BADHA",689,482,0,1171,424,268,0,692,692,0,149,55,88,353,6,0,0,0,3,4,2,5,3,4,3,3,4,1,3,3,3,692
4,"PRIMARY SCHOOL RAMPUR",401,292,0,693,287,173,0,460,460,0,9,20,3,420,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,460
5,"PRIMARY SCHOOL UJHANI",848,567,0,1415,544,357,0,901,901,0,20,162,69,589,5,1,2,0,0,2,0,2,2,0,3,5,6,7,6,19,1,901
6,"JUNIOR HIGH SCHOOL HUSAINI R.N. 1",503,345,0,848,328,207,0,535,535,0,10,60,8,435,4,3,0,1,0,1,0,1,1,1,0,2,1,2,0,5,0,535
7,"JUNIOR HIGH SCHOOL HUSAINI R.N. 2",602,428,0,1030,402,211,0,613,613,0,19,61,96,420,0,1,0,0,1,4,1,0,2,1,2,1,0,0,0,4,0,613
8,"PRIMARY SCHOOL JATWARI R.N. 1",767,620,0,1387,506,367,0,873,873,0,47,47,6,719,22,1,3,0,1,2,2,3,1,0,1,1,2,2,2,11,0,873
9,"PRIMARY SCHOOL JATWARI R.N. 2",427,339,0,766,304,205,0,509,509,0,16,38,198,221,2,2,0,0,1,3,1,0,0,1,2,2,2,7,6,6,1,509
10,"PRIMARY SCHOOL SAHAB NAGAR",336,260,0,596,255,223,0,478,478,0,37,417,5,6,0,0,0,0,0,1,0,0,0,0,1,0,5,5,0,1,0,478
