"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KU. DEVENDRA SINGH YADAV","2 - NOOR MOHAMMAD KHAN","3 - RAJVEER SINGH RAJU BHAIYA","4 - TH. JOGINDRA SINGH BHADORIYA","5 - RAJENDRA","6 - VINAY","7 - THAKUR HEMENDRA VEER SINGH","8 - HANS  RAJ SINGH","9 - DANVEER","10 - RAKESH GANDHI","11 - RAJVEER SINGH","12 - None of the Above","Total Votes Secured"
1,"P.P.CHAUNCHABANGAON R.N0-1",519,454,0,973,317,290,0,607,25,0,35,42,509,6,2,3,1,0,0,6,2,1,607
2,"P.P.CHAUNCHABANGAON R.N0-3",517,453,0,970,279,255,0,534,443,0,70,236,212,1,1,1,0,2,0,5,3,3,534
3,"P.P.CHAUNCHABANGAON R.N0-2",777,637,0,1414,443,400,0,843,225,0,37,702,85,0,1,3,5,3,0,2,2,3,843
4,"S.D.I.C.NAG POTA ETAH R.N0-1",468,369,0,837,294,202,0,496,326,0,355,93,36,1,0,1,0,3,0,4,0,3,496
5,"S.D.I.C.NAG POTA ETAH R.N0-2",509,432,0,941,312,232,0,544,542,0,309,173,54,0,0,1,5,0,0,0,0,2,544
6,"S.D.I.C.NAG POTA ETAH R.N0-3",428,400,0,828,252,240,0,492,40,0,42,80,343,5,1,3,0,2,1,12,0,3,492
7,"S.D.I.C.NAG POTA ETAH R.N0-4",619,464,1,1084,304,251,0,555,348,0,381,146,23,0,0,3,0,0,0,1,0,1,555
8,"KRASHI RAKSHA IKAI KENDRA NANNUMAL CHAURAHA ETAH",382,338,0,720,190,133,0,323,5,0,117,50,151,1,0,0,0,0,0,2,2,0,323
9,"P.V.SIYARAM MANDIR N0-POTA ETAH R.NO-1",496,436,0,932,289,250,0,539,34,0,101,280,130,7,0,1,1,8,0,7,2,2,539
10,"P.V.SIYARAM MANDIR N0-POTA ETAH R.NO-1",493,427,0,920,274,248,0,522,18,0,33,36,424,9,0,1,2,1,0,6,5,5,522
