"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DIMPLE YADAV","2 - NIRMAL TIWARI","3 - SUBRAT PATHAK","4 - IMRAN BIN ZAFAR","5 - GANGA CHARAN","6 - PUSHPA DEVI","7 - SUBODH KUMAR","8 - SURENDRA NATH","9 - PRADEEP KUMAR","10 - MUHAR SINGH AMVADI","11 - RAKESH KUMAR TIWARI ADVOCATE","12 - SANJAY SHAKYA","13 - None of the Above","Total Votes Secured"
1,"P. P. EAST PART ISMILPUR DIGAN",733,579,0,1312,630,453,0,1083,23,0,842,16,220,1,0,0,1,0,1,0,1,0,1,1083
2,"P P GAURI BANGAR",320,265,0,585,167,141,0,308,171,0,166,5,129,2,1,1,0,0,0,0,1,0,3,308
3,"P P SADDUPUR BANGAR",345,265,0,610,246,204,0,450,450,0,189,117,133,2,0,0,0,0,1,1,6,1,0,450
4,"GIRLS P P CHACHASANDA",441,362,0,803,245,183,0,428,10,0,155,56,205,0,0,0,2,0,0,1,2,2,5,428
5,"P P GOHNA KHEDA",413,304,0,717,263,207,0,470,470,0,161,45,252,4,1,0,0,1,2,0,2,1,1,470
6,"GIRLS P P CHACHASANDA",220,199,0,419,164,118,0,282,110,0,42,1,237,1,0,0,0,0,0,1,0,0,0,282
7,"P P MOHANPUR RATANPUR",531,416,0,947,431,260,0,691,629,0,438,10,225,2,0,0,0,0,1,1,2,0,12,691
8,"P P MOHANPUR RATANPUR SOUTH PART",465,364,0,829,327,216,0,543,18,0,252,18,256,5,1,0,0,0,0,3,3,0,5,543
9,"P P NAURANGPUR",322,265,0,587,204,176,0,380,51,0,151,98,121,3,1,0,0,0,0,1,2,2,1,380
10,"EAST M. P. RAMPUR BHUDIYA",502,382,0,884,259,236,0,495,29,0,166,19,274,5,1,0,1,0,2,2,11,4,10,495
11,"P P JALESAR ALIPUR",469,351,0,820,295,238,0,533,6,0,170,66,274,2,0,0,2,0,5,4,2,2,6,533
12,"NEW BAVAN P P EAST PART WALIDADPUR",705,575,0,1280,480,391,0,871,56,0,283,72,492,7,0,1,1,2,1,3,3,0,6,871
13,"NEW BAVAN P P WEST PART WALIDADPUR",450,353,0,803,293,240,0,533,6,0,198,31,282,2,2,1,1,1,1,4,6,2,2,533
14,"P P MARHARIYA",339,288,0,627,291,253,0,544,89,0,321,60,153,0,0,1,0,2,0,2,2,0,3,544
15,"P P EAST PART SAUNSARAPUR",636,613,0,1249,345,375,0,720,19,0,684,10,16,1,1,0,0,2,1,0,4,1,0,720
16,"P P MIDLE PART SAUNSARAPUR",296,260,0,556,177,166,0,343,1,0,321,8,3,1,0,0,3,0,0,1,2,0,4,343
17,"P P WEST PART SAUNSARAPUR",403,355,0,758,245,217,0,462,441,0,392,21,39,0,0,0,5,0,0,2,0,0,3,462
18,"P P NORTH PART SAUNSARAPUR",613,494,0,1107,344,289,0,633,45,0,435,99,76,2,0,1,1,1,1,2,2,1,12,633
19,"J.H.S.WEST GUGRAPUR BANGAR",673,599,0,1272,422,352,0,774,97,0,231,71,449,4,2,0,1,0,1,1,5,1,8,774
20,"J.H.S.WEST GUGRAPUR BANGAR",587,478,0,1065,384,312,0,696,14,0,257,152,250,7,4,0,2,1,0,1,7,2,13,696
21,"P P NARENDRAPUR",289,253,0,542,207,179,0,386,100,0,249,24,107,1,0,0,0,1,0,0,2,0,2,386
22,"P P GUGRAPUR BANGAR",691,600,0,1291,333,363,0,696,586,0,293,85,308,0,1,0,0,1,0,0,2,3,3,696
23,"P P BARAMAU BANGAR",322,245,0,567,239,172,0,411,352,0,250,1,154,3,0,0,0,0,0,1,1,0,1,411
24,"EAST M P SARAI",540,442,0,982,380,322,0,702,50,0,268,39,384,4,1,0,0,0,1,0,1,1,3,702
25,"P P NAVALPURWA",258,233,0,491,141,148,0,289,7,0,92,5,0,187,2,0,0,0,0,0,2,1,0,289
26,"P P CHANDAPUR BANGAR",638,486,0,1124,518,320,0,838,2,0,461,28,332,3,0,0,0,1,0,3,4,1,5,838
27,"P P KEERATPUR CHANDAPUR BANGAR",441,363,1,805,307,256,0,563,10,0,369,33,141,2,1,0,1,0,1,2,3,2,8,563
28,"P P MAHMOODPUR",226,166,0,392,186,120,0,306,40,0,236,18,52,0,0,0,0,0,0,0,0,0,0,306
