"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AFZAL SIDDIQUI","2 - USHA MAURYA","3 - NIRANJAN JYOTI","4 - RAKESH SACHAN","5 - ASHOK MISHRA","6 - ZAINUL ABDIN","7 - MOHAMMAD JAVED","8 - RAMKRISHNA TRIPATHI","9 - RAMLOCHAN SEN","10 - RUKMINI DEVI NISHAD","11 - ARVIND KUMAR","12 - CHANDRABHAN SINGH","13 - RANJANA KAKKAR","14 - SRIDEVI","15 - None of the Above","Total Votes Secured"
169,"P.S. DHAMNA KHURD",561,481,0,1042,331,315,0,646,646,0,116,11,400,89,1,3,1,6,0,0,1,5,4,3,6,646
170,"P.S. JHAUPUR MAJRE GOHRARI",590,433,0,1023,338,218,0,556,551,0,66,2,368,100,2,0,0,7,1,0,1,2,4,2,1,556
171,P.S.GOHRARI,709,535,0,1244,367,216,0,583,558,0,163,4,232,148,2,0,1,7,3,0,1,1,6,3,12,583
172,"U.PS. GOHRARI",728,582,0,1310,399,250,0,649,600,0,188,15,319,104,2,1,1,4,1,0,0,1,3,4,6,649
173,"P.S. KOTHA BAKHARIYA",476,373,0,849,283,218,0,501,497,0,163,3,188,126,2,0,0,1,0,2,0,2,4,3,7,501
174,"P.S. BIRNAI SECOND",204,157,0,361,115,84,0,199,192,0,50,6,85,56,1,0,0,0,0,0,0,0,0,0,1,199
175,P.S.BIRNAI,412,343,0,755,234,162,0,396,396,0,97,3,234,44,2,1,1,2,1,0,0,2,2,4,3,396
176,P.S.MEDAPATI,586,469,0,1055,323,282,0,605,605,0,280,14,205,78,1,1,0,9,0,0,1,1,3,4,8,605
177,P.S.JAJMOIYA,367,297,0,664,192,182,0,374,374,0,38,2,217,99,0,0,1,5,1,0,1,2,7,1,0,374
178,P.S.KUMDERAMPUR,458,381,0,839,271,221,0,492,492,0,53,8,322,88,2,2,0,4,0,1,0,1,0,5,6,492
179,"P.S.FIRST AMAULI ROOM-1",583,501,0,1084,358,285,0,643,607,0,27,13,492,75,0,1,4,8,1,0,3,2,4,7,6,643
180,"P.S.FIRST AMAULI ROOM-2",317,293,0,610,194,156,0,350,257,0,20,9,291,16,0,0,1,1,1,0,1,0,2,4,4,350
181,"KANYA U.P.S. AMAULI ROOM-1",523,416,0,939,282,222,0,504,458,0,138,4,307,30,0,4,0,9,0,0,0,1,1,2,8,504
182,"KANYA U.P.S. AMAULI ROOM-2",375,307,0,682,219,157,0,376,257,0,72,3,258,33,1,1,1,2,1,0,0,0,3,0,1,376
183,"P.S.AMAULI ROOM-1",632,583,0,1215,418,328,0,746,742,0,259,7,425,34,4,1,2,4,0,0,1,1,3,1,4,746
184,"P.S.AMAULI ROOM-2",384,325,0,709,241,170,0,411,322,0,14,7,347,27,0,1,0,4,0,1,1,0,4,2,3,411
185,P.S.BARAMPUR,412,341,0,753,251,241,0,492,492,0,28,33,407,8,1,1,1,9,1,0,0,0,2,1,0,492
186,P.S.MANEPUR,480,368,0,848,330,177,0,507,507,0,13,3,450,34,0,0,0,4,0,0,1,0,1,0,1,507
187,P.A.PACHAURA,238,184,0,422,120,80,0,200,198,0,45,1,106,29,0,1,0,8,0,0,0,1,0,4,5,200
188,P.S.BHARSHA,497,400,0,897,366,312,0,678,666,0,9,3,616,31,0,1,0,5,0,0,2,2,2,5,2,678
189,P.S.ATMADPUR,486,368,0,854,270,194,0,464,464,0,134,4,144,165,2,0,0,3,1,1,0,2,3,1,4,464
190,P.S.JARA,356,326,0,682,239,213,0,452,452,0,37,3,367,31,1,1,0,6,0,0,0,2,1,0,3,452
191,P.S.PARSEDA,880,708,0,1588,485,326,0,811,811,0,131,4,428,239,3,0,1,0,0,0,0,1,0,1,3,811
192,"P.S.MADWAHIDERA MAJRE DAPSAURA",550,444,0,994,346,292,0,638,638,0,19,9,560,31,2,1,1,6,2,1,1,1,3,1,0,638
193,"P.S.DAPSAURA ROOM-1",565,412,0,977,282,173,0,455,450,0,79,9,353,3,0,4,0,4,0,0,1,0,0,0,2,455
194,"P.S.DAPSAURA ROOM-2",618,461,0,1079,350,197,0,547,547,0,74,6,387,36,2,0,0,12,2,1,1,3,5,2,16,547
195,P.S.KAHINJARA,431,318,0,749,204,163,0,367,367,0,124,1,93,137,2,0,1,3,0,0,2,1,0,1,2,367
196,P.S.ITARA,411,303,0,714,270,172,0,442,442,0,46,4,345,28,0,0,0,8,0,1,1,0,6,1,2,442
197,"P.S.SARAHAN BUJURG ROOM-1",607,462,0,1069,353,216,0,569,569,0,49,5,435,61,0,1,3,11,1,0,0,0,0,0,3,569
198,"P.S.SARAHAN BUJURG ROOM-2",783,615,0,1398,450,355,0,805,590,0,11,5,717,30,1,2,2,13,0,1,1,3,9,0,10,805
199,"P.S.SARAHAN KHURD",519,449,0,968,326,316,0,642,540,0,23,2,507,88,2,0,0,9,0,2,1,0,2,1,5,642
200,P.S.SIKANDARPUR,421,346,0,767,268,250,0,518,466,0,137,3,188,164,5,0,1,5,0,0,2,0,5,2,6,518
201,U.P.S.RUSTAMPUR,270,223,0,493,238,185,0,423,416,0,10,1,393,14,0,0,0,1,2,0,0,0,0,0,2,423
202,P.S.MAWAI,771,589,0,1360,415,324,0,739,600,0,153,19,478,66,0,0,4,11,2,1,2,1,0,1,1,739
203,P.S.RETHWAN,714,586,0,1300,285,310,0,595,595,0,292,2,156,116,4,2,1,1,1,2,2,2,3,3,8,595
204,"U.P.S.RITHWAN ROOM-1",466,415,0,881,187,232,0,419,417,0,110,2,202,79,1,1,0,1,0,0,1,1,11,4,6,419
205,"U.P.S.RITHWAN ROOM-2",411,325,0,736,240,215,0,455,395,0,65,1,366,5,0,0,0,1,0,0,0,1,9,4,3,455
206,"P.S. GAURI AURA ROOM-1",534,388,0,922,195,202,0,397,302,0,383,1,1,4,0,0,1,0,0,0,0,0,0,1,6,397
207,"P.S.GAURI AURA ROOM-2",595,472,0,1067,221,246,0,467,419,0,404,5,11,45,0,0,0,0,0,0,0,0,0,2,0,467
208,"P.S.TARAN DERA MAJRE GAURI AURA",252,236,0,488,155,172,0,327,326,0,27,0,281,5,2,0,0,5,0,1,0,0,2,2,2,327
209,P.S.AURANISFI,458,390,0,848,292,260,0,552,552,0,61,4,339,128,3,0,1,4,0,1,0,3,3,0,5,552
210,"P.S. MAKRANDPUR NISFI JAKHA",693,574,0,1267,382,311,0,693,693,0,96,6,523,40,1,1,0,8,0,0,1,1,7,2,7,693
211,"P.S. GOVINDPUR BILARI",600,447,0,1047,370,267,0,637,630,0,99,4,297,220,0,1,0,2,2,0,1,0,4,3,4,637
212,"P.S. GANGPUR",306,239,0,545,216,175,0,391,391,0,123,3,122,118,7,1,0,3,3,0,0,2,1,5,3,391
213,"P.S.PAHADPUR BATIGAWAN",377,313,0,690,250,220,0,470,470,0,36,17,262,130,4,1,2,3,0,3,1,0,3,3,5,470
214,P.S.SALHEPUR,427,395,0,822,245,228,0,473,462,0,36,5,253,174,0,2,0,0,0,0,0,0,1,2,0,473
215,P.S.SADIGAWAN,461,363,0,824,331,244,0,575,573,0,53,5,355,144,1,2,0,2,1,0,0,2,3,7,0,575
216,"PANCHAYAT GHAR RAMPUR KURMI",532,453,0,985,339,280,0,619,585,0,94,5,288,202,4,0,0,7,1,5,1,0,3,2,7,619
217,"P.S. KAUH",298,256,0,554,191,158,0,349,346,0,37,5,291,14,0,0,0,0,0,0,0,0,1,0,1,349
218,P.S.BIJAULI,695,584,0,1279,382,297,0,679,679,0,72,6,349,238,2,3,2,4,0,0,0,0,2,0,1,679
219,P.S.KULKHEDA,510,420,0,930,326,246,0,572,522,0,250,9,280,18,0,0,0,2,0,1,1,1,2,2,6,572
220,"P.S. MADRI ROOM-1",607,486,0,1093,329,231,0,560,530,0,59,7,241,237,2,0,1,7,0,1,0,2,1,0,2,560
221,"P.S. MADRI ROOM-2",749,584,0,1333,426,304,0,730,677,0,129,40,384,140,2,2,2,12,4,0,2,2,1,6,4,730
222,P.S.DEVCHALI,596,455,0,1051,317,210,0,527,527,0,127,0,224,157,1,0,2,5,0,1,1,3,2,1,3,527
223,"P.S.BEHTA KHURD",650,519,0,1169,383,261,0,644,605,0,204,5,336,88,1,0,0,6,0,0,0,0,0,2,2,644
224,"P.S.AJAMPUR GADWA",784,653,0,1437,476,361,0,837,837,0,150,10,412,219,4,1,1,13,1,2,2,2,6,6,8,837
225,"SAMUDAYEK MILAN KENDRA HUSENABAD",191,185,0,376,126,105,0,231,176,0,3,1,162,56,3,0,1,2,0,0,0,1,1,0,1,231
226,"G.C.S.L.I.C.BUDAWA ROOM-1",434,332,0,766,254,197,0,451,451,0,106,5,224,101,1,0,2,3,2,0,0,0,1,1,5,451
227,"G.C.S.L.I.C.BUDAWA ROOM-2",325,268,0,593,220,163,0,383,200,0,73,2,137,168,1,1,0,0,0,0,0,0,1,0,0,383
228,"G.C.S.L.I.C.BUDAWA ROOM-3",526,380,0,906,315,209,0,524,512,0,47,5,298,149,1,1,0,9,2,1,1,0,2,2,6,524
229,"P.S.NONARA ROOM-1",517,400,0,917,308,206,0,514,402,0,79,10,247,164,0,2,1,2,1,2,0,0,5,1,0,514
230,"P.S.NONARA ROOM-2",565,482,0,1047,372,281,0,653,653,0,374,10,134,104,0,1,2,5,0,1,3,0,0,2,17,653
231,"P.S.MANGALPUR TAKAULI",363,342,0,705,237,240,0,477,477,0,62,1,281,120,1,0,2,2,0,0,0,1,3,2,2,477
232,"P.S. KHAIRA BAD",331,301,0,632,179,189,0,368,300,0,127,2,152,75,1,2,0,0,2,0,0,0,0,5,2,368
233,"P.S. PAPRENDA ROOM - 1",506,458,0,964,277,253,0,530,514,0,138,11,280,79,3,1,1,3,0,1,1,4,1,0,7,530
234,"P.S. PAPRENDA ROOM - 2",499,364,0,863,351,250,0,601,585,0,65,21,313,181,1,0,0,7,0,0,0,0,6,5,2,601
235,"P.S. NARAINI",348,287,0,635,193,163,0,356,356,0,54,7,186,97,0,1,0,4,0,1,1,1,2,1,1,356
236,"U.P.S. BASFARA ROOM - 1",664,517,0,1181,392,297,0,689,688,0,57,20,387,188,2,1,1,15,1,5,0,0,6,2,4,689
237,"U.P.S. BASFARA ROOM - 2",489,397,0,886,279,201,0,480,478,0,72,5,295,87,1,2,0,5,0,1,1,2,4,1,4,480
238,"P.S. DEVARI BUJURG ROOM P- 1",435,372,0,807,236,143,0,379,379,0,61,1,201,109,1,1,0,4,0,0,0,0,0,1,0,379
239,"P.S. DEVARI BUJURG ROOM - 2",373,303,0,676,212,145,0,357,335,0,121,9,185,27,1,0,2,4,2,0,2,0,1,3,0,357
240,"P.S. SHIVPURI",587,558,0,1145,351,388,0,739,739,0,18,9,608,60,4,1,0,19,2,1,0,1,10,3,3,739
241,"P.S. UDUPUR",359,299,0,658,225,180,0,405,359,0,80,13,228,71,0,0,0,6,0,1,0,0,2,2,2,405
242,"P.S. GANGAULI",583,519,0,1102,431,272,0,703,703,0,248,4,344,79,2,3,1,6,2,0,0,1,4,3,6,703
243,"P.S. JARAULI",280,203,0,483,171,118,0,289,289,0,116,0,151,10,0,0,0,1,2,1,0,2,2,1,3,289
244,"P.S. SITAPUR MAJRE JARAULI",303,252,0,555,172,151,0,323,323,0,107,2,111,89,2,0,0,2,0,0,1,1,2,2,4,323
245,"P.S. NARAICHA ROOM - 1",626,513,0,1139,364,321,0,685,685,0,177,13,392,53,1,0,1,13,0,0,3,1,7,15,9,685
246,"P.S. NARAICHA ROOM - 2",561,481,0,1042,336,335,0,671,671,0,115,6,390,109,2,2,5,10,2,2,2,0,11,5,10,671
247,"P.S.. ARGAL",266,223,0,489,185,155,0,340,337,0,1,2,291,44,0,0,0,0,0,1,0,1,0,0,0,340
248,"P.S JUDAKHERA MAJRE ARGAL",527,418,0,945,301,253,0,554,544,0,93,0,297,143,1,0,0,4,1,3,2,2,2,1,5,554
249,"P.S. RAIPUR",463,375,0,838,296,221,0,517,517,0,61,6,332,100,0,0,1,2,0,1,0,1,6,4,3,517
250,"P.S. RAMPUR HUSENA ROOM  - 1",479,362,0,841,278,215,0,493,480,0,53,1,245,175,1,2,2,1,1,0,0,0,4,3,5,493
251,"P.S. RAMPUR HUSENA ROOM - 2",155,157,0,312,87,77,0,164,164,0,50,0,47,60,0,0,0,0,1,0,1,0,2,0,3,164
252,"P.S. KAMAASI",418,326,0,744,237,207,0,444,443,0,122,2,278,34,0,1,1,1,0,0,1,0,1,1,2,444
253,"P.S. BHAURAJ PUR",353,275,0,628,214,176,0,390,350,0,107,5,234,20,4,0,0,3,1,0,2,0,7,2,5,390
254,"P.S. DAMODARPUR",384,337,0,721,223,202,0,425,423,0,51,5,241,115,0,2,0,2,0,0,1,2,1,3,2,425
255,"P.S. SAHIMALPUR",367,271,0,638,238,168,0,406,406,0,50,2,313,33,1,1,0,5,0,0,1,0,0,0,0,406
256,"P.S. HASANPUR DEVRI",352,277,0,629,194,130,0,324,324,0,5,1,265,50,0,0,0,0,1,0,1,1,0,0,0,324
257,"P.S. TARUWA PUR MAJRE HASANPUR DEVRI",346,291,0,637,203,152,0,355,322,0,98,1,127,105,0,13,1,1,1,0,0,0,1,2,5,355
258,"P.S. PANDEY PUR",468,366,0,834,255,174,0,429,429,0,69,3,152,183,4,3,0,0,2,1,1,1,2,5,3,429
259,"P.S. PARSAD PUR",189,155,0,344,120,94,0,214,213,0,69,8,110,21,2,0,0,1,0,0,1,0,2,0,0,214
260,"P.S. ROTI",570,417,0,987,313,188,0,501,457,0,83,26,308,76,2,0,1,4,1,0,0,0,0,0,0,501
261,"P..S. NASENIYA",672,546,0,1218,421,347,0,768,768,0,162,4,344,218,1,1,0,9,0,1,1,2,8,7,10,768
262,"P.S. CHIHURPUR",326,276,0,602,225,167,0,392,233,0,75,2,241,66,0,0,1,5,0,0,0,0,0,1,1,392
263,"P.S. PURERAHAT ALI",268,240,0,508,167,147,0,314,275,0,31,4,224,44,0,0,1,3,0,0,3,0,1,1,2,314
264,"P.S.  KANERA MAYCHAK",223,196,0,419,125,105,0,230,225,0,4,1,146,72,0,0,0,1,0,0,0,0,1,2,3,230
265,"P.S. JALAL PUR NEORI",685,543,0,1228,379,277,0,656,630,0,96,8,491,28,2,3,2,10,2,1,0,2,4,3,4,656
266,"K.U.P.S. BAKIYAPUR MAJRE BEEGHANPUR",503,415,0,918,293,224,0,517,417,0,32,7,218,242,5,1,3,3,0,0,0,2,3,0,1,517
267,"P.S. SALEMPUR KANERA",453,362,0,815,307,248,0,555,450,0,140,4,224,163,0,0,1,7,1,4,2,0,1,4,4,555
268,"P.S. PARADHANAI",424,362,0,786,249,200,0,449,419,0,136,4,268,33,0,0,1,1,0,0,2,0,1,1,2,449
269,"P.S. BABUPUR MAJRE BABAI",444,393,0,837,301,259,0,560,542,0,65,4,288,180,1,3,1,2,3,0,1,1,1,5,5,560
270,"P.S. BABAI ROOM - 1",464,396,0,860,260,230,0,490,490,0,69,3,276,120,2,3,0,3,1,1,2,1,4,2,3,490
271,"P.S. BABAI ROOM - 2",390,322,0,712,232,156,0,388,388,0,46,8,231,97,1,0,1,0,0,0,0,0,2,0,2,388
272,"I.C. DIGHARUWA ROOM - 1",527,427,0,954,314,241,0,555,400,0,142,2,344,56,0,1,0,3,0,0,0,0,3,2,2,555
273,"I.C. DIGHARUWA  ROOM -2",392,338,0,730,240,200,0,440,410,0,55,2,232,140,0,1,0,1,1,1,0,1,3,0,3,440
274,"P.S. RUSIYA MAJRE DIGHARUWA",580,463,0,1043,338,256,0,594,594,0,154,0,232,198,1,1,0,2,0,0,0,0,3,0,3,594
275,"P.S. KHANPUR KADEEM",376,277,0,653,247,157,0,404,402,0,57,2,190,148,0,1,0,0,0,0,0,0,2,2,2,404
276,"P.S. DARIYAPUR CHHEDIYA",477,381,0,858,270,217,0,487,450,0,98,4,216,156,2,0,1,4,0,0,0,0,2,1,3,487
277,"U.P.S. GAURA ROOM - 1",524,423,0,947,327,269,0,596,596,0,108,6,327,132,2,0,2,3,2,0,0,2,6,4,2,596
278,"U.P.S. GAURA ROOM - 2",549,454,0,1003,358,279,0,637,615,0,148,0,359,120,0,2,0,2,0,0,1,0,5,0,0,637
279,"P.S. IBRAHIMPUR NAWABAD",328,284,0,612,220,170,0,390,390,0,74,1,222,74,0,0,2,3,1,1,0,1,3,5,3,390
280,"P.S. BUDANDA",348,285,0,633,235,196,0,431,379,0,105,5,274,36,0,0,0,4,0,1,0,2,0,1,3,431
281,"P.S. MEHNDIYA",334,253,0,587,240,144,0,384,383,0,18,12,205,140,1,0,2,0,0,0,2,0,0,3,1,384
282,"P.S. GOPALPUR DHADHAURA",423,343,0,766,309,258,0,567,542,0,51,2,216,272,2,0,0,7,2,0,2,2,5,4,2,567
283,P.S.MAUDEV,282,205,0,487,195,149,0,344,294,0,3,5,150,170,1,1,1,3,1,0,1,1,4,1,2,344
284,"P.S. MAKANDIPUR MAJRE CHANDPUR",756,588,0,1344,531,336,0,867,800,0,123,7,403,312,1,1,1,8,3,1,0,1,1,3,2,867
285,"P.S.BHIKHANIPUR MAJRE CHANDPUR",692,499,0,1191,362,249,0,611,607,0,43,6,463,72,1,1,0,6,1,0,0,2,6,2,8,611
286,P.S.CHANDPUR,599,466,0,1065,391,300,0,691,691,0,84,5,457,115,2,0,0,4,2,2,3,1,5,1,10,691
287,"U.P.S. CHANDPUR ROOM-1",641,461,0,1102,355,236,0,591,581,0,75,4,449,45,1,0,0,4,1,2,1,1,1,2,5,591
288,"U.P.S. CHANDPUR ROOM-2",615,460,0,1075,323,233,0,556,554,0,39,9,417,72,1,0,1,6,0,0,0,0,4,4,3,556
289,P.S.KAKORA,446,334,0,780,266,192,0,458,421,0,57,2,363,26,0,0,0,2,1,0,0,0,5,0,2,458
290,"P.S. BARA ROOM-1",613,486,0,1099,330,252,0,582,575,0,38,0,440,71,1,0,0,10,1,2,1,1,4,1,12,582
291,"P.S. BARA ROOM-2",149,124,0,273,76,64,0,140,136,0,1,1,126,11,0,0,0,1,0,0,0,0,0,0,0,140
292,"P.S.KHUNTAJHAL MAJRE REURI",754,574,0,1328,458,324,0,782,777,0,131,5,514,90,3,1,2,12,0,2,2,1,7,2,10,782
293,"P.S. REURI",161,135,0,296,120,110,0,230,230,0,83,2,127,11,0,0,0,4,0,0,0,0,0,0,3,230
294,"P.S.SULTANGARH ROOM-1",691,553,0,1244,399,316,0,715,694,0,90,8,501,97,1,1,0,10,2,1,1,0,0,1,2,715
295,"P.S.SULTANGARH ROOM-2",721,552,0,1273,357,248,0,605,600,0,127,5,339,125,0,0,0,6,0,0,1,0,0,0,2,605
296,"P.S.BASANTKHEDA MAJRE SIJAULI",869,661,0,1530,500,260,0,760,760,0,68,4,598,58,4,4,0,3,2,1,0,1,15,1,1,760
297,"P.S.POOREDAAN MAJRE SIJAULI ROOM-1",488,391,0,879,306,215,0,521,521,0,44,1,412,32,2,1,1,7,2,1,1,1,7,2,7,521
298,"P.S.POOREDAAN MAJRE SIJAULI ROOM-2",476,358,0,834,221,148,0,369,369,0,28,1,220,107,1,0,0,3,0,0,2,0,3,0,4,369
299,"U.P.S. SIJAULI ROOM-1",478,381,0,859,235,186,0,421,421,0,56,4,276,73,1,1,1,3,0,0,0,3,0,0,3,421
300,"U.P.S. SIJAULI ROOM-2",455,359,0,814,262,144,0,406,406,0,45,1,177,172,0,0,0,4,0,0,1,1,1,0,4,406
301,"P.S. KHOTILA MAJRE SIJAULI",531,438,0,969,329,206,0,535,535,0,57,6,427,13,0,1,1,9,0,2,0,2,6,2,9,535
302,"P.S.NAYAPURWA MAJRE TENDULILAKHIPUR",567,487,0,1054,300,254,0,554,524,0,201,7,207,115,3,1,1,7,2,1,0,1,3,2,3,554
303,P.S.MADURI,516,388,0,904,286,201,0,487,482,0,128,5,293,38,0,1,1,8,4,0,0,0,3,4,2,487
304,"P.S. DHAURAHRA ROOM-1",489,443,0,932,338,306,0,644,612,0,23,8,534,38,2,1,0,7,0,1,1,3,14,7,5,644
305,"P.S. DHAURAHRA ROOM-2",510,402,0,912,337,288,0,625,625,0,53,1,525,27,0,0,0,11,0,0,0,0,3,2,3,625
306,P.S.GAJAIPUR,236,200,0,436,172,123,0,295,290,0,9,2,185,92,2,0,0,2,0,0,1,0,2,0,0,295
307,"P.S. KUKEDI",423,306,0,729,244,185,0,429,429,0,33,3,264,100,0,2,1,7,0,1,1,3,5,5,4,429
308,P.S.ITARA,354,298,0,652,273,168,0,441,441,0,182,2,85,170,0,0,0,0,0,0,0,1,0,0,1,441
309,"P.S. GADI ROOM-1",517,406,0,923,258,237,0,495,495,0,215,6,196,52,1,2,1,3,3,0,0,4,5,0,7,495
310,"P.S. GADI ROOM-2",560,492,0,1052,316,343,0,659,659,0,626,5,2,15,0,0,0,2,0,0,1,0,0,2,6,659
311,"P.S. CHARAI MAJRE GADI",453,352,0,805,260,207,0,467,467,0,18,4,309,112,2,0,1,8,2,0,1,2,4,2,2,467
312,"P.S. BHIKHAMPUR",493,409,0,902,362,288,0,650,605,0,67,5,313,247,0,0,1,3,1,0,1,1,2,6,3,650
313,"P.S. GAHARU KHEDA MAJRE MANSURPUR",837,720,0,1557,552,431,0,983,983,0,108,7,536,270,3,1,0,15,4,3,4,1,17,4,10,983
314,P.S.JAFARGANJ,560,440,0,1000,331,262,0,593,460,0,133,5,302,121,1,0,3,3,1,0,1,2,3,8,10,593
315,"BE.B.PURWA M.S.JAFARGANJ ROOM-1",452,358,0,810,308,226,0,534,534,0,80,3,320,105,11,0,0,4,0,1,0,0,3,1,6,534
316,"BE.B.PURWA M.S.JAFARGANJ ROOM-2",496,388,0,884,279,262,0,541,541,0,149,4,205,157,6,0,0,5,0,0,0,2,4,4,5,541
317,"P.S. JAMRAULI",680,577,0,1257,239,328,0,567,534,0,200,3,209,142,2,0,0,5,0,0,0,1,1,2,2,567
318,"P.S. BINDAUR",550,426,0,976,267,226,0,493,493,0,110,3,288,70,5,0,1,10,0,0,0,0,3,2,1,493
319,"P.S. SAINBASI",273,204,0,477,205,144,0,349,349,0,33,3,291,7,0,1,1,1,0,0,0,3,5,1,3,349
320,"P.S. MAUHARI",543,392,0,935,334,267,0,601,599,0,145,10,314,111,2,0,0,6,1,0,2,2,4,1,3,601
321,"P.S. BHARATPUR",686,543,0,1229,410,330,0,740,740,0,28,6,598,71,0,1,0,20,0,1,0,2,6,6,1,740
322,"P.S. BAHADURPUR ROOM-1",578,479,0,1057,249,280,0,529,468,0,199,6,234,62,2,1,1,7,1,0,1,1,3,1,10,529
323,"P.S. BAHADURPUR ROOM-2",379,308,0,687,130,141,0,271,271,0,131,0,97,28,1,0,0,6,0,0,0,1,1,0,6,271
324,"P.S. DANDA AMAULI ROOM-1",527,425,0,952,296,281,0,577,195,0,123,10,397,34,0,1,0,6,1,0,0,2,2,0,1,577
325,"P.S. DANDA AMAULI ROOM-2",493,404,0,897,272,296,0,568,350,0,41,9,467,16,1,1,0,10,5,1,2,4,3,2,6,568
326,"P.S. RANMASTPUR",455,390,0,845,252,250,0,502,284,0,7,12,445,18,2,0,1,10,0,0,0,0,4,1,2,502
327,"P.S. DANDA SAHIMLPUR",475,364,0,839,220,225,0,445,445,0,74,9,315,21,1,1,1,13,0,0,2,1,3,3,1,445
328,"P.S. GANGAULI",319,262,0,581,167,156,0,323,323,0,50,5,173,72,1,0,0,12,2,1,1,1,4,1,0,323
