"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AFZAL SIDDIQUI","2 - USHA MAURYA","3 - NIRANJAN JYOTI","4 - RAKESH SACHAN","5 - ASHOK MISHRA","6 - ZAINUL ABDIN","7 - MOHAMMAD JAVED","8 - RAMKRISHNA TRIPATHI","9 - RAMLOCHAN SEN","10 - RUKMINI DEVI NISHAD","11 - ARVIND KUMAR","12 - CHANDRABHAN SINGH","13 - RANJANA KAKKAR","14 - SRIDEVI","15 - None of the Above","Total Votes Secured"
41,"P.S. SHAHJAHANPUR ROOM - 2",580,436,0,1016,327,230,0,557,550,0,179,8,296,48,2,1,2,4,1,1,0,0,3,4,8,557
42,"P.S. DUNDRA",625,465,0,1090,398,261,0,659,559,0,106,8,463,61,0,1,1,5,1,0,0,1,5,2,5,659
43,"P.S. RASULPUR",426,333,0,759,288,192,0,480,465,0,83,11,325,41,0,0,1,5,1,1,0,0,8,1,3,480
44,"P.S. MAYARAM KHEDA",564,493,0,1057,356,293,0,649,638,0,50,11,425,136,0,7,2,3,2,0,3,1,4,3,2,649
45,"P.S. KARCHALPUR  ROOM - 1",526,410,0,936,362,214,0,576,566,0,129,28,371,25,2,1,1,3,3,2,2,0,2,0,7,576
46,"P.S. KARCHALPUR ROOM - 2",358,280,0,638,225,145,0,370,177,0,37,6,250,58,2,1,2,2,1,1,1,0,2,2,5,370
47,"P.S. BIJAULI",571,450,0,1021,372,251,0,623,603,0,231,6,361,8,0,1,0,4,3,0,0,1,2,3,3,623
48,"P.S. PADHARA ROOM - 1",653,482,0,1135,418,321,0,739,735,0,222,15,395,87,0,2,1,9,2,0,1,1,3,0,1,739
49,"P.S. PADHARA ROOM - 2",696,572,0,1268,401,304,0,705,601,0,95,8,465,104,3,1,0,12,0,2,1,0,5,6,3,705
50,"P.S. HARDAS PUR",392,341,0,733,223,186,0,409,399,0,83,46,234,32,0,1,1,6,0,0,0,1,1,1,3,409
51,"P.S. AKBARABAD",502,425,0,927,331,279,0,610,610,0,102,23,448,6,3,1,0,11,0,0,0,2,5,7,2,610
52,P.S.NAMAMAU,698,590,0,1288,400,337,0,737,700,0,91,29,483,105,0,3,0,8,0,1,2,1,5,3,6,737
53,"P.S. JOGAPUR",457,382,0,839,271,235,0,506,499,0,151,1,307,28,0,1,0,2,1,0,0,2,5,2,6,506
54,"P.S. RAMPUR NAKEWAR",398,362,0,760,324,275,0,599,500,0,105,2,384,96,0,4,0,4,1,1,0,0,1,0,1,599
55,"P.S. SARAYANMAHMOOD PUR",788,609,0,1397,474,350,0,824,660,0,261,16,460,47,2,1,2,9,3,2,3,2,6,4,6,824
56,"P.S. HAFIJPUR HARKARAN",674,541,0,1215,425,306,0,731,131,0,80,6,309,296,3,2,2,6,2,0,2,3,4,6,10,731
57,"P.S. BARETHAR KHURD",701,608,0,1309,403,352,0,755,752,0,279,10,332,94,3,0,1,5,1,1,3,3,5,7,11,755
58,"P.S. MAWAIYA",620,535,0,1155,464,386,0,850,832,0,186,20,582,29,4,0,0,9,4,1,0,1,7,2,5,850
59,"P.S. CHAKMADHAUPUR",303,233,0,536,201,168,0,369,281,0,34,4,304,9,0,2,0,5,0,0,0,1,3,3,4,369
60,"P.S. BARETHAR BUJURG",493,382,0,875,347,262,0,609,598,0,141,27,399,13,1,1,2,8,0,1,0,2,4,4,6,609
61,"P.S. BEERPUR MAJRE LAKHANA KHEDA",462,359,0,821,303,248,0,551,537,0,57,8,392,64,1,0,3,5,0,1,0,1,7,4,8,551
62,"PURUSHOTTAM I.C. KHAJUHA ROOM - 1",652,542,0,1194,347,330,0,677,250,0,195,14,373,48,0,1,1,9,6,3,2,2,6,5,12,677
63,"PURUSHOTTAM I.C. KHAJUHA ROOM - 2",680,599,0,1279,393,308,0,701,701,0,137,20,458,66,1,1,0,4,0,0,1,0,4,0,9,701
64,"PURUSHOTTAM I.C. KHAJUHA ROOM - 3",708,602,0,1310,402,331,0,733,640,0,102,16,529,70,0,0,0,3,1,1,0,1,5,4,1,733
65,"P.S. NANDAPUR",928,757,0,1685,612,442,0,1054,1047,0,126,29,836,34,0,3,0,13,0,0,2,0,3,2,6,1054
66,"P.S. HUSEPUR",440,357,0,797,353,257,0,610,610,0,9,0,565,26,0,1,1,0,0,0,0,0,0,8,0,610
67,"PUNCHAYATGHAR ARAIPUR",528,414,0,942,342,259,0,601,439,0,64,10,480,15,1,1,2,14,0,0,2,0,6,1,5,601
68,"P.S GANDHARPI",514,423,0,937,326,248,0,574,568,0,156,7,349,46,0,1,0,6,0,0,1,0,2,1,5,574
69,"P.S GHORAHA",482,399,0,881,247,183,0,430,430,0,62,6,338,6,1,1,0,4,2,0,3,0,2,1,4,430
70,"P.S. SADANBADAN KA PURWA MAJRE GHORHA",401,355,0,756,202,161,0,363,163,0,13,3,158,175,0,3,0,4,0,0,1,1,4,0,1,363
71,"P.S BIJURI",512,451,0,963,296,254,0,550,549,0,17,4,488,27,0,0,0,2,1,0,1,2,3,4,1,550
72,"P.S. KRIPALPUR BINDHYA ROOM -  1",596,560,0,1156,410,417,0,827,826,0,60,4,673,55,2,1,3,6,2,0,0,2,7,2,10,827
73,"P.S. KRIPALPUR BINDHYA ROOM -  2",383,351,0,734,214,146,0,360,360,0,119,3,212,6,0,0,0,4,0,1,0,0,9,4,2,360
74,"P.S. KARANPUR ROOM - 1",504,416,0,920,323,249,0,572,426,0,91,8,335,102,2,2,3,5,0,0,2,2,6,4,10,572
75,"P.S. KARANPUR ROOM - 2",414,357,0,771,281,272,0,553,403,0,4,10,498,8,0,1,1,5,1,0,0,0,13,4,8,553
76,"P.S. MOHIUDDINPUR",113,107,0,220,70,68,0,138,127,0,18,3,44,70,2,1,0,0,0,0,0,0,0,0,0,138
77,"P.S. KANSMIRIPUR",812,651,0,1463,434,317,0,751,705,0,313,9,227,174,2,1,3,13,0,0,0,1,1,5,2,751
78,"P.S. JAGDEESHPUR BAKEWAR",475,395,0,870,279,281,0,560,450,0,117,15,276,116,2,1,1,6,0,1,2,5,7,6,5,560
79,"JANKI I.C. BAKEWAR",589,513,0,1102,359,281,0,640,600,0,66,16,472,73,1,2,3,3,0,0,0,1,1,2,0,640
80,"P.S. SECOND BAKEWAR BUJURG ROOM -1",555,463,0,1018,357,307,0,664,661,0,136,12,445,51,1,0,1,0,3,2,1,1,6,1,4,664
81,"P.S. SECOND BAKEWAR BUJURG ROOM -2",330,308,0,638,190,197,0,387,355,0,72,9,265,28,0,4,0,1,0,0,1,0,0,2,5,387
82,"P.S. RASULPUR BAKEWAR",673,551,0,1224,426,349,0,775,774,0,167,15,460,100,2,5,1,9,3,0,1,0,3,4,5,775
83,"P.S. DILAWAL PUR",361,306,0,667,238,209,0,447,447,0,77,4,267,95,0,0,0,2,0,0,0,0,1,0,1,447
84,"P.S. MURARPUR",562,476,0,1038,422,330,0,752,672,0,73,9,251,393,2,5,0,2,0,1,2,4,0,5,5,752
85,"KANYA P.S. BARIGAWAN ROOM - 1",622,495,0,1117,364,245,0,609,600,0,269,9,199,116,3,4,0,5,0,0,0,0,1,3,0,609
86,"KANYA P.S. BARIGAWAN ROOM - 2",522,423,0,945,285,220,0,505,505,0,203,7,221,65,0,3,0,2,1,1,1,0,0,0,1,505
87,"P.S. LAKSHAIKESH MAJRE DEMA ROOM - 1",498,426,0,924,284,238,0,522,509,0,160,4,307,36,0,2,0,3,1,1,0,0,1,1,6,522
88,"P.S. LAKSHI KHEDA MARE DEVMI ROOM - 2",431,311,0,742,225,150,0,375,340,0,67,6,253,20,0,16,2,2,0,1,0,0,3,0,5,375
89,"P.S. DEVMAI ROOM - 1",587,440,0,1027,316,246,0,562,444,0,89,9,379,66,3,0,0,1,2,1,1,2,2,3,4,562
90,"P.S. DEMAI ROOM - 2",414,335,0,749,255,214,0,469,433,0,144,4,166,144,1,0,0,3,0,0,0,1,0,3,3,469
91,"U.P.S.DEVMAI ROOM - 1",600,472,0,1072,360,227,0,587,585,0,138,6,384,36,1,1,0,4,2,0,2,1,4,3,5,587
92,"U.P.S. DEVMAI ROOM - 2",475,338,0,813,275,199,0,474,249,0,152,7,167,130,2,0,0,3,1,0,0,1,5,3,3,474
93,"P.S. TIKARA",767,593,0,1360,496,379,0,875,875,0,394,16,393,42,0,3,0,4,1,3,1,0,1,6,11,875
94,"P.S. ROOSI",581,417,0,998,344,277,0,621,568,0,153,7,344,96,1,0,1,3,1,1,0,2,4,2,6,621
95,"P.DAYASHANKAR  SHU.I.C. BHAISAULI ROOM - 1",601,473,0,1074,289,266,0,555,439,0,162,5,162,191,2,0,1,4,0,1,2,1,5,3,16,555
