"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DHARMENDRA KUMAR","2 - SALEEM IQBAL SHERVANI","3 - KUNWAR SARVRAJ SINGH","4 - SUNITA SHAKYA","5 - IRSHAD ANSARI ADVOCATE","6 - OM VEER","7 - MOHD. ZARRAR KHAN","8 - JITENDRA SINGH YADAV","9 - NARESH SINGH SOLANKI","10 - PRAMOD KUMAR YADAV","11 - YOGENDRA KUMAR VERMA","12 - CAPTAIN P.C. SHARMA","13 - ARSHADURRAZA KHAN","14 - None of the Above","Total Votes Secured"
1,"PRA0 PATHSHALA DOHARIYA",696,564,0,1260,464,364,0,828,828,0,506,14,191,91,1,0,1,0,4,1,2,3,4,10,828
2,"PRA. SCHOOL SIMARA AJUBA BEGUM",341,245,0,586,263,185,0,448,448,0,281,65,34,52,0,0,1,1,0,1,1,0,2,10,448
3,"PRA. PATHSHALA KHAJURIYA",191,164,0,355,177,115,0,292,292,0,175,2,6,92,0,0,0,0,1,1,3,2,0,10,292
4,"PRA. SCHOOL BHARTOL ROOM NO. 1",547,476,0,1023,304,291,0,595,595,0,410,33,15,113,1,0,0,1,4,0,4,3,5,6,595
5,"PRA. SCHOOL BHARTOL EXTRA ROOM",551,459,0,1010,247,279,0,526,526,0,387,24,15,84,1,0,0,0,4,0,4,2,0,5,526
6,"PRA. SCHOOL BHARTOL ROOM NO. 2",787,717,0,1504,539,446,0,985,985,0,499,37,73,349,0,2,0,1,4,1,9,0,2,8,985
7,"PRA. SCHOOL SAIDPUR KHAJURIYA ROOM NO. 1",588,393,0,981,341,156,0,497,497,0,8,184,284,4,0,0,4,0,2,0,2,2,0,7,497
8,"JU. HIGH SCHOOL SAIDPUR KHAJURIYA ROOM NO. 1",487,358,0,845,304,196,0,500,500,0,5,239,234,4,0,0,6,1,0,1,1,0,1,8,500
9,"PRA. SCHOOL SAIDPUR KHAJURIYA ROOM NO. 2",877,567,0,1444,529,286,0,815,815,0,7,296,464,8,0,0,27,0,1,2,3,4,2,1,815
10,"PRA. SCHOOL SAIDPUR KHAJURIYA ROOM NO. 3",622,470,0,1092,392,219,0,611,611,0,23,168,329,14,0,0,64,1,4,0,0,0,0,8,611
11,"JU. HIGH SCHOOL SAIDPUR KHAJURIYA ROOM NO. 2",533,391,0,924,304,179,0,483,483,0,28,114,287,36,3,0,11,1,0,1,2,0,0,0,483
12,"PRA. SCHOOL MOHANPUR ROOM NO. 1",537,427,1,965,313,226,0,539,539,0,57,191,255,17,0,0,1,0,5,0,3,0,5,5,539
13,"PRA. SCHOOL MOHANPUR ROOM NO. 4",471,391,0,862,298,239,0,537,537,0,361,57,78,31,1,0,0,1,1,1,1,0,0,5,537
14,"PRA. SCHOOL MOHANPUR ROOM NO. 2",936,649,0,1585,513,369,0,882,882,0,274,232,324,39,0,0,1,1,5,1,0,1,0,4,882
15,"JU. HIGH SCHOOL MOHANPUR ROOM NO. 1",765,591,0,1356,394,258,0,652,652,0,169,124,289,48,2,0,3,1,2,1,1,2,3,7,652
16,"JUN.HIGH SCHOOL MOHANPUR ROOM NO. 2",823,564,0,1387,421,271,0,692,692,0,86,231,363,4,0,0,0,1,2,1,1,3,0,0,692
17,"MOHANPUR SCHOOL NEW BHAWAN NIKAT OLD MOHANPUR ROOM NO. 1",935,686,0,1621,491,336,0,827,827,0,336,160,278,31,1,1,3,0,2,2,4,2,3,4,827
