"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASTBHUJA PRASAD TRIPATHI","2 - ADITYANATH","3 - RAJMATI NISHAD","4 - RAM BHUAL NISHAD","5 - INDRA DEO YADAVA","6 - FAIZ AHAMAD FAIZI","7 - MUNNA","8 - RAJIT MISHRA","9 - RAJESH","10 - RADHE MOHAN MISRA","11 - MOHD. WASEEM KHAN","12 - SUBASH KUMAR MAURYA","13 - ACHHE LAL GUPTA","14 - ASHOK","15 - RAMKISHUN","16 - None of the Above","Total Votes Secured"
1,"SENT JOSAF INTER COLLAGE PATTAN ROOM NO.1",243,189,0,432,111,94,0,205,193,0,30,118,42,2,0,0,0,1,0,5,0,0,2,1,1,3,205
2,"SENT JOSAF INTER COLLAGE PATTAN ROOM N0.2",225,202,0,427,112,100,0,212,33,0,9,150,35,3,1,0,0,0,0,11,0,0,0,0,0,3,212
3,"SENT JOSAF INTER COLLAGE PATTAN ROOM NO.3",347,279,0,626,185,168,0,353,352,0,24,268,18,19,0,2,0,1,0,13,2,1,0,2,1,2,353
4,"SENT JOSAF INTER COLLAGE PATTAN ROOM NO.4",245,172,0,417,112,81,0,193,143,0,6,124,33,14,0,2,0,0,1,11,0,0,0,0,0,2,193
5,"MAINA DEVI B. INTER  COLLAGE MIRJAPUR URF BILANDPUR KHANTA ROOM NO.1",690,530,0,1220,431,304,0,735,720,0,12,630,58,15,1,0,0,0,0,11,2,2,1,2,1,0,735
6,"MAINA DEVI B.INTER MIRJAPUR URF BILANDPUR KHANTA ROOM NO.2",585,523,0,1108,320,278,0,598,298,0,15,512,36,9,1,0,0,1,0,20,0,1,0,1,1,1,598
7,"MAINA DEVI B.INTER COLLAGE MIRJAPUR URF BILANDPUR KHANTA ROOM NO.2 UTTER",842,643,0,1485,390,290,0,680,453,0,20,538,51,39,1,0,1,0,2,19,2,1,1,0,1,4,680
8,"P.P. PRADHANACHARY MADHOPUR",649,524,0,1173,358,330,0,688,683,0,22,489,87,65,2,0,1,2,1,8,1,1,2,1,1,5,688
9,"P.P. MADHOPUR BESIK SHIKSHA PARISHAD ROOM N0.1",656,495,0,1151,308,242,0,550,304,0,20,382,59,75,0,1,2,0,1,4,1,0,2,0,1,2,550
10,"P.P. MADHOPUR ROOM N0. 2",351,279,0,630,188,147,0,335,332,0,8,243,65,11,0,0,2,0,0,1,0,0,1,0,1,3,335
11,"P.P. MADHOPUR ROOM N0. 3",341,308,0,649,191,156,0,347,86,0,21,284,18,4,2,1,0,0,1,12,0,0,1,1,0,2,347
12,"P.P. MADHOPUR BESIK SHIKSHA PARISHAD ROOM N0.3A",554,392,0,946,267,188,0,455,455,0,29,343,31,41,0,0,0,0,0,6,0,0,0,0,0,5,455
13,"P.P. MADHOPUR BESIK SHIKSHA PARISHAD ROOM N0.4",448,332,0,780,210,153,0,363,361,0,9,281,18,45,0,1,2,1,0,5,0,0,1,0,0,0,363
14,"P.P. MADHOPUR ROOM N0. 5",404,318,0,722,208,149,0,357,89,0,5,280,44,12,1,1,0,0,0,10,0,0,1,0,1,2,357
15,"P.P.MADHOPUR ROOM N0.6",430,331,0,761,203,149,0,352,342,0,32,157,79,53,0,1,1,1,0,21,1,0,1,1,1,3,352
16,"SANT RAVIDAS S.V.MANDIR  MADHOPUR ROOM N0.1",377,298,0,675,159,118,0,277,252,0,10,243,10,5,0,0,0,0,0,6,0,0,0,0,0,3,277
17,"SANT RAVIDAS S.V.MANDIR  MADHOPUR ROOM N0.2",311,269,0,580,145,120,0,265,262,0,5,238,5,3,0,0,0,0,0,9,0,0,0,0,1,4,265
18,"SANT RAVIDAS S.V.MANDIR  MADHOPUR ROOM N0.3",485,467,0,952,264,225,0,489,389,0,15,425,15,11,0,1,0,0,0,20,0,0,0,0,0,2,489
19,"SANT RAVIDAS S.V.MANDIR  MADHOPUR ROOM N0.4",498,461,0,959,214,188,0,402,402,0,21,341,21,2,0,0,0,1,0,12,2,0,0,0,1,1,402
20,"DARUL ULOOM MADARSA DARIYACHAK ROOM N0.1",709,603,0,1312,334,266,0,600,170,0,36,183,278,43,0,43,0,0,0,9,0,0,0,1,1,6,600
21,"DARUL ULOOM MADARSA DARIYACHAK ROOM N0.2",392,323,0,715,195,170,0,365,191,0,10,197,109,19,0,18,0,0,0,7,0,0,0,0,0,5,365
22,"DARUL ULOOM MADARSA DARIYACHAK ROOM N0.3",926,714,0,1640,437,340,0,777,775,0,41,103,472,38,0,70,2,1,1,34,3,1,2,0,3,6,777
23,"DARUL ULOOM MADARSA DARIYACHAK ROOM N0.4",724,556,0,1280,328,201,0,529,489,0,40,156,224,24,0,64,1,0,0,13,1,0,0,1,0,5,529
24,"DARUL ULOOM MADARSA DARIYACHAK ROOM N0.5",432,314,0,746,196,124,0,320,112,0,14,195,76,11,1,12,1,0,0,6,0,0,1,0,0,3,320
25,"DARUL ULOOM MADARSA DARIYACHAK ROOM N0.6",303,253,0,556,144,126,0,270,12,0,16,159,66,10,1,12,0,0,0,5,0,1,0,0,0,0,270
26,"DARUL ULOOM MADARASA DARIYA CHAK ROOM NO.7",365,264,0,629,155,126,0,281,72,0,17,202,37,12,1,2,0,0,0,9,0,0,0,0,0,1,281
27,"DARUL ULOOM MADARASA DARIYA CHAK ROOM NO.8",652,513,0,1165,298,250,0,548,8,0,25,342,131,19,0,16,0,0,0,10,0,0,0,0,0,5,548
28,"S.B.V.SURYKUND SIDHARIPUR ROOM NO.1",379,316,0,695,197,154,0,351,14,0,13,150,110,22,0,42,1,0,0,9,0,1,3,0,0,0,351
29,"S.B.V.SURYKUND SIDHARIPUR ROOM NO.2",613,500,0,1113,331,314,0,645,4,0,41,519,35,26,1,0,0,0,0,19,0,0,1,0,1,2,645
30,"S.B.V.SURYKUND SIDHARIPUR ROOM NO.3",643,506,0,1149,313,232,0,545,38,0,26,94,283,24,0,70,1,0,1,38,1,0,0,1,0,6,545
31,"S.B.V.SURYKUND SIDHARIPUR ROOM NO.4",562,406,0,968,271,188,0,459,61,0,12,49,312,12,0,51,1,0,1,15,0,0,1,1,0,4,459
32,"S.B.V.SURYKUND SIDHARIPUR ROOM NO.5",559,453,0,1012,273,176,0,449,252,0,15,200,207,9,0,8,1,0,0,7,0,0,0,0,1,1,449
33,"S.B.V.SURYKUND SIDHARIPUR ROOM NO.6",254,183,0,437,132,73,0,205,50,0,6,95,40,46,0,15,0,1,0,2,0,0,0,0,0,0,205
34,"S.B.V.SURYKUND SIDHARIPUR ROOM NO.7",410,337,0,747,239,183,0,422,100,0,7,308,71,18,0,1,1,0,0,13,0,0,0,0,2,1,422
35,"S.B.V.SURYKUND SIDHARIPUR ROOM NO.8",518,447,0,965,270,207,0,477,96,0,9,355,82,16,0,2,0,0,0,6,1,1,0,0,2,3,477
36,"S.T. CHILDREN AKEDAMI RASOOLPUR ROOM N0 1",856,689,0,1545,470,426,0,896,445,0,35,307,381,101,0,38,2,0,2,21,0,0,3,2,1,3,896
37,"S.T. CHILDREN AKEDAMI RASOOLPUR ROOM N0 2",778,694,0,1472,512,375,0,887,352,0,35,195,459,105,3,62,1,0,4,15,1,0,2,3,0,2,887
38,"S.T. CHILDREN AKEDAMI RASOOLPUR ROOM N0 3",790,648,0,1438,463,338,0,801,18,0,31,62,512,48,0,116,0,1,2,21,1,0,0,1,2,4,801
39,"MAULANA AJAD GIRALS INTER COLLAGE JAMIYANAGAR RASOOL NAGAR ROOM N0.1",788,627,0,1415,424,289,0,713,608,0,28,24,390,32,0,202,1,0,2,27,1,0,2,1,2,1,713
40,"MAULANA AJAD GIRALS INTER COLLAGE JAMIYANAGAR RASOOL NAGAR ROOM N0.2",700,548,0,1248,348,252,0,600,50,0,28,48,360,46,0,73,2,0,0,29,1,0,3,0,1,9,600
41,"MAULANA AJAD GIRALS INTER COLLAGE JAMIYANAGAR RASOOL NAGAR ROOM N0.3",821,714,0,1535,445,354,0,799,300,0,65,44,462,31,1,127,3,0,4,49,1,1,2,1,1,7,799
42,"MAULANA AJAD GIRALS INTER COLLAGE JAMIYANAGAR RASOOL NAGAR ROOM N0.4",397,360,0,757,182,167,0,349,149,0,26,9,220,18,0,51,3,0,0,14,1,1,1,0,1,4,349
43,"INDRA PABLIC SCHOOL ADHIYARIBAG ROOM NO.1",455,395,0,850,268,207,0,475,275,0,17,179,17,239,3,0,3,2,1,5,0,1,2,0,0,6,475
44,"INDRA PABLIC SCHOOL ADHIYARIBAG UTTRI ROOM NO.2",504,425,0,929,204,211,0,415,162,0,24,203,49,123,2,1,1,0,0,7,0,0,0,2,0,3,415
45,"INDRA PABLIC SCHOOL ADHIYARIBAG ROOM NO.2",696,572,0,1268,302,237,0,539,24,0,9,396,65,47,0,0,2,0,2,14,0,0,1,0,0,3,539
46,"INDRA PABLIC SCHOOL ADHIYARIBAG ROOM NO.3",350,302,0,652,160,138,0,298,90,0,5,203,74,2,0,0,0,0,0,11,0,0,1,0,0,2,298
47,"L.B.S.J.R.I.HUMAYUPUR ROOM N0.1",142,119,0,261,96,75,0,171,71,0,6,154,8,0,0,0,0,0,0,3,0,0,0,0,0,0,171
48,"L.B.S.J.R.I.HUMAYUPUR ROOM N0.2",700,552,0,1252,413,292,0,705,15,0,26,529,110,11,0,7,2,0,2,11,0,0,1,1,1,4,705
49,"L.B.S.J.R.I.HUMAYUPUR ROOM N0.3",372,320,0,692,248,208,0,456,81,0,23,359,38,17,0,5,0,0,1,10,1,0,0,1,0,1,456
50,"L.B.S.J.R.I.HUMAYUPUR ROOM N0.4",529,436,0,965,273,193,0,466,466,0,23,278,43,100,2,5,1,1,1,7,0,0,0,1,1,3,466
51,"L.B.S.J.R.I.HUMAYUPUR ROOM N0.5",182,148,0,330,101,79,0,180,175,0,7,138,15,10,0,0,1,1,0,5,0,0,0,0,0,3,180
52,"L.B.S.J.R.I.HUMAYUPUR ROOM N0.6",124,120,0,244,57,53,0,110,65,0,3,100,1,3,0,0,0,0,0,3,0,0,0,0,0,0,110
53,"S.S.M.PAKKIBAG HUMAYUPUR ROOM NO1",580,452,0,1032,373,259,0,632,622,0,14,432,96,70,1,0,1,0,1,13,0,0,1,1,1,1,632
54,"S.S.M.PAKKIBAG HUMAYUPUR ROOM NO 2",447,370,0,817,246,184,0,430,230,0,20,319,50,21,0,0,0,0,0,12,0,0,0,0,2,6,430
55,"S.V.MANDIR ALINAGAR ROOM N0 1",349,335,0,684,207,173,0,380,258,0,3,339,20,8,0,1,0,1,0,3,0,1,0,0,0,4,380
56,"S.V.MANDIR ALINAGAR ROOM N0 2",384,324,0,708,225,157,0,382,352,0,10,299,44,13,0,9,0,1,0,6,0,0,0,0,0,0,382
57,"S.V.MANDIR ALINAGAR ROOM N0 3",434,367,0,801,236,181,0,417,417,0,21,315,44,11,0,2,1,0,0,11,1,0,0,1,3,7,417
58,"S.V.MANDIR ALINAGAR ROOM N0 4",454,380,0,834,278,209,0,487,77,0,20,374,64,8,0,5,0,0,1,2,2,0,1,2,3,5,487
59,"S.V.MANDIR ALINAGAR ROOM N0 5",339,331,0,670,223,196,0,419,119,0,20,378,14,3,0,0,0,0,0,2,0,0,0,0,0,2,419
