"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AFZAL SIDDIQUI","2 - USHA MAURYA","3 - NIRANJAN JYOTI","4 - RAKESH SACHAN","5 - ASHOK MISHRA","6 - ZAINUL ABDIN","7 - MOHAMMAD JAVED","8 - RAMKRISHNA TRIPATHI","9 - RAMLOCHAN SEN","10 - RUKMINI DEVI NISHAD","11 - ARVIND KUMAR","12 - CHANDRABHAN SINGH","13 - RANJANA KAKKAR","14 - SRIDEVI","15 - None of the Above","Total Votes Secured"
42,". AA.PU.MA.VI. NARMAL SCHOOL KE PASS FATEHPUR ROOM- 1",782,632,0,1414,303,467,0,770,770,0,305,24,146,290,0,1,0,0,0,0,0,0,1,2,1,770
43,". AA.PU.MA.VI. NARMAL SCHOOL KE PASS FATEHPUR ROOM- 2",766,727,0,1493,384,310,0,694,652,0,257,22,150,251,3,4,0,0,0,1,0,0,2,1,3,694
44,". AA.PU.MA.VI. NARMAL SCHOOL KE PASS FATEHPUR ROOM- 3",292,208,0,500,154,99,0,253,243,0,60,10,131,48,0,2,0,0,0,0,0,1,0,0,1,253
45,". AA.PU.MA.VI. NARMAL SCHOOL KE PASS FATEHPUR ROOM- 4",804,644,0,1448,478,374,0,852,848,0,205,56,212,360,1,1,1,1,1,3,0,0,5,1,5,852
46,"GO.AD.VI.MASWANI  FATEHPUR ROOM -1",746,649,0,1395,451,320,0,771,744,0,149,23,431,155,0,3,0,0,1,0,0,1,1,3,4,771
47,"GO.AD.VI.MASWANI  FATEHPUR ROOM -2",480,489,0,969,207,175,0,382,250,0,79,9,208,81,1,0,0,0,1,0,0,0,2,1,0,382
48,"PRIMARY VIDHAYALA MASWANI - 2 FATEHPUR ROOM -1",320,264,0,584,160,147,0,307,307,0,150,4,62,87,0,0,1,0,0,0,0,1,0,0,2,307
49,"PRIMARY VIDHAYALA MASWANI - 2 FATEHPUR ROOM -2",545,508,0,1053,303,253,0,556,553,0,213,9,124,203,0,2,1,0,1,0,0,1,0,0,2,556
50,"BRIGHT CAREEARE SCHOOL PAKKA TALAB RAMGANJ  FATEHPUR ROOM-1",473,370,0,843,262,175,0,437,413,0,118,7,161,145,1,1,0,2,0,0,0,0,0,1,1,437
51,"BRIGHT CAREEARE SCHOOL PAKKA TALAB RAMGANJ  FATEHPUR ROOM-2",579,458,0,1037,320,245,0,565,10,0,56,30,398,59,1,11,0,1,1,1,0,1,0,2,4,565
52,"BRIGHT CAREEARE SCHOOL PAKKA TALAB RAMGANJ  FATEHPUR ROOM-3",584,464,0,1048,323,219,0,542,502,0,86,28,360,55,0,2,1,2,0,0,0,2,2,1,3,542
53,"U.P.RAJYA BHANDARAN NIGAM FATEHPUR   ROOM-1",425,357,0,782,249,141,0,390,390,0,130,8,136,113,0,1,0,0,0,0,0,0,0,0,2,390
54,"U.P.RAJYA BHANDARAN NIGAM FATEHPUR   ROOM-2",483,440,0,923,250,217,0,467,350,0,156,13,185,99,1,0,0,4,1,0,2,1,1,1,3,467
55,"SRI NAGA NI.BALIKA INTER COLLEGE FATEHPUR  ROOM-1",585,512,0,1097,371,313,0,684,674,0,19,13,584,44,0,1,0,4,0,0,0,0,10,2,7,684
56,"SRI NAGA NI.BALIKA INTER COLLEGE FATEHPUR  ROOM-2",565,495,0,1060,358,270,0,628,608,0,32,19,522,46,0,3,0,0,0,0,1,1,1,1,2,628
57,"SRI NAGA NI.BALIKA INTER COLLEGE FATEHPUR  ROOM-3",679,577,0,1256,394,333,0,727,700,0,145,12,370,189,1,4,1,1,0,1,0,0,2,1,0,727
58,"ARYA SAMAJ BHAWAN FATEHPUR  ROOM-1",843,687,1,1531,430,320,0,750,150,0,211,19,187,312,2,5,0,2,1,0,0,0,2,1,8,750
59,"ARYA SAMAJ BHAWAN FATEHPUR  ROOM-2",354,292,0,646,180,137,0,317,417,0,144,11,98,58,1,0,0,0,0,0,0,0,2,0,3,317
60,"ARYA SAMAJ BHAWAN FATEHPUR  ROOM-3",652,555,0,1207,250,182,0,432,432,0,116,6,136,168,0,1,1,0,0,0,0,1,1,1,1,432
61,"ARYA SAMAJ BHAWAN FATEHPUR  ROOM-4",533,415,0,948,282,198,0,480,262,0,159,19,235,59,2,0,0,1,1,0,0,0,2,0,2,480
62,"ARYA SAMAJ BHAWAN FATEHPUR  ROOM-5",535,438,0,973,255,234,0,489,469,0,191,13,126,145,2,3,1,2,1,1,0,2,0,0,2,489
63,"ARYA SAMAJ BHAWAN FATEHPUR  ROOM-6",531,481,0,1012,301,239,0,540,532,0,219,3,178,125,0,0,3,0,1,1,0,1,3,2,4,540
64,"GOVT. KANYA PRIMARY  VIDHAYALA SADASHIV KE PASS  FATEHPUR  ROOM-1",632,558,0,1190,305,423,0,728,285,0,37,15,451,204,5,1,1,2,1,0,0,2,1,2,6,728
65,"GOVT. KANYA PRIMARY  VIDHAYALA SADASHIV KE PASS  FATEHPUR  ROOM-2",784,722,0,1506,499,420,0,919,679,0,108,22,632,150,0,2,0,1,0,2,0,0,0,1,1,919
66,"SARSWATI SHISU MANDIR CHAUK  FATEHPUR  ROOM-1",707,647,0,1354,409,408,0,817,817,0,408,12,207,181,1,2,0,2,0,0,0,1,1,1,1,817
67,"SARSWATI SHISU MANDIR CHAUK  FATEHPUR  ROOM-2",473,438,0,911,307,248,0,555,550,0,338,7,39,166,0,4,0,0,0,0,0,0,0,1,0,555
68,"RAMAVTAR DEGREECOLLEGE SHESHPUR UNWA FATEHPUR",674,543,0,1217,420,352,0,772,765,0,280,22,194,257,3,2,2,3,0,0,0,0,3,3,3,772
69,"PURANI TEHCIL BHAWAN FATEHPUR  ROOM-1",504,459,0,963,304,237,0,541,520,0,275,10,51,196,2,4,0,0,0,0,0,0,1,1,1,541
70,"PURANI TEHCIL BHAWAN FATEHPUR  ROOM-2",614,522,0,1136,335,224,0,559,559,0,317,5,27,188,3,6,8,0,0,0,1,1,0,0,3,559
71,"PURANI TEHCIL BHAWAN FATEHPUR  ROOM-3",521,472,0,993,257,236,0,493,466,0,285,6,13,181,2,1,0,0,2,1,0,0,1,0,1,493
72,"P.P.ASTI BAJYAFATI  FATEHPUR  ROOM-1",837,654,0,1491,518,427,0,945,945,0,476,21,104,324,3,0,0,4,1,0,0,0,4,3,5,945
73,"P.P.ASTI BAJYAFATI  FATEHPUR  ROOM-2",505,416,0,921,294,216,0,510,510,0,161,16,207,93,0,0,3,6,4,0,2,1,6,2,9,510
74,"P.P.ASTI BAJYAFATI  FATEHPUR  ROOM-3",424,459,0,883,159,167,0,326,324,0,196,7,74,42,1,0,0,0,0,0,0,0,0,3,3,326
75,"JI.NI & V.OFFICE  FATEHPUR  ROOM-1",810,665,0,1475,421,330,0,751,738,0,118,133,381,94,1,4,0,1,6,0,3,1,2,3,4,751
76,"JI.NI & V.OFFICE  FATEHPUR  ROOM-2",846,679,2,1527,440,340,0,780,611,0,110,57,509,72,2,9,0,2,12,0,0,4,0,2,1,780
77,"JI.NI & V.OFFICE  FATEHPUR  ROOM-3",586,482,0,1068,285,224,0,509,461,0,72,63,326,38,0,4,0,0,0,0,0,1,0,2,3,509
78,"JI.NI & V.OFFICE  FATEHPUR  ROOM-4",740,664,0,1404,329,299,0,628,628,0,60,57,459,38,0,2,0,1,5,0,0,0,0,1,5,628
79,"JI.NI & V.OFFICE  FATEHPUR  ROOM-5",880,738,0,1618,417,319,0,736,585,0,136,35,442,96,2,9,0,0,1,0,2,2,2,1,8,736
80,"JI.NI & V.OFFICE  FATEHPUR  ROOM-6",434,324,0,758,219,160,0,379,329,0,133,32,144,58,1,0,0,1,2,0,1,1,1,1,4,379
81,"PATEL JU.HI.SCHOOL  FATEHPUR  ROOM-1",751,683,0,1434,474,403,0,877,877,0,68,52,653,80,1,15,1,1,0,0,1,0,0,1,4,877
82,"PATEL JU.HI.SCHOOL  FATEHPUR  ROOM-2",175,181,0,356,123,106,0,229,210,0,7,10,172,33,0,3,0,1,1,0,2,0,0,0,0,229
83,"PATEL JU.HI.SCHOOL  FATEHPUR  ROOM-3",715,622,0,1337,442,352,0,794,789,0,80,61,567,64,1,10,0,1,0,0,1,5,0,0,4,794
84,"PATEL JU.HI.SCHOOL  FATEHPUR  ROOM-4",482,447,0,929,184,171,0,355,345,0,38,22,240,47,0,7,0,0,0,0,0,0,0,0,1,355
85,"PATEL JU.HI.SCHOOL  FATEHPUR  ROOM-5",451,382,0,833,149,147,0,296,255,0,39,11,195,41,0,8,0,0,0,0,0,2,0,0,0,296
86,"DR. BIHM RAO ABENDKAR  MAHA VIDHAYALA FATEHPUR  ROOM-1",645,597,0,1242,321,288,0,609,588,0,179,10,339,54,1,4,1,2,1,0,3,1,1,3,10,609
87,"DR. BIHM RAO ABENDKAR  MAHA VIDHAYALA FATEHPUR  ROOM-2",564,463,2,1029,320,256,0,576,574,0,43,34,438,47,0,2,1,2,2,0,1,1,1,0,4,576
88,"DR. BIHM RAO ABENDKAR  MAHA VIDHAYALA FATEHPUR  ROOM-3",591,483,0,1074,297,241,0,538,537,0,36,38,403,51,1,4,0,0,1,0,0,1,0,0,3,538
89,"JILA PURATI OFFICE  FATEHPUR  ROOM-1",451,386,0,837,222,214,0,436,410,0,106,35,253,37,0,2,0,1,0,0,0,1,0,0,1,436
90,"JILA PURATI OFFICE  FATEHPUR  ROOM-2",525,431,0,956,307,210,0,517,517,0,160,49,250,40,3,2,1,3,0,0,2,2,1,1,3,517
91,"JILA PURATI OFFICE  FATEHPUR  ROOM-3",866,637,0,1503,321,233,0,554,541,0,112,42,323,64,0,1,0,3,1,0,1,3,1,1,2,554
92,"RAJENDRA BHADUR I.C. SADIPUR FATEHPUR  ROOM-1",436,330,0,766,162,132,0,294,279,0,63,14,186,26,1,0,0,1,0,0,0,1,1,0,1,294
93,"RAJENDRA BHADUR I.C. SADIPUR FATEHPUR  ROOM-2",406,345,0,751,175,169,0,344,338,0,46,31,200,52,0,4,0,2,1,1,0,4,0,1,2,344
94,"JILA SEWA YOJAN OFFICE  FATEHPUR   ROOM-1",575,428,0,1003,253,194,0,447,402,0,148,23,192,75,0,1,0,1,1,0,0,1,2,2,1,447
95,"JILA SEWA YOJAN OFFICE  FATEHPUR   ROOM-2",526,402,0,928,215,155,0,370,370,0,120,11,151,79,2,4,0,0,0,0,1,0,0,1,1,370
96,"JILA SEWA YOJAN OFFICE  FATEHPUR   ROOM-3",775,665,0,1440,379,312,0,691,629,0,193,21,377,88,1,4,0,0,0,0,0,0,0,4,3,691
97,"I TI BHAWAN  FATEHPUR  ROOM-1",676,612,0,1288,389,300,0,689,684,0,214,16,216,234,0,3,1,0,0,1,0,1,0,0,3,689
98,"I TI BHAWAN  FATEHPUR  ROOM-2",707,579,0,1286,363,279,0,642,633,0,148,30,302,138,1,4,0,0,1,2,1,7,1,3,4,642
99,"I TI BHAWAN  FATEHPUR  ROOM-3",632,568,0,1200,244,204,0,448,441,0,53,28,300,58,2,3,0,0,0,1,0,1,1,0,1,448
100,"I TI BHAWAN  FATEHPUR  ROOM-4",654,577,0,1231,355,321,0,676,672,0,125,41,462,29,0,9,1,2,0,0,0,3,0,1,3,676
101,"G.G.I.C FATEHPUR  ROOM-1",433,371,0,804,234,192,0,426,426,0,105,19,232,56,0,7,0,0,0,0,1,1,0,2,3,426
102,"G.G.I.C FATEHPUR  ROOM-2",503,423,0,926,269,225,0,494,480,0,156,13,205,108,2,5,0,1,0,1,0,0,0,2,1,494
103,"G.G.I.C FATEHPUR  ROOM-3",379,310,0,689,219,168,0,387,380,0,21,9,329,23,0,2,0,0,0,0,0,0,0,1,2,387
104,"G.G.I.C FATEHPUR  ROOM-4",506,428,0,934,240,212,0,452,452,0,28,28,372,21,0,1,0,1,0,0,0,0,0,0,1,452
105,"G.G.I.C FATEHPUR  ROOM-5",615,531,0,1146,370,296,0,666,634,0,17,11,597,35,0,1,0,0,0,0,1,0,0,0,4,666
106,"N.P. PRIMARY VIDHAYALA MURIAN TOLA  FATEHPUR  ROOM-1",649,561,0,1210,398,313,0,711,687,0,234,50,176,226,1,3,0,1,3,1,1,1,1,4,9,711
107,"N.P. PRIMARY VIDHAYALA MURIAN TOLA  FATEHPUR  ROOM-2",619,529,0,1148,270,321,0,591,580,0,211,33,197,140,1,3,0,0,1,1,0,1,1,0,2,591
108,"U.P.S. MURIAN TOLA  FATEHPUR  ROOM-1",468,408,0,876,259,249,0,508,508,0,137,16,255,93,0,2,0,1,0,0,0,1,1,1,1,508
109,"U.P.S. MURIAN TOLA  FATEHPUR  ROOM-2",468,413,0,881,284,228,0,512,412,0,94,27,331,53,0,2,0,1,1,2,0,0,0,0,1,512
110,"N.P. PRIMARY VIDHAYALA  MAHAJARY   ROOM-1",807,711,0,1518,471,344,0,815,815,0,489,6,42,266,0,8,0,0,0,0,0,0,0,1,3,815
111,"N.P. PRIMARY VIDHAYALA  MAHAJARY   ROOM-2",794,704,0,1498,401,301,0,702,702,0,342,7,249,95,2,3,1,0,0,0,0,0,0,1,2,702
112,"MAHATMA GANDHI  JUNIOR HIGH SCHOOL FATEHPUR  ROOM-1",667,574,0,1241,373,319,0,692,680,0,301,36,89,261,1,1,0,1,0,0,0,0,1,1,0,692
113,"MAHATMA GANDHI  JUNIOR HIGH SCHOOL FATEHPUR  ROOM-2",740,677,0,1417,430,373,0,803,767,0,335,32,246,175,1,1,2,4,1,1,1,0,1,1,2,803
114,"N.P. PRIMARY VIDHAYALA PANI",730,728,0,1458,455,381,0,836,836,0,236,28,341,208,3,8,0,2,0,2,3,0,0,0,5,836
115,"LAL BAHADUR SAHTRI   JUNIOR HIGH SCHOOL  FATEHPUR  ROOM-1",685,580,0,1265,401,312,0,713,699,0,251,16,261,172,2,3,1,0,0,2,0,0,2,1,2,713
116,"LAL BAHADUR SAHTRI   JUNIOR HIGH SCHOOL  FATEHPUR  ROOM-2",762,627,0,1389,357,203,0,560,416,0,312,14,51,181,0,1,1,0,0,0,0,0,0,0,0,560
117,"LAL BAHADUR SAHTRI   JUNIOR HIGH SCHOOL  FATEHPUR  ROOM-3",565,548,0,1113,313,218,0,531,458,0,265,20,61,177,1,4,0,0,0,0,0,1,1,1,0,531
118,"LAL BAHADUR SAHTRI   JUNIOR HIGH SCHOOL  FATEHPUR  ROOM-4",557,463,0,1020,298,201,0,499,459,0,233,10,111,138,1,5,0,0,0,0,0,0,1,0,0,499
119,"P.S.  PEERANPUR  FATEHPUR  ROOM-1",456,351,0,807,247,201,0,448,440,0,162,5,22,246,0,3,0,0,0,0,0,1,1,3,5,448
120,"P.S.  PEERANPUR  FATEHPUR  ROOM-2",456,355,0,811,247,209,0,456,453,0,108,13,61,266,1,3,0,0,1,1,0,0,0,0,2,456
121,"P.S.  PEERANPUR  FATEHPUR  ROOM-3",717,604,0,1321,344,299,0,643,643,0,101,16,130,382,3,3,2,1,4,0,0,0,0,0,1,643
122,"P.S.  PEERANPUR  FATEHPUR  ROOM-4",634,532,0,1166,311,249,0,560,10,0,120,8,194,226,3,2,0,1,1,0,0,1,0,1,3,560
123,"NAV BHARTI JUNIOR HIGH SCHOOL FATEHPUR  ROOM-1",537,413,0,950,304,252,0,556,530,0,129,11,259,136,5,7,0,0,0,1,0,2,2,1,3,556
124,"NAV BHARTI JUNIOR HIGH SCHOOL FATEHPUR  ROOM-2",577,441,0,1018,329,274,0,603,590,0,130,12,208,242,1,2,2,0,1,0,0,1,0,2,2,603
125,"NAV BHARTI JUNIOR HIGH SCHOOL FATEHPUR  ROOM-3",667,548,0,1215,373,280,0,653,574,0,106,15,390,130,1,2,0,2,0,0,0,1,1,2,3,653
126,"NAV BHARTI JUNIOR HIGH SCHOOL FATEHPUR  ROOM-4",393,354,0,747,178,230,0,408,400,0,14,9,369,12,0,0,0,0,1,0,0,0,1,0,2,408
127,"NAV BHARTI JUNIOR HIGH SCHOOL FATEHPUR  ROOM-5",514,401,0,915,280,196,0,476,73,0,176,22,245,4,2,2,0,3,2,1,1,9,3,0,6,476
128,"NAV BHARTI JUNIOR HIGH SCHOOL FATEHPUR  ROOM-6",519,438,0,957,281,204,0,485,482,0,121,21,291,29,1,2,0,2,3,2,2,3,1,1,6,485
129,"BIKRI KAR OFFICE HARIHAR GANJ    FATEHPUR  ROOM-1",505,445,0,950,328,266,0,594,522,0,55,29,450,37,0,0,0,2,1,1,1,5,5,1,7,594
130,"BIKRI KAR OFFICE HARIHAR GANJ    FATEHPUR  ROOM-2",511,439,0,950,286,248,0,534,500,0,26,36,425,44,0,0,1,0,0,0,1,0,0,0,1,534
131,"BIKRI KAR OFFICE HARIHAR GANJ    FATEHPUR  ROOM-3",848,730,0,1578,489,426,0,915,300,0,55,51,732,63,2,4,0,1,0,0,1,1,1,1,3,915
132,"C.BE.BA. SCHOOL SADIPUR NAKA   SE DEVIGANJ  ROAD FATEHPUR  ROOM-1",641,548,0,1189,331,289,0,620,620,0,223,30,249,107,1,2,0,0,1,0,1,0,1,2,3,620
133,"C.BE.BA. SCHOOL SADIPUR NAKA   SE DEVIGANJ  ROAD FATEHPUR  ROOM-2",661,545,0,1206,324,272,0,596,596,0,104,13,395,67,0,1,1,0,0,0,0,3,2,4,6,596
134,"C.BE.BA. SCHOOL SADIPUR NAKA   SE DEVIGANJ  ROAD FATEHPUR  ROOM-3",855,671,0,1526,421,345,0,766,760,0,165,22,481,89,0,6,0,0,1,0,0,0,1,0,1,766
135,"GOVT. KANYA PRIMARY PATHSHALA SADIPUR NAKA FATEHPUR  ROOM-1",601,455,0,1056,273,224,0,497,315,0,57,25,373,35,2,1,0,1,0,0,0,0,0,1,2,497
136,"GOVT. KANYA PRIMARY PATHSHALA SADIPUR NAKA FATEHPUR  ROOM-2",473,390,0,863,240,203,0,443,335,0,24,9,366,37,0,0,1,1,0,0,1,0,0,0,4,443
137,"RAIL BAJAR INTER COLLEGE  FATEHPUR  ROOM-1",450,384,0,834,267,200,0,467,467,0,93,34,307,26,1,1,0,0,0,0,0,2,1,0,2,467
138,"RAIL BAJAR INTER COLLEGE  FATEHPUR  ROOM-2",577,498,0,1075,303,255,0,558,557,0,86,28,394,26,1,4,0,5,0,1,0,1,4,2,6,558
139,"RAIL BAJAR INTER COLLEGE  FATEHPUR  ROOM-3",683,546,0,1229,345,307,0,652,652,0,70,18,524,18,1,8,2,2,1,0,0,3,0,0,5,652
140,"RAIL BAJAR INTER COLLEGE  FATEHPUR  ROOM-4",745,571,0,1316,386,259,0,645,638,0,112,28,467,25,0,1,1,4,0,1,0,1,1,2,2,645
141,"RA. MA. SCHOOL DEVI GANJ  FATEHPUR  ROOM-1",783,710,0,1493,515,420,0,935,935,0,45,62,735,74,1,7,0,1,3,1,0,3,1,0,2,935
142,"RA. MA. SCHOOL DEVI GANJ  FATEHPUR  ROOM-2",486,412,0,898,254,233,0,487,185,0,62,76,296,44,0,0,0,1,1,1,1,2,1,1,1,487
143,"KARIY VIKRIY SAMITI RADHA NAGAR  FATEHPUR  ROOM-1",698,555,0,1253,372,234,0,606,550,0,93,20,390,78,1,2,1,4,1,0,1,1,2,2,10,606
144,"KARIY VIKRIY SAMITI RADHA NAGAR  FATEHPUR  ROOM-2",913,710,0,1623,437,309,0,746,744,0,95,34,507,88,1,1,4,6,0,1,0,1,1,3,4,746
145,"KARIY VIKRIY SAMITI RADHA NAGAR  FATEHPUR  ROOM-3",552,451,0,1003,288,214,0,502,497,0,133,8,309,27,2,0,0,2,1,3,2,1,0,2,12,502
146,"KARIY VIKRIY SAMITI RADHA NAGAR  FATEHPUR  ROOM-4",703,555,0,1258,410,334,0,744,744,0,24,18,629,48,0,15,1,1,1,2,0,1,1,2,1,744
147,"KARIY VIKRIY SAMITI RADHA NAGAR  FATEHPUR  ROOM-5",695,528,0,1223,344,232,0,576,576,0,73,17,429,43,1,2,1,0,0,1,1,1,1,1,5,576
148,"KARIY VIKRIY SAMITI RADHA NAGAR  FATEHPUR  ROOM-6",790,651,0,1441,400,309,0,709,559,0,43,10,592,39,1,10,0,3,0,1,0,1,2,2,5,709
149,"KARIY VIKRIY SAMITI RADHA NAGAR  FATEHPUR  ROOM-7",159,128,0,287,92,87,0,179,179,0,42,5,120,6,0,0,0,1,0,1,0,0,1,0,3,179
150,"P.S.  BAKASPUR FATEHPUR  ROOM-1",599,442,0,1041,354,268,0,622,622,0,85,58,346,112,1,3,1,3,2,0,1,0,3,4,3,622
151,"P.S.  BAKASPUR FATEHPUR  ROOM-2",781,679,0,1460,383,448,0,831,831,0,163,70,432,148,0,3,0,6,0,1,0,2,0,4,2,831
152,"P.S.  SATHARIYAN FATEHPUR  ROOM-1",550,416,0,966,329,237,0,566,550,0,219,23,249,40,0,2,2,2,1,1,1,0,2,3,21,566
