"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY PAL SINGH JATAV","2 - ASHOK KUMAR DOHAREY","3 - PREMDAS KATERIYA","4 - HANS MUKHI KORI","5 - UJIYARE LAL DOHARE","6 - PREM CHANDRA","7 - DR MUKESH SINGH DOHARE","8 - VINEET KUMAR GAUTAM","9 - SIYA RAM PASWAN","10 - HAR BILASH DOHERY","11 - None of the Above","Total Votes Secured"
195,"P.V. RUHERI",408,338,0,746,198,166,0,364,361,0,3,270,57,12,11,1,1,0,2,2,5,364
196,"P.V. CHAPULI",403,337,0,740,197,141,0,338,338,0,106,193,31,4,1,0,0,2,0,0,1,338
197,P.V.DAHGANV,544,427,0,971,292,227,0,519,517,0,147,130,229,2,4,2,0,2,0,2,1,519
198,"P.V. BALVANTPUR",434,320,0,754,205,223,0,428,428,0,6,373,45,0,0,1,0,1,0,1,1,428
199,"P.V. KAMALPUR",510,404,0,914,282,236,0,518,518,0,58,300,125,12,2,0,1,8,2,4,6,518
200,"P.V.GAURI GANGAPRSAD",407,308,0,715,247,217,0,464,432,0,237,139,82,1,2,0,0,1,1,1,0,464
201,"P.V. BIRIYA PHAPHUND",370,308,0,678,193,153,0,346,340,0,75,134,77,14,2,3,37,1,1,1,1,346
202,P.V.UDAHAUPUR,256,229,0,485,144,138,0,282,280,0,41,164,70,2,1,0,0,3,0,0,1,282
203,P.V.BHIYAPUR,210,177,0,387,128,107,0,235,235,0,80,141,8,5,0,0,0,0,0,0,1,235
204,P.V.BURADANA,502,401,0,903,242,188,0,430,408,0,75,297,44,5,2,1,0,3,1,0,2,430
205,P.M.V.BURADANA,610,459,0,1069,294,206,0,500,500,0,97,227,146,12,1,0,2,4,1,3,7,500
206,P.V.UMARSANA,589,485,0,1074,356,289,0,645,602,0,92,301,236,3,0,1,0,0,2,2,8,645
207,"P.V.KAKOR KHURD",229,164,0,393,155,95,0,250,250,0,2,36,206,0,2,0,0,1,1,1,1,250
208,P.V.CHICHAULI,369,296,0,665,206,146,0,352,352,0,39,131,162,8,2,2,0,1,4,2,1,352
209,P.V.URANPURA,317,266,0,583,212,173,0,385,380,0,84,286,3,6,4,0,0,0,0,0,2,385
210,P.V.DHAMSENI,445,374,0,819,199,145,0,344,341,0,45,183,108,2,2,0,0,2,1,0,1,344
211,P.M.V.BAMURIPUR,768,636,0,1404,413,305,0,718,710,0,191,266,233,9,2,2,1,6,1,1,6,718
212,"P.V.BIRIYA AURAIYA",498,394,0,892,326,277,0,603,588,0,446,65,79,2,0,0,6,0,1,1,3,603
213,"P.V.PURVA MALLHAN",186,164,0,350,123,109,0,232,232,0,21,170,33,2,0,0,0,1,0,3,2,232
214,"P.V.TURKIPUR CHITTARSINGH",640,567,0,1207,425,357,0,782,780,0,135,567,65,1,2,1,0,8,1,1,1,782
215,"P.V.KAKHAVATU R.N. 1",473,392,0,865,287,246,0,533,530,0,18,327,176,0,4,1,0,4,1,1,1,533
216,"P.V.KAKHAVATU R.N. 2",635,519,0,1154,412,334,0,746,732,0,309,253,169,4,1,1,1,2,1,2,3,746
217,P.V.RAUDLI,499,403,0,902,290,237,0,527,499,0,102,328,83,6,1,1,0,2,1,0,3,527
218,P.V.SAHBADIYA,641,516,0,1157,384,329,0,713,713,0,229,290,180,5,0,1,0,4,0,0,4,713
219,"P.V.IKAURAPUR R.N. 1",538,449,0,987,299,208,0,507,365,0,72,244,182,1,1,0,0,1,0,2,4,507
220,"P.V.IKAURAPUR R.N. 2",298,212,0,510,186,116,0,302,302,9,9,122,163,5,0,0,0,3,0,0,0,302
221,"P.V.BHADURPUR INGITHIYA R.N. 1",487,407,0,894,270,194,0,464,206,0,9,298,138,2,3,2,2,5,0,3,2,464
222,"P.V.BHADURPUR INGITHIYA R.N.1",435,364,0,799,254,205,0,459,459,0,232,134,87,2,0,0,0,1,0,1,2,459
223,"P.S.JAURA R.N.1",489,405,0,894,245,206,0,451,450,0,59,171,179,9,4,3,0,5,2,9,10,451
224,"P.V. JAURA R.N.2",495,438,0,933,254,201,0,455,455,0,20,265,152,7,2,2,0,4,1,2,0,455
225,"P.V.GADWANA NORTH",821,611,0,1432,525,301,0,826,825,0,293,164,339,9,2,0,2,6,4,0,7,826
226,"P.V.GADWANA SOUTH",518,380,0,898,273,166,0,439,430,0,103,32,297,1,0,1,0,0,0,0,5,439
227,"P.V.ELPI SECOND",324,256,1,581,230,156,0,386,380,0,151,132,93,5,1,1,0,0,0,0,3,386
228,P.V.BISARMAU,723,557,0,1280,357,195,0,552,546,0,14,312,208,8,1,0,0,1,0,2,6,552
229,P.V.SURAJANPUR,405,309,0,714,197,98,0,295,295,0,2,114,174,0,2,0,0,0,1,1,1,295
230,"P.V.ETAILI EAST",874,644,0,1518,399,251,0,650,640,0,100,122,307,98,5,1,0,2,3,5,7,650
231,"P.V.ETAILI WEST",866,594,0,1460,396,178,0,574,570,0,4,94,397,64,4,2,0,2,4,1,2,574
232,"P.V.GUVARI EAST",705,606,0,1311,362,267,0,629,629,0,105,263,205,7,2,4,3,9,7,10,14,629
233,"P.V.GUVARI WEST",650,482,0,1132,324,203,0,527,527,0,80,119,311,9,4,0,0,0,2,1,1,527
234,P.V.SAKRAVA,727,562,0,1289,394,283,0,677,648,0,163,106,392,2,2,3,2,1,1,1,4,677
235,"SHRI SHYAMLAL VIDHYA MANDIR I.C.RURUKHURD",709,494,0,1203,440,275,0,715,714,0,10,58,628,6,0,4,0,3,4,0,2,715
236,"P.V.SARAY MAHAJNAN PART RURUKHURD",883,678,0,1561,465,346,0,811,771,0,276,305,206,7,3,0,1,3,1,3,6,811
237,P.V.RURUKHURD,725,590,0,1315,384,325,0,709,605,0,165,273,237,7,3,12,1,3,0,3,5,709
238,"P.V.ASHOKPURI FARM PART RURUKHURD",519,389,0,908,319,199,0,518,407,0,37,183,282,5,0,2,1,4,1,1,2,518
239,P.V.KUSMARA,392,354,0,746,227,186,0,413,381,0,7,321,76,3,0,0,0,3,2,1,0,413
240,"P.V.PURVA GUMANI",492,423,0,915,275,196,0,471,351,0,57,308,98,1,2,0,0,1,0,1,3,471
241,P.V.SAHUPUR,424,370,0,794,262,216,0,478,427,0,17,207,232,3,0,2,0,3,3,3,8,478
242,"JILA PANCHAYAT U.M.V.RURUGANG NORTH R.N.1",281,250,0,531,193,166,0,359,359,0,1,330,18,0,0,2,0,3,1,1,3,359
243,"JILA PANCHAYAT U.M.V.RURUGANG NORTH R.N.2",570,450,0,1020,356,295,0,651,635,0,111,190,332,4,5,1,0,2,2,0,4,651
244,"JILA PANCHAYAT U.M.V.RURUGANG NORTH R.N.3",751,653,0,1404,483,385,0,868,868,0,110,328,389,14,6,2,3,6,0,1,9,868
245,"NYAY PANCHAYAT SANSADHAN KENDRA RURUKALA",598,527,0,1125,277,228,0,505,480,0,18,325,142,11,2,0,1,3,1,2,0,505
246,P.V.RURUKALA,727,615,0,1342,401,355,0,756,704,0,187,309,230,7,3,2,0,4,1,3,10,756
247,"P.V.MALIKPUR MISHRIPUR",378,308,0,686,233,189,0,422,420,0,53,337,21,4,3,0,0,2,0,0,2,422
248,"P.V.VAMPUR RAMPUR",255,207,0,462,197,170,0,367,360,0,294,31,37,1,0,1,0,0,0,0,3,367
249,P.V.RAVATPUR,478,411,0,889,283,273,0,556,556,0,39,364,139,4,1,1,0,1,1,1,5,556
250,P.V.BIMTAMAU,427,338,0,765,236,153,0,389,389,0,130,146,102,2,0,0,0,2,2,2,3,389
251,"P.V.PURVA PATTI",492,421,0,913,278,212,0,490,490,0,9,387,73,1,3,1,3,11,1,1,0,490
252,P.V.BHAIPUR,575,468,0,1043,298,206,0,504,494,0,82,192,205,7,4,0,0,6,0,0,8,504
253,"P.V.HAMIRPUR SAHAR R.N.1",738,602,0,1340,399,305,0,704,675,0,194,365,127,6,1,1,0,0,2,3,5,704
254,"P.V.HAMIRPUR SAHAR R.N.2",806,676,0,1482,362,201,0,563,529,0,61,224,258,8,0,1,1,2,2,2,4,563
255,P.V.UDAILAPUR,481,374,0,855,280,194,0,474,470,0,34,138,293,3,2,0,0,1,2,1,0,474
256,"P.V.PURVA BHARAMAL",307,269,0,576,232,180,0,412,412,0,11,307,81,4,1,0,1,2,1,2,2,412
257,P.V.CHANDAIYA,487,416,0,903,339,285,0,624,624,0,73,500,44,0,0,1,2,1,0,2,1,624
258,P.V.EILI,639,512,0,1151,520,298,0,818,810,0,167,480,159,0,2,1,1,5,0,1,2,818
259,P.V.SHAHPUR,341,287,0,628,191,160,0,351,351,0,78,126,140,3,2,0,0,1,0,1,0,351
260,"P.V.PURVA MAKE",374,309,0,683,241,212,0,453,409,0,94,175,164,4,0,1,0,4,1,2,8,453
261,"P.V.DIVRAV NORTH",556,457,0,1013,317,259,0,576,528,0,143,210,199,2,3,4,2,5,2,2,4,576
262,"P.V.DIVRAV SOUTH",332,281,0,613,167,135,0,302,301,0,41,126,126,3,1,0,1,3,1,0,0,302
263,"P.V.KACHHPURA PART DIVRAV",599,481,0,1080,400,283,0,683,682,0,74,272,322,3,3,0,0,5,0,2,2,683
264,"P.V.TILAKPUR SARMEDI",695,579,0,1274,431,331,0,762,762,0,138,307,282,4,5,8,2,0,8,6,2,762
265,P.V.BARUA,534,398,0,932,302,238,0,540,540,0,194,263,57,13,3,2,0,3,2,1,2,540
266,P.V.BARAHAR,669,497,0,1166,353,245,0,598,590,0,54,316,211,6,2,0,2,4,1,2,0,598
267,"P.V.SALEMPUR R.N.1",780,630,0,1410,402,333,0,735,727,0,60,321,329,6,4,1,2,4,1,4,3,735
268,"P.V.SALEMPUR R.N.2",196,137,0,333,104,76,0,180,177,0,102,14,60,1,0,0,0,0,0,1,2,180
269,"P.V.GUNAULI R.N.1",550,446,0,996,303,250,0,553,200,0,174,276,93,3,1,1,0,4,0,0,1,553
270,"P.V.GUNAULI R.N.2",577,455,0,1032,392,295,0,687,680,0,61,471,101,29,5,4,2,4,3,4,3,687
271,"KANYA P.M.V.GUNAOLI R.N.1",478,373,0,851,201,121,0,322,320,0,40,173,77,6,2,16,0,3,2,0,3,322
272,"KANYA P.M.V.GUNAOLI R.N.2",572,442,0,1014,350,244,0,594,590,0,156,277,150,4,0,0,0,5,1,0,1,594
273,P.V.BONDEPUR,629,538,0,1167,329,242,0,571,563,0,215,217,100,20,1,2,0,3,1,2,10,571
274,"P.V.ACHALDA FIRST",581,448,0,1029,345,249,0,594,594,0,136,155,275,3,13,1,0,6,1,1,3,594
275,"DEHATI I.C.NEVILGANJ WEST R.N.1",834,668,0,1502,542,290,0,832,831,0,34,369,409,10,9,1,0,0,0,0,0,832
276,"DEHATI I.C.NEVILGANJ WEST R.N.2",401,318,0,719,211,128,0,339,330,0,19,259,48,3,0,0,2,3,0,4,1,339
277,"DEHATI I.C.NEVILGANJ WEST R.N.3",452,380,0,832,256,201,0,457,440,0,95,225,101,19,0,2,1,1,3,1,9,457
278,"ADARSH I.C.ACHALDA R.N.1",447,395,0,842,262,203,0,465,464,0,17,340,76,12,2,1,1,4,2,3,7,465
279,"ADARSH I.C.ACHALDA R.N.2",504,407,0,911,295,205,0,500,482,0,54,273,159,7,1,0,0,3,1,0,2,500
280,"ADARSH I.C.ACHALDA R.N.3",356,297,0,653,199,151,0,350,326,0,4,242,95,1,0,1,1,1,1,1,3,350
281,"ADARSH I.C.ACHALDA R.N.4",752,633,0,1385,381,258,0,639,629,0,16,434,171,10,1,0,1,3,1,1,1,639
282,"ADARSH I.C.ACHALDA R.N.5",302,251,0,553,177,121,0,298,290,0,9,170,103,2,8,1,0,1,1,0,3,298
283,P.V.TURAKPUR,216,188,0,404,153,128,0,281,200,0,3,153,118,2,0,0,0,1,1,2,1,281
284,P.V.LALPUR,291,242,0,533,161,136,0,297,297,0,112,99,47,32,3,1,0,0,1,1,1,297
285,"P.V.LAHTORIYA NORTH",429,363,0,792,199,134,0,333,329,0,52,152,122,2,0,1,0,0,0,3,1,333
286,"P.V.LAHTORIYA SOUTH",712,526,0,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,"P.V.GHASARA EAST",525,441,0,966,296,232,0,528,524,0,10,424,83,3,2,0,0,4,0,2,0,528
288,"P.V.GHASARA WEST",262,213,0,475,125,87,0,212,212,0,7,74,124,3,0,1,0,1,0,2,0,212
289,"NYAY PANCHAYAT SANSADHAN KENDRA GHASARA",889,727,0,1616,467,320,0,787,685,0,67,304,383,5,8,0,1,5,3,7,4,787
290,"P.V.NAHAR KOTHI GHASARA",677,501,0,1178,356,211,0,567,520,0,38,137,379,2,3,0,0,3,2,0,3,567
291,P.M.V.PAITUA,242,191,0,433,208,132,0,340,208,0,0,21,307,1,8,0,1,0,1,0,1,340
292,"P.V.BAGHAIPUR EAST",544,422,0,966,233,184,0,417,400,0,84,168,100,2,48,2,0,3,3,1,6,417
293,"P.V.BAGHAIPUR WEST",569,452,0,1021,270,239,0,509,500,0,143,33,183,1,136,1,3,3,4,0,2,509
294,P.V.BHULAIPUR,292,230,0,522,162,86,0,248,248,0,6,62,166,1,12,0,0,0,1,0,0,248
295,P.V.DHAMSIYA,281,219,0,500,149,101,0,250,250,0,51,130,54,1,10,0,0,1,2,0,1,250
296,P.V.SURKHIPUR,385,303,0,688,20,13,0,33,33,0,0,2,31,0,0,0,0,0,0,0,0,33
297,P.V.CHIMKUNI,739,568,1,1308,362,241,0,603,530,0,136,271,153,15,9,4,2,5,2,2,4,603
298,"P.V.MAKRANDPUR PHAPHUND",781,578,0,1359,429,235,0,664,664,0,45,270,305,5,27,2,2,6,1,0,1,664
299,P.V.LIDHAURA,540,421,0,961,326,266,0,592,592,0,96,324,120,12,21,3,1,7,1,5,2,592
300,"P.V.CHHACHHUND NORTH",698,561,0,1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"P.V.CHHACHHUND SOUTH",574,468,0,1042,333,203,0,536,501,0,11,130,389,1,1,1,0,1,0,1,1,536
302,"P.V.GAOTALA PART CHHACHHUND",446,327,0,773,269,187,0,456,456,0,75,56,312,2,0,1,1,2,4,1,2,456
303,"P.V.BAISOLI R.N.1",629,510,0,1139,418,345,0,763,760,0,303,345,101,6,1,0,1,4,0,0,2,763
304,"P.V.BAISOLI R.N.2",386,314,0,700,241,173,0,414,410,0,185,103,113,5,5,1,0,1,0,0,1,414
305,P.V.DALIPPUR,782,628,0,1410,447,370,0,817,810,0,335,243,211,2,6,3,0,5,3,3,6,817
306,"PANCHAYAT GHAR NAGARIYA",655,559,0,1214,367,284,0,651,651,0,209,157,263,4,3,2,1,3,1,2,6,651
307,P.V.NAGARIYA,397,334,0,731,194,135,0,329,320,0,15,239,72,1,0,1,0,1,0,0,0,329
308,"P.V.ASHA EAST R.N.1",544,410,0,954,298,227,0,525,475,0,161,210,134,2,0,8,2,1,0,4,3,525
309,"P.V.ASHA EAST R.N.2",423,307,0,730,234,136,0,370,370,0,4,79,276,5,0,0,1,1,1,0,3,370
310,"P.V. TEHARAJPUR",616,480,0,1096,326,225,0,551,200,0,143,228,158,8,1,3,0,2,0,3,5,551
311,"P.V.MUHAMDABAD EAST",662,497,0,1159,354,233,0,587,587,0,31,319,206,16,7,0,0,0,4,2,2,587
312,"P.V.MUHAMDABAD WEST",343,245,0,588,188,121,0,309,269,0,168,54,78,2,1,0,2,4,0,0,0,309
313,P.V.DIVARIYA,681,464,1,1146,455,218,0,673,673,0,48,97,514,4,5,2,0,1,0,0,2,673
314,"P.V.HASANPUR AHIRAN",372,299,0,671,220,162,0,382,382,0,81,125,170,1,0,1,2,0,0,1,1,382
315,P.M.V.GANSIPUR,319,254,0,573,207,161,0,368,360,0,78,14,260,3,6,0,0,1,2,0,4,368
316,P.V.NALHUPUR,733,518,0,1251,397,288,0,685,595,0,228,239,203,6,2,0,0,3,0,1,3,685
317,P.V.BAGHUA,356,283,0,639,214,180,0,394,394,0,196,111,76,2,0,1,0,3,0,1,4,394
318,"P.V.NAGALA KAHARAN PART CHANDPURA",288,246,0,534,227,164,0,391,390,0,136,130,118,1,1,0,0,2,0,3,0,391
319,P.V.GHANGHARPUR,249,198,0,447,131,120,0,251,198,0,69,111,61,3,1,1,1,0,0,1,3,251
320,P.V.MISHRIPUR,237,206,0,443,141,130,0,271,271,0,118,37,112,1,1,0,0,1,0,0,1,271
321,P.V.NAUNIKPUR,350,278,0,628,219,168,0,387,193,0,297,40,40,0,7,0,0,1,1,0,1,387
322,P.V.MANIKPUR,402,324,0,726,162,71,0,233,216,0,8,31,189,0,0,0,0,4,0,0,1,233
323,"P.V.RAMPUR VAISHYA",589,479,0,1068,314,225,0,539,520,0,94,298,109,17,3,0,2,11,1,1,3,539
324,P.V.PURANPUR,450,339,0,789,253,189,0,442,442,0,26,254,155,5,2,0,0,0,0,0,0,442
325,"P.V.BHAISOL NORTH",528,416,1,945,271,193,0,464,460,0,110,208,134,4,3,0,0,2,0,2,1,464
326,"P.V.BHAISOL SOUTH",498,403,0,901,259,196,0,455,452,0,122,212,107,6,1,1,1,4,1,0,0,455
327,P.V.SALHUPUR,548,459,0,1007,335,271,0,606,206,0,194,294,107,3,0,3,0,4,1,0,0,606
328,P.M.V.BHUREPUR,431,348,0,779,220,165,0,385,385,0,52,108,218,2,1,0,0,0,0,0,4,385
329,P.V.SAINPUR,274,214,0,488,213,141,0,354,354,0,3,27,319,2,1,1,0,1,0,0,0,354
330,"P.V.NAGALA AHDIYARI",351,302,0,653,180,124,0,304,232,0,58,42,194,2,2,0,0,2,1,0,3,304
331,P.V.BAJHERA,258,214,0,472,164,133,0,297,286,0,44,92,154,0,3,0,0,2,1,1,0,297
332,P.V.BIRPUR,523,374,0,897,245,173,0,418,418,0,70,269,69,1,2,0,0,1,0,1,5,418
333,"P.V.BANSHI R.N.1",627,480,0,1107,325,283,0,608,600,0,42,310,216,15,2,5,1,5,4,1,7,608
334,"P.V.BANSHI R.N.2",396,294,0,690,199,146,0,345,340,0,75,154,80,26,1,0,0,5,1,0,3,345
335,"P.V.PASIYA PART BANSHI",317,257,0,574,207,137,0,344,343,0,7,171,146,5,0,1,4,6,1,0,3,344
336,P.V.RAJUAMAU,460,371,0,831,250,227,0,477,437,0,18,208,248,0,1,0,0,1,0,0,1,477
337,P.V.DADUSARAY,346,255,0,601,207,130,0,337,337,0,72,31,227,1,2,0,0,2,0,0,2,337
338,"P.V.SARAY KHATI",388,308,0,696,231,163,0,394,394,0,158,121,109,1,1,0,0,3,0,0,1,394
339,P.V.BAILIPUR,392,299,0,691,245,194,0,439,430,0,45,120,270,1,0,0,0,2,0,0,1,439
340,P.V.KAMARA,566,414,0,980,366,232,0,598,598,0,84,138,365,5,0,0,1,0,3,0,2,598
341,"P.V.PURWA AASHA",588,540,0,1128,341,306,0,647,635,0,286,250,94,1,0,2,2,5,0,1,6,647
342,"P.V.DASHARA EAST",605,506,0,1111,349,243,0,592,541,0,134,372,59,6,0,5,0,5,2,2,7,592
343,"P.V.DASHARA WEST",627,502,0,1129,377,252,0,629,620,0,24,418,163,2,7,2,1,8,0,1,3,629
344,P.V.SEUPUR,559,453,0,1012,400,284,0,684,681,0,41,551,67,6,1,1,2,6,1,3,5,684
345,P.V.RAMPURKUVAR,630,501,0,1131,356,247,0,603,596,0,17,433,125,9,1,1,0,3,2,5,7,603
346,"P.V.BHUREPUR MIRGAVA EAST",740,570,0,1310,441,268,0,709,655,0,94,310,270,17,5,1,1,1,2,4,4,709
347,"P.V.BHUREPUR MIRGAVA WEST",289,222,0,511,160,111,0,271,270,0,11,177,74,2,1,2,0,1,1,0,2,271
348,P.V.KASIMNAGAR,221,220,0,441,134,126,0,260,260,0,90,112,52,0,0,1,1,1,0,0,3,260
349,P.V.LOHARAI,261,207,0,468,176,128,0,304,298,0,190,45,68,1,0,0,0,0,0,0,0,304
350,"P.V.PURWA MAKU DHARAMPUR JAHURALI",329,253,0,582,247,174,0,421,420,0,123,143,146,1,1,1,0,1,1,1,3,421
351,"P.V.PATA ROOM N.1",510,423,0,933,311,246,0,557,557,0,310,181,46,3,8,1,0,2,1,1,4,557
352,"P.V.PATA ROOM N.2",448,368,0,816,290,198,0,488,488,0,17,386,33,9,28,2,0,5,1,4,3,488
353,"P.V.PATA ROOM N.3",601,505,0,1106,399,318,0,717,626,0,227,320,144,5,5,1,0,5,3,0,7,717
354,"P.V.MAMREJPUR AAL",375,301,0,676,274,209,0,483,480,0,257,107,91,8,14,0,0,2,1,1,2,483
