"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY PAL SINGH JATAV","2 - ASHOK KUMAR DOHAREY","3 - PREMDAS KATERIYA","4 - HANS MUKHI KORI","5 - UJIYARE LAL DOHARE","6 - PREM CHANDRA","7 - DR MUKESH SINGH DOHARE","8 - VINEET KUMAR GAUTAM","9 - SIYA RAM PASWAN","10 - HAR BILASH DOHERY","11 - None of the Above","Total Votes Secured"
48,"P.V. PHUTTATAL",294,233,0,527,206,159,0,365,362,0,123,177,60,0,1,1,0,0,0,1,2,365
49,"P.V.PHATEHPUR LAKHMI",248,222,0,470,161,168,0,329,300,0,107,107,103,7,0,0,1,2,0,2,0,329
50,"P.V.MURAINA RAMDATT",555,474,0,1029,292,241,0,533,530,0,179,305,41,1,2,1,1,0,0,2,1,533
51,"P.V.MADIYA MALLAHAN",184,168,0,352,130,117,0,247,230,0,7,180,49,2,1,0,0,4,1,1,2,247
52,"P.V. PATHEPUR RAMU",512,413,0,925,286,242,0,528,520,0,353,114,53,4,0,1,0,0,0,0,3,528
53,"P.V. SHIBUPUR",262,245,0,507,176,183,0,359,350,0,7,326,11,6,0,1,0,2,1,2,3,359
54,"P.V. ADASI",397,369,0,766,222,177,0,399,397,0,97,222,53,21,1,0,0,4,0,1,0,399
55,"P.V.TIKAMPUR R.N.1",333,263,0,596,227,148,0,375,366,0,48,219,98,3,1,0,0,5,1,0,0,375
56,"P.V.TIKAMPUR R.N.2",331,299,0,630,227,198,0,425,421,0,5,269,141,0,1,0,0,3,1,1,4,425
57,P.V.MAKHANPUR,315,235,0,550,218,167,0,385,380,0,25,307,50,0,1,0,0,2,0,0,0,385
58,"P.V.PHATEHPUR BAINI",210,181,0,391,115,105,0,220,215,0,101,72,44,2,0,0,0,1,0,0,0,220
