"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KADIR RANA","2 - PANKAJ AGARWAL","3 - VIRENDER SINGH","4 - DR. SANJEEV KUMAR BALYAN","5 - ANIL KUMAR","6 - CHATAR SINGH KASHYAP","7 - MANGE RAM KASHYAP","8 - MOHAMMED YAMIN","9 - MO. YAMIN","10 - RAJESH DEVI ALIAS RADHIKA BALIYAN","11 - LALIT CHAUHAN","12 - ANKUR","13 - GUFRAN AHMAD","14 - JAGBIR SINGH","15 - NASEEM AHMAD ANSARI","16 - PHOOL SINGH PAL","17 - RAKESH","18 - SHABNAM","19 - SHANDAR GUFRAN","20 - None of the Above","Total Votes Secured"
29,"SHRI PARSVANATH JAIN INTER COLLEGE ROOM N0 4 JAULA",531,494,0,1025,430,345,0,775,747,0,44,3,694,6,0,0,0,0,0,3,1,2,4,6,2,5,3,0,1,1,775
30,"SHRI PARSVANATH JAIN INTER COLLEGE ROOM N0  5 JAULA",848,621,0,1469,574,319,0,893,882,0,183,15,436,196,3,4,0,1,3,10,1,0,2,17,2,13,1,0,0,6,893
31,"JINVANI VIDYA MANDIR JUNIOR HIGH SCHOOL ROOM N0. 2 JAULA",443,354,0,797,379,295,0,674,673,0,14,8,512,136,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,674
32,"JINVANI VIDYA MANDIR JUNIOR HIGH SCHOOL ROOM N0. 1 JAULA",455,368,0,823,378,307,0,685,685,0,20,7,508,133,1,0,1,0,0,4,0,0,3,4,0,3,0,0,1,0,685
33,"JINVANI VIDYA MANDIR JUNIOR HIGH SCHOOL ROOM N0. 3 JAULA",637,538,0,1175,515,391,0,906,905,0,49,3,780,57,0,1,0,0,3,1,0,1,0,2,0,1,2,0,2,4,906
34,"PRAIMARI SCHOOL ROOM N0. 1 GARHI SAKHVATPUR MAJRA JAULA",582,485,0,1067,406,373,0,779,771,0,2,4,148,614,1,0,1,1,0,1,1,1,1,0,0,0,0,0,4,0,779
35,"PRAIMARI SCHOOL ROOM N0.2  GARHI SAKHVATPUR MAJRA JAULA",446,376,0,822,335,265,0,600,600,0,72,12,33,477,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,600
36,"PRAIMARI SCHOOL ROOM N0. 1 PARASAULI",403,309,0,712,223,178,0,401,399,0,25,2,306,62,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,401
37,"PRAIMARI SCHOOL ROOM N0. 1 PARASAULI",429,374,0,803,234,237,0,471,464,0,4,3,372,80,2,0,0,0,0,2,0,0,0,2,0,3,0,0,2,1,471
38,"PRAIMARI SCHOOL ROOM N0. 2 PARASAULI",773,661,0,1434,464,376,0,840,530,0,11,3,278,526,4,1,1,0,0,3,0,0,3,1,0,1,1,1,4,2,840
39,"KANYA PATHSHALA ROOM N0.1 PARASAULI",657,524,0,1181,399,308,0,707,705,0,70,0,113,495,3,0,0,1,1,5,0,2,2,0,1,6,1,1,0,6,707
40,"KANYA PATHSHALA ROOM N0.2  PARASAULI",615,492,0,1107,375,280,0,655,638,0,5,2,303,341,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,655
41,"JUNIOR HIGH SCHOOL RAJPUR CHHAJPUR",678,554,0,1232,502,380,0,882,65,0,5,3,152,696,1,0,0,0,1,8,1,3,8,2,0,1,0,1,0,0,882
42,"PRAIMARI PATHSHALA NAYA BHAWAN RAJPUR CHHAJPUR",760,579,0,1339,466,328,0,794,792,0,45,8,244,482,1,1,0,2,0,3,3,0,2,0,0,1,1,0,0,1,794
43,"PRAIMARI SCHOOL RAJPUR CHHAJPUR",721,623,0,1344,464,428,0,892,872,0,19,2,133,701,3,1,1,0,0,9,2,0,6,0,1,2,6,0,1,5,892
44,"PRAIMARI SCHOOL ROOM N0. 1 HARIYAKHERA",482,382,0,864,227,359,0,586,582,0,39,1,31,504,1,0,0,1,0,2,0,0,1,0,2,1,0,0,0,3,586
45,"PRAIMARI PATHSHALA ROOM N0.2 HARIYAKHERA",527,457,0,984,385,300,0,685,685,0,15,1,14,639,0,0,1,0,2,6,0,2,2,0,0,0,0,0,0,3,685
46,"PRAIMARI SCHOOL ROOM N0. 1 DURGANPUR",628,522,0,1150,480,358,0,838,838,0,7,0,28,782,5,0,0,1,0,5,0,2,0,0,1,0,2,0,1,4,838
47,"PRAIMARI SCHOOL ROOM N0.2 DURGANPUR",377,326,0,703,321,267,0,588,588,0,2,2,25,551,1,0,0,0,0,3,0,0,1,1,0,1,0,1,0,0,588
