"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLA PRASAD RAWAT","2 - P. L. PUNIA","3 - PRIYANKA SINGH RAWAT","4 - RAJRANI RAWAT","5 - KISHAN LAL","6 - P. C. KUREEL","7 - DINESH CHANDRA GAUTAM","8 - NITIN SINGH","9 - BABU LAL","10 - MEDI LAL","11 - RAJESH KUMAR VIDYARTHI","12 - ABHILAKH RAWAT","13 - KHANJAN LAL","14 - MAHESH","15 - None of the Above","Total Votes Secured"
1,"P.S. EAST PART TERA DAULATPUR",758,594,0,1352,462,316,0,778,18,0,30,277,271,142,2,4,1,3,0,1,33,3,4,3,4,778
2,"P.S. WEST PART TERA DAULATPUR",757,616,0,1373,494,339,0,833,20,0,103,95,461,155,3,2,4,4,3,1,0,1,0,1,0,833
3,"P.S. GADAYIPUR",331,315,0,646,250,215,0,465,25,0,80,121,196,32,2,2,0,17,0,3,3,4,1,0,4,465
4,"J.H.S. SADRUDDINPUR",887,710,0,1597,567,391,0,958,182,0,91,384,246,207,3,1,4,0,1,4,6,0,4,3,4,958
5,"P.S. ATVA",524,508,0,1032,312,269,0,581,39,0,89,227,188,59,0,1,0,0,1,3,2,2,4,2,3,581
6,"P.S. ANKHA",469,403,0,872,327,221,0,548,209,0,29,165,217,41,1,2,0,2,3,0,83,0,1,3,1,548
7,"P.S. VAJIDPUR",349,308,0,657,308,230,0,538,432,0,142,93,176,118,1,0,0,1,0,0,1,1,2,0,3,538
8,"P.S. CHHULHA BANNI",644,533,0,1177,441,305,0,746,222,0,75,172,193,272,1,2,3,0,2,3,8,3,8,2,2,746
9,"PANCHAYAT BHAWAN BHAYARA ROOM NO-1",665,558,0,1223,388,276,0,664,194,0,15,264,58,313,2,1,0,0,0,0,0,2,1,1,7,664
10,"PANCHAYAT BHAWAN BHAYARA ROOM NO-2",671,548,0,1219,446,310,0,756,6,0,35,166,387,150,0,0,0,1,3,3,1,0,2,2,6,756
11,"P.S. EAST PART KATAHLI MAJRE BHAYARA",625,572,0,1197,419,293,0,712,52,0,177,149,329,42,2,2,0,0,2,2,2,0,1,0,4,712
12,"P.S. WEST PART KATAHLI MAJRE BHAYARA",428,370,0,798,265,146,0,411,195,0,94,72,84,143,0,1,1,2,3,0,1,0,3,3,4,411
13,"P.S.  HETAMPUR",377,333,0,710,301,223,0,524,172,0,25,73,215,193,1,1,0,2,2,1,3,1,3,3,1,524
14,"P.S. MEDHIYA",578,518,0,1096,438,327,0,765,495,0,138,152,333,128,1,1,1,1,1,0,1,1,4,1,2,765
15,"P.S. AMDAHA",478,466,0,944,350,278,0,628,411,0,99,124,283,107,1,0,1,0,0,1,0,1,5,4,2,628
16,"P.S. EAST PART NAINAMAU",708,616,0,1324,484,373,0,857,335,0,261,262,194,125,1,1,0,0,1,0,3,0,4,1,4,857
17,"P.S. WEST PART NAINAMAU",401,356,0,757,249,135,0,384,273,0,7,166,45,138,0,0,0,0,1,2,24,0,1,0,0,384
18,"P.S. KOTWA",318,290,0,608,244,177,0,421,369,0,72,99,122,114,0,0,1,0,0,0,1,3,3,3,3,421
19,"P.S. NORTH PART JYORI",322,281,0,603,283,214,0,497,173,0,55,153,254,19,0,2,0,1,3,1,2,1,2,1,3,497
20,"P.S. SOUTH PART JYORI",634,601,0,1235,482,380,0,862,520,0,34,196,470,138,2,2,5,0,1,2,1,3,3,1,4,862
21,"P.S. BADAGAO-II WEST PART",449,396,0,845,289,246,0,535,7,0,8,168,271,67,1,1,3,0,2,2,0,3,4,2,3,535
22,"P.S. BADAGAO-II EAST PART",379,251,0,630,174,144,0,318,45,0,7,154,105,44,1,2,0,0,0,1,0,0,0,1,3,318
23,"PANCHAYAT BHAWAN BADAGAO",754,674,0,1428,492,306,0,798,15,0,15,381,171,207,4,2,2,1,2,1,2,1,4,1,4,798
24,"P.S. EAST PART BADAGAO",613,530,0,1143,402,326,0,728,157,0,237,284,92,91,3,1,1,0,1,3,0,2,3,2,8,728
25,"P.S. WEST PART BADAGAO",405,329,0,734,222,171,0,393,380,0,2,255,89,33,1,0,3,0,1,0,2,1,2,1,3,393
26,"RAFI MEMO. G. H.S. SCHOOL EAST PART MASAULI",512,386,0,898,328,194,0,522,272,0,148,80,240,33,3,0,1,1,1,1,0,1,4,5,4,522
27,"RAFI MEMO. G. H.S. SCHOOL  MASAULI EXTRA ROOM",401,398,0,799,279,177,0,456,310,0,96,85,235,24,1,1,3,0,1,2,0,1,1,2,4,456
28,"RAFI MEMO. G. H.S. SCHOOL WEST PART MASAULI",654,552,0,1206,396,240,0,636,416,0,21,383,130,72,2,1,6,0,2,0,12,1,2,1,3,636
29,"RAFI MEMO. BOYS SCHOOL EAST PART MASAULI",590,479,0,1069,358,237,0,595,15,0,19,184,297,34,1,2,1,0,3,1,40,3,3,2,5,595
