"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAGDAMBIKA PAL","2 - MATA PRASAD PANDEY","3 - MUHAMMAD MUQEEM","4 - VASUNDHARA","5 - HAMIDULLAH CHAUDHARY","6 - DR. MOHD. AYUB","7 - ARJUN SINGH","8 - PINGLE PRASAD","9 - BADRE ALAM","10 - MANOJ KUMAR","11 - RAVI KUMAR","12 - DR. SATYENDRA  NATH PANDEY","13 - SANTRAM","14 - KALI RAM","15 - DIWAKAR PRASAD","16 - MUKESH NARAYAN SHUKLA URF GYANESH NARAYAN SHUKLA","17 - RAM UGRAH","18 - None of the Above","Total Votes Secured"
24,SONNAGAR,536,397,1,934,332,269,0,601,601,0,190,89,202,20,3,53,3,1,2,4,0,7,1,2,3,9,4,8,601
25,"GIJINA MAFI",306,299,0,605,186,180,0,366,366,0,93,88,148,4,1,9,0,8,0,0,0,3,1,2,1,4,2,2,366
26,"GIJINA MAFI",563,498,0,1061,320,314,0,634,634,0,103,285,170,10,5,2,0,12,0,0,1,7,2,6,5,6,6,14,634
27,DEVRIYA,281,269,0,550,172,173,0,345,345,0,73,137,52,3,2,68,0,0,0,0,1,1,2,1,0,1,3,1,345
28,PATNA,594,495,0,1089,354,326,0,680,680,0,188,167,211,13,2,43,1,10,4,1,2,10,3,3,1,7,6,8,680
29,CHAUKHARIYA,710,574,0,1284,404,334,0,738,738,0,317,165,123,28,9,21,1,9,3,3,2,8,6,4,3,10,21,5,738
30,POKHARBHITWA,392,346,0,738,249,202,0,451,451,0,122,88,115,32,4,1,1,5,2,2,2,6,6,19,4,11,14,17,451
31,SIKARI,278,261,1,540,157,151,0,308,308,0,75,117,40,7,1,53,2,2,1,2,1,3,0,0,1,2,0,1,308
32,BELHASA,335,210,0,545,193,125,0,318,318,0,3,31,146,5,1,124,0,0,0,0,1,2,0,0,0,4,0,1,318
33,BELHASA,608,435,0,1043,355,237,0,592,592,0,214,91,189,3,5,24,3,16,3,3,0,4,4,6,1,17,6,3,592
34,SNGRAMPUR,495,411,1,907,246,227,0,473,473,0,138,68,148,3,0,79,1,2,3,3,1,4,1,1,3,7,5,6,473
35,DABARA,501,451,0,952,193,182,0,375,375,0,122,130,77,1,3,19,0,5,1,0,1,2,2,1,2,3,2,4,375
36,PAKDISHUKL,251,213,0,464,139,126,0,265,265,0,122,73,48,5,0,2,0,1,0,1,0,1,0,0,0,8,2,2,265
37,BHAGAUSA,568,473,0,1041,330,296,0,626,626,0,112,38,408,16,3,8,1,9,2,1,1,2,1,14,0,4,3,3,626
38,GAURA,707,574,1,1282,383,322,0,705,705,0,259,122,147,18,10,64,4,13,1,7,3,15,4,7,7,8,9,7,705
39,PIPRI,256,205,0,461,119,106,0,225,225,0,71,70,38,8,3,5,1,0,2,0,1,12,1,3,0,8,2,0,225
40,PAKRAILA,270,230,0,500,149,162,0,311,311,0,161,23,74,18,0,15,1,1,0,0,0,0,0,4,0,4,7,3,311
41,"SISWA BUJURAG",439,344,0,783,246,200,0,446,446,0,158,86,82,37,2,55,0,4,6,0,1,7,0,2,1,1,2,2,446
42,BIRWAPUR,415,372,0,787,202,202,0,404,404,0,160,35,78,39,5,58,3,3,0,0,1,3,4,1,4,8,1,1,404
43,RANIJOT,595,509,0,1104,247,273,0,520,520,0,78,30,177,17,4,174,2,5,1,2,1,9,4,4,2,6,3,1,520
44,MAENHDANI,544,436,0,980,276,239,0,515,515,0,179,46,210,11,3,15,2,5,5,1,2,8,4,5,5,11,2,1,515
45,MAENHDANI,574,438,0,1012,281,240,0,521,521,0,206,72,145,5,0,53,3,5,0,2,0,8,1,5,1,11,1,3,521
