"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAISER JAHAN","2 - BHARAT TRIPATHI","3 - RAJESH VERMA","4 - VAISHALI ALI","5 - ERAJ BEG","6 - CHAUDHARY LAL BAGHEL","7 - JAGDISH NARAYAN SHUKLA","8 - JAGMOHAN SINGH VERMA","9 - R. K. MISRA","10 - RAM AVTAR NISHAD","11 - SHEFALI MISRA","12 - SANT KUMAR","13 - SANJAY TIWARI","14 - TURAB ALI","15 - PUSHPA DEVI","16 - SUCHITA KUMAR","17 - None of the Above","Total Votes Secured"
1,"J.H.S GHAILA R.NO. 1",561,490,0,1051,410,335,0,745,10,0,178,44,434,38,3,1,7,1,0,2,1,0,3,12,7,10,4,745
2,"J.H.S GHAILA R.NO. 2",235,209,0,444,193,158,0,351,15,0,58,20,237,14,1,1,5,2,0,0,0,0,3,5,0,1,4,351
3,"P. S. HIRAPUR",400,337,0,737,314,240,0,554,554,0,199,142,184,15,2,0,2,0,4,0,0,0,0,2,0,3,1,554
4,P.S.KHETMANI,621,530,0,1151,515,324,0,839,833,0,260,342,177,21,1,4,7,0,0,0,1,1,0,3,3,7,12,839
5,"P.S. BALSINGHPUR",662,565,0,1227,391,432,0,823,731,0,307,105,354,18,0,1,1,5,1,0,1,2,5,5,0,4,14,823
6,"P.S. PARAPARSADIPUR",487,408,0,895,371,261,0,632,552,0,230,196,167,16,0,0,1,0,2,1,1,0,3,1,2,8,4,632
7,"P.S. THATHERIYA",326,284,0,610,263,215,0,478,10,0,59,122,254,29,3,1,3,0,0,0,0,0,1,0,2,1,3,478
8,"P.S.  BHAGVANTPUR",673,530,0,1203,503,397,0,900,848,0,379,155,305,12,1,2,10,3,1,2,1,0,3,3,1,9,13,900
9,"P.S. BELAHARI",350,281,1,632,247,160,0,407,393,0,71,169,132,22,1,0,1,0,1,1,0,0,1,2,3,0,3,407
10,"P.S. EISWARWARA",841,736,0,1577,618,472,0,1090,20,0,281,283,470,18,0,1,1,1,3,3,1,1,2,4,3,7,11,1090
11,"""P.S. SARAIYA MAHIPAT SINGH R.NO.1",360,303,0,663,236,204,0,440,11,0,179,38,199,14,0,1,3,0,3,0,0,0,1,0,0,1,1,440
12,"""P.S. SARAIYA MAHIPAT SINGH R.NO.2",360,288,0,648,279,203,0,482,128,0,191,54,212,3,1,0,1,2,1,0,2,1,0,3,1,6,4,482
13,"P.S. UMARAHAR",223,195,0,418,160,148,0,308,306,0,63,42,182,10,0,0,2,0,0,1,0,0,1,0,1,4,2,308
14,"P.S. KANCHANPUR MAHRIYA",476,384,0,860,369,258,0,627,627,0,267,71,254,11,3,0,5,2,2,0,1,1,1,3,1,3,2,627
