"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NARENDRA BHATI","2 - DR.MAHESH  SHARMA","3 - RAMESH CHAND TOMAR","4 - SATISH KUMAR","5 - UDAYVEER","6 - KISHAN PAL SINGH","7 - GAJENDRA","8 - DHARMENDER","9 - RAVINDER SHARMA","10 - RAM VILAS","11 - RUVEZ ALAM RAHI","12 - MOHD. SABIR ANSARI","13 - LT COL SP SINGH","14 - SEEMA","15 - SONIA SHARMA","16 - KADEEM","17 - KADIR KHAN JAISWAL","18 - GRISA KUMAR","19 - MAHESH","20 - RAKESH","21 - SAFRUDDIN","22 - SAVITRI","23 - SUNIL GAUTAM","24 - SUMITI","25 - None of the Above","Total Votes Secured"
1,"AMICHAND I.C.KASNA K.N.1",962,611,0,1573,556,324,0,880,872,0,229,402,7,198,2,4,2,1,1,1,1,8,3,1,0,2,4,9,0,1,0,1,0,0,3,880
2,"AMICHAND I.C.KASNA K.N.2",700,487,0,1187,407,307,0,714,713,0,69,123,6,472,1,24,2,1,0,0,0,1,3,0,2,3,2,1,0,1,0,0,0,0,3,714
3,"AMICHAND I.C.KASNA K.N. 3",1114,675,0,1789,656,360,0,1016,1012,0,241,339,14,361,1,16,1,8,2,1,2,5,2,2,1,6,1,1,0,2,1,4,1,3,1,1016
4,"KENDRYA VIDHYALAY SECTOR P-3 K.N. 1",220,167,0,387,120,95,0,215,208,0,15,154,6,7,1,28,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,215
5,"KENDRYA VIDHYALAY SECTOR P-3 K.N. 2",1286,856,1,2143,630,421,0,1051,997,0,139,761,16,59,0,56,0,2,0,0,0,6,0,1,1,1,0,0,0,0,0,0,0,0,9,1051
6,"PRY. SCHOOL ECHCHHAR K.N.1",632,469,0,1101,428,327,0,755,755,0,440,182,5,110,0,5,0,1,1,1,0,1,1,0,0,4,2,0,0,0,0,1,0,0,1,755
7,"PRY. SCHOOL ECHCHHAR K.N.2",971,749,0,1720,459,340,0,799,799,0,82,602,12,31,0,62,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,3,799
8,"PRY. SCHOOL ECHCHHAR K.N.3",949,711,0,1660,562,364,0,926,926,0,184,623,14,42,0,50,2,3,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,3,926
9,"PRY. SCHOOL BIRAUNDA R.NO. 1",731,519,0,1250,467,290,0,757,757,0,255,336,3,115,0,29,2,0,0,1,0,2,1,2,0,0,1,3,0,0,1,0,2,0,4,757
10,"R.PRY. SCHOOL BIRAUNDA NO. 2",1055,853,0,1908,540,424,0,964,953,0,85,708,14,38,0,103,0,7,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,964
11,"PRY. SCHOOL DARHA K.N. 1",633,509,0,1142,521,362,0,883,882,0,406,192,4,262,2,8,0,3,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,883
12,"PRY. SCHOOL DARHA K.N. 2",428,355,0,783,344,259,0,603,601,0,395,115,3,82,0,0,0,0,0,1,0,0,0,1,0,1,2,2,0,0,0,0,1,0,0,603
13,"PRY. SCHOOL SIRSA R.NO.1",773,575,0,1348,618,338,0,956,956,0,446,235,6,226,4,3,0,2,0,1,0,2,6,3,3,10,5,0,0,1,0,1,1,1,0,956
14,"PRY. SCHOOL KHANPUR R.NO. 1",414,324,0,738,341,212,0,553,547,0,174,118,3,242,1,0,0,0,1,1,0,2,0,0,0,0,2,3,2,0,0,2,1,1,0,553
15,"PRY. SCHOOL KHANPUR R.NO. 2",463,390,0,853,334,238,0,572,565,0,253,66,3,203,2,1,0,0,1,1,1,0,2,1,0,4,5,4,1,17,1,1,1,1,3,572
16,"PRY. SCHOOL LUKSAR R.NO. 1",600,466,0,1066,453,307,0,760,759,0,227,127,4,356,7,5,3,0,1,0,1,3,2,1,1,4,2,8,0,3,1,2,0,2,0,760
17,"PRY. SCHOOL MURSHADPUR R.NO.1",385,342,0,727,271,202,0,473,473,0,230,159,3,61,1,4,1,3,0,0,1,1,0,0,1,5,1,0,0,0,0,0,0,1,1,473
18,"PRY. SCHOOL GHARBARA R. NO.1",742,624,0,1366,555,391,0,946,940,0,318,371,8,214,3,5,1,1,1,1,0,5,2,0,1,6,1,1,0,0,0,3,1,1,2,946
19,"J. H. SCHOOL ATAI MURADPUR R.NO.1",341,275,0,616,224,162,0,386,382,0,183,141,0,56,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,386
20,"PRY. SCHOOL IMALIYAKA R.NO.1",589,503,0,1092,422,308,0,730,728,0,486,139,1,95,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,730
21,"PRY. SCHOOL IMALIYAKA R.NO.2",472,345,0,817,274,182,0,456,451,0,208,137,2,97,0,0,0,0,0,0,0,3,0,0,0,2,3,1,0,0,2,1,0,0,0,456
22,"PRY. SCHOOL LADPURA R.NO. 1",904,625,0,1529,521,307,0,828,815,0,316,277,4,207,1,2,0,0,1,0,0,6,1,0,0,2,1,6,2,0,0,0,1,0,1,828
23,"PRY. SCHOOL LADPURA R.NO. 2",458,340,0,798,293,161,0,454,448,0,143,127,3,172,0,1,0,1,0,0,0,0,0,2,1,2,0,1,1,0,0,0,0,0,0,454
24,"PRY. SCHOOL LADPURA R.NO. 3",504,419,0,923,301,218,0,519,516,0,161,124,1,222,1,0,1,0,1,1,0,1,2,0,0,1,0,1,0,0,0,0,1,0,1,519
25,"PRY. SCHOOL GHAGHAULA R.NO. 1",492,339,0,831,349,215,0,564,564,0,520,25,0,12,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,564
26,"PRY. SCHOOL GHAGHAULA R.NO. 2",465,331,0,796,323,172,0,495,490,0,441,28,2,18,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,495
27,"PRY. SCHOOL GHAGHAULA R.NO. 3",449,345,0,794,323,204,0,527,527,0,420,37,2,61,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,527
28,"PRY. SCHOOL CHEERSI R.NO.1",644,488,0,1132,456,242,0,698,686,0,317,255,6,107,0,0,0,0,0,0,0,1,0,1,2,1,4,1,0,1,0,0,0,0,2,698
29,"PRY. SCHOOL FAZAYALPUR R.NO.1",899,664,0,1563,646,395,0,1041,1039,0,685,184,0,159,1,1,0,3,0,1,0,1,0,0,1,2,1,1,0,0,0,0,0,0,1,1041
30,"PRY. SCHOOL DOLARAZPURA R.NO.1",656,473,0,1129,438,309,0,747,740,0,445,12,2,241,5,0,0,1,0,0,0,2,1,1,0,9,14,4,4,0,0,0,2,0,4,747
31,"PRY. SCHOOL DOLARAZPURA R.NO.2",563,432,0,995,424,299,0,723,722,0,237,22,0,431,1,3,0,0,0,0,0,1,2,0,0,3,5,3,2,10,0,1,0,0,2,723
32,"PRY. SCHOOL SALEHPUR R.NO.1",556,388,0,944,419,206,0,625,625,0,209,296,0,82,0,3,1,1,0,0,0,7,1,4,1,5,1,4,0,1,1,3,0,0,5,625
33,"PRY. SCHOOL MANDPA R.NO.1",920,596,0,1516,696,410,0,1106,1106,0,884,17,5,154,1,2,2,1,0,1,17,0,1,1,0,7,6,1,0,0,0,0,1,0,5,1106
34,"PRY. SCHOOL NO. 2 ZAMALPUR NO 2 R.NO.-1",676,526,0,1202,625,303,0,928,928,0,455,181,8,252,0,1,0,0,0,1,0,2,2,5,2,2,2,4,0,1,3,2,1,2,2,928
35,"J. H. SCHOOL RAJPUR KALAN R.NO. 1",662,533,0,1195,508,361,0,869,869,0,449,137,2,253,2,0,2,0,0,0,0,4,1,1,1,1,2,3,2,3,0,1,1,1,3,869
36,"PRY. SCHOOL CHEETI R.NO.-1",863,674,0,1537,616,400,0,1016,1015,0,310,222,5,412,3,17,2,3,0,0,0,2,3,0,0,5,10,2,1,4,1,3,2,1,8,1016
37,"PRY. SCHOOL CHEETI R.NO-2",540,427,0,967,364,248,0,612,612,0,338,163,3,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,612
38,"PRY. SCHOOL NAGLA CHEETI R.NO.-1",253,212,0,465,178,123,0,301,301,0,204,42,0,51,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,301
39,"PRY. SCHOOL DEVTA R.NO.-1",671,517,1,1189,498,174,0,672,669,0,321,132,5,199,1,3,1,0,0,3,0,2,0,0,0,1,3,0,0,0,0,0,0,0,1,672
40,"PRY. SCHOOL DEVTA R.NO.-2",494,360,0,854,403,125,0,528,528,0,177,69,3,270,0,0,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,1,0,0,1,528
41,"PATEL I.C. ASTAULI R.NO.-1",450,368,0,818,388,102,0,490,483,0,158,69,3,249,1,1,0,1,0,0,0,0,2,1,1,1,1,1,0,0,0,1,0,0,0,490
42,"PATEL I.C. ASTAULI R.NO.-2",834,674,0,1508,594,409,0,1003,1002,0,611,295,6,69,0,4,0,3,0,0,0,2,0,0,3,2,4,2,1,0,0,0,0,1,0,1003
43,"CH. LAXMINARAYAN I.C. MANDI SHYAM NAGAR URF KHERLI HAFIZPUR R. NO.-1",624,478,0,1102,588,15,0,603,603,0,199,176,3,199,2,1,0,1,2,0,0,2,0,0,3,5,3,2,0,2,0,0,0,0,3,603
44,"CH. LAXMINARAYAN I.C. MANDI SHYAMNAGAR URF KHERLI HAFIZPUR R.NO.-2",690,562,0,1252,465,317,0,782,774,0,127,470,3,156,0,3,1,1,1,0,0,6,1,0,2,1,0,3,1,0,0,0,0,1,5,782
45,"CH. LAXMINARAYAN I.C. MANDI SHYAMNAGAR URF KHERLI HAFIZPUR R.NO.-3",427,356,0,783,277,217,0,494,481,0,45,355,4,60,2,3,1,1,1,0,0,7,1,0,1,3,0,5,0,0,1,0,1,0,3,494
46,"CH. LAXMI NARAYAN I.C. MANDI SHYAMNAGAR URF KHERLI HAFIZPUR R.NO.-4",341,287,0,628,178,145,0,323,320,0,34,242,9,27,0,2,0,3,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,2,323
47,"CH. LAXMI NARAYAN I.C. MANDI SHYAMNAGAR URF KHERLI HAFIZPUR R.NO.-5",591,484,0,1075,369,226,0,595,593,0,114,322,8,116,2,8,0,1,0,1,2,3,0,0,1,2,3,4,0,1,0,1,0,0,6,595
48,"PRY. SCHOOL PANCHAYATAN INAYATPUR R.NO. 1",699,543,0,1242,508,336,0,844,844,0,394,158,5,263,2,0,0,1,0,0,1,0,1,2,2,6,3,3,0,1,1,0,0,1,0,844
49,"UCHCHA PRY. VIDHYALAYA GIRDHARPUR R.NO. 1",864,583,0,1447,529,301,0,830,815,0,241,139,2,418,2,1,1,0,0,0,0,1,1,4,0,2,3,3,1,8,0,0,1,1,1,830
50,"PRY. SCHOOL RAUNI R.NO. 1",473,403,0,876,282,221,0,503,502,0,151,31,3,303,1,4,0,2,0,0,0,0,0,0,1,1,4,2,0,0,0,0,0,0,0,503
