"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NEERAJ SHEKHAR","2 - BHARAT SINGH","3 - VIRENDRA KUMAR PATHAK","4 - SUDHA RAI","5 - AFZAL ANSARI","6 - AVADHESH VERMA","7 - COL RETD. BHARAT SINGH SHAURYA CHAKRA","8 - MANNU YADAV","9 - RAMJI","10 - RAMROOP","11 - SUCHIT GOND","12 - BHOLA NATH","13 - MANISH","14 - MANOJ","15 - SHESHNATH","16 - None of the Above","Total Votes Secured"
1,P.P.DHARMPURA,713,571,0,1284,463,380,0,843,843,0,75,312,35,6,350,4,2,0,1,12,2,2,18,12,6,6,843
2,P.P.KUMHAILA,301,299,0,600,195,189,0,384,384,0,87,192,76,3,19,0,0,0,0,1,2,0,1,0,2,1,384
3,"P.P.DHARHARA,NORTH",694,515,0,1209,398,277,0,675,675,0,130,324,103,17,62,5,6,0,0,2,5,2,5,5,2,7,675
4,"P.P.DHARHARA,SOUTH",362,256,0,618,234,160,0,394,394,0,219,112,29,5,14,0,0,0,0,1,7,2,1,1,2,1,394
5,JR.H.S.DHARHARA,294,252,0,546,148,132,0,280,280,0,22,159,17,4,55,0,0,1,1,4,0,1,3,5,2,6,280
6,"P.P.BHARATPURA,NORTH",668,545,0,1213,423,230,0,653,653,0,57,315,93,6,139,1,1,0,1,4,4,6,11,9,3,3,653
7,"P.P.BHARATPURA,SOUTH",685,666,0,1351,380,340,0,720,720,0,150,133,7,13,346,6,0,2,1,14,6,7,18,11,3,3,720
8,"P.P.BHARATPURA,SOUTH",881,669,0,1550,524,417,0,941,941,0,312,414,94,15,75,0,5,1,0,3,6,0,3,3,3,7,941
9,"P.P.BHARATPURA KA DERA",559,462,0,1021,347,254,0,601,601,0,294,248,10,8,11,1,2,0,1,1,1,3,5,4,2,10,601
10,P.P.PIPARAULI,505,418,0,923,305,228,0,533,533,0,251,177,9,11,61,3,0,0,2,3,0,3,3,5,2,3,533
11,"P.P.BASANTPUR,MIDDLE",735,504,0,1239,303,280,0,583,583,0,160,124,29,3,211,1,2,1,3,10,4,3,6,9,6,11,583
