"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KARTAR SINGH BHADANA","2 - KANWAR HASAN","3 - NAHID HASAN","4 - HUKUM SINGH","5 - DIVAKAR KASHYAP","6 - PARDIP","7 - RAMKARAN KASHYAP","8 - SUNITA","9 - SUNIL KUMAR KASANA","10 - KRISHANPAL","11 - MOHANLAL","12 - None of the Above","Total Votes Secured"
1,"PRAIMARI PATHSHALA PASCHMI BHAG MUNDET",747,561,0,1308,590,391,0,981,981,0,154,14,417,375,15,2,0,0,1,1,1,1,981
2,"PRAIMARI PATHSHALA PURVI BHAG MUNDET",601,448,0,1049,418,288,0,706,703,0,194,22,93,390,3,0,0,0,0,0,0,4,706
3,"PRAIMARI PATHSHALA AKAPUR URF FUNSGARH",646,558,0,1204,567,449,0,1016,1016,0,12,154,11,826,7,0,0,0,3,1,1,1,1016
4,"JUNIYAR HIGH SCHOOL  PURVI BHAG HATTHCHOYA",801,594,0,1395,565,420,0,985,548,0,12,273,74,609,8,0,0,0,6,0,1,2,985
5,"JUNIYAR HIGH SCHOOL PASCHMI BHAG 	 HATTHCHOYA",796,589,0,1385,597,439,0,1036,1036,0,5,53,378,587,1,1,1,0,2,4,1,3,1036
6,"PANCHYAT GHAR HATTHCHOYA",770,615,0,1385,567,482,0,1049,1049,0,7,42,233,736,12,1,3,0,4,3,3,5,1049
7,"JUNIYAR HIGH SCHOOL PASCHMI BHAG  ROOM NO.1 PINDORA JAHANGIRPUR",813,624,0,1437,484,330,0,814,476,0,228,3,135,436,7,0,0,0,0,2,1,2,814
8,"JUNIYAR HIGH SCHOOL DAXINI  BHAG ROOM NO.2 PINDORA JAHANGIRPURP",739,575,0,1314,506,411,0,917,317,0,273,5,111,517,5,1,0,1,1,1,0,2,917
9,"JUNIYAR HIGH SCHOOL DAXINI BHAG ROOM NO.3 PINDORA JAHANGIRPURP",623,432,0,1055,410,270,0,680,673,0,93,25,196,342,6,0,0,0,7,3,1,7,680
10,"JUNIYAR HIGH SCHOOL DAXINI BHAG ROOM NO.4 PINDORA JAHANGIRPURP",612,432,0,1044,353,230,0,583,577,0,191,2,4,358,7,2,2,9,2,2,2,2,583
11,"JANTA VADIC MADHYAMIK VIDYALYA PINDAURA JAHANGEERPUR",222,148,0,370,132,95,0,227,227,0,68,30,0,127,2,0,0,0,0,0,0,0,227
12,"PRATHMIK VIDYALYA ROOM N0. 1 JAHANGIRPUR MAJRA PINDORA",267,208,0,475,154,122,0,276,274,0,45,2,2,221,0,2,1,0,0,1,0,2,276
13,"DHIRAJ UCCH MADHYAMIK VIDYALAY ROOM NO -3 GARHI ABDULLA KHAN",432,352,0,784,367,242,0,609,564,0,1,13,162,426,5,0,0,0,1,0,1,0,609
14,"DHIRAJ UCCH MADHYAMIK VIDYALAY ROOM NO -4 GARHI ABDULLA KHAN",463,393,0,856,316,267,0,583,286,0,2,12,196,366,4,0,0,0,1,0,0,2,583
15,"DHIRAJ UCCH MADHYAMIK VIDYALAY ROOM NO -5 GARHI ABDULLA KHAN",776,644,1,1421,564,444,0,1008,992,0,6,151,168,670,1,2,0,4,1,0,3,2,1008
16,"DHIRAJ UCCH MADHYAMIK VIDYALAY ROOM NO -6 GARHI ABDULLA KHAN",826,638,0,1464,562,463,0,1025,975,0,18,13,717,268,0,0,0,0,1,2,0,6,1025
17,"DHIRAJ UCCH MADHYAMIK VIDYALAY ROOM NO -7 GARHI ABDULLA KHAN",777,596,0,1373,522,382,0,904,307,0,2,17,756,108,2,1,0,1,1,6,2,8,904
18,"PRAIMARI PATHSHALA ROOM NO.1 JAFARPUR",550,393,0,943,315,276,0,591,586,0,5,19,106,449,6,1,0,0,2,0,1,2,591
19,"PRAIMARI PATHSHALA ROOM NO.2 JAFARPUR",511,430,0,941,383,317,0,700,497,0,8,4,32,648,2,1,0,2,0,0,0,3,700
20,"UCHCHTAR MADHYAMIK ROOM NO.1 PALTHEDI",534,422,0,956,428,355,0,783,760,0,5,156,585,27,1,0,1,0,2,2,1,3,783
