"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NARENDRA BHATI","2 - DR.MAHESH  SHARMA","3 - RAMESH CHAND TOMAR","4 - SATISH KUMAR","5 - UDAYVEER","6 - KISHAN PAL SINGH","7 - GAJENDRA","8 - DHARMENDER","9 - RAVINDER SHARMA","10 - RAM VILAS","11 - RUVEZ ALAM RAHI","12 - MOHD. SABIR ANSARI","13 - LT COL SP SINGH","14 - SEEMA","15 - SONIA SHARMA","16 - KADEEM","17 - KADIR KHAN JAISWAL","18 - GRISA KUMAR","19 - MAHESH","20 - RAKESH","21 - SAFRUDDIN","22 - SAVITRI","23 - SUNIL GAUTAM","24 - SUMITI","25 - None of the Above","Total Votes Secured"
34,"USAMANPUR PRIMARY SCHOOL",415,380,0,795,312,295,0,607,607,0,398,64,5,133,0,1,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,607
35,"MOHAMMADPUR NAAR PRIMARY SCHOOL R NO. 1",488,451,0,939,276,236,0,512,512,0,97,317,4,70,0,5,2,3,1,0,0,2,0,0,2,2,1,1,0,1,1,0,1,1,1,512
36,"MOHAMMADPUR NAAR PRIMARY SCHOOL R NO. 2",506,467,0,973,290,218,0,508,508,0,95,317,8,61,1,1,0,3,0,0,0,3,0,0,3,3,2,2,0,0,0,1,0,3,5,508
37,"ASAFPUR PRIMARY SCHOOL NAGALIA",412,357,0,769,313,252,0,565,565,0,22,249,2,278,5,0,0,1,0,0,0,1,1,0,2,1,0,1,0,1,0,1,0,0,0,565
38,"ASAFPUR PANCHAYAT GHAR",509,443,0,952,397,317,0,714,714,0,100,48,3,533,3,1,1,0,0,0,1,2,4,1,0,3,0,1,0,8,1,1,2,0,1,714
39,"SIRYAL PRIMARY SCHOOL",580,538,0,1118,483,407,0,890,890,0,5,756,3,122,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,890
40,"BHUNNA JATAN PRIMARY SCHOOL R NO. 1",341,289,0,630,228,175,0,403,403,0,67,252,2,72,0,0,0,0,0,0,0,3,0,0,1,3,0,0,1,0,0,1,0,1,0,403
41,"BHUNNA JATAN PRIMARY SCHOOL R NO. 2",761,649,0,1410,516,407,0,923,923,0,171,526,3,194,1,1,1,2,0,0,0,3,1,0,1,5,3,5,0,1,0,0,1,2,2,923
42,"NEKPUR PRIMARY SCHOOL",760,635,0,1395,519,401,0,920,920,0,238,435,4,205,1,7,0,1,0,2,2,5,1,0,1,3,2,6,0,1,1,1,2,0,2,920
43,"JAWA PRIMARY SCHOOL R NO. 1",695,585,0,1280,454,368,0,822,822,0,126,527,9,140,2,3,0,1,0,0,0,5,1,0,3,1,1,1,0,0,0,1,0,0,1,822
44,"JAWA PRIMARY SCHOOL R NO. 2",603,522,0,1125,403,316,0,719,719,0,105,583,3,2,0,8,0,2,0,0,1,1,0,2,3,2,0,6,0,0,0,1,0,0,0,719
45,"KALAKHURI PRIMARY SCHOOL",717,621,0,1338,465,405,0,870,870,0,88,640,5,121,2,2,0,1,0,0,0,1,2,0,3,3,0,0,0,1,0,0,1,0,0,870
46,"MACHAD PRIMARY SCHOOL R NO..1",491,438,0,929,290,237,0,527,527,0,69,402,5,43,1,1,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,527
47,"MACHAD PRIMARY SCHOOL R NO..2",476,432,0,908,273,279,0,552,552,0,30,306,1,199,0,4,0,1,0,1,1,4,0,0,0,1,0,2,0,0,0,1,0,0,1,552
48,"UDAIPUR PRIMARY SCHOOL",397,335,0,732,249,229,0,478,478,0,43,364,0,57,0,2,0,0,0,0,0,1,0,0,1,0,1,5,1,0,0,2,0,1,0,478
49,"CHHAPANA JUNIOR HIGH SCHOOL",580,512,0,1092,330,294,0,624,624,0,168,338,5,89,1,2,0,2,0,1,0,7,0,0,3,4,0,1,0,1,0,0,0,0,2,624
50,"DASOLI PRIMARY SCHOOL",302,261,0,563,203,182,0,385,385,0,127,237,1,10,0,0,0,0,0,0,0,0,0,0,1,2,3,2,0,0,0,0,0,1,1,385
51,"IBRAHIMPUR PRIMARY SCHOOL",373,297,0,670,264,208,0,472,472,0,168,202,2,67,2,5,1,2,0,0,0,0,1,0,2,1,6,8,0,2,1,0,0,1,1,472
52,"GOUTHANI INTER COLLEGE R NO.1",435,365,0,800,255,223,0,478,478,0,60,411,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,478
53,"GOUTHANI INTER COLLEGE R NO.2",670,536,0,1206,396,298,0,694,794,0,47,230,14,369,7,3,3,1,0,1,0,3,7,0,4,3,0,0,0,0,1,1,0,0,0,694
54,"BHOOTGARHI MAJRA GOUTHANI PRIMARY SCHOOL",580,493,0,1073,370,304,0,674,674,0,55,383,9,166,0,7,2,3,1,0,3,16,2,5,10,9,0,2,1,0,0,0,0,0,0,674
55,"BHINDOR PRIMARY SCHOOL",323,262,0,585,193,182,0,375,375,0,9,207,5,145,1,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,375
56,"FIROZPUR PRIMARY SCHOOL R NO. 1",593,508,0,1101,428,348,0,776,776,0,98,450,5,203,2,2,0,3,0,0,2,2,3,1,2,0,0,1,0,0,1,1,0,0,0,776
57,"FIROZPUR PRIMARY SCHOOL R NO. 2",547,482,0,1029,419,323,0,742,742,0,51,642,4,17,1,9,0,2,0,0,1,5,0,1,2,1,1,3,0,0,0,0,0,0,2,742
58,"AHAROULI PRIMARY SCHOOL",414,349,0,763,272,224,0,496,496,0,31,400,6,43,2,2,1,1,0,0,0,3,0,1,2,1,0,1,0,0,1,0,1,0,0,496
59,"RAMGARHI PRIMARY SCHOOL",773,631,0,1404,546,376,0,922,922,0,234,439,8,213,3,0,0,0,0,0,2,7,6,0,0,3,2,2,0,0,0,0,0,2,1,922
60,"SHAHPUR KALA PRIMARY SCHOOL R NO. 1",524,448,0,972,322,268,0,590,590,0,112,446,3,5,0,10,0,1,0,0,0,4,0,0,1,1,2,4,0,0,0,0,0,0,1,590
61,"SHAHPUR KALA PRIMARY SCHOOL R NO. 2",685,563,0,1248,443,345,0,788,788,0,54,220,13,468,1,10,0,2,0,0,0,4,1,0,0,3,2,5,0,1,0,3,1,0,0,788
62,"NAGLA ROOMI PRIMARY SCHOOL",536,468,0,1004,322,266,0,588,588,0,42,252,4,281,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,3,0,0,0,0,0,588
