"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ABHISHEK MISRA","2 - NAKUL DUBEY","3 - RAJ NATH SINGH","4 - PROF. RITA BAHUGUNA JOSHI","5 - SYED JAVED AHMED JAFRI","6 - TARA PATKAR","7 - NAND KUMAR LODHI RAJPOOT","8 - RABI DUBEY","9 - RAJ KUMAR SINGH","10 - RADHA KRISHNAN","11 - RAMPHAL RAWAT","12 - VIJAY BAHADUR SINGH","13 - SHISHU PAL YADAV","14 - MOHD. SARWAR MALIK","15 - SUNIL SINGH","16 - SUMAN VERMA","17 - SANJEEV MEHROTRA ALIAS PIKKU BHAI","18 - HARI RAM ALIAS HARIBHAI PATEL","19 - SYED ALI HUSAIN","20 - ASOK PANDE","21 - ADARSH SHASTRI","22 - GHANSHYAM SINGH","23 - PADAM CHANDRA GUPTA","24 - MANOJ SINGH","25 - YOGESH CHANDRA BHATT","26 - RAJEEV RANJAN TIWARI ALIAS RAJ BEHARI","27 - VINAY PRAKASH MISHRA","28 - SHAILENDRA SINGH YADAV","29 - SUBHASH CHANDRA LEHRI","30 - None of the Above","Total Votes Secured"
1,"ERAM I.COLLEGE PHOOL BAG COLONY NEAR THANA GUDAMBA ROOM NO -1",744,600,0,1344,461,299,0,760,730,0,48,200,387,97,13,1,0,0,0,0,0,1,0,0,0,1,1,3,1,1,0,0,1,1,1,0,0,2,1,0,760
2,"ERAM I.COLLEGE PHOOL BAG COLONY NEAR THANA GUDAMBAROOM NO-2",777,607,0,1384,431,305,0,736,725,0,97,40,376,179,31,1,0,0,1,0,0,1,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,736
3,"ERAM I.COLLEGE PHOOL BAG COLONY NEAR THANA GUDAMBAROOM NO-3",718,590,0,1308,401,312,0,713,713,0,44,43,439,143,29,1,1,0,0,0,0,0,0,1,0,1,0,2,6,0,0,0,0,0,0,0,0,1,0,2,713
4,"NIRMALA CONVENT INTER COLLGE BAHADUR PUR ROOM NO-1",920,725,0,1645,425,280,0,705,705,0,80,122,398,64,17,1,0,0,1,0,2,0,0,1,0,3,2,1,3,0,2,0,3,0,1,0,0,0,2,2,705
5,"NIRMALA CONVENT INTER COLLEGE BAHADUR PUR ROOM-2",610,466,0,1076,334,242,0,576,576,0,36,30,392,87,22,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,576
6,"NIRMALA CONVENT INTER COLLEGE BAHADUR PUR ROOM-3",856,645,0,1501,395,304,0,699,699,0,58,76,409,115,29,0,0,1,0,0,0,1,1,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,699
7,"NIRMALA CONVENT INTER COLLEGE BAHADUR PUR ROOM-4",688,538,0,1226,329,253,0,582,582,0,32,16,437,61,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,582
8,"NIRMALA CONVENT INTER COLLEGE BAHADUR PUR ROOM-5",536,442,0,978,280,221,0,501,486,0,20,34,342,84,17,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,501
9,"NIRMALA CONVENT INTER COLLEGE BAHADUR PUR ROOM NO-6",927,728,0,1655,555,356,0,911,911,0,116,100,568,78,28,1,1,0,0,1,0,0,1,2,1,6,0,0,2,0,1,1,0,0,0,0,0,1,1,2,911
10,"M.G.MONTESARY ADIL NAGAR ROOM NO-1",776,670,0,1446,454,382,0,836,836,0,26,87,492,194,23,1,0,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,4,836
11,"M.G.MONTESARY ADIL NAGAR ROOM NO-2",688,573,0,1261,368,270,0,638,625,0,49,36,364,156,21,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,2,1,3,638
12,"M.G.MONTESARY ADIL NAGAR ROOM NO-3",805,648,0,1453,472,340,0,812,790,0,28,43,415,292,27,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,812
13,"M.G.MONTESARY ADIL NAGAR ROOM NO-4",677,508,0,1185,371,262,0,633,623,0,23,38,347,197,21,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,633
14,"M.G.MONTESARY ADIL NAGAR ROOM NO-5",722,570,0,1292,390,269,0,659,603,0,18,33,399,183,13,0,0,0,0,0,0,2,0,4,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,659
15,"M.G.MONTESARY ADIL NAGAR ROOM NO-6",765,618,0,1383,314,407,0,721,721,0,27,42,465,162,19,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,721
16,"KAMAKHYA BAL VIDYA MANDIR KANYAN PUR ROOM NO-1",773,613,0,1386,417,306,0,723,716,0,37,41,492,127,19,0,0,0,0,0,3,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,723
