"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIS AHMAD KHAN ALIAS PHOOL BABU","2 - BUDHSEN VERMA","3 - MANEKA SANJAY GANDHI","4 - SANJAY KAPOOR","5 - NILIMA SHARMA","6 - RAJEEV AGRAWAL","7 - RAM AUTAR","8 - SANJAY KUMAR","9 - ARAMAN KHAN","10 - MOHD NAEEM ANSARI","11 - MUNESH SINGH","12 - RAVINDRA KUMAR DEVNATH","13 - None of the Above","Total Votes Secured"
1,KABOOLPUR,559,424,0,983,408,284,0,692,8,0,140,36,497,6,2,1,1,0,0,2,3,0,4,692
2,"MUDIYA KUNDRI",251,221,0,472,203,163,0,366,366,0,60,25,271,3,0,0,0,0,0,0,2,0,5,366
3,"MUDIYA HULAS",789,653,0,1442,508,389,0,897,897,0,277,81,499,12,0,0,0,2,3,3,7,3,10,897
4,KATAKWARA,718,694,0,1412,520,437,0,957,2,0,286,272,349,9,1,4,2,0,3,2,4,3,22,957
5,JOGITHER,841,716,0,1557,519,439,0,958,958,0,277,38,587,16,3,1,2,1,5,2,12,3,11,958
6,TIKRI,532,430,0,962,345,231,0,576,6,0,134,64,354,8,0,4,0,0,1,2,2,1,6,576
7,"PRASI RAMKKISHAN",409,364,0,773,298,256,0,554,554,0,118,68,257,30,0,49,1,0,4,0,3,6,18,554
8,"VICHPURI TA. JOGITHER",263,234,0,497,168,168,0,336,4,0,75,19,225,5,2,2,0,0,0,0,1,1,6,336
9,"BHEEKAMPUR URF PRANPUR",329,316,0,645,242,228,0,470,5,0,142,90,219,3,0,0,1,3,3,1,2,1,5,470
10,"FAJJULLAGANJ URF KADHAILA",291,232,0,523,241,162,0,403,5,0,74,4,307,6,0,0,1,0,2,0,1,0,8,403
11,MAHUAA,562,480,0,1042,414,308,0,722,722,0,104,71,517,8,0,0,2,1,2,3,2,4,8,722
12,"SHERGANJ DHAMANGADPUR",358,296,0,654,262,208,0,470,470,0,91,26,333,6,1,6,0,1,0,2,0,1,3,470
13,KHIRKIYA,594,488,0,1082,359,299,0,658,8,0,148,73,383,10,1,3,4,3,5,2,8,4,14,658
14,"LALAUR GAUJRANPUR",775,653,0,1428,494,345,0,839,10,0,194,17,572,8,0,1,2,1,7,6,8,6,17,839
15,SORANA,420,361,0,781,294,257,0,551,6,0,133,146,237,7,0,4,2,0,1,1,9,1,10,551
16,KHAKUMA,369,324,0,693,225,172,0,397,4,0,149,37,203,7,0,0,0,0,1,0,0,0,0,397
17,"RICHHAULA GHASI",383,314,0,697,254,170,0,424,7,0,96,8,297,8,0,2,0,0,0,3,4,2,4,424
18,PURAINA,704,544,0,1248,440,275,0,715,7,0,340,69,272,6,0,2,1,1,1,2,2,2,17,715
19,TIHULIYA,288,213,0,501,175,87,0,262,1,0,33,35,175,1,0,1,0,1,1,0,2,6,7,262
20,"PARFWA TA. KISHNI",435,378,0,813,306,272,0,578,8,0,222,16,308,4,0,1,2,2,3,3,7,1,9,578
21,KISHNI,441,344,0,785,297,235,0,532,2,0,95,21,369,8,0,2,3,6,3,4,10,3,8,532
22,"SISAIYA JALALPUR",313,244,0,557,232,150,0,382,2,0,194,14,156,4,0,0,0,0,1,1,5,0,7,382
23,MALAKPUR,342,261,0,603,265,198,0,463,7,0,139,39,258,11,2,0,1,0,2,1,4,1,5,463
24,PATANIYA,458,359,0,817,310,223,0,533,533,0,86,84,320,12,2,0,0,1,2,1,9,1,15,533
25,"CHAUSAR HARDO PATTI",730,574,0,1304,468,335,0,803,3,0,230,97,423,13,0,0,2,1,1,2,8,3,23,803
26,"CHURRA SAKATPUR",592,515,0,1107,390,313,0,703,3,0,465,38,176,4,1,1,3,0,0,0,5,3,7,703
27,"CHURA SAKATPUR",534,471,0,1005,346,265,0,611,11,0,207,149,237,9,0,0,1,0,1,0,3,2,2,611
28,JALLAPUR,524,460,0,984,333,264,0,597,7,0,92,48,414,9,2,0,2,1,2,8,6,2,11,597
29,SAYAR,515,460,0,975,316,268,0,584,10,0,415,28,120,6,0,7,0,0,1,0,1,2,4,584
30,MAHADEWA,413,402,0,815,229,202,0,431,2,0,160,250,6,8,0,0,0,0,0,2,2,0,3,431
31,MAHADEWA,390,351,0,741,244,166,0,410,10,0,178,203,14,2,0,0,0,0,0,8,0,1,4,410
32,"RICHHAULA SAVAL",493,388,0,881,271,198,0,469,6,0,227,222,12,0,0,0,0,0,1,4,2,0,1,469
33,"RICHHAULA SAVAT",545,455,0,1000,302,244,0,546,546,0,266,188,78,4,2,0,1,2,0,2,1,0,2,546
34,"RICHHAULA SAVT",650,490,0,1140,294,239,0,533,10,0,223,292,7,2,0,0,0,0,1,0,1,2,5,533
35,"ABHHAYPUR CHAINANAKII",805,668,0,1473,530,426,0,956,10,0,492,99,319,24,2,2,1,0,3,0,4,0,10,956
36,"BHAGWANTPUR KARGOD",168,135,0,303,121,83,0,204,204,0,44,19,124,3,0,0,0,0,0,0,1,0,13,204
37,"MEERPUR BAHANPUR",494,445,0,939,292,212,0,504,504,0,53,358,53,17,1,0,0,0,2,7,5,4,4,504
38,"MEERPUR BAHANPUR",404,367,0,771,226,178,0,404,4,0,73,290,28,3,0,0,0,1,1,1,1,1,5,404
39,"MEERPUR BAHANPUR",430,416,0,846,269,170,0,439,9,0,177,226,16,12,0,0,1,0,0,2,2,1,2,439
40,"MEERPUR BAHANPR",416,393,0,809,235,152,0,387,7,0,241,132,6,1,1,2,1,0,0,0,0,1,2,387
41,"MEERPUR BAHANPUR",461,452,0,913,233,172,0,405,4,0,193,191,5,12,0,0,0,0,0,0,2,1,1,405
42,MUSELI,571,445,0,1016,290,233,0,523,523,0,205,99,170,17,2,1,3,3,0,2,2,4,15,523
43,"RAJUPUR KUNDRI",462,387,0,849,1,1,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
44,BHAURUAA,250,208,0,458,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
45,"MO. PUR BAHJA",432,361,0,793,300,209,0,509,9,0,116,10,355,7,0,8,0,2,1,0,3,0,7,509
46,"NAVDIYA BHAGAT",228,216,0,444,171,156,0,327,5,0,75,10,228,5,0,1,0,1,0,2,2,0,3,327
47,KANDHARAPUR,198,148,0,346,126,94,0,220,10,0,32,4,162,0,3,1,4,0,1,2,1,1,9,220
48,RASULA,436,363,0,799,262,218,0,480,11,0,82,8,367,4,1,1,4,0,0,1,2,1,9,480
49,AHAIRWARA,732,575,0,1307,447,279,0,726,10,0,130,111,435,6,4,0,3,1,1,1,26,3,5,726
50,"BHAISTA JALALPUR",289,222,0,511,190,158,0,348,8,0,103,58,168,10,0,0,0,0,0,1,3,1,4,348
51,"NAIGPUR AKHAULA",637,500,0,1137,388,260,0,648,12,0,70,57,473,8,1,7,3,1,3,1,3,5,16,648
52,"NAIGPUR AKHKAULA",584,464,0,1048,397,294,0,691,691,0,134,147,291,4,1,3,74,5,3,1,12,5,11,691
53,"NAIGPUR AKHAULA",378,299,0,677,265,190,0,455,10,0,66,17,363,0,0,0,2,0,2,1,3,0,1,455
54,CHUTKUNA,472,391,0,863,312,242,0,554,554,0,111,101,314,11,0,3,1,1,2,0,2,4,4,554
55,"MANDRA SUMAN",553,444,0,997,355,251,0,606,10,0,85,76,423,7,0,1,0,1,1,1,6,0,5,606
56,"MUNDIYA KAROR",239,206,0,445,176,146,0,322,10,0,171,7,131,7,1,0,1,1,1,0,0,0,2,322
57,"AMRTA KHAS",623,554,0,1177,409,343,0,752,2,0,67,14,631,13,13,0,1,3,1,2,2,0,5,752
58,"AMRATA KHAS",392,359,0,751,276,240,0,516,16,0,93,16,383,13,4,1,0,0,1,2,1,0,2,516
59,LAARPUR,337,299,0,636,224,178,0,402,4,0,166,5,216,0,0,4,0,1,0,0,4,0,6,402
60,BASARA,335,308,0,643,237,170,0,407,7,0,102,6,248,36,1,0,2,0,0,0,4,0,8,407
