"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ATIQ AHMAD","2 - DADDAN MISHRA","3 - LAL JI VERMA","4 - VINAY KUMAR PANDEY","5 - PRAKSH CHANDRA MISHRA","6 - RATNESH","7 - RAM SUDHI","8 - RIZWAN ZAHEER","9 - SAXEN","10 - ARJUN YADAV","11 - ARUN KUMAR","12 - TEJ BAHADUR","13 - RAM ADHAR","14 - VIJAY KUMAR","15 - None of the Above","Total Votes Secured"
1,"P.P. KANDBHARI ROOM NO 1",691,581,0,1272,453,338,0,791,779,0,15,120,147,462,17,4,0,4,2,1,7,1,2,1,8,791
2,"P.P. KANDBHARI ROOM NO 2",439,376,0,815,279,218,0,497,441,0,2,94,46,326,5,3,1,0,3,0,1,3,1,1,11,497
3,"P.P. GANGAPUR BANKI ( NETUWA) ROOM NO 1",587,516,0,1103,364,220,0,584,51,0,284,145,94,40,1,0,0,0,1,1,7,1,2,2,6,584
4,"P.P. GANGAPUR BANKI (NETUWA) ROOM NO2",361,307,0,668,204,141,0,345,345,0,121,71,108,27,1,0,0,1,0,2,4,0,2,1,7,345
5,"P.P. CHAUKAKHURD",281,201,0,482,222,117,0,339,339,0,188,70,52,6,0,0,1,3,0,1,5,1,4,1,7,339
6,"P.P JHHAUHANA",642,470,0,1112,362,202,0,564,500,0,156,306,62,16,0,3,0,10,3,0,1,3,2,0,2,564
7,"P.P SARDARGARH ROOM NO 1",442,336,0,778,250,213,0,463,335,0,71,284,7,71,2,1,0,2,1,1,4,1,3,7,8,463
8,"P.P. SARDARGARH ROOM NO 2",412,326,0,738,217,133,0,350,347,0,24,227,58,28,3,1,1,0,1,2,3,0,0,2,0,350
9,"P.P. SARDARGARH EXTRA ROOM",383,311,0,694,197,117,0,314,305,0,65,62,25,18,2,2,1,127,1,0,3,1,2,0,5,314
10,"P.P. JABDAHI",653,486,0,1139,409,199,0,608,608,0,242,235,51,50,1,2,0,11,1,0,4,1,2,0,8,608
11,"P.P. SEMRAHNA",599,478,0,1077,400,230,0,630,600,0,280,170,121,7,3,0,2,2,1,4,8,3,8,9,12,630
12,"P.P. KALANDERPUR",774,659,0,1433,527,320,0,847,13,0,217,439,120,25,0,1,1,18,1,3,5,0,2,6,9,847
13,"P.P. PYAGPUR EAST BHAG",457,377,0,834,206,146,0,352,350,0,21,54,34,3,4,0,3,215,3,0,4,1,1,3,6,352
14,"P.P. PYAGPUR EXTRA ROOM",482,423,0,905,231,126,0,357,200,0,39,97,89,10,3,0,4,101,2,0,3,1,1,1,6,357
