"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIL KUMAR MAURYA","2 - TARUN PATEL URF TARUNENDRA CHAND PATEL","3 - DR MAHENDRA NATH PANDEY","4 - RAMKISHUN","5 - IRSHAD","6 - CHANCHAL","7 - JITENDRA","8 - MRITUNJAYA PANDEY","9 - RAMASHANKER SINGH MAURYA","10 - RAJA JAISWAL","11 - RAJENDRA","12 - RAM DULAR","13 - VINAI KUMAR SINGH","14 - SHASHI SINHA","15 - SANJEEV SINGH","16 - DR. HARIDWAR SINGH YADAV","17 - HEERALAL","18 - GULAVAS","19 - BINDU","20 - RAJNARAYAN","21 - SANJAY","22 - None of the Above","Total Votes Secured"
1,MADHIYA,837,655,0,1492,470,330,0,800,800,0,104,16,456,173,22,4,1,0,0,1,1,2,2,3,0,2,1,1,2,3,4,2,800
2,MADHIYA,551,414,0,965,272,192,0,464,464,0,19,21,252,104,42,1,0,2,0,2,0,1,1,1,1,11,2,0,0,1,0,3,464
3,MADHIYA,798,625,0,1423,401,210,0,611,611,0,36,27,277,163,91,2,3,3,0,2,1,0,0,1,0,3,0,0,0,0,0,2,611
4,MADHIYA,805,599,0,1404,391,261,0,652,652,0,54,21,358,154,47,0,1,2,0,2,0,1,0,2,0,3,0,1,0,0,3,3,652
5,MADHIYA,916,747,0,1663,395,297,0,692,692,0,30,36,334,176,93,0,0,2,0,3,3,0,1,0,0,7,0,1,3,2,0,1,692
6,BAHADURPUR,803,575,0,1378,581,357,0,938,938,0,59,16,199,576,76,2,0,0,0,3,0,1,0,0,1,0,0,2,0,1,0,2,938
7,BAHADURPUR,760,541,0,1301,458,350,0,808,808,0,150,36,283,278,37,1,1,1,1,2,1,0,0,1,1,5,0,1,2,2,3,2,808
8,BAHADURPUR,685,522,0,1207,368,217,0,585,585,0,155,45,141,128,103,0,0,0,0,1,1,1,2,0,1,2,0,0,0,0,3,2,585
9,BAHADURPUR,816,549,0,1365,448,311,0,759,759,0,164,52,194,204,111,0,0,0,0,3,1,1,2,4,1,8,3,1,2,3,2,3,759
10,KUNDAKHURD,729,495,0,1224,387,319,0,706,706,0,2,1,353,315,4,1,0,1,1,7,4,2,4,3,2,4,0,0,0,2,0,0,706
