"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAGDAMBIKA PAL","2 - MATA PRASAD PANDEY","3 - MUHAMMAD MUQEEM","4 - VASUNDHARA","5 - HAMIDULLAH CHAUDHARY","6 - DR. MOHD. AYUB","7 - ARJUN SINGH","8 - PINGLE PRASAD","9 - BADRE ALAM","10 - MANOJ KUMAR","11 - RAVI KUMAR","12 - DR. SATYENDRA  NATH PANDEY","13 - SANTRAM","14 - KALI RAM","15 - DIWAKAR PRASAD","16 - MUKESH NARAYAN SHUKLA URF GYANESH NARAYAN SHUKLA","17 - RAM UGRAH","18 - None of the Above","Total Votes Secured"
1,TALPURWA,615,479,0,1094,291,276,0,567,563,0,95,120,70,121,14,106,3,4,0,1,2,7,1,4,3,7,6,3,567
2,GOLHAURA,714,542,0,1256,354,304,0,658,651,0,186,188,91,144,6,2,1,0,2,2,1,2,0,4,6,4,8,11,658
3,GOLHAURA,696,534,0,1230,355,247,0,602,598,0,250,139,65,91,2,5,1,2,2,3,5,6,3,7,1,7,6,7,602
4,DHADHUWA,411,360,0,771,249,207,0,456,452,0,215,114,28,46,2,3,1,3,5,3,2,8,1,1,2,14,4,4,456
5,"PACHAR KHAS",571,493,0,1064,319,317,0,636,635,0,253,73,103,148,1,22,1,1,4,1,3,9,3,2,2,6,3,1,636
6,AMAMAFI,355,275,0,630,169,133,0,302,300,0,95,67,41,68,2,9,1,3,0,0,2,4,3,0,3,3,1,0,302
7,AMAMAFI,457,350,0,807,173,152,0,325,324,0,20,12,93,64,8,100,1,3,1,2,2,4,4,0,2,6,2,1,325
8,"BARDAHI NANKAR",756,634,0,1390,432,372,0,804,797,0,190,112,181,214,16,6,1,6,6,4,2,11,8,8,8,22,4,5,804
9,AJGARA,472,372,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,JAMALAJOT,565,469,0,1034,283,268,0,551,546,0,102,105,144,102,17,31,2,3,0,1,2,2,4,4,9,5,8,10,551
11,SEKHUIYA,410,306,0,716,185,197,0,382,379,0,38,85,121,78,7,25,1,1,1,1,0,0,3,1,4,11,3,2,382
12,USKI,442,335,0,777,195,161,0,356,349,0,162,66,51,56,1,0,0,0,1,0,0,2,1,3,4,6,1,2,356
13,EKDENGWA,380,306,0,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,VISHUNPUR,402,297,0,699,183,168,0,351,348,0,90,87,14,126,4,3,0,3,0,0,1,2,3,0,2,4,3,9,351
15,AKOLIHIYA,527,439,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"ATURMU NANKAR",443,351,0,794,221,197,0,418,402,0,175,106,44,39,9,6,3,1,1,2,1,6,0,1,2,13,5,4,418
17,"ATARMU NANKAR",509,429,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"MAJHAWAN KHURD",827,607,0,1434,399,309,0,708,701,0,227,105,194,127,7,6,2,5,4,1,1,5,3,2,3,10,2,4,708
19,GOTHAWA,416,345,0,761,204,182,0,386,382,0,125,50,34,144,4,3,0,1,4,2,1,3,1,1,4,5,1,3,386
20,"MAJHAWAN KALA",434,353,0,787,224,208,0,432,423,0,139,51,79,140,7,4,1,0,0,0,0,3,1,1,1,3,2,0,432
21,BASANTPUR,532,470,0,1002,286,274,0,560,554,0,264,27,102,123,8,8,0,2,1,1,0,4,2,1,2,5,5,5,560
22,GONHATAL,580,468,0,1048,324,235,0,559,545,0,219,77,46,128,7,25,4,4,6,4,4,7,3,4,6,7,5,3,559
23,MAU,488,382,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,MAU,568,507,0,1075,305,233,0,538,532,0,102,225,72,93,2,2,0,3,4,3,0,8,0,1,6,8,2,7,538
25,MANJHARI,379,356,0,735,170,182,0,352,345,0,38,88,51,140,9,1,1,1,3,3,1,3,2,2,0,3,0,6,352
