"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KU. DEVENDRA SINGH YADAV","2 - NOOR MOHAMMAD KHAN","3 - RAJVEER SINGH RAJU BHAIYA","4 - TH. JOGINDRA SINGH BHADORIYA","5 - RAJENDRA","6 - VINAY","7 - THAKUR HEMENDRA VEER SINGH","8 - HANS  RAJ SINGH","9 - DANVEER","10 - RAKESH GANDHI","11 - RAJVEER SINGH","12 - None of the Above","Total Votes Secured"
1,"P.SCHOOL, SHAHBAZPUR, ROOM NO.1",511,357,0,868,252,135,0,387,120,0,77,19,253,30,0,1,2,0,0,0,2,3,387
2,"P.SCHOOL, SHAHBAZPUR, ROOM NO.2",545,388,0,933,218,113,0,331,21,0,24,69,218,4,0,4,1,0,0,4,6,1,331
3,"P.SCHOOL, DHANSINGHPUR",446,348,0,794,266,190,0,456,454,0,59,78,290,6,0,2,0,3,1,8,6,3,456
4,"P.SCHOOL, N. KARANPUR",548,465,0,1013,306,228,0,534,45,0,165,55,282,9,0,3,3,1,1,4,6,5,534
5,"P.SCHOOL, MYASUR ROOM NO.1",643,527,0,1170,403,298,0,701,691,0,54,29,532,44,1,3,2,1,0,19,8,8,701
6,"P.SCHOOL, MYASUR ROOM NO.2",510,428,0,938,301,216,0,517,250,0,85,84,321,4,1,1,3,1,1,5,8,3,517
7,"P.SCHOOL, RAFATPUR DHULAI",215,207,1,423,164,140,0,304,250,0,19,8,22,239,1,7,0,1,2,5,0,0,304
8,"P.SCHOOL, ULAIKHEDA",445,358,0,803,272,188,0,460,457,0,77,99,247,6,0,1,3,1,2,5,7,12,460
9,"P.SCHOOL, VAMANPURA",382,330,0,712,233,181,0,414,407,0,68,53,228,37,3,3,0,0,2,7,11,2,414
10,"P.SCHOOL, NAGAR KANCHANPUR, R.NO.1",352,289,0,641,241,168,0,409,400,0,165,6,225,2,0,1,2,1,1,3,2,1,409
11,"P.SCHOOL, NAGAR KANCHANPUR, R.NO.2",566,492,0,1058,317,295,0,612,612,0,202,308,87,2,0,2,1,0,0,1,5,4,612
12,"P.SCHOOL, NAGAR KANCHANPUR, R.NO.2",300,244,0,544,221,147,0,368,210,0,42,137,90,85,1,0,0,1,1,6,4,1,368
13,"P.SCHOOL, BHIKAMPUR",526,454,0,980,314,285,0,599,599,0,65,139,217,130,3,3,5,3,3,16,5,10,599
14,"P.SCHOOL, HEVATPUR M. BHIKAMPUR",232,219,0,451,144,84,0,228,227,0,21,2,185,11,0,1,1,0,0,4,1,2,228
15,"GIRL P.SCHOOL, N. RATE",649,548,0,1197,518,378,0,896,890,0,723,31,123,3,1,0,4,0,2,2,4,3,896
16,"P.SCHOOL, AHAMEDDEV NAGAR",462,389,0,851,261,245,0,506,506,0,43,126,302,18,3,3,2,0,0,3,3,3,506
17,"GIRL P.SCHOOL, KHIJARPUR",489,353,0,842,328,239,0,567,82,0,157,27,366,3,0,0,0,2,1,3,3,5,567
18,"P.SCHOOL, GANESHPUR BHATAN",651,489,0,1140,378,278,0,656,47,1,239,328,73,1,1,1,3,0,1,2,2,5,656
19,"P.SCHOOL, SIKANDARPUR KHURD",504,412,0,916,284,183,0,467,400,2,188,26,191,40,0,2,3,2,2,3,7,3,467
20,"P.SCHOOL, SUNNAGARHI UTTAR",846,675,0,1521,435,298,0,733,733,3,168,182,363,7,1,1,0,0,0,0,8,3,733
21,"P.SCHOOL, KISHOL, VILL. KILONI",811,691,0,1502,424,387,0,811,811,0,182,216,369,10,0,1,2,0,3,2,17,9,811
22,"P.SCHOOL, NAGLA TIKURI M. KISHOL",359,254,0,613,237,127,0,364,65,0,128,5,223,3,0,0,1,0,1,1,2,0,364
23,"PANCHAYATGHAR NAGLA DULAR M. KISHOL",347,226,0,573,83,25,0,108,108,0,25,20,60,2,0,0,0,0,0,0,1,0,108
24,"P.SCHOOL, DEVKALI",728,605,0,1333,456,359,0,815,807,0,121,335,301,12,2,0,1,1,1,5,19,17,815
25,"P.SCHOOL, BASTOLI BRAHAMPUR",514,425,0,939,391,321,0,712,13,0,393,287,17,3,0,1,1,1,0,1,3,5,712
26,"JR.HIGHSCHOOL, GAJAURA",559,502,0,1061,381,298,0,679,679,0,74,31,555,10,1,3,0,0,0,1,3,1,679
27,"P.SCHOOL, CHIROLI KHATI",317,252,0,569,263,207,0,470,8,0,29,6,420,8,1,0,0,0,0,1,3,2,470
28,"P.SCHOOL, DHARMPUR",714,601,0,1315,435,375,0,810,809,0,286,89,386,8,2,1,1,1,4,3,18,11,810
29,"P.SCHOOL, BARONA",828,696,0,1524,526,299,0,825,820,0,133,144,432,54,5,6,5,3,6,6,23,8,825
30,"P.SCHOOL, SAMASPUR TARAI",379,315,0,694,229,182,0,411,408,0,62,180,156,2,0,0,1,0,0,1,3,6,411
