"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - TUFANI","2 - TUFANI NISHAD","3 - BHOLANATH ALIAS B.P. SAROJ","4 - RAM CHARITRA NISHAD","5 - SUBAS CHANDRA","6 - RAJ ALIAS VIRENDRA KUMAR SONKAR","7 - RAJESH","8 - LALJI","9 - SIKANDAR","10 - SURESH GAUTAM","11 - HARI","12 - OMPRAKASH ALIAS AMBEDKAR","13 - RAJESH SONKAR","14 - SHRAVAN KUMAR PASWAN","15 - HARINATH","16 - None of the Above","Total Votes Secured"
1,P.S.DADARA,784,691,0,1475,440,421,0,861,861,0,154,12,338,325,15,2,1,0,0,0,1,0,2,7,2,2,861
2,"P S KISHUNPUR STHIT GRAM SALARPUR",630,571,0,1201,319,307,0,626,8,0,32,7,29,526,21,1,1,0,1,0,1,0,2,2,2,1,626
3,"P S RAMPUR KHAS",281,230,0,511,162,169,0,331,327,0,45,5,170,96,5,1,0,1,1,1,0,0,2,2,2,0,331
4,"P S RAJAPUR NO 1",532,514,0,1046,297,290,0,587,50,0,117,8,108,318,22,1,1,0,0,0,1,2,4,3,0,2,587
5,"P S MAIDEEH EAST SIDE",715,564,0,1279,363,355,0,718,17,0,50,9,179,456,12,1,0,2,0,2,1,1,0,1,2,2,718
6,"P S MAIDEEH WEST SIDE",376,288,0,664,187,161,0,348,10,0,16,19,51,246,10,0,1,1,1,0,0,0,0,1,0,2,348
7,"P S JAGARNATHPUR",598,516,0,1114,307,335,0,642,642,0,185,23,235,172,16,2,1,1,1,2,0,0,1,3,0,0,642
8,"P S KOTWALI",306,293,0,599,197,198,0,395,10,0,228,4,98,54,4,1,2,0,0,0,0,0,0,1,2,1,395
9,"P S BADAUWA",608,605,0,1213,358,351,0,709,10,0,173,29,64,408,16,4,3,0,2,1,0,1,2,2,1,3,709
10,"P S KUMBH EAST SIDE",560,455,0,1015,291,253,0,544,10,0,57,15,243,206,4,1,0,0,0,1,1,2,1,5,8,0,544
11,"P S KUMBH WEST SIDE",865,678,0,1543,371,365,0,736,42,0,126,33,140,391,23,1,2,1,2,2,1,0,3,8,1,2,736
12,"P S AURAILA PARISAR",601,526,0,1127,314,247,0,561,90,0,204,21,204,106,7,1,1,2,3,0,0,1,1,2,3,5,561
13,"P S AURAILA EAST SIDE",698,610,0,1308,353,310,0,663,471,0,94,36,105,387,13,8,0,3,0,3,3,0,0,3,4,4,663
14,"JHS AURAILA PARISAR",580,503,0,1083,294,308,0,602,10,0,28,16,110,404,17,1,0,0,2,0,2,1,3,4,4,10,602
15,"P S KUTUBPUR",433,374,0,807,174,192,0,366,309,0,54,19,103,162,11,2,0,3,1,1,0,2,4,2,2,0,366
16,"P S KUTUBPUR",427,399,0,826,220,260,0,480,440,0,45,10,302,102,3,0,0,0,1,0,0,0,1,7,6,3,480
17,"P S RAJMALPUR WEST SIDE",608,508,0,1116,341,269,0,610,610,0,155,20,135,258,19,7,1,0,4,0,2,1,1,4,2,1,610
18,"P S RAJMALPUR EAST SIDE",761,708,0,1469,371,390,0,761,10,0,73,12,41,565,38,12,1,1,0,3,0,3,3,4,1,4,761
19,"P S SHEETALGANJ AHIRAULI EAST SIDE",674,511,0,1185,363,285,0,648,648,0,143,35,130,282,13,10,2,0,0,2,3,2,1,7,5,13,648
20,"P S SHEETALGANJ AHIRAULI WEST SIDE",258,217,0,475,142,133,0,275,260,0,45,10,36,161,6,7,0,1,0,1,0,1,0,2,5,0,275
21,"P S BASDEVPATTI",520,440,0,960,208,280,0,488,100,0,130,33,111,184,14,4,2,1,0,2,0,0,0,2,3,2,488
22,"P S DELHUPUR",390,347,0,737,230,184,0,414,200,0,106,38,2,258,4,1,0,0,0,0,0,0,1,2,1,1,414
23,"PANCHAYAT BHAWAN SOITHA",443,375,0,818,278,233,0,511,178,0,244,2,144,109,5,4,0,0,0,0,0,0,0,0,0,3,511
24,"P S CHAKTALA",402,360,0,762,277,218,0,495,10,0,363,0,7,105,6,7,0,0,0,0,0,1,0,2,0,4,495
25,"P S SIKANDARPUR",557,461,0,1018,269,221,0,490,407,0,184,12,27,228,10,4,0,1,1,1,3,1,5,1,2,10,490
26,"P S BHARTHANI",507,389,0,896,252,210,0,462,182,0,210,11,40,170,10,3,0,1,3,0,2,0,3,1,4,4,462
27,"BALBHADRA I C PALI NORTH SIDE",613,524,0,1137,326,270,0,596,10,0,131,22,96,306,17,6,4,0,0,2,2,1,4,2,1,2,596
28,"P S PALI MIDDLE SIDE",561,453,0,1014,278,253,0,531,529,0,140,12,155,180,15,6,1,0,0,0,1,2,0,3,2,14,531
29,"P S PALI SOUTH SIDE",591,532,0,1123,364,294,0,658,530,0,222,14,198,187,6,7,1,0,3,0,2,1,3,5,3,6,658
30,"P S SUBASPUR NORTH SIDE",582,508,0,1090,293,218,0,511,10,0,129,21,60,270,14,1,0,0,1,1,1,2,4,4,1,2,511
31,"P S SUBASPUR SOUTH SIDE",530,516,0,1046,270,290,0,560,400,0,46,8,215,269,14,1,2,1,1,0,1,0,1,1,0,0,560
32,"UNCHANI KHURD FLOOD CONTROL ROOM",751,565,0,1316,275,480,0,755,750,0,212,19,294,195,6,4,2,1,4,1,1,0,3,5,5,3,755
33,"P S UNCHANI KALA",685,561,0,1246,331,319,0,650,650,0,205,17,131,271,14,6,0,0,0,1,0,1,1,0,0,3,650
34,"P S UNCHANI KALA WEST SIDE",727,554,0,1281,376,333,0,709,10,0,99,33,273,253,18,6,1,0,3,0,1,0,4,5,2,11,709
35,"P S KAILAWAR",460,383,0,843,251,216,0,467,428,0,193,11,58,143,12,24,3,2,1,1,2,0,4,1,3,9,467
