"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MUKUL","2 - RAJ BABBAR","3 - VIJAY KUMAR SINGH","4 - SUDHAN KUMAR","5 - NARESH GAUTAM","6 - SHAZIA ILMI MALIK","7 - SURESH PAL","8 - KESHAV CHOUDHARY","9 - NITIN","10 - RAMPHAL SHAKYA","11 - RINKU KUMAR TYAGI","12 - VINOD KUMAR TYAGI","13 - SALEEM MALIK","14 - SABIR","15 - SANJEEV KUMAR","16 - None of the Above","Total Votes Secured"
1,"JUNIOR HAIGH SCHOOL AKBHAR BHARAMPUR",780,558,0,1338,400,239,0,639,588,0,179,26,360,17,0,38,8,0,1,1,3,0,0,2,3,1,639
2,"JUNIOR HAIGH SCHOOL AKBHAR BHARAMPUR",617,437,0,1054,289,175,0,464,461,0,80,21,258,20,1,70,1,0,1,2,1,1,3,1,2,2,464
3,"JUNIOR HAIGH SCHOOL AKBHAR BHARAMPUR",689,472,0,1161,305,198,0,503,476,0,103,23,297,8,1,62,0,0,1,1,1,1,0,2,2,1,503
4,"JUNIOR HAIGH SCHOOL AKBHAR BHARAMPUR",661,387,0,1048,300,182,0,482,454,0,63,26,320,13,0,50,0,0,1,1,0,0,3,1,3,1,482
5,"PRIMERY SCHOOL AKBHAR BHARAMPUR",911,623,0,1534,406,320,0,726,676,0,199,33,411,17,1,51,2,0,1,1,1,1,2,1,4,1,726
6,"PRIMERY SCHOOL AKBHAR BHARAMPUR",318,222,0,540,190,142,0,332,323,0,72,7,198,3,0,40,0,0,0,0,3,0,1,3,5,0,332
7,"PRIMERY SCHOOL AKBHAR BHARAMPUR",393,266,0,659,159,103,0,262,252,0,176,7,71,1,0,5,0,0,0,0,0,0,0,1,1,0,262
8,"PRIMERY SCHOOL AKBHAR BHARAMPUR",918,661,0,1579,499,363,0,862,762,0,233,51,514,9,0,42,0,1,1,0,1,1,0,1,4,4,862
9,"PRIMERY SCHOOL AKBHAR BHARAMPUR",742,465,0,1207,268,172,0,440,428,0,77,49,246,7,0,48,1,0,0,0,4,1,2,1,3,1,440
10,"PRIMERY SCHOOL AKBHAR BHARAMPUR",823,513,0,1336,299,199,0,498,468,0,56,22,350,13,0,45,0,0,0,0,0,0,1,1,7,3,498
11,"PRIMERY SCHOOL AKBHAR BHARAMPUR",671,481,0,1152,332,249,0,581,517,0,82,20,382,19,0,65,1,0,2,0,1,2,0,2,3,2,581
12,"K V MORDAN JUNIOR HAIGH SCHOOL AKBHARPUR",795,427,0,1222,405,294,0,699,686,0,120,42,473,15,1,39,0,0,0,0,2,0,0,2,1,4,699
13,"K V MORDAN JUNIOR HAIGH SCHOOL AKBHARPUR",689,375,0,1064,336,226,0,562,526,0,85,34,365,12,0,63,0,0,0,0,2,0,0,0,0,1,562
14,"K V MORDAN JUNIOR HAIGH SCHOOL AKBHARPUR",846,525,0,1371,414,246,0,660,643,0,70,65,418,38,3,53,4,0,0,1,2,0,0,1,3,2,660
15,"K V MORDAN JUNIOR HAIGH SCHOOL AKBHARPUR",326,229,0,555,171,131,0,302,282,0,238,9,29,2,1,13,0,1,0,0,0,0,0,2,1,6,302
16,"PRIMERY SCHOOL DUNDAHERA",891,636,0,1527,511,317,0,828,804,0,66,169,538,20,1,19,0,1,0,1,0,0,1,7,3,2,828
17,"PRIMERY SCHOOL DUNDAHERA",1088,669,0,1757,562,311,0,873,873,0,55,90,657,16,0,38,1,0,1,0,1,2,0,3,5,4,873
18,"PRIMERY SCHOOL DUNDAHERA",1497,1086,0,2583,870,536,0,1406,1406,0,354,94,880,6,0,59,10,1,0,1,0,0,0,0,1,0,1406
19,"PRIMERY SCHOOL DUNDAHERA",1492,1232,0,2724,974,734,0,1708,667,0,15,73,1326,4,0,280,1,0,0,1,0,1,0,1,0,6,1708
20,"GOD DHARAMSHALA DUNDA",637,451,0,1088,284,197,0,481,300,0,58,74,286,24,3,18,0,0,0,0,1,1,2,5,6,3,481
21,"GOD DHARAMSHALA DUNDA",827,564,0,1391,427,260,0,687,687,0,124,34,458,23,1,28,1,0,0,2,0,2,1,1,6,6,687
22,"GOD DHARAMSHALA DUNDA",574,370,0,944,225,138,0,363,324,0,55,64,208,17,1,12,1,0,1,0,0,0,0,0,3,1,363
