"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJIT SINGH","2 - GHULAM MOHAMMED","3 - PRASHANT CHAUDHRI","4 - DR. SATYA PAL SINGH","5 - ANIL KUMAR","6 - KRISHAN PAL","7 - YUNUSH","8 - SOMENDAR DHAKA","9 - AJAY PAL","10 - ARVIND","11 - JAIVINDRA KUMAR","12 - NISHANT","13 - RUKSANA","14 - SUBHASH CHAND KASHYAP","15 - None of the Above","Total Votes Secured"
1,"UCCH PRIMARY VIDYALYA PITHLOKAR ROOM NO.1",633,495,0,1128,463,358,0,821,820,0,7,677,83,32,0,0,0,0,0,0,2,1,2,8,9,821
2,"UCCH PRIMARY VIDYALYA ROOM NO.2 PITHLOKAR",570,459,0,1029,413,345,0,758,758,0,12,599,58,66,1,0,0,0,3,0,0,2,3,7,7,758
3,"UCCH PRIMARY VIDYALYA PITHLOKAR  ROOM NO.3",456,344,0,800,352,268,0,620,612,0,2,572,21,14,0,0,0,0,0,0,0,0,1,4,6,620
4,"PRATHMIK VIDHALYA PTHLOKAR",737,574,0,1311,585,415,0,1000,1000,0,12,860,45,54,3,0,1,1,1,2,0,3,0,9,9,1000
5,"PRATHMIK VIDHALYA PURANI KALANDI R. NO0 1",499,405,0,904,351,220,0,571,571,0,17,17,12,505,4,0,0,0,1,0,10,2,0,1,2,571
6,"PRATHMIK VIDHALYA PURANI KALANDI R. NO.3",379,323,0,702,263,219,0,482,336,0,16,5,8,442,3,0,0,1,0,0,3,1,2,0,1,482
7,"NEW PRATHMIK VIDHALYA KALANDI",587,484,0,1071,407,281,0,688,679,0,28,83,8,552,9,0,1,0,0,1,3,1,0,0,2,688
8,"PRATHMIK VIDHALYA NAVADA MAJRA KALANDI R. N. 1",486,398,0,884,413,337,0,750,750,0,12,177,24,516,5,0,0,0,0,0,2,10,2,1,1,750
9,"PRATHMIK VIDHALYA NAVADA MAJRA KALANDI R. N. 2",477,362,0,839,312,300,0,612,612,0,9,6,256,320,3,0,0,0,0,0,3,5,4,1,5,612
10,"PRATHMIK VIDHALYA PALI",603,519,0,1122,406,374,0,780,446,0,145,39,80,492,3,1,2,1,0,2,6,2,3,1,3,780
11,"UCCH PRIMARY VIDYALYA KALAND PURVI KAKSH",556,445,0,1001,392,320,0,712,14,0,29,34,18,607,4,1,0,2,1,1,1,9,2,0,3,712
12,"UCCH PRIMARY VIDYALYA KALAND  MADHYA KAKSH",758,622,0,1380,490,431,0,921,921,0,51,356,190,301,2,0,1,1,0,0,4,3,3,5,4,921
13,"PRATHMIK VIDHALYA KALAND",629,477,0,1106,375,279,0,654,643,0,21,234,63,331,0,0,0,0,0,0,2,0,0,2,1,654
