"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAISER JAHAN","2 - BHARAT TRIPATHI","3 - RAJESH VERMA","4 - VAISHALI ALI","5 - ERAJ BEG","6 - CHAUDHARY LAL BAGHEL","7 - JAGDISH NARAYAN SHUKLA","8 - JAGMOHAN SINGH VERMA","9 - R. K. MISRA","10 - RAM AVTAR NISHAD","11 - SHEFALI MISRA","12 - SANT KUMAR","13 - SANJAY TIWARI","14 - TURAB ALI","15 - PUSHPA DEVI","16 - SUCHITA KUMAR","17 - None of the Above","Total Votes Secured"
1,"P.S. SHIVTHANA R.N. 1",559,508,0,1067,376,290,0,666,636,0,41,213,379,8,1,1,3,4,2,0,2,2,1,3,1,2,3,666
2,"P.S. SHIVTHANA R.N. 2",413,393,0,806,341,278,0,619,619,0,387,115,83,2,2,0,0,0,1,1,0,1,0,3,1,1,22,619
3,"P.S. RAIPUR",533,468,0,1001,432,270,0,702,702,0,301,221,111,14,2,4,2,2,32,0,0,1,0,1,4,2,5,702
4,"P.S. BHADESHIYA R.N.1",514,438,0,952,325,265,0,590,589,0,260,76,203,12,0,1,5,0,1,0,0,2,1,2,2,9,16,590
5,"P.S. BHADESHIYA R.N.2",458,380,0,838,313,219,0,532,529,0,246,87,170,5,0,4,2,2,0,3,1,0,1,2,3,4,2,532
6,"P.S. KAURASA",680,515,0,1195,555,422,0,977,977,0,405,347,177,3,0,1,4,3,1,0,1,4,4,4,2,11,10,977
7,"P.S. KAMUWA",371,327,0,698,261,229,0,490,468,0,116,183,164,11,2,1,1,0,4,0,1,1,0,2,0,2,2,490
8,"P.S. KANDUNI",820,671,0,1491,602,444,0,1046,1046,0,550,164,210,40,6,3,24,11,2,1,4,2,4,7,2,12,4,1046
9,"J.H.S. GERUHAMAFI",216,172,0,388,167,134,0,301,299,0,128,49,97,12,1,1,2,0,1,0,0,0,1,2,0,0,7,301
10,P.S.BHIRA,642,534,0,1176,378,384,0,762,762,0,355,169,185,17,3,1,2,4,0,1,1,1,0,4,2,4,13,762
11,"P.S. RENVA",443,362,0,805,356,270,0,626,626,0,355,42,193,11,1,1,5,1,0,1,1,2,0,4,0,6,3,626
12,"P.S. HARIHARPUR JAMARKHA",652,531,0,1183,477,356,0,833,833,0,465,276,64,5,0,2,2,1,1,0,0,0,2,1,5,5,4,833
13,"P.S. HASNAPUR",474,405,0,879,370,277,0,647,647,0,354,75,187,14,0,0,3,0,1,0,0,0,1,6,0,6,0,647
14,"P.S. PENDRA",560,529,0,1089,432,392,0,824,824,0,361,281,165,4,0,1,1,1,0,0,1,1,1,2,0,3,2,824
15,"P.S.RAMPUR GHERWA R.N.1",552,457,0,1009,411,290,0,701,701,0,213,239,207,14,0,3,3,0,1,1,0,1,1,6,1,1,10,701
16,"P.S.RAMPUR GHERWA R.N.2",510,414,0,924,324,312,0,636,636,0,452,107,36,9,1,0,1,1,3,1,0,1,2,2,2,7,11,636
17,"P.S.MAJHIGAVAN KHURD",253,222,0,475,217,161,0,378,378,0,201,22,141,1,0,0,1,0,1,0,0,0,1,1,1,2,6,378
18,"P.S. NYADARPUR H/O MAJHIGAVAN KHURD",373,334,0,707,300,235,0,535,535,0,258,114,108,12,0,1,3,1,3,0,0,0,2,3,3,10,17,535
19,"P.S.SHAHJALALPUR R.N.1",534,443,0,977,398,275,0,673,673,0,357,79,174,18,0,0,0,1,3,1,0,24,0,3,2,3,8,673
20,"P.S.SHAHJALALPUR R.N.2",517,428,0,945,345,225,0,570,568,0,214,53,276,10,2,1,7,1,0,1,1,2,2,0,0,0,0,570
21,"P.S. CHHIN",493,386,0,879,295,198,0,493,493,0,130,147,166,13,2,0,6,1,15,1,0,2,1,6,1,2,0,493
22,"DR.HAMID ALI KRASHAK JHS MARU H/O CHHIN",535,460,0,995,348,294,0,642,94,0,286,124,186,12,1,1,6,1,0,0,2,0,1,7,3,7,5,642
23,"P.S. MARSANDA II",629,543,0,1172,462,331,0,793,793,0,179,255,302,22,2,1,3,1,3,0,3,0,1,9,2,9,1,793
24,"P.S. BANNIRAI",589,475,0,1064,390,300,0,690,690,0,60,264,310,12,0,4,7,4,2,1,2,1,4,7,1,6,5,690
25,"P.S. BAJEHRA NASIRPUR",543,424,0,967,373,275,0,648,648,0,189,95,313,13,1,3,12,2,0,2,1,1,0,7,1,2,6,648
26,"P.S. SEHRUWA",304,273,0,577,237,208,0,445,445,0,56,221,143,5,1,1,1,0,1,0,1,1,2,5,2,3,2,445
27,"P.S. BHUILA KALAN",617,561,0,1178,465,421,0,886,886,0,391,83,337,12,1,0,2,5,1,0,1,1,2,7,7,12,24,886
28,"P.S. BHUILA KHURD H/O RAMKUND",770,637,1,1408,539,328,0,867,867,0,224,44,523,28,1,0,4,1,4,0,1,1,4,6,8,8,10,867
29,"P.S.  RAMKUND STHIT BEHATI",440,364,0,804,367,236,0,603,602,0,269,8,285,6,1,6,3,4,1,0,0,0,2,9,4,0,5,603
