"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMBIKA SINGH","2 - BRIJ KISHOR SINGH","3 - RAM PRASAD CHAUDHARY","4 - HARISH CHANDRA  ALIAS  HARISH DWIVEDI","5 - ANAND RAJPAL","6 - PURUSHOTTAM PANDEY","7 - BHAGWANDAS","8 - RAM KARAN ALIAS R.K. GAUTAM","9 - SHIVPOOJAN RAJBHAR","10 - SITA RAM","11 - ARUN KUMAR","12 - KRISHNA  KUMAR UPADHYAY ADVOCATE","13 - RAM SHANKAR GUPTA","14 - None of the Above","Total Votes Secured"
1,"P.S. PIRAILA NARHARIYA",571,468,0,1039,295,239,0,534,530,0,15,183,76,238,3,8,1,0,1,1,0,0,1,7,534
2,"P.S. PIRAILA NARHARIYA",599,476,0,1075,291,261,0,552,531,0,10,361,50,101,0,19,0,0,0,1,0,1,2,7,552
3,"P.S. TENDUHNA",261,211,0,472,150,142,0,292,2,0,6,116,56,95,0,5,1,1,2,2,2,3,1,2,292
4,"P.S. BHOLAPUR",700,556,0,1256,371,326,0,697,293,0,22,419,39,178,0,31,6,1,0,0,0,1,0,0,697
5,"P.S. CHITERGAVA",872,651,0,1523,489,463,0,952,468,0,28,286,197,400,15,6,8,2,1,0,1,3,3,2,952
6,"P.S. SANKERPUR",613,463,0,1076,331,270,0,601,584,0,17,289,115,143,1,20,1,0,3,0,3,2,1,6,601
7,"P.S. SANKERPUR",269,205,0,474,117,85,0,202,202,0,3,88,43,46,1,15,0,0,0,0,1,0,3,2,202
8,"P.S. CHANDOKHA",820,632,0,1452,590,268,0,858,803,0,11,263,168,368,5,4,5,0,0,3,6,2,5,18,858
9,"P.S. AADAMPUR",793,706,0,1499,404,373,0,777,227,0,16,294,209,205,7,31,4,1,2,1,2,3,1,1,777
10,"P.S. SEKHAPUR CHAK DOST MOHAMMAD",346,256,0,602,200,168,0,368,368,0,6,55,117,175,6,0,0,3,1,0,0,1,0,4,368
11,"P.S. KHAJEPUR",731,563,0,1294,424,325,0,749,10,0,12,168,268,237,14,3,6,3,10,3,4,7,5,9,749
12,"P.S. DARIYAPUR JANGAL",668,532,0,1200,289,290,0,579,560,0,6,102,213,204,3,9,0,3,4,5,5,5,5,15,579
13,"P.S. DARIYAPUR JANGAL",829,657,0,1486,429,338,0,767,765,0,10,185,216,286,9,4,6,6,3,5,5,4,5,23,767
14,"P.S. DARIYAPUR JANGAL",736,588,0,1324,372,279,0,651,469,0,21,180,136,289,2,4,5,4,1,0,2,1,4,2,651
15,"P.S. PANANKUNYA",799,656,0,1455,421,309,0,730,23,0,15,143,200,330,3,7,4,4,3,1,6,2,6,6,730
16,"P.S. PARSA SHIVRAJ",662,530,0,1192,346,286,0,632,631,0,41,249,94,150,3,80,4,1,1,2,1,0,4,2,632
17,"P.S. TANUA ASNAHRA",662,500,0,1162,318,290,0,608,608,0,9,153,149,256,13,2,4,2,2,3,1,3,2,9,608
18,"P.S. TENUA ASANHARA",595,495,0,1090,280,241,0,521,521,0,12,147,110,184,8,22,3,3,5,4,7,6,3,7,521
19,"P.S. TENUA ASANHARA",445,370,0,815,229,190,0,419,400,0,3,78,165,134,6,9,4,4,1,2,2,2,3,6,419
20,"P.S. TURKAULIYA URF KARMAHIYA",603,499,0,1102,306,272,0,578,578,0,11,286,26,236,4,3,0,1,1,1,3,2,4,0,578
21,"P.S. TURKAULIYA URF KARMAHIYA",651,566,0,1217,320,284,0,604,603,0,28,61,161,312,7,3,3,2,9,2,1,5,4,6,604
22,"P.S. TURKAULIYA URF KARMAHIYA",637,497,0,1134,332,299,0,631,629,0,26,105,215,228,6,4,7,3,4,5,6,6,3,13,631
23,"P.M.V. BADOKHAR",833,717,0,1550,479,431,0,910,885,0,20,345,100,410,3,2,6,4,2,3,3,2,6,4,910
24,"P.S. BHIVAPAR",712,558,0,1270,414,314,0,728,720,0,39,353,109,184,7,6,4,1,2,2,3,2,3,13,728
25,"P.S. DHAWAI",539,446,0,985,263,250,0,513,513,0,7,126,206,132,4,2,5,3,0,3,2,4,4,15,513
26,"P.S. DHAWAI",512,436,0,948,252,189,0,441,441,0,17,63,175,133,4,2,6,1,8,4,6,5,3,14,441
27,"P.S. DHAWAI",753,610,0,1363,493,252,0,745,759,0,34,253,171,234,3,5,4,6,3,1,5,8,6,12,745
28,"P.S. JAGDESPUR URF NAUGADWA",463,382,0,845,249,225,0,474,85,0,20,95,100,220,7,0,1,1,2,4,4,3,6,11,474
29,"P.S. JAGDESPUR URF NAUGADWA",503,440,0,943,229,320,0,549,549,0,9,91,189,227,2,5,5,4,1,2,1,2,1,10,549
30,"P.S. BHANPUR",482,368,0,850,262,198,0,460,436,0,7,118,182,120,2,2,2,3,1,2,3,5,3,10,460
31,"P.S. BHANPUR",464,448,0,912,275,261,0,536,522,0,11,115,232,152,1,0,3,3,0,1,1,6,2,9,536
32,"KANYA P.S. BHANPUR",776,681,0,1457,462,377,0,839,809,0,26,243,15,528,3,1,1,0,1,0,2,3,5,11,839
33,"K.I.C. BHANPUR",519,404,0,923,312,249,0,561,253,0,30,233,35,246,2,8,0,2,1,0,1,3,0,0,561
34,"K.I.C. BHANPUR",370,271,0,641,208,153,0,361,351,0,7,113,68,159,0,1,0,1,1,1,2,2,1,5,361
35,"P.S. UKDA",343,269,0,612,205,203,0,408,358,0,6,65,140,190,0,1,0,0,0,1,1,2,0,2,408
36,"P.S. BANWADHIYA",815,687,0,1502,451,429,0,880,861,0,15,249,204,360,8,2,3,5,1,2,7,7,3,14,880
