"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KALRAJ MISHRA","2 - NIYAJ AHMAD","3 - BALESHWAR YADAV","4 - SABHA KUNWAR","5 - AROON KUMAR TRIPATHI","6 - AWADH KISHOR NIGAM","7 - INTZARUL","8 - UMESH","9 - RAJU","10 - RAM PRAVESH","11 - RAM PREET","12 - VED PRAKASH MALL","13 - SHYAM SUNDAR","14 - BARKHA KINNAR","15 - HEMANT KISHOR SRIVASTAVA","16 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL JANGAL SISWA ROOM	.NO1",508,437,0,945,291,268,0,559,20,0,253,167,82,22,2,2,0,3,6,3,0,0,7,1,4,7,559
2,"PRIMARY SCHOOL JANGAL SISWA ROOM. NO. 2",509,383,0,892,193,242,0,435,15,0,215,75,91,26,1,1,0,2,3,2,1,0,9,3,1,5,435
3,"PRIMARY SCHOOL JANGAL LUATHHA PASHCHIMI KHAND",574,473,0,1047,265,293,0,558,58,0,277,97,99,23,4,2,0,1,6,8,0,5,8,4,6,18,558
4,"PRIMARY SCHOOL JANGAL LUATHHA PURVI KHAND",439,366,0,805,271,229,0,500,112,0,69,282,112,17,1,1,1,0,7,1,0,0,4,1,2,2,500
5,"PRIMARY SCHOOL JANGAL LUATHHA KACHAHRI TOLA ROOM NO.1",419,358,0,777,198,198,0,396,25,0,205,74,47,10,0,3,17,2,3,3,1,0,0,2,10,19,396
6,"PRIMARY SCHOOL JANGAL LUATHHA KACHAHRI TOLA ROOM NO. 2",503,377,1,881,279,212,0,491,22,0,62,309,50,3,2,0,25,1,3,2,2,1,8,3,9,11,491
7,"PRIMARY SCHOOL JANGAL NAWGAWA PASHCHIMI KHAND",487,371,0,858,276,180,0,456,22,0,74,66,221,16,2,0,38,0,5,3,0,1,23,2,4,1,456
8,"PRIMARY SCHOOL JANGAL NAWGAWA PURVI KHAND",591,411,0,1002,312,238,0,550,150,0,150,137,100,18,2,2,90,4,9,10,1,4,13,4,2,4,550
9,"PRIMARY SCHOOL JANGAL NAWAGAWA ROOM NO. 1",714,529,0,1243,367,299,0,666,32,0,303,195,80,13,0,1,33,1,7,7,2,2,2,5,5,10,666
10,"PRIMARY SCHOOL BARWA BABHANAOLI",826,644,0,1470,437,409,0,846,50,0,421,131,212,20,2,2,13,5,6,12,2,0,1,3,4,12,846
11,"PRIMARY SCHOOL KUBERA BHUALI",700,561,0,1261,373,338,0,711,74,0,417,192,25,13,3,0,2,5,8,8,6,2,6,3,9,12,711
12,"PRIMARY SCHOOL NARAHWADIH",431,364,0,795,229,243,0,472,35,0,280,86,70,8,6,0,4,1,3,0,0,2,4,1,3,4,472
13,"PANCHYAT BHAWAN MAILA NARAHAWA",481,377,0,858,261,240,0,501,64,0,302,90,76,2,3,1,2,3,7,4,1,0,2,0,2,6,501
14,"PRIMARY SCHOOL KIRAT PATTI",423,361,0,784,236,224,0,460,58,0,195,40,175,9,8,0,1,2,3,4,0,1,1,8,5,8,460
15,"PRIMARY SCHOOL NARAHWA ACHARAJ DUBE",431,357,0,788,220,197,0,417,35,0,194,115,73,12,1,1,1,0,4,2,0,0,1,2,3,8,417
16,"PRIMARY SCHOOL GOBIND PATTI",344,268,0,612,190,170,0,360,10,0,168,100,62,13,0,0,0,1,5,0,0,1,2,1,3,4,360
17,"PRIMARY SCHOOL KOKIL PATTI NORTH KHAND",821,644,0,1465,441,395,0,836,36,0,271,411,60,15,4,2,6,3,3,4,4,2,9,6,15,21,836
18,"PRIMARY SCHOOL KOKIL PATTI ROOM NO. 1",842,620,0,1462,413,407,0,820,120,0,292,351,64,14,4,4,4,4,4,12,6,3,25,8,8,17,820
19,"PRIMARY SCHOOL KOKIL PATTI  SOUTH KHAND",930,669,0,1599,488,366,0,854,113,0,452,107,184,21,4,1,3,3,6,7,7,5,5,13,8,28,854
20,"PRIMARY SCHOOL BAIKUNTHPUR ROOM NO. 1",469,359,0,828,231,220,0,451,45,0,137,169,105,16,0,1,1,1,7,4,2,0,3,0,2,3,451
21,"PRIMARY SCHOOL BAIKUNTHPUR ROOM N0.2",477,322,0,799,177,232,0,409,50,0,163,171,40,4,0,1,0,0,3,4,0,0,3,2,9,9,409
22,"PRIMARY SCHOOL BAIKUNTHPUR ROOM NO. 3",877,628,0,1505,413,357,0,770,50,0,485,194,22,24,1,0,2,6,7,3,2,5,1,1,6,11,770
23,"PRIMARY SCHOOL BAIKUNTHPUR  EXTRA ROOM",645,496,0,1141,274,256,0,530,142,0,264,194,33,14,1,3,0,1,1,2,3,0,1,4,2,7,530
