"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR HUSAIN","2 - NAWAB KAZIM ALI KHAN","3 - NASEER AHMAD KHAN","4 - DR. NEPAL SINGH","5 - JANNAT NISHA","6 - VIJENDRA SINGH","7 - SYED SALMAN ALI","8 - AKBAR MASOOD","9 - JAGDISH SARAN SAGAR","10 - JAGMOHAN","11 - TEJPAL SINGH","12 - NAVED MIAN","13 - None of the Above","Total Votes Secured"
1,"PRIMARY SCHOOL GHOSIPURA MAJHRA PATTI KLA NORTH DISHA",708,605,0,1313,531,398,0,929,929,0,10,308,490,87,3,2,2,2,3,6,4,6,6,929
2,"PRIMARY SCHOOL GHOSIPURA MAJHRA PATTI KLA SOUTH DISHA",749,592,0,1341,482,371,0,853,841,0,49,385,212,170,1,2,3,2,1,4,5,6,13,853
3,"PRIMARY SCHOOL MILAK NAUKHAREED SUAR WEST DISHA",801,659,0,1460,583,413,0,996,988,0,20,120,211,611,8,3,0,0,2,4,3,4,10,996
4,"PRIMARY SCHOOL KARIMPUR",444,406,0,850,339,306,0,645,538,0,130,78,78,348,3,1,0,0,1,1,1,2,2,645
5,"PRIMARY SCHOOL HASANPUR UTTARI",348,282,0,630,285,209,0,494,401,0,13,22,5,440,5,0,0,1,0,3,2,2,1,494
6,"PRIMARY SCHOOL SEKHPURA",285,272,0,557,213,180,0,393,393,0,3,27,23,331,3,0,3,0,1,0,1,1,0,393
7,"JUNIOR HIGH SCHOOL LADPUR  SEMRA NORTH DISHA",472,397,0,869,342,297,0,639,599,0,6,284,33,302,3,1,0,0,1,0,0,5,4,639
8,"JUNIOR HIGH SCHOOL LADPUR  SEMRA SOUTH  DISHA",476,379,0,855,378,289,0,667,667,0,10,175,77,390,4,1,0,0,0,1,1,1,7,667
9,"PRIMARY SCHOOL KISHANPUR MOLLAGARH",624,557,1,1182,433,367,0,800,800,0,8,353,130,286,1,1,2,0,1,6,3,0,9,800
10,"PRIMARY SCHOOL DHARAMPUR UTTARI",515,484,0,999,350,276,0,626,626,0,7,361,162,81,1,1,2,0,1,3,1,2,4,626
11,"JUNIOR HIGH SCHOOL MANPUR UTTARI EAST DISHA",596,527,0,1123,349,316,0,665,665,0,35,335,232,43,1,2,0,0,1,1,3,6,6,665
12,"JUNIOR HIGH SCHOOL MANPUR UTTARI WEST DISHA",323,287,0,610,173,133,0,306,306,0,10,53,90,142,0,0,1,0,1,2,1,3,3,306
13,"PRIMARY SCHOOL KUSH HALPUR",817,728,0,1545,483,453,0,936,916,0,10,418,47,434,2,0,2,0,5,2,3,3,10,936
14,"PRIMARY SCHOOL  SEMRA NEAR LADPUR ,NORTH DISHA",694,616,1,1311,478,378,0,856,856,0,68,135,93,543,2,3,2,0,1,1,2,2,4,856
15,"PRIMARY SCHOOL SEMRA NEAR LADPURSOUTH DISHA",611,527,0,1138,457,386,0,843,843,0,14,14,11,785,2,0,1,1,2,6,1,0,6,843
16,"PRIMARY SCHOOL NEAR CHAUPURA ROOM NO -1",496,417,0,913,349,291,0,640,640,0,35,21,50,523,1,3,0,0,0,2,0,0,5,640
17,"PRIMARY SCHOOL CHAUPURA EXTRA ROOM",514,488,0,1002,293,271,0,564,564,0,80,25,106,336,4,1,0,0,3,0,0,1,8,564
18,"SARBHITKARI INTER COLLEGE MASWASI ROOM NO -12",537,441,0,978,302,247,0,549,509,0,7,249,252,37,0,0,0,0,0,0,1,1,2,549
19,"SARBHITKARI INTER COLLEGE MASVASI ROOM NO -13",803,633,0,1436,416,320,0,736,736,0,4,400,306,5,0,1,0,1,2,2,1,6,8,736
20,"SARBHITKARI INTER COLLEGE MASVASI ROOM NO -14",548,457,2,1007,330,222,0,552,532,0,44,87,169,230,17,2,0,0,1,0,1,1,0,552
21,"SARBHITKARI INTER COLLEGE MASVASI N.M.DISHA",758,615,0,1373,428,350,0,778,778,0,10,175,433,146,0,0,1,1,1,3,2,1,5,778
22,"SARBHITKARI INTER COLLEGE MASVASI EAST DISHA",694,652,1,1347,424,325,0,749,655,0,13,46,165,517,1,0,0,1,1,2,0,1,2,749
23,"SARBHITKARI INTER COLLEGE  MASVASI WEST DISHA",594,467,10,1071,284,226,3,513,513,0,2,106,116,277,2,1,2,0,0,2,0,2,3,513
24,"SARBHITKARI INTER COLLEGE  MASVASI WEST DISHA",488,459,1,948,249,237,0,486,446,0,11,237,206,23,1,2,0,0,1,1,1,0,3,486
25,"PRIMARY SCHOOL  BHUVRA MUSTEKHAM NORTH DISHA",794,730,1,1525,630,495,0,1125,1125,0,2,30,76,994,6,4,3,0,1,0,4,1,4,1125
26,"PRIMARY SCHOOL  BHUVRA MUSTEKHAM SOUTH DISHA",787,717,1,1505,502,468,0,970,970,0,214,136,311,279,0,2,1,0,2,6,3,2,14,970
27,"JUNIOR HIGH SCHOOL KISANPUR MAJHRA BHUVRA AHTMALI",850,757,0,1607,668,548,0,1216,1141,0,87,22,147,920,10,3,2,4,4,3,4,1,9,1216
28,"JUNIOR HIGH SCHOOL KISANPUR MAJHRA BHUVRA AHTMALI",655,532,0,1187,422,306,0,728,728,0,7,129,57,512,3,6,1,1,0,4,1,1,6,728
29,"PRIMARY SCHOOL KHOD KLA  EAST DISHA",652,513,0,1165,402,323,0,725,725,0,67,123,220,300,1,0,1,2,0,0,2,3,6,725
30,"PRIMARY SCHOOL KHOD KLA  WEST DISHA",721,657,1,1379,514,451,0,965,965,0,9,259,146,524,7,1,0,1,2,4,1,5,6,965
31,"PRIMARY SCHOOL  BIJARKHATA UTTARI NORTH DISHA",875,684,1,1560,610,497,0,1107,1107,0,8,80,122,855,9,1,1,2,5,4,5,3,12,1107
32,"PRIMARY SCHOOL  BIJARKHATA UTTARI SOUTH DISHA",867,735,0,1602,506,390,0,896,896,0,47,181,528,131,5,0,0,0,1,1,0,1,1,896
33,"JUNIOR HIGH SCHOOL BIJARKHATA UTTARI",825,660,1,1486,486,370,0,856,841,0,7,180,630,19,4,1,0,0,2,2,1,3,7,856
34,"PRIMARY SCHOOL LOHRRA INAYATGANJ",251,243,0,494,174,178,0,352,352,0,11,72,180,85,0,1,0,0,1,0,1,0,1,352
35,"PRIMARY SCHOOL SHIVNAGAR NEAR LOHARI",694,586,0,1280,427,408,0,835,835,0,7,684,99,31,1,1,4,0,0,1,2,1,4,835
36,"PRIMARY SCHOOL SHIKARPUR",681,594,0,1275,521,458,0,979,979,0,11,522,303,127,0,2,3,0,0,1,3,3,4,979
37,"PRIMARY SCHOOL TANDA GOLU",596,500,0,1096,334,248,0,582,582,0,7,167,301,90,0,1,7,0,0,0,2,3,4,582
38,"PRIMARY SCHOOL NEW ARSAL PARSAL LOCATED MAJHRA HASSAN SOUTH DISHA",478,368,0,846,278,236,0,514,514,0,43,282,153,25,0,0,2,0,1,0,2,4,2,514
39,"PRIMARY SCHOOL NEW ARSAL PARSAL LOCATED MAJHRA HASSAN NORTH DISHA",541,449,1,991,296,299,0,595,550,0,27,245,310,7,0,0,0,0,0,3,0,3,0,595
40,"KANYA PRIMARY SCHOOL AARSAL PARSAL",225,169,0,394,167,104,0,271,271,0,3,180,50,35,0,0,1,0,0,0,0,0,2,271
41,"PRIMARY SCHOOL NOORPUR HAZURPUR",299,293,0,592,195,182,0,377,377,0,5,24,69,273,2,0,1,0,1,0,1,0,1,377
42,"SHAHEED UDHAM SINGH HIGHER SECONDAIRY SCHOOL FAZALPUR NEAR  PUSVADA",228,214,0,442,201,186,0,387,367,0,3,132,55,194,1,0,0,0,0,0,0,1,1,387
43,"PRIMARY SCHOOL PUSVADA  NORTH DISHA",488,420,0,908,320,262,0,582,557,0,64,109,114,276,7,3,4,1,0,0,1,1,2,582
44,"PRIMARY SCHOOL PUSVADA SOUTH DISHA",360,369,1,730,242,236,0,478,478,0,2,17,86,366,2,2,0,1,0,1,0,0,1,478
45,"PRIMARY SCHOOL NANKAR RANI ROOM NO -1",503,408,0,911,251,231,0,482,482,0,6,163,280,20,0,1,1,0,1,1,1,2,6,482
46,"PRIMARY SCHOOL NANKAR RANI ROOM NO- 2",505,423,0,928,274,206,0,480,480,0,43,205,223,5,0,0,0,0,2,1,1,0,0,480
47,"JUNIOR HIGH SCHOOL NANKAR RANI ROOM NO -1",410,355,5,770,176,173,0,349,349,0,4,95,209,36,0,1,0,0,0,0,1,0,3,349
48,"JUNIOR HIGH SCHOOL NANKAR RANI ROOM NO -2",558,487,0,1045,316,260,0,576,576,0,14,213,279,50,0,1,0,0,2,0,5,3,9,576
49,"PRIMARY SCHOOL KHANPUR UTTARI  ROOM NO -1",422,364,15,801,223,248,0,471,471,0,75,159,169,59,1,0,0,1,0,0,0,4,3,471
50,"PRIMARY SCHOOL KHANPUR UTTARI ROOM NO -2",559,528,0,1087,357,302,0,659,659,0,181,125,216,124,5,1,0,0,0,1,1,0,5,659
51,"PRIMARY SCHOOL GAGAN NAGLI",456,413,1,870,347,318,0,665,652,0,15,500,90,48,0,1,0,0,1,0,4,1,5,665
52,"PRIMARY SCHOOL HUSSAIN GANJ GADDINAGLI",229,208,0,437,156,144,0,300,300,0,27,116,146,4,0,0,4,0,0,0,1,0,2,300
53,"PRIMARY SCHOOL  GULAD PIPALSANA NORTH DISHA",493,391,5,889,303,233,0,536,536,0,141,53,64,260,1,0,1,0,3,1,2,1,9,536
54,"PRIMARY SCHOOL  GULAD PIPALSANA SOUTH DISHA",761,648,0,1409,457,353,0,810,810,0,8,195,571,8,1,1,1,0,2,3,5,2,13,810
55,"GOVT JUNIOR HIGH SCHOOL   NARPATNAGAR EAST DISHA",489,420,7,916,302,175,0,477,477,0,10,172,258,28,3,0,0,0,0,1,2,2,1,477
56,"GOVT JUNIOR HIGHSCHOOL EXTRA ROOM NARPATNAGAR",530,396,1,927,274,190,0,464,439,0,7,220,198,30,0,1,1,0,1,0,1,1,4,464
57,"NEW GOVT KANYA INTER COLLEGE NARPAT NAGAR",493,469,0,962,261,235,0,496,496,0,4,182,302,3,1,0,0,0,0,1,0,2,1,496
58,"NEW GOVT KANYA INTER COLLEGE NARPAT NAGAR",488,460,0,948,261,250,0,511,511,0,2,230,174,100,0,3,0,0,0,0,0,1,1,511
59,"GOVT PRIMARY SCHOOL NARPAT NAGAR M.DISHA",546,503,0,1049,321,316,0,637,618,0,10,397,169,42,1,1,0,1,0,2,1,4,9,637
60,"GOVT JUNIOR HIGHSCHOOL EXTRA ROOM NARPATNAGAR",484,431,0,915,279,311,0,590,568,0,8,384,172,5,0,0,2,1,0,2,3,1,12,590
61,"GOVT JUNIOR HIGH SCHOOL NARPAT NAGAR  WEST DISHA",639,535,2,1176,318,313,0,631,601,0,8,371,221,9,2,0,0,1,1,1,0,1,16,631
62,"GOVT JUNIOR HIGH SCHOOL NARPATNAGAR",599,457,1,1057,298,264,0,562,552,0,5,193,347,10,1,0,0,0,2,2,0,0,2,562
63,"PRIMARY SCHOOL MUNSIGANJ MAJHRA DUNDAWALA  ROOM NO -1",564,500,1,1065,378,342,0,720,705,0,7,308,81,307,7,2,0,1,1,0,1,4,1,720
64,"PRIMARY SCHOOL MUNSIGANJ MAJHRA DUNDAWALA ROOM NO -2",482,454,1,937,370,360,0,730,730,0,2,194,239,270,3,3,0,0,4,2,2,2,9,730
