"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARUN SHANKAR SHUKLA","2 - BRAJESH PATHAK","3 - SUKHDEV","4 - SWAMI SACHCHIDANAND HARI SAKSHI","5 - SUMIT TEWARI","6 - ANIL KUMAR MISHRA","7 - SHALU DHARMENDRA","8 - ANIL KUMAR CHAUDHARY","9 - ANNU TANDON","10 - ARVIND KUMAR","11 - ROOP NARAYAN SINGH","12 - GIRJA SHANKAR RAJU","13 - SHIVNATH","14 - RAKESH KUMAR","15 - ANIL KUMAR","16 - RAMESHWAR","17 - MOHAMMAD AMIR KHAN","18 - RAJNIKANT","19 - SHIVKANT","20 - AKHILESH KUMAR","21 - CHETRAM PASI","22 - None of the Above","Total Votes Secured"
1,"PRA PA JATPUR BELTHARA",378,321,0,699,264,218,0,482,433,0,142,116,2,170,3,0,1,4,30,0,0,1,1,2,2,3,1,2,0,1,0,1,482
2,"PRA PA  ATIRIKAT KASHA BOULI ISLAMABAD",519,438,0,957,310,251,0,561,461,0,205,59,0,246,0,0,0,3,33,0,1,2,1,0,3,1,0,2,0,2,1,2,561
3,"PRA PA0 PASHIM  BOULI ISLAMABAD",517,378,0,895,307,206,0,513,402,0,91,90,1,272,1,2,2,3,31,0,0,2,0,0,0,4,0,6,5,2,1,0,513
4,"JU0 HA0 KASHA SANKHYA 5 BULIISLAMABAD",839,672,0,1511,471,345,0,816,765,0,113,325,3,310,3,0,1,7,20,1,4,5,4,1,0,8,0,2,1,5,1,2,816
5,"JU0 HA0 SCHOOL PURVA  BULIISLAMABAD",704,539,0,1243,350,244,0,594,497,0,134,160,1,212,1,0,1,4,33,4,0,4,3,0,1,8,2,4,4,10,2,6,594
6,"SA0 SAH0 SAMIT BULIISLAMABAD",513,404,0,917,314,230,0,544,533,0,284,51,1,124,5,0,1,4,48,1,1,7,2,3,2,1,1,0,4,2,1,1,544
7,"PRA0 PRA0  ROSHNABAD",772,641,0,1413,439,353,0,792,665,0,279,74,5,280,4,2,1,9,107,0,3,4,1,3,5,4,3,2,1,0,1,4,792
8,"PRA0 PRA0   PATTIGOAA",556,421,0,977,303,222,0,525,450,0,53,238,2,152,0,0,2,5,52,1,2,1,2,1,1,4,1,1,0,0,3,4,525
9,"PRA0 PA0 KAITHOLI",289,233,0,522,166,152,0,318,228,0,28,128,2,126,2,0,1,1,15,1,0,2,1,0,0,7,1,1,1,0,0,1,318
10,"PRA 0PA0 UTTAR KHABHAMAU",467,357,0,824,254,162,0,416,350,0,89,113,1,171,5,0,1,2,15,1,1,3,0,2,1,4,0,1,0,3,3,0,416
11,"PRA0 PA0 DAKSHIN KHABHAMAU",475,347,0,822,250,190,0,440,350,0,58,92,1,252,3,2,2,9,7,1,0,3,1,0,2,1,0,1,2,3,0,0,440
12,"PRA 0PA0 RAM KOAT",393,321,0,714,217,185,0,402,393,0,177,112,2,60,1,0,1,6,29,0,0,0,0,1,1,2,5,2,1,1,0,1,402
13,"JU0 HA0 SCHOOL PURVA  BEHTA MUJAWAR",622,472,1,1095,342,264,0,606,593,0,182,149,3,183,1,1,2,3,56,1,0,2,2,0,3,4,3,3,0,0,2,6,606
14,"JU0 HA0 SCHOOL MADHYA  BEHTA MUJAWAR",321,260,0,581,202,156,0,358,251,0,109,64,3,123,0,0,1,1,35,2,1,1,2,0,0,6,0,3,1,0,4,2,358
15,"JU0 HA0 SCHOOL PASHIM   BEHTA MUJAWAR",677,517,0,1194,391,258,0,649,449,0,374,112,0,94,2,3,1,4,35,1,0,2,2,0,2,2,1,1,7,2,1,3,649
16,"PRA 0PA0  BHATAULI",644,522,0,1166,328,254,0,582,462,0,27,114,3,371,1,0,1,6,35,0,0,4,2,2,1,4,3,1,3,3,1,0,582
17,"PRA 0PA0  GANIPUR",283,237,0,520,198,161,0,359,225,0,36,155,0,119,2,0,1,6,26,0,2,3,1,0,1,4,0,0,0,1,0,2,359
18,"PRA 0PA0  RANIPUR GRANT",676,534,0,1210,459,371,0,830,642,0,418,43,3,311,1,1,1,4,24,0,1,6,2,0,2,2,0,2,1,3,3,2,830
19,"PRA 0PA0  ARGUPUR",767,566,0,1333,380,247,0,627,451,0,187,200,1,123,2,0,3,6,70,1,0,2,4,1,3,13,1,3,1,3,1,2,627
20,"JU0 HA0  TERWA MO0 ARGUPUR",772,526,0,1298,494,322,0,816,512,0,350,104,10,271,3,2,5,5,31,2,1,2,4,1,7,4,0,2,1,4,1,6,816
21,"PRA 0PA0  TAMORIYA BUJURG",740,550,0,1290,393,282,0,675,561,0,176,88,4,342,3,0,1,3,32,2,0,3,1,0,1,3,1,2,1,8,3,1,675
22,"PRA 0PA0 TAMORIYA KHURD",447,343,0,790,263,172,0,435,309,0,169,110,2,112,2,1,1,1,26,0,0,1,2,0,0,4,0,0,3,1,0,0,435
23,"PRA 0PA0 UTTAR ASHAYASH",688,575,0,1263,395,310,0,705,463,0,60,215,42,353,3,0,1,4,1,0,0,2,1,1,3,6,1,4,2,2,2,2,705
24,"PRA 0PA0 DAKSHIN   ASHAYASH",574,422,0,996,317,191,0,508,429,0,134,220,6,111,3,1,2,5,5,1,0,6,2,0,1,7,0,1,1,0,1,1,508
25,"JU0 HA0 SCHOOL AASHAYASH",797,557,0,1354,378,231,0,609,516,0,58,305,2,180,6,1,3,1,8,0,0,7,1,1,2,20,2,2,2,2,4,2,609
26,"PRA 0PA0  MATUKARI",843,650,0,1493,506,366,0,872,665,0,164,111,4,454,6,2,2,19,35,7,1,8,2,1,2,6,2,5,14,13,3,11,872
27,"VIVEKANAD INTER COLLAGE KASHA SANKHYA 1 AVAIK",493,405,0,898,228,184,0,412,301,0,79,13,113,164,5,0,1,4,0,6,0,1,3,10,2,9,1,0,1,0,0,0,412
28,"VIVEKANAD INTER COLLAGE KASHA SANKHYA 3 AVAIK",421,375,1,797,217,223,0,440,310,0,88,28,25,283,2,0,2,3,2,1,0,1,0,0,1,0,2,0,0,0,0,2,440
29,"PRA 0PA0  ATWA",696,592,0,1288,399,349,0,748,559,0,108,58,45,461,22,2,3,8,2,3,3,0,2,1,1,7,3,3,6,2,4,4,748
30,"PRA 0PA0   MAHOLIYA",676,590,1,1267,390,341,0,731,583,0,130,47,91,440,3,0,6,1,1,1,0,0,1,0,1,3,1,1,3,0,0,1,731
31,"HAIR SECANDRY SCHOOL KASHA SANKHYA 2 HARAIPUR",796,628,0,1424,417,310,0,727,576,0,68,109,166,341,2,1,8,3,0,0,1,0,2,3,1,9,1,3,4,2,0,3,727
