"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMAR SINGH","2 - BABULAL","3 - RANI PAKSHALIKA SINGH","4 - SEEMA UPADHYAY","5 - ASHOK KUMAR","6 - PEETAM SINGH","7 - PITAM SINGH","8 - PANKAJ KUMAR SHARMA","9 - MANIK","10 - MUNNA LAL","11 - MEGH SINGH","12 - ROHAN SINGH","13 - LAXMI","14 - VIJAY SINGH KUSHWAHA","15 - ANIL KUMAR","16 - AMBEDKARI HASNURAM AMBEDKARI","17 - KHEMRAJ SINGH","18 - DIWAN SINGH","19 - NATHOLI","20 - BRAJENDR SINGH","21 - MAHAVIR SINGH SOLANKI","22 - RAKESH SINGH DHANKAR","23 - RAM KUMAR DIXIT","24 - RAM BRAJ YADAV","25 - SHOBHNA BAUDDHA","26 - SATISH KUMAR","27 - SANTOSH KUMAR","28 - SEEMA DEVI","29 - None of the Above","Total Votes Secured"
1,"PU. MA. VI. DAUDPUR R. N. 1",486,400,0,886,326,235,0,561,38,0,8,346,75,114,3,0,0,0,0,0,2,0,0,2,1,1,0,3,0,1,0,0,0,3,0,0,2,0,0,561
2,"PU. MA. VI. DAUDPUR R. N. 2",503,467,0,970,300,258,0,558,558,0,1,192,87,262,1,1,0,0,1,1,1,0,0,3,2,3,0,1,0,0,0,0,0,1,0,0,1,0,0,558
3,"PRA. VI. UTTU R. N. 1",213,174,0,387,154,138,0,292,292,0,0,114,77,87,2,2,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,292
4,"PU. MA. VI. SAMRA R. N. 1",840,697,0,1537,581,392,0,973,973,0,7,325,34,572,3,0,2,2,1,1,0,1,2,5,3,6,0,1,1,2,0,0,1,1,0,0,0,1,2,973
5,"PU. MA. VI. SAMRA R. N. 2",510,397,0,907,364,261,0,625,625,0,28,389,36,145,3,0,3,0,0,0,1,0,1,1,2,6,0,2,0,2,0,1,1,0,0,0,3,0,1,625
6,"PU. MA. VI. SAMRA R. N. 3",346,292,0,638,271,218,0,489,489,0,32,282,73,75,0,1,3,0,1,0,1,0,0,4,4,2,2,2,1,1,0,0,0,0,0,1,0,1,3,489
7,"PU. MA. VI. DABAR R. N. 1",544,436,0,980,398,264,0,662,662,0,20,283,41,278,3,0,0,0,1,0,0,0,4,4,2,0,1,6,1,6,1,1,2,3,2,0,1,0,2,662
8,"PU. MA. VI. DABAR R. N. 2",410,342,0,752,302,208,0,510,50,0,30,337,77,50,2,0,1,2,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,2,510
9,"PRA. VI. NAGLA SARAY R. N. 1",299,245,0,544,212,177,0,389,40,0,16,141,16,199,3,0,0,0,1,0,0,0,0,1,1,2,0,0,1,2,2,0,0,1,0,1,1,1,0,389
10,"PRA. VI. NAGLA BANJARA (NAGLA SARAY) R. N. 1",310,279,0,589,141,176,0,317,317,0,4,247,11,6,1,1,0,1,2,0,1,3,3,11,4,7,0,3,1,0,0,0,3,1,0,0,3,2,2,317
11,"PRA. VI. NAGLA BALE R. N. 1",397,360,0,757,334,255,0,589,589,0,13,220,98,215,2,0,0,1,0,0,0,6,3,4,3,2,1,1,2,2,0,2,1,3,1,1,2,1,5,589
12,"PRA. VI. SIROLI R. N. 1",577,466,0,1043,407,308,0,715,715,0,5,326,92,266,2,0,0,4,1,0,0,0,0,2,1,2,1,2,1,1,1,0,2,0,1,0,3,2,0,715
13,"PRA. VI. BHOPUR R. N. 1",606,465,0,1071,448,294,0,742,49,0,95,328,39,240,0,0,0,1,0,0,2,1,2,2,12,4,2,4,0,2,0,0,0,2,0,2,1,1,2,742
14,"PRA. VI. KHEDA JAAT R. N. 1",598,492,0,1090,431,338,0,769,769,0,8,457,61,208,5,0,0,0,1,0,2,0,1,4,2,2,1,3,1,1,0,0,0,0,0,7,0,2,3,769
15,"PRA. VI. MADANPURA R. N. 1",388,328,0,716,287,207,0,494,494,0,2,148,53,270,3,0,7,3,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,494
16,"PRA. VI. JAJAULI R. N. 1",725,592,0,1317,490,362,0,852,852,0,13,502,116,170,3,1,2,6,1,2,0,0,2,4,5,3,3,3,3,1,0,0,2,5,1,1,2,1,0,852
17,"PRA. VI. SAHANPUR R. N. 1",307,275,0,582,223,190,0,413,24,0,7,134,25,222,3,1,0,1,0,0,1,1,1,0,1,0,0,2,0,2,0,0,3,4,1,0,1,2,1,413
18,"PRA. VI. NAGLA BANJARA (SAHANPUR) R. N. 1",166,155,0,321,109,112,0,221,221,0,5,154,21,27,0,0,0,2,0,0,0,0,2,1,0,0,0,1,2,0,0,0,0,1,0,1,2,1,1,221
19,"PRA. VI. MUHAMMADPUR R. N. 1",410,330,0,740,230,211,0,441,16,0,1,140,64,204,2,0,0,0,0,0,2,0,1,4,4,1,0,5,4,2,0,0,0,2,1,1,2,1,0,441
20,"PRA. VI. BADRAULI R. N. 1",335,318,0,653,212,198,0,410,410,0,116,71,11,181,3,0,0,5,0,0,7,0,2,0,6,2,1,1,1,1,0,0,0,1,0,0,0,1,0,410
21,"PRA. VI. SOUNOTHI R. N. 1",628,545,0,1173,467,360,0,827,827,0,4,400,76,303,4,0,0,0,1,1,0,1,4,8,6,0,1,3,2,0,0,0,0,2,0,0,1,5,5,827
22,"PRA. VI. JAUTANA SECOND R. N. 1",599,482,0,1081,472,347,0,819,819,0,13,698,23,68,0,0,1,1,0,0,1,0,0,2,1,1,1,3,0,0,0,0,0,0,2,1,0,2,1,819
23,"PRA. VI. JAUTANA SECOND R. N. 2",306,236,0,542,238,175,0,413,413,0,1,349,12,36,0,0,0,0,0,0,0,0,0,4,4,2,0,2,0,0,0,0,0,0,0,2,0,0,1,413
24,"PU. MA. VI. JAUTANA STHITH GRAM TEHRA RAWAT",588,519,0,1107,400,339,0,739,739,0,1,320,61,310,3,0,0,0,2,0,1,1,3,1,7,6,1,2,0,4,0,0,2,5,1,2,4,2,0,739
25,"PRA. VI. JAHANPUR R. N. 1",567,459,0,1026,387,306,0,693,693,0,20,148,70,421,4,0,0,0,0,0,0,0,3,3,0,1,2,6,2,8,0,0,0,0,0,1,4,0,0,693
26,"PRA. VI. MANDI MIRZA KHAN R. N. 1",744,636,0,1380,521,389,0,910,910,0,12,197,22,631,4,0,4,1,0,0,0,2,6,1,1,5,0,2,4,3,0,0,0,2,0,2,5,1,5,910
27,"PRA. VI. MANDI MIRZA KHAN R. N. 2",595,503,0,1098,397,263,0,660,660,0,7,423,19,160,2,1,3,1,0,2,2,1,2,10,5,3,0,1,0,4,2,0,0,2,0,1,3,2,4,660
28,"PRA. VI. NAGLA JAGGE R. N. 1",293,261,0,554,200,168,0,368,368,0,34,136,86,103,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,368
29,"PRA. VI. NAGLA DADHIRAM R. N. 1",420,378,0,798,337,278,0,615,615,0,3,271,39,282,2,0,0,1,0,0,0,0,2,2,1,1,1,1,0,3,2,0,0,0,1,0,2,0,1,615
30,"PRA. VI. NAGLA DEVIYA R. N. 1",267,233,0,500,202,165,0,367,367,0,0,45,18,290,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,2,2,1,2,0,0,0,0,1,1,367
31,"PU. MA. VI. AULENDA R. N. 1",479,403,0,882,350,203,0,553,553,0,8,139,342,37,0,0,0,0,0,0,1,2,4,4,4,3,0,1,1,0,0,0,1,0,2,1,1,2,0,553
32,"PU. MA. VI. AULENDA R. N. 2",305,248,0,553,183,129,0,312,312,0,4,89,57,144,3,1,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1,3,1,0,0,312
33,"PU. MA. VI. AULENDA R. N. 3",175,155,0,330,116,89,0,205,205,0,2,87,37,75,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,205
34,"PRA. VI. NAGLA BANJARA (AULENDA) R.N. 1",175,165,0,340,114,121,0,235,235,0,4,11,119,85,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,1,1,0,0,0,1,2,0,1,3,235
35,"PRA. VI. DULHARA R. N. 1",702,537,0,1239,427,335,0,762,762,0,53,377,85,182,1,2,1,1,1,1,1,3,4,8,11,5,1,4,3,3,1,2,2,3,2,2,2,1,0,762
36,"PRA. VI. MAI BUGURG R. N. 1",490,359,0,849,296,235,0,531,531,0,10,118,206,187,0,0,0,0,1,0,2,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,531
37,"PRA. VI. NAGLA JANNU (MAI BUJURG) R. N. 1",368,322,0,690,306,252,0,558,558,0,0,25,399,116,1,0,0,0,0,0,5,0,0,2,1,0,0,1,2,1,0,0,2,0,0,1,1,1,0,558
38,"PRA. VI. MANGOLI KALAN R. N. 1",321,254,0,575,237,176,0,413,413,0,1,56,81,254,2,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,2,2,1,3,2,3,413
39,"PRA. VI. MANGOLI KHURD R. N. 1",158,146,0,304,143,109,0,252,252,0,1,215,5,20,2,0,0,0,0,1,0,0,0,0,1,2,0,2,0,0,0,0,1,0,0,0,1,0,1,252
40,"PRA. VI. NAGLA MANGOLI R. N. 1",332,325,0,657,251,202,0,453,453,0,2,93,215,129,1,0,0,1,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,453
41,"PRA. VI. GUJARPURA R. N. 1",442,375,0,817,343,245,0,588,588,0,61,108,153,238,1,0,0,1,0,0,0,1,0,3,3,1,3,2,2,0,0,1,2,2,0,3,3,0,0,588
42,"PRA. VI. AMBEDKAR PARK SHIVPURI FATEHPUR SIKRI R. N. 1",438,351,0,789,258,191,0,449,449,0,10,228,129,59,0,0,0,1,0,0,5,0,6,1,2,2,0,0,0,0,1,0,0,0,0,3,1,0,1,449
