"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKSHAY YADAV","2 - ATUL CHATURVEDI","3 - TH. VISHWADEEP SINGH","4 - PROF. S.P. SINGH BAGHEL","5 - UPENDRA SINGH","6 - KHAJAN SINGH","7 - JAY PRAKASH","8 - RAKESH YADAV","9 - RAJENDRA PRASAD","10 - RAHAT AFROZ","11 - LAXMI","12 - LAKSHMI  NARAYAN","13 - SHAMSHER KHA","14 - MIRJA MUKARRAM BAIG","15 - RAJVEER","16 - None of the Above","Total Votes Secured"
1,"P.P.NASUPUR SAJETI R.N.1",751,623,0,1374,684,314,0,998,998,0,820,3,29,138,0,0,1,0,0,0,0,1,1,0,2,3,998
2,"PRIMARY SCHOOL NASUPUR SANJETI R.N.2",265,206,0,471,255,170,0,425,140,0,411,0,2,11,0,0,0,0,0,0,0,0,0,0,0,1,425
3,"P.S GYAMAI",593,467,0,1060,511,373,0,884,851,0,861,2,2,13,0,0,0,1,0,0,0,0,1,0,1,3,884
4,P.S.PITHANPUR,282,217,0,499,200,148,0,348,348,0,36,7,2,285,3,0,0,0,0,0,6,0,4,0,1,4,348
5,P.S.RAMNAGAR,517,467,0,984,425,301,0,726,268,0,53,6,106,546,2,0,0,0,0,0,0,4,3,2,1,3,726
6,"PANCHYATGHAR MUH.PUR MADAI",645,545,0,1190,419,313,0,732,380,0,421,15,10,257,2,2,3,10,0,0,0,4,1,1,2,4,732
7,P.S.VANIPUR,566,453,0,1019,420,330,0,750,590,0,389,4,2,325,6,0,1,4,0,0,0,1,5,0,7,6,750
8,P.S.MADAI,483,396,0,879,347,288,0,635,634,0,296,3,166,146,2,0,1,10,0,0,0,0,2,0,5,4,635
9,"PANCHYAT GHAR MADA",242,210,0,452,168,141,0,309,178,0,100,1,59,142,1,0,0,1,0,0,0,1,1,0,1,2,309
10,"COMMUNITY CENTRE N.NANDE",309,252,0,561,226,171,0,397,117,0,132,0,0,256,1,0,1,1,1,0,0,1,2,0,0,2,397
11,"P.S.KANTHARI R.N.1",568,498,0,1066,405,324,0,729,400,0,240,8,163,307,5,0,2,1,0,0,0,0,1,0,0,2,729
12,"P.S.KANTHARI R.N.2",488,404,0,892,373,267,0,640,411,0,476,3,55,95,2,0,0,1,0,0,0,0,3,1,2,2,640
13,"P.S.NAGLA KEVAL",570,476,0,1046,400,303,0,703,309,0,119,2,16,538,6,0,1,6,0,2,0,2,1,2,3,5,703
14,P.S.CHITAWALI,766,607,0,1373,534,325,0,859,688,0,173,1,8,663,5,0,1,2,0,1,0,0,2,1,1,1,859
15,P.S.URAMURAKIRAR,324,280,0,604,247,184,0,431,431,0,96,4,32,289,5,1,1,1,0,0,0,0,1,0,0,1,431
16,P.S.BASDEVMAI,794,651,0,1445,565,391,0,956,940,0,605,4,44,278,5,1,3,0,0,0,0,1,4,5,2,4,956
