"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NIRANJAN SINGH DHANGAR","2 - MANOJ KUMAR SONI","3 - RAJESH KUMAR DIWAKER","4 - RAMJI LAL SUMAN","5 - SUNHARI LAL","6 - OMPRKASH","7 - DALVIR SINGH","8 - NIRANJAN SINGH","9 - RAJA RAM","10 - None of the Above","Total Votes Secured"
47,"PRIMARY SCHOOL TAUNDH R.N.2",137,119,0,256,111,93,0,204,129,0,2,12,181,6,0,0,0,0,0,3,204
48,"P.S. RAMPUR",464,394,0,858,261,214,0,475,161,0,22,22,313,101,3,2,1,4,3,4,475
49,"P.S.RAMPUR R.N. 1",648,564,0,1212,420,338,0,758,439,0,109,140,421,67,3,3,3,4,3,5,758
50,"P.S.RAMPUR R.N. 2",442,392,0,834,288,263,0,551,512,0,11,239,242,52,0,1,1,1,0,4,551
51,"PRIMARY SCHOOL FARAULI",755,612,0,1367,542,431,0,973,958,0,2,212,646,91,12,3,0,4,0,3,973
52,"P.S. AJEETPUR",356,314,0,670,315,259,0,574,574,0,1,75,483,15,0,0,0,0,0,0,574
53,"P.S. ALIPUR TA. DARIYAPUR",333,286,0,619,232,223,0,455,455,0,3,182,259,7,0,1,0,2,0,1,455
54,"PRIMARY SCHOOL BHOPATPUR TA. DARIYAPUR",320,278,0,598,211,185,0,396,264,0,5,96,265,27,1,1,0,0,0,1,396
55,"P.S. AMOKHARI",389,320,0,709,234,202,0,436,436,0,3,50,341,31,2,2,4,1,1,1,436
56,"SAHAB INTER COLLEGE DARIYAPUR",799,701,0,1500,452,428,0,880,880,0,25,202,452,186,6,2,0,2,3,2,880
57,"GIRLS JUNIOR HIGH SCHOOL DARIYAPUR R.N.1",417,353,0,770,219,186,0,405,338,0,2,26,284,79,2,1,3,2,4,2,405
58,"PRIMARY SCHOOL SHANKARPUR",317,272,0,589,255,201,0,456,215,0,2,52,383,13,5,0,0,0,1,0,456
59,"GIRLS JUNIOR HIGH SCHOOL DARIYAPUR R.N.2",226,183,0,409,129,111,0,240,96,0,1,52,96,81,1,0,1,1,3,4,240
60,"P.S USAVA R.N. 1",452,394,0,846,281,247,0,528,43,0,11,7,280,216,3,4,0,1,1,5,528
61,"P.S USAVA R.N. 2",458,384,0,842,312,252,0,564,26,0,221,130,166,23,1,3,3,2,4,11,564
62,"PRIMARY SCHOOL NAGLA PAUPA",545,467,0,1012,426,349,0,775,630,0,1,318,395,56,1,1,0,0,3,0,775
63,"PRIMARY SCHOOL KALIYANPUR",242,203,0,445,184,146,0,330,141,0,3,2,323,1,1,0,0,0,0,0,330
64,"P.S. NAGALA THAKUR",195,147,0,342,108,86,0,194,4,0,0,2,180,12,0,0,0,0,0,0,194
65,"P.S. KHEDIYA",592,509,0,1101,428,306,0,734,10,0,30,77,503,106,1,3,2,3,1,8,734
66,"P.S. SITAHARI",524,448,0,972,327,242,0,569,569,0,9,57,332,161,1,1,0,1,3,4,569
67,"P.S. HADAULI",582,503,0,1085,378,325,0,703,481,0,4,165,453,73,4,1,0,1,1,1,703
68,"P.S BHOJGARHI R.N.1",503,414,0,917,362,276,0,638,44,0,1,77,436,116,2,1,0,1,0,4,638
69,"P.S BHOJGARHI R.N.2",226,195,0,421,151,144,0,295,80,0,9,5,268,2,1,3,0,0,1,6,295
70,"P.S. GOPALPUR",489,391,0,880,386,304,0,690,690,0,2,46,58,575,3,0,0,1,1,4,690
71,"JUNIOR HIGH SCHOOL LUTSAAN R.N. 1",775,672,0,1447,485,388,0,873,873,0,13,77,649,111,11,2,0,5,1,4,873
72,"JUNIOR HIGH SCHOOL LUTSAAN R.N. 2",691,556,0,1247,403,263,0,666,664,0,18,155,459,21,4,1,0,2,1,5,666
73,"P.S.SCHOOL NAGALA RAMVAL",438,371,0,809,366,313,0,679,677,0,8,428,219,19,0,0,1,1,1,2,679
74,"P.S. NAGALA VAIRISAHAY",392,340,0,732,250,206,0,456,10,0,6,8,311,123,1,0,1,1,1,4,456
75,"PRIMARY SCHOOL TILAUTHI R.N. 1",559,475,0,1034,343,250,0,593,73,0,55,143,335,51,1,0,2,4,0,2,593
76,"PRIMARY SCHOOL TILAUTHI R.N. 2",457,368,0,825,285,225,0,510,456,0,20,158,279,38,4,2,0,5,0,4,510
77,"PRIMARY SCHOOL KHORANA",496,429,0,925,440,345,0,785,784,0,35,207,509,29,0,0,1,1,1,2,785
78,"PRIMARY SCHOOL JAGEEPUR",270,235,0,505,195,147,0,342,174,0,54,2,228,53,0,3,0,2,0,0,342
79,"PRIMARY SCHOOL VEERNAGAR",424,358,0,782,220,269,0,489,80,0,4,16,434,17,5,3,1,2,1,6,489
80,"PRIMARY SCHOOL DARKAULA",416,338,0,754,252,213,0,465,16,0,8,32,360,57,1,0,1,2,3,1,465
81,"PRIMARY SCHOOL DARKAULI",445,381,0,826,301,251,0,552,552,0,6,102,249,182,3,2,2,3,2,1,552
82,"PRIMARY SCHOOL AJAROI",839,684,0,1523,485,396,0,881,355,0,62,129,467,188,5,9,4,2,7,8,881
83,"K.L.JAIN INTER COLLEGE SASNI R.N.1",811,693,0,1504,560,497,0,1057,1057,0,18,10,914,97,6,1,1,3,1,6,1057
84,"K.L.JAIN INTER COLLEGE SASNI R.N.2",566,490,0,1056,414,344,0,758,24,0,19,165,429,117,10,5,4,2,2,5,758
85,"K.L.JAIN INTER COLLEGE SASNI R.N.6",320,298,0,618,223,216,0,439,4,0,17,3,394,17,2,2,1,1,1,1,439
86,"K.L.JAIN INTER COLLEGE SASNI R.N.3",459,418,0,877,358,298,0,656,656,0,31,11,465,125,7,1,2,4,3,7,656
87,"JUNIOR HIGH SCHOOL SASNI R.N.1",557,494,0,1051,381,270,0,651,589,0,30,85,460,60,4,0,1,4,3,4,651
88,"P.S.SASNI DEHAT (NAGALA MINYA)",567,446,0,1013,451,335,0,786,15,0,8,488,248,33,1,0,0,1,4,3,786
89,"JUNIOR HIGH SCHOOL SASNI R.N.2",473,406,0,879,359,260,0,619,136,0,17,7,395,181,0,6,1,4,4,4,619
90,"GIRLS INTER COLLEGE SASNI R.N.1",307,282,0,589,213,219,0,432,432,0,2,300,93,25,4,1,3,0,2,2,432
91,"GIRLS INTER COLLEGE SASNI R.N.2",675,583,0,1258,422,380,0,802,99,0,23,276,65,417,9,1,0,3,1,7,802
92,"GIRLS INTER COLLEGE SASNI R.N.3",522,472,0,994,417,364,0,781,35,0,16,110,553,96,0,0,3,1,0,2,781
93,"GIRLS INTER COLLEGE SASNI R.N.4",409,351,0,760,288,240,0,528,216,0,92,18,306,101,3,3,1,0,3,1,528
94,"PRIMARY SCHOOL VIRRA R.N.1",456,391,0,847,269,246,0,515,18,0,4,217,163,123,2,0,1,3,0,2,515
95,"PRIMARY SCHOOL VIRRA R.N.2",408,353,0,761,223,213,0,436,9,0,0,70,265,81,1,5,4,4,3,3,436
96,"PRIMARY SCHOOL KEHARIYA",348,301,0,649,267,218,0,485,2,0,1,107,365,10,0,0,0,1,0,1,485
97,"P.S. NAGALA VIJAIYA",197,165,0,362,116,122,0,238,238,0,1,197,28,9,0,0,0,0,0,3,238
98,P.S.GOPALPUR,533,464,0,997,268,252,0,520,205,0,6,169,235,80,2,5,0,5,3,15,520
99,"P.S. NAGLA SEVA",229,197,0,426,179,154,0,333,333,0,36,88,150,55,1,1,0,1,1,0,333
100,"JUNIOR HIGH SCHOOL BADHANU SHIKOHABAD R.N1",619,536,0,1155,428,322,0,750,750,0,13,171,494,51,9,2,0,2,2,6,750
101,"JUNIOR HIGH SCHOOL BADHANU SHIKOHABAD R.N.2",309,269,0,578,218,193,0,411,411,0,2,214,137,34,11,2,1,2,2,6,411
102,"PRIMARY SCHOOL JALALPUR SASNI R.N.1",831,673,0,1504,507,426,0,933,933,0,30,68,615,198,2,4,3,1,1,11,933
103,"PRIMARY SCHOOL JALALPUR SASNI R.N.2",144,134,0,278,111,93,0,204,204,0,3,88,113,0,0,0,0,0,0,0,204
104,"PRIMARY SCHOOL NAGALA SINGH",485,428,0,913,338,278,0,616,616,0,44,457,59,40,0,2,2,1,4,7,616
105,"PRIMARY SCHOOL GAUHANA",817,703,0,1520,553,433,0,986,50,0,17,7,707,232,3,1,1,8,3,7,986
106,"PRIMARY SCHOOL NAGALA JAHARU",219,192,0,411,201,155,0,356,335,0,0,310,43,1,0,1,0,1,0,0,356
107,"PRIMARY SCHOOL SEEKUR",718,608,0,1326,407,351,0,758,17,0,25,195,487,39,3,2,1,3,3,0,758
108,"PRIMARY SCHOOL AKABARPUR",557,461,0,1018,346,301,0,647,647,0,32,211,342,42,1,4,3,5,3,4,647
109,"PRIMARY SCHOOL NADAUNA",666,584,0,1250,392,380,0,772,12,0,3,231,462,64,0,1,0,2,0,9,772
110,"PRIMARY SCHOOL NAGALA LACHCHHEE",281,240,1,522,152,139,0,291,180,0,2,104,171,12,0,0,0,0,1,1,291
111,"PRIMARY SCHOOL NAGALA LOKA",659,572,0,1231,415,335,0,750,700,0,8,47,554,128,2,1,3,0,4,3,750
112,"PRIMARY SCHOOL MAMAUTA KALAN",967,739,0,1706,602,466,0,1068,373,0,31,516,452,49,2,3,1,2,5,7,1068
113,"PRIMARY SCHOOL MAMAUTA KHURD",409,353,0,762,265,250,0,515,515,0,12,279,192,24,5,0,1,2,0,0,515
114,"PRIMARY SCHOOL BASAI KAJI R.N. 1",685,577,0,1262,454,300,0,754,256,0,3,114,503,126,1,2,2,2,0,1,754
115,"PRIMARY SCHOOL BASAI KAJI R.N. 2",295,226,0,521,162,140,0,302,265,0,0,250,36,12,0,0,1,1,0,2,302
116,"PRIMARY SCHOOL SAMAMAI RUHAL R.N. 1",808,681,0,1489,494,393,0,887,134,0,12,243,398,204,3,7,2,2,5,11,887
117,"P.S. RUHAL",540,459,0,999,331,281,0,612,8,0,60,142,348,52,4,0,0,1,2,3,612
118,"P.S. NAGALA HARIYA",203,170,0,373,179,149,0,328,328,0,0,148,163,13,0,0,1,1,2,0,328
119,"PRIMARY SCHOOL SAMAMAI RUHAL R.N. 2",315,268,0,583,208,172,0,380,126,0,2,218,135,21,0,2,0,0,0,2,380
120,"PRIMARY SCHOOL RAMNAGAR",328,279,0,607,235,200,0,435,8,0,26,158,233,10,5,0,1,1,0,1,435
121,"P.S. KHEDA FIROJPUR",479,400,0,879,350,268,0,618,150,0,4,181,305,107,1,2,11,1,1,5,618
122,"PRIMARY SCHOOL NAGALA FATELA",463,402,0,865,327,271,0,598,20,0,31,53,328,176,0,1,1,2,3,3,598
123,"PRIMARY SCHOOL LAUHARRA R.N. 1",591,491,0,1082,387,319,0,706,200,0,8,289,291,108,1,2,4,1,1,1,706
124,"PRIMARY SCHOOL LAUHARRA R.N. 2",515,423,0,938,325,229,0,554,18,0,24,314,147,57,4,1,1,0,1,5,554
125,"PRIMARY SCHOOL JARIYA",618,538,0,1156,415,331,0,746,746,0,5,4,429,287,7,0,2,1,1,10,746
126,"JUNIOR HIGH SCHOOL GADAKHEDA",416,340,0,756,314,241,0,555,555,0,4,163,203,183,0,1,0,0,0,1,555
127,"P.S NAGALA BHAMBHUJHAT",224,197,0,421,159,148,0,307,5,0,1,5,182,107,3,2,0,2,1,4,307
128,"PRIMARY PATHSHALA VIJAHARI,R.N.1",569,466,0,1035,350,300,0,650,108,0,12,223,339,66,2,2,1,2,0,3,650
129,"PRIMARY PATHSHALA VIJAHARI,R.N.3",438,370,0,808,252,227,0,479,37,0,7,249,125,85,8,0,1,0,1,3,479
130,"PRIMARY SCHOOL VIJAHAREE R.N.2",434,376,0,810,234,207,0,441,119,0,7,60,211,154,5,1,0,0,1,2,441
131,"P.S. VIJALIGHAR VIJAHARI (BANGADH) R.N. 1",513,393,0,906,267,191,0,458,272,0,13,43,276,112,3,3,1,3,2,2,458
132,"P.S. VIJALIGHAR VIJAHARI (BANGADH) R.N. 2",748,578,0,1326,392,323,0,715,370,0,13,45,396,249,2,1,0,1,0,8,715
133,"K.L JAIN INTER COLLEGE SASNI R.N. 4",537,489,0,1026,321,290,0,611,65,0,22,21,508,44,4,1,2,2,1,6,611
134,"K.L JAIN INTER COLLEGE SASNI R.N. 5",466,409,0,875,275,265,0,540,5,0,42,2,456,30,5,1,0,0,0,4,540
135,"PRIMARY SCHOOL RAGHANIYA R.N.1",518,406,0,924,348,273,0,621,300,0,8,166,422,22,0,1,0,2,0,0,621
136,"PRIMARY SCHOOL RAGHANIYAN R.N.2",503,439,0,942,330,307,0,637,635,0,54,64,352,155,3,2,1,1,1,4,637
137,"PRIMARY SCHOOL SATHIYA R.N.1",724,581,0,1305,467,321,0,788,786,0,55,354,320,36,0,6,2,3,4,8,788
138,"PRIMARY SCHOOL SATHIYA R.N.2",573,454,0,1027,400,296,0,696,143,0,104,16,505,67,1,2,0,0,0,1,696
139,"JUNIOR HIGH SCHOOL BASAGOI R.N. 1",818,660,0,1478,475,348,0,823,823,0,31,316,367,94,2,4,0,3,1,5,823
140,"JUNIOR HIGH SCHOOL BASAGOI R.N. 2",685,545,0,1230,373,333,0,706,80,0,24,94,525,39,0,9,0,7,2,6,706
141,"JUNIOR HIGH SCHOOL CHHAUDA GADAUAA R.N.1",644,517,0,1161,409,290,0,699,699,0,15,121,482,70,4,1,1,2,3,0,699
142,"JUNIOR HIGH SCHOOL CHHAUDA GADAUAA R.N.2",716,561,0,1277,386,261,0,647,647,0,62,218,163,193,1,0,0,4,4,2,647
143,"PRIMARY SCHOOL HARDPUR",576,470,0,1046,400,348,0,748,17,0,18,248,410,59,3,1,2,0,0,7,748
144,"PRIMARY SCHOOL NAGALA GADHU",581,461,0,1042,380,266,0,646,44,0,54,101,437,41,4,2,1,0,1,5,646
145,"PRIMARY SCHOOL MAUHARIYA R.N. 1",533,415,0,948,268,208,0,476,11,0,21,38,369,39,0,2,1,2,1,3,476
146,"PRIMARY SCHOOL MAUHARIYA R.N. 2",359,298,0,657,202,153,0,355,338,0,21,48,216,56,2,3,0,3,1,5,355
147,"PRIMARY SCHOOL ALIPUR",338,288,0,626,218,197,0,415,415,0,10,15,269,116,1,0,0,0,1,3,415
148,"PRIMARY SCHOOL DINAVALI",264,227,0,491,189,156,0,345,2,0,5,86,240,7,0,0,3,1,1,2,345
149,"PRIMARY SCHOOL JIRAULI R.N. 1",506,404,0,910,338,252,0,590,500,0,67,219,270,20,1,3,1,1,5,3,590
150,"PRIMARY SCHOOL JIRAULI R.N. 2",604,482,0,1086,429,354,0,783,783,0,21,430,273,53,1,2,2,1,0,0,783
151,"P. S. LADAUTA,ROOM NO. 1",471,418,0,889,402,298,0,700,50,0,37,29,483,142,0,1,1,1,0,6,700
152,"P. S. LADAUTA,ROOM NO. 2",487,389,0,876,337,264,0,601,3,0,20,176,215,175,2,1,0,2,4,6,601
153,"PRIMARY SCHOOL RUDAYAN",736,577,0,1313,421,325,0,746,21,0,40,26,493,167,8,2,2,4,0,4,746
154,"JUNIOR HIGH SCHOOL RUDAYAN",583,492,0,1075,394,335,0,729,6,0,15,388,307,18,0,0,1,0,0,0,729
155,"PRIMARY SCHOOL VILKHAURA KALAN",483,402,0,885,277,242,0,519,398,0,2,159,234,113,3,1,0,3,2,2,519
156,"PRIMARY SCHOOL VILKHAURA KHURD",259,197,0,456,218,160,0,378,378,0,186,2,124,65,0,0,0,0,0,1,378
157,"GIRLS PRIMARY SCHOOL SUSAYAT KALAN",637,556,0,1193,424,327,0,751,20,0,10,149,455,122,4,0,0,2,1,8,751
158,"PRIMARY SCHOOL SUSAYAT KHURD",644,469,0,1113,425,301,0,726,10,0,9,77,462,164,2,3,0,3,2,4,726
159,"PRIMARY SCHOOL SUSAYAT KALAN HANUMAN CHAU",429,388,0,817,237,216,0,453,38,0,2,35,85,324,2,0,0,0,2,3,453
160,"PRIMARY SCHOOL DWARIKAPUR",244,189,0,433,144,145,0,289,289,0,0,46,215,20,7,0,0,0,0,1,289
161,"PRIMARY SCHOOL TATARPUR MAUHARIYA",463,357,1,821,272,239,0,511,511,0,37,100,337,28,1,1,0,2,2,3,511
162,"PRIMARY SCHOOL JASARANA",681,571,0,1252,462,383,0,845,400,0,14,382,329,110,1,1,2,0,2,4,845
163,"JUNIOR HIGH SCHOOL DEDAMAI",768,632,0,1400,431,382,0,813,20,0,21,93,528,147,9,1,1,5,2,6,813
164,"PRIMARY SCHOOL SAHAJPURA",487,412,0,899,272,285,0,557,57,0,12,333,158,35,2,2,0,3,4,8,557
165,"PRIMARY SCHOOL NAHALOI",163,137,0,300,151,112,0,263,181,0,5,0,256,1,0,0,0,0,1,0,263
166,"PRIMARY SCHOOL VIGHAIPUR R.N. 1",686,550,0,1236,412,337,0,749,749,0,245,76,325,95,4,1,1,2,0,0,749
167,"PRIMARY SCHOOL VIGHAIPUR R.N. 2",352,281,0,633,176,164,0,340,32,0,71,26,221,13,2,1,0,2,1,3,340
168,"PRIMARY SCHOOL BHEEM NAGARIYA",300,261,0,561,259,189,0,448,2,0,145,24,242,32,0,0,0,0,0,5,448
169,"PRIMARY SCHOOL SINGHARR",575,504,0,1079,404,367,0,771,15,0,17,209,482,47,2,4,1,3,2,4,771
170,"PRIMARY SCHOOL SANDALPUR",460,374,0,834,302,261,0,563,541,0,5,58,382,101,0,4,3,1,3,6,563
171,"PRIMARY SCHOOL NAGALA BHIKA",284,218,0,502,207,161,0,368,167,0,2,6,11,343,3,0,0,1,0,2,368
172,"P.S.GADHI TAMANA R.N.01",880,682,0,1562,413,359,0,772,772,0,30,238,426,55,5,0,3,4,5,6,772
173,"JUNIOR HIGH SCHOOL GADHI TAMNA R.NO. 1",91,85,0,176,47,36,0,83,73,0,2,28,44,9,0,0,0,0,0,0,83
174,P.S.CHINTAPUR,354,280,0,634,226,196,0,422,420,0,22,177,198,15,0,3,1,2,2,2,422
175,"GADHI TAMNA ANSHIK",936,830,0,1766,405,374,0,779,301,0,18,324,404,20,7,1,0,1,2,2,779
176,"P.S.NAGLA BHOORAA",477,355,0,832,363,277,0,640,10,0,2,603,12,16,0,0,1,0,4,2,640
177,"P.S.GARHI TAMNA R.N.03",492,388,0,880,271,203,0,474,400,0,16,243,200,10,4,0,0,0,1,0,474
178,"JUNIOR HIGH SCHOOL GADHI TAMNA R.NO. 2",514,404,0,918,267,169,0,436,435,0,24,166,212,20,3,0,5,2,0,4,436
179,"P.S.LAHARAA R.N.01",519,422,0,941,341,272,0,613,6,0,20,107,402,69,1,0,3,2,3,6,613
180,"P.S.LAHARAA R.N.02",356,269,0,625,251,185,0,436,436,0,23,117,278,15,2,0,0,0,1,0,436
181,"P.S. NAGLA SINGHEE",203,213,0,416,94,88,0,182,17,0,4,69,94,12,0,1,0,2,0,0,182
182,"P.S.AHAVARANPUR R.N.01",736,533,0,1269,473,346,0,819,515,0,39,263,437,60,1,2,0,2,4,11,819
183,P.S.AHAVARANPURR.N.02,511,382,0,893,321,177,0,498,498,0,216,49,179,46,0,2,0,1,1,4,498
184,"P.S. NAYABAANS",276,220,0,496,206,135,0,341,2,0,14,64,251,7,1,2,0,0,0,2,341
185,"PRIMARY SCHOOL SANGEELAA",470,374,0,844,289,211,0,500,5,0,27,45,399,12,1,6,1,4,4,1,500
186,P.S.VISRAAT,347,277,0,624,278,203,0,481,481,0,1,458,8,11,0,0,1,0,1,1,481
187,"P.S.NAGLA MANI",276,212,0,488,195,158,0,353,303,0,121,57,157,12,1,1,0,1,0,3,353
188,"P. S.MOONGSAA",350,272,0,622,208,160,0,368,13,0,19,46,289,11,1,0,1,1,0,0,368
189,"P.S.TUKSAAN R.N.01",545,443,0,988,375,324,0,699,699,0,21,164,391,106,12,3,0,2,0,0,699
190,"P.S.TUKSAAN R.N.02",458,380,0,838,313,226,0,539,60,0,13,114,380,31,0,1,0,0,0,0,539
191,"P.S.DHATRA KALAN",305,253,0,558,226,159,0,385,385,0,20,121,233,5,2,0,0,0,1,3,385
192,"P.S.DHATURA KHURD",281,267,0,548,197,194,0,391,9,0,5,161,172,49,1,1,0,0,2,0,391
193,"P.S.BHOJPUR KHETSEE",357,315,0,672,271,211,0,482,4,0,10,333,119,14,1,0,1,1,2,1,482
194,"P.S.BUDHU NA0 HEMRAJ",931,673,0,1604,561,356,0,917,895,0,3,156,448,298,1,2,0,1,1,7,917
195,P.S.PARTAAP,277,230,0,507,188,153,0,341,341,0,7,40,288,1,1,0,2,1,1,0,341
196,"P.S.BAAD NA0 ATHVARIYAN",412,358,0,770,283,233,0,516,12,0,30,31,205,234,11,0,0,4,1,0,516
197,"P.S.JOGIYA R.N.01",559,423,0,982,346,200,0,546,209,0,103,39,351,36,12,0,0,3,0,2,546
198,P.S.JOGIYAR.N.02,563,474,0,1037,399,295,0,694,37,0,9,295,370,6,4,3,1,0,2,4,694
199,"PRIMARY SCHOOL NAGLA KUNVARJEE R.N.01",521,403,0,924,410,282,0,692,92,0,59,39,574,15,2,0,1,2,0,0,692
200,"P.S.NAGLA KUNVARJEE R.N.02",481,381,0,862,382,302,0,684,152,0,14,223,352,86,2,2,0,0,1,4,684
201,"P.S.NAGLA MOTHA",366,299,0,665,240,155,0,395,10,0,5,82,170,134,1,0,1,1,0,1,395
202,"P.S. HATEESA N.02 R.N.01",664,553,0,1217,419,303,0,722,635,0,62,127,476,40,2,0,3,3,3,6,722
