"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKHILESH","2 - KASHI NATH SHUKLA","3 - PANKAJ","4 - HARSH VARDHAN","5 - ARAT KHARVAR","6 - KAVILAS","7 - MUMMATAJ","8 - MANGAL LAL","9 - PASHUPATI NATH GUPTA","10 - RADHEYSHYAM","11 - RAMSAMUJH","12 - VIMLESH TRIPATHI","13 - SHIVCHARAN","14 - SHREE AKHILESH KUMAR","15 - AJAYDHAR","16 - ANIL KUMAR SHAHANI","17 - GOVIND DAS","18 - TEJ PRATAP","19 - DAYARAM NISHAD","20 - DINESH KUMAR","21 - DINANATH","22 - RAKESH KUMAR GIRI","23 - RAKESH KUMAR GUPTA","24 - None of the Above","Total Votes Secured"
1,"P.V.ARAJI JAGPUR TOLA AUAHWA",297,275,0,572,183,169,0,352,351,0,116,171,30,12,0,1,0,0,2,1,2,1,1,2,3,4,1,2,0,1,0,0,2,0,352
2,"P.V.JAGPUR URF SALAMTGR ROOM NO.1",611,576,0,1187,391,346,0,737,732,0,193,279,170,15,5,5,3,1,5,2,8,4,1,2,3,31,3,2,2,0,1,1,1,0,737
3,"P.V.JAGPUR URF SALAMTGR ROOM NO.2",594,480,0,1074,347,284,0,631,631,0,110,305,140,11,2,7,0,3,3,0,8,0,1,2,2,28,0,3,0,0,1,1,1,3,631
4,"P.V.BARGADWA RAJA",784,653,0,1437,478,404,0,882,881,0,317,88,294,49,1,53,1,1,1,3,4,5,6,7,4,24,3,4,3,1,3,4,4,2,882
5,"P.V.VELWA KAJI",688,586,1,1275,398,401,0,799,791,0,73,174,376,42,4,44,3,1,5,3,7,2,8,8,5,22,0,3,6,1,1,4,5,2,799
6,P.V.VIJYPUR,654,642,0,1296,412,456,0,868,868,0,184,292,322,9,3,2,12,0,0,0,2,3,1,4,2,10,1,7,3,3,5,1,0,2,868
7,"P.V.KEWALAPUR KHURD ROOM NO.1",768,697,0,1465,519,487,0,1006,1006,0,167,308,418,22,5,2,0,3,1,1,9,4,6,7,8,16,2,6,3,0,2,5,6,5,1006
8,"P.V.KEWALAPUR KHURD ROOM NO.2",593,516,0,1109,381,372,0,753,751,0,95,520,90,2,1,1,0,1,1,0,6,0,3,2,5,17,2,0,2,0,0,0,1,4,753
9,"P.V.PARASKHAD ROOM NO.1",627,586,0,1213,385,407,0,792,789,0,82,262,386,13,1,1,3,1,0,2,5,4,0,4,0,3,11,3,0,2,2,4,2,1,792
10,"P.V.PARASKHAD ROOM NO.2",782,690,0,1472,421,440,0,861,861,0,281,21,491,18,4,9,1,2,3,1,2,2,1,2,0,0,5,7,8,0,2,0,0,1,861
11,P.V.VELASPUR,243,211,0,454,152,153,0,305,303,0,35,112,107,6,1,0,0,0,0,0,2,0,1,3,1,1,5,13,9,3,2,2,1,1,305
12,"P.V.NATHNAGAR ROOM NO.1",743,630,0,1373,636,203,0,839,839,0,331,166,192,27,2,5,72,4,2,2,5,1,0,5,3,9,6,0,3,0,0,1,1,2,839
13,"P.V.NATHNAGAR ROOM NO.2",302,256,0,558,176,181,0,357,357,0,45,50,223,6,0,0,1,0,0,2,3,0,1,2,2,14,0,4,1,0,0,2,1,0,357
14,"P.M.V.VADAHRA RAJA",511,427,0,938,339,310,0,649,649,0,108,96,391,12,3,2,0,0,1,1,0,3,1,4,3,8,1,4,1,1,3,2,0,4,649
15,"P.V.VAGAPAR ROOM NO.1",518,497,0,1015,334,333,0,667,652,0,168,132,291,27,5,3,1,0,3,0,7,4,1,5,3,6,1,1,3,0,1,1,2,2,667
16,"P.V.VAGAPAR ROOM NO.4",470,396,0,866,246,245,0,491,488,0,77,133,205,17,1,1,1,0,1,0,0,0,0,1,0,3,5,19,16,5,2,1,2,1,491
17,"P.V.BAGAPAR ROOM NO.2",607,445,0,1052,327,328,0,655,655,0,214,113,214,57,3,17,0,0,1,0,2,1,1,2,0,2,2,8,6,1,1,4,4,2,655
18,"P.V.BAGAPAR ROOM NO.3",583,511,0,1094,355,315,0,670,666,0,106,150,327,35,2,3,0,1,2,3,4,3,1,2,0,7,4,7,2,3,2,2,4,0,670
19,"P.V.BAGAPAR ATIRIKT ROOM",305,252,0,557,183,170,0,353,352,0,57,94,138,35,2,6,0,0,0,0,1,4,2,3,0,4,0,1,1,0,1,1,1,2,353
20,"P.V.KODAIPUR BAGAPAR",741,679,0,1420,429,381,0,810,728,0,98,181,397,25,1,1,3,3,2,1,4,3,4,4,9,25,10,13,14,1,2,4,3,2,810
21,"P.V.TOLA BELHIY BAGAPAR",547,469,0,1016,313,318,0,631,621,0,64,123,408,1,1,0,1,0,2,3,4,1,1,1,0,2,6,6,1,0,2,2,1,1,631
22,"AGANWADI BHAWAN TOLA JANKPUR BAGAPAR",622,550,0,1172,344,325,0,669,1,0,104,154,325,31,2,5,0,0,2,0,2,3,1,2,1,5,2,8,2,11,4,1,2,2,669
23,"P.M.V.TOLA KODIPUR BAGAPAR",548,471,0,1019,3,1,0,4,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
24,"P.V.VARWARAJA ROOM NO.1",662,580,0,1242,441,408,0,849,847,0,124,178,474,26,2,0,1,0,2,0,5,1,2,4,3,5,5,5,0,3,1,3,3,2,849
25,"P.V.VARWARAJA ROOM NO.2",534,491,0,1025,375,350,0,725,720,0,39,195,426,44,3,0,0,0,0,1,4,0,1,2,2,4,0,1,1,0,1,0,1,0,725
26,"P.V.VELBHARIYA ROOM NO.1",691,608,0,1299,432,386,0,818,818,0,115,236,363,19,10,1,0,0,1,1,4,5,1,6,2,16,6,7,6,3,4,5,5,2,818
27,"P.V.VARWARAJA ROOM NO.2",494,391,0,885,279,276,0,555,554,0,139,84,270,7,0,1,2,0,2,1,1,2,1,4,2,5,8,6,8,4,3,2,2,1,555
28,"P.V.KAMAHRIY KALA",541,470,0,1011,315,335,0,650,646,0,73,40,502,18,3,1,1,1,0,0,1,0,0,1,0,3,0,2,2,0,0,0,1,1,650
29,P.V.DHARMULI,792,662,0,1454,369,458,0,827,827,0,176,221,341,40,0,5,2,0,0,0,7,2,1,5,6,8,1,2,0,5,1,0,0,4,827
30,"P.V.SONARI PURVI BHAG",598,418,0,1016,303,225,0,528,528,0,31,95,310,17,0,3,3,0,1,1,6,2,1,4,2,27,4,5,3,2,2,1,2,6,528
31,"P.V.SONARI PASCHAMI BHAG",470,401,0,871,244,259,0,503,501,0,81,60,292,24,2,7,2,0,2,1,1,0,1,0,3,12,2,3,3,0,1,1,1,4,503
32,"P.V.KUIY URF MHESHPUR",831,714,0,1545,416,469,0,885,869,0,184,188,413,23,0,0,1,0,0,0,3,2,1,5,4,7,8,21,5,0,7,13,0,0,885
33,P.V.DHARMPUR,743,683,0,1426,426,442,0,868,866,0,50,129,591,24,5,0,2,1,11,0,8,1,7,6,3,8,4,8,3,0,2,1,1,3,868
34,"D.N.I.C.CHAUK ROOM NO.9",810,682,0,1492,503,508,0,1011,1,0,89,420,316,71,5,2,0,4,2,1,3,1,4,3,7,15,3,22,7,5,5,6,3,17,1011
35,"D.N.I.C.CHAUK ROOM NO.10",555,488,0,1043,374,341,0,715,714,0,196,39,423,23,1,0,1,1,2,3,6,2,1,2,4,5,1,2,1,0,0,1,0,1,715
36,"D.N.I.C.CHAUK ROOM NO.11",533,455,0,988,348,315,0,663,662,0,169,46,406,14,3,0,2,1,0,1,2,0,3,3,1,4,0,2,2,1,0,1,1,1,663
37,"D.N.I.C.CHAUK ROOM NO.12",767,707,0,1474,471,466,0,937,937,0,134,161,586,15,0,1,0,1,2,2,2,1,0,1,0,1,3,5,5,2,3,0,5,7,937
38,"P.V.CATAIY CHAUK",559,493,1,1053,328,362,0,690,653,0,251,75,331,1,1,0,1,0,1,1,1,0,1,5,0,0,5,4,4,0,1,3,2,2,690
39,"P.V.VARGADAHI VASANTNATH ROOM NO.1",554,446,0,1000,316,278,0,594,1,0,76,187,272,10,6,6,0,0,2,1,8,3,3,3,2,8,1,0,2,2,1,0,0,1,594
40,"P.V.BARGDAHI BASNAT NATH ROOM NO.2",642,565,0,1207,392,335,0,727,726,0,73,147,437,27,2,1,0,1,1,0,4,2,1,6,4,10,3,2,1,1,1,0,1,2,727
41,"P.V.VARGADAHI VASANTNATH ROOM NO.3",529,491,0,1020,315,297,0,612,612,0,15,130,387,14,3,0,1,1,5,3,6,0,4,7,2,8,0,4,5,2,1,4,1,9,612
42,P.V.CHAINPUR,429,373,1,803,282,264,0,546,537,0,62,82,350,10,1,0,0,1,1,2,1,1,3,3,4,11,0,3,3,0,0,0,2,6,546
43,P.V.PARSARAJA,769,709,0,1478,467,486,0,953,947,0,135,133,517,74,2,14,12,1,7,1,8,2,7,4,4,14,1,5,3,1,2,1,2,3,953
44,"PANCHAYATBHAWAN DARHATA ROOM NO.1",536,455,0,991,353,331,0,684,670,0,117,98,406,20,0,4,1,1,9,1,3,1,2,3,3,6,1,3,4,0,0,1,0,0,684
45,"PANCHAYATBHAWAN DARHATA ROOM NO.2",318,281,0,599,204,206,0,410,400,0,80,25,281,3,2,0,0,1,0,1,0,0,2,2,1,6,0,1,0,0,1,1,0,3,410
46,P.V.DARHTA,312,255,0,567,209,196,0,405,124,0,34,172,170,6,0,2,0,1,0,0,1,2,1,2,0,5,1,2,2,1,1,1,0,1,405
47,"AGANBANI BHAWAN TOLA LALPUR DARHTA",452,392,1,845,310,304,0,614,601,0,61,190,309,15,0,1,2,1,1,1,3,0,0,1,1,0,4,12,4,1,2,2,1,2,614
48,"P.V.GAUNRIY RAJA",616,520,0,1136,371,330,0,701,701,0,49,227,373,8,1,1,1,5,2,3,4,4,5,2,2,10,0,0,2,0,2,0,0,0,701
49,"P.V.PAKRIYAR KHURD",299,274,0,573,194,201,0,395,393,0,56,74,233,14,1,0,0,0,0,2,2,1,1,1,1,1,1,1,3,0,1,0,1,1,395
50,P.V.RUDLAPUR,625,553,0,1178,427,400,0,827,827,0,89,152,517,9,0,0,1,1,1,1,2,1,1,8,2,4,3,14,7,4,4,1,1,4,827
51,P.V.KARUTA,736,610,0,1346,456,438,0,894,1,0,28,247,501,17,1,24,2,0,2,5,10,4,7,7,5,12,0,5,4,1,2,9,1,0,894
52,P.V.OBARI,730,687,0,1417,479,510,0,989,989,0,151,224,426,93,6,4,1,6,2,2,9,1,2,6,4,23,2,6,5,2,1,4,3,6,989
53,P.V.SOHGAURA,376,345,0,721,200,265,0,465,464,0,116,65,144,66,1,35,2,2,2,1,6,2,4,2,4,3,0,2,1,1,0,3,1,2,465
54,"P.V.SAMYSATHAN SOHGAURA",467,415,0,882,279,307,0,586,575,0,33,155,363,21,1,0,2,0,0,1,0,0,0,1,1,1,5,2,0,0,0,0,0,0,586
55,"P.V.PIPARIYA GURUGOVINDRAY",703,644,0,1347,460,453,0,913,913,0,178,345,294,29,3,11,1,1,0,2,6,2,3,4,6,10,3,1,3,3,2,3,0,3,913
56,"P.V.PIPRA SONADI ROOM NO.1",511,452,0,963,326,317,0,643,441,0,87,105,398,13,4,1,0,1,0,0,4,2,3,3,1,10,1,6,1,1,1,0,1,0,643
57,"P.V.PIPRA SONADI ROOM NO.2",430,367,0,797,300,271,0,571,570,0,74,82,387,4,0,0,0,0,0,0,4,1,0,0,2,9,0,1,4,1,1,0,0,1,571
58,P.V.VADAHRAVADAY,420,362,0,782,251,254,0,505,505,0,122,96,254,17,0,0,0,0,6,0,2,0,0,0,0,0,1,5,1,0,1,0,0,0,505
59,P.V.NANDANA,803,617,0,1420,504,430,0,934,931,0,78,283,381,103,0,0,1,0,3,1,9,4,1,3,5,7,5,12,6,7,3,4,4,14,934
60,"P.V.KHAJURIYA ROOM NO.1",652,588,0,1240,389,405,0,794,793,0,327,103,320,4,1,0,4,0,1,2,1,1,0,1,0,2,8,6,6,1,0,3,2,1,794
61,"P.V.KHAJURIYA ROOM NO.2",398,342,0,740,238,208,0,446,446,0,118,26,272,10,1,1,2,0,0,0,1,1,1,1,1,0,4,2,1,0,1,1,0,2,446
62,P.M.V.KHAJURIYA,785,670,0,1455,475,473,0,948,748,0,225,202,437,35,1,0,1,1,6,1,3,3,4,6,1,8,2,2,1,1,1,0,2,5,948
63,"P.V.KASMARIYA ROOM NO.1",520,404,0,924,352,306,0,658,658,0,93,100,418,20,1,1,0,1,1,0,3,0,1,2,2,3,0,3,3,0,2,1,2,1,658
64,"P.V.KASMARIYA ROOM NO.2",594,559,0,1153,393,392,0,785,784,0,109,160,416,39,1,0,0,1,2,2,5,1,8,10,4,11,1,4,1,2,3,1,1,3,785
65,P.V.ARNHWA,659,542,0,1201,426,391,0,817,817,0,43,172,504,46,2,1,0,0,2,0,6,2,3,6,4,5,4,3,3,1,3,1,0,6,817
66,"P.V.VAIJNATHPUR KALA",687,592,0,1279,479,428,0,907,904,0,148,116,408,33,2,161,1,3,1,0,2,3,7,2,2,4,0,4,3,2,0,4,1,0,907
67,P.M.V.NADUA,750,683,0,1433,542,529,0,1071,1071,0,304,151,515,33,2,0,1,1,3,2,6,3,3,4,5,16,5,2,5,1,0,3,0,6,1071
68,"P.V.VASANTPUR RAJA",546,491,0,1037,341,335,0,676,676,0,31,333,259,13,0,0,0,1,0,0,2,1,1,4,6,11,1,5,2,1,2,2,0,1,676
69,P.V.REHAW,557,514,0,1071,369,395,0,764,764,0,46,147,444,60,4,8,0,0,1,1,5,1,1,2,2,6,4,6,13,4,3,2,3,1,764
70,"P.V.SISWANIYA ROOM NO.1",647,618,0,1265,474,412,0,886,886,0,145,145,386,77,11,41,1,1,3,3,7,1,1,7,5,11,7,9,5,2,2,7,2,7,886
71,"P.V.SISWANIYA ROOM NO.2",358,320,0,678,273,238,0,511,508,0,111,216,69,0,2,83,1,1,1,0,2,4,4,3,1,5,0,1,1,0,0,3,1,2,511
72,"P.V.SONRA PASCHAMI",431,373,0,804,325,298,0,623,623,0,47,78,453,13,4,1,0,0,4,1,0,0,3,3,3,3,0,2,0,0,2,2,2,2,623
73,"P.V.SONRA PURBI",354,343,0,697,247,262,0,509,508,0,119,198,150,7,1,0,0,0,1,0,6,0,1,1,1,7,3,10,2,0,0,1,0,1,509
74,"PANCHAYAT BHAWAN RAMPUR VUJURG",664,609,0,1273,462,440,0,902,902,0,163,225,405,34,1,3,2,0,4,3,4,4,2,6,5,23,0,3,2,2,1,2,1,7,902
75,"P.V.RAMPUR VUJURG",612,514,0,1126,360,349,0,709,707,0,232,119,259,37,2,3,2,0,3,1,7,0,3,1,2,7,4,5,5,2,2,3,4,6,709
76,"P.V.LAKHIMA THARUA ROOM NO.1",740,630,0,1370,466,432,0,898,898,0,270,94,447,49,1,1,0,1,1,2,3,1,0,5,6,10,2,2,0,1,0,0,0,2,898
77,"P.V.LAKHIMA THARUA ROOM NO.2",774,688,0,1462,550,458,0,1008,1006,0,88,379,474,21,2,2,1,0,0,4,6,3,1,4,1,3,2,9,2,0,2,4,0,0,1008
